gene	ontology	GO_id	GO_name
fig|1339327.3.peg.1|M136_4691	MF	GO:0016740	transferase activity
fig|1339327.3.peg.2|M136_4692	MF	GO:0016874	ligase activity
fig|1339327.3.peg.2|M136_4692	CC	GO:0016021	integral component of membrane
fig|1339327.3.peg.4|M136_4694	CC	GO:0016021	integral component of membrane
fig|1339327.3.peg.6|M136_4696	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1339327.3.peg.6|M136_4696	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|1339327.3.peg.9|M136_4699	MF	GO:0016740	transferase activity
fig|1339327.3.peg.9|M136_4699	BP	GO:0032259	methylation
fig|1339327.3.peg.10|M136_4700	MF	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
fig|1339327.3.peg.10|M136_4700	BP	GO:0032775	DNA methylation on adenine
fig|1339327.3.peg.10|M136_4700	CC	GO:0016021	integral component of membrane
fig|1339327.3.peg.21|M136_4711	MF	GO:0043752	adenosylcobinamide kinase activity
fig|1339327.3.peg.21|M136_4711	BP	GO:0009236	cobalamin biosynthetic process
fig|1339327.3.peg.22|M136_4712	MF	GO:0005524	ATP binding
fig|1339327.3.peg.23|M136_4713	MF	GO:0003676	nucleic acid binding
fig|1339327.3.peg.28|M136_4718	MF	GO:0003677	DNA binding
fig|1339327.3.peg.30|M136_4721	MF	GO:0046873	metal ion transmembrane transporter activity
fig|1339327.3.peg.30|M136_4721	BP	GO:0030001	metal ion transport
fig|1339327.3.peg.30|M136_4721	CC	GO:0016021	integral component of membrane
fig|1339327.3.peg.32|M136_4723	MF	GO:0003677	DNA binding
fig|1339327.3.peg.33|M136_4724	MF	GO:0003700	DNA-binding transcription factor activity
fig|1339327.3.peg.33|M136_4724	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1339327.3.peg.34|M136_4725	CC	GO:0016021	integral component of membrane
fig|1339327.3.peg.36|M136_4727	CC	GO:0033104	type VI protein secretion system complex
fig|1339327.3.peg.36|M136_4727	BP	GO:1901998	toxin transport
fig|1339327.3.peg.42|M136_4734	MF	GO:0004518	nuclease activity
fig|1339327.3.peg.42|M136_4734	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1339327.3.peg.45|M136_4739	MF	GO:0016740	transferase activity
fig|1339327.3.peg.46|M136_4741	MF	GO:0003978	UDP-glucose 4-epimerase activity
