gene	ontology	GO_id	GO_name
fig|742743.3.peg.1|HMPREF9453_00001	MF	GO:0016491	oxidoreductase activity
fig|742743.3.peg.1|HMPREF9453_00001	BP	GO:0055114	oxidation-reduction process
fig|742743.3.peg.1|HMPREF9453_00001	CC	GO:0005623	cell
fig|742743.3.peg.2|HMPREF9453_00002	MF	GO:0016787	hydrolase activity
fig|742743.3.peg.4|HMPREF9453_00004	BP	GO:0006364	rRNA processing
fig|742743.3.peg.4|HMPREF9453_00004	MF	GO:0008168	methyltransferase activity
fig|742743.3.peg.4|HMPREF9453_00004	CC	GO:0005737	cytoplasm
fig|742743.3.peg.5|HMPREF9453_00005	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.6|HMPREF9453_00006	MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
fig|742743.3.peg.6|HMPREF9453_00006	BP	GO:0055114	oxidation-reduction process
fig|742743.3.peg.7|HMPREF9453_00007	MF	GO:0008939	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
fig|742743.3.peg.7|HMPREF9453_00007	BP	GO:0009236	cobalamin biosynthetic process
fig|742743.3.peg.8|HMPREF9453_00008	MF	GO:0008939	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
fig|742743.3.peg.8|HMPREF9453_00008	BP	GO:0009236	cobalamin biosynthetic process
fig|742743.3.peg.8|HMPREF9453_00008	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.10|HMPREF9453_00010	BP	GO:0055085	transmembrane transport
fig|742743.3.peg.10|HMPREF9453_00010	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.10|HMPREF9453_00010	MF	GO:0005215	transporter activity
fig|742743.3.peg.11|HMPREF9453_00011	MF	GO:0004386	helicase activity
fig|742743.3.peg.13|HMPREF9453_00012	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.14|HMPREF9453_00013	MF	GO:0005215	transporter activity
fig|742743.3.peg.14|HMPREF9453_00013	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.18|HMPREF9453_00016	MF	GO:0004222	metalloendopeptidase activity
fig|742743.3.peg.18|HMPREF9453_00016	BP	GO:0006508	proteolysis
fig|742743.3.peg.18|HMPREF9453_00016	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.19|HMPREF9453_00017	MF	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
fig|742743.3.peg.19|HMPREF9453_00017	BP	GO:0006508	proteolysis
fig|742743.3.peg.19|HMPREF9453_00017	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.20|HMPREF9453_00018	BP	GO:0051301	cell division
fig|742743.3.peg.20|HMPREF9453_00018	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.22|HMPREF9453_00020	MF	GO:0047617	acyl-CoA hydrolase activity
fig|742743.3.peg.24|HMPREF9453_00022	MF	GO:0022857	transmembrane transporter activity
fig|742743.3.peg.24|HMPREF9453_00022	BP	GO:0055085	transmembrane transport
fig|742743.3.peg.24|HMPREF9453_00022	CC	GO:0005886	plasma membrane
fig|742743.3.peg.25|HMPREF9453_00023	MF	GO:0022857	transmembrane transporter activity
fig|742743.3.peg.25|HMPREF9453_00023	BP	GO:0055085	transmembrane transport
fig|742743.3.peg.25|HMPREF9453_00023	CC	GO:0005886	plasma membrane
fig|742743.3.peg.26|HMPREF9453_00024	MF	GO:0016887	ATPase activity
fig|742743.3.peg.26|HMPREF9453_00024	BP	GO:0015749	monosaccharide transmembrane transport
fig|742743.3.peg.27|HMPREF9453_00025	MF	GO:0015658	branched-chain amino acid transmembrane transporter activity
fig|742743.3.peg.27|HMPREF9453_00025	BP	GO:0015803	branched-chain amino acid transport
fig|742743.3.peg.28|HMPREF9453_00026	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|742743.3.peg.28|HMPREF9453_00026	BP	GO:0006261	DNA-dependent DNA replication
fig|742743.3.peg.29|HMPREF9453_00027	MF	GO:0004140	dephospho-CoA kinase activity
fig|742743.3.peg.29|HMPREF9453_00027	BP	GO:0015937	coenzyme A biosynthetic process
fig|742743.3.peg.29|HMPREF9453_00027	CC	GO:0005737	cytoplasm
fig|742743.3.peg.30|HMPREF9453_00028	MF	GO:0008933	lytic transglycosylase activity
fig|742743.3.peg.30|HMPREF9453_00028	BP	GO:0000270	peptidoglycan metabolic process
fig|742743.3.peg.30|HMPREF9453_00028	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.33|HMPREF9453_00031	MF	GO:0008677	2-dehydropantoate 2-reductase activity
fig|742743.3.peg.33|HMPREF9453_00031	BP	GO:0015940	pantothenate biosynthetic process
fig|742743.3.peg.34|HMPREF9453_00032	MF	GO:0015093	ferrous iron transmembrane transporter activity
fig|742743.3.peg.34|HMPREF9453_00032	BP	GO:0034755	iron ion transmembrane transport
fig|742743.3.peg.34|HMPREF9453_00032	CC	GO:0005886	plasma membrane
fig|742743.3.peg.35|HMPREF9453_00033	CC	GO:0009279	cell outer membrane
fig|742743.3.peg.36|HMPREF9453_00035	BP	GO:0006865	amino acid transport
fig|742743.3.peg.37|HMPREF9453_00036	MF	GO:0003684	damaged DNA binding
fig|742743.3.peg.37|HMPREF9453_00036	BP	GO:0006281	DNA repair
fig|742743.3.peg.39|HMPREF9453_00038	BP	GO:0055085	transmembrane transport
fig|742743.3.peg.39|HMPREF9453_00038	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.40|HMPREF9453_00039	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.41|HMPREF9453_00040	CC	GO:0005886	plasma membrane
fig|742743.3.peg.43|HMPREF9453_00041	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.44|HMPREF9453_00042	BP	GO:0045454	cell redox homeostasis
fig|742743.3.peg.44|HMPREF9453_00042	MF	GO:0050660	flavin adenine dinucleotide binding
fig|742743.3.peg.44|HMPREF9453_00042	CC	GO:0005623	cell
fig|742743.3.peg.45|HMPREF9453_00043	MF	GO:0016740	transferase activity
fig|742743.3.peg.45|HMPREF9453_00043	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.45|HMPREF9453_00043	BP	GO:0097502	mannosylation
fig|742743.3.peg.46|HMPREF9453_00044	BP	GO:0000271	polysaccharide biosynthetic process
fig|742743.3.peg.46|HMPREF9453_00044	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.46|HMPREF9453_00044	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|742743.3.peg.48|HMPREF9453_00046	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|742743.3.peg.48|HMPREF9453_00046	BP	GO:0035269	protein O-linked mannosylation
fig|742743.3.peg.48|HMPREF9453_00046	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.49|HMPREF9453_00047	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|742743.3.peg.49|HMPREF9453_00047	BP	GO:0035269	protein O-linked mannosylation
fig|742743.3.peg.49|HMPREF9453_00047	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.50|HMPREF9453_00048	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.50|HMPREF9453_00048	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|742743.3.peg.51|HMPREF9453_00049	MF	GO:0004970	ionotropic glutamate receptor activity
fig|742743.3.peg.51|HMPREF9453_00049	BP	GO:0035235	ionotropic glutamate receptor signaling pathway
fig|742743.3.peg.51|HMPREF9453_00049	CC	GO:0016020	membrane
fig|742743.3.peg.52|HMPREF9453_00050	MF	GO:0004970	ionotropic glutamate receptor activity
fig|742743.3.peg.52|HMPREF9453_00050	BP	GO:0035235	ionotropic glutamate receptor signaling pathway
fig|742743.3.peg.52|HMPREF9453_00050	CC	GO:0016020	membrane
fig|742743.3.peg.54|HMPREF9453_00052	MF	GO:0016887	ATPase activity
fig|742743.3.peg.55|HMPREF9453_00053	BP	GO:0016226	iron-sulfur cluster assembly
fig|742743.3.peg.56|HMPREF9453_00054	BP	GO:0016226	iron-sulfur cluster assembly
fig|742743.3.peg.57|HMPREF9453_00055	MF	GO:0031071	cysteine desulfurase activity
fig|742743.3.peg.57|HMPREF9453_00055	BP	GO:0006534	cysteine metabolic process
fig|742743.3.peg.58|HMPREF9453_00056	BP	GO:0016226	iron-sulfur cluster assembly
fig|742743.3.peg.58|HMPREF9453_00056	MF	GO:0005506	iron ion binding
fig|742743.3.peg.59|HMPREF9453_00057	CC	GO:0009279	cell outer membrane
fig|742743.3.peg.61|HMPREF9453_00059	MF	GO:0051116	cobaltochelatase activity
fig|742743.3.peg.61|HMPREF9453_00059	BP	GO:0009236	cobalamin biosynthetic process
fig|742743.3.peg.64|HMPREF9453_00060	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
fig|742743.3.peg.64|HMPREF9453_00060	MF	GO:0003924	GTPase activity
fig|742743.3.peg.64|HMPREF9453_00060	CC	GO:0031226	intrinsic component of plasma membrane
fig|742743.3.peg.66|HMPREF9453_00062	MF	GO:0003700	DNA-binding transcription factor activity
fig|742743.3.peg.66|HMPREF9453_00062	BP	GO:0006355	regulation of transcription, DNA-templated
fig|742743.3.peg.67|HMPREF9453_00063	CC	GO:0016021	integral component of membrane
fig|742743.3.peg.69|HMPREF9453_00066	MF	GO:0003824	catalytic activity
fig|742743.3.peg.69|HMPREF9453_00066	BP	GO:0016311	dephosphorylation
fig|742743.3.peg.70|HMPREF9453_00067	MF	GO:0004617	phosphoglycerate dehydrogenase activity
fig|742743.3.peg.70|HMPREF9453_00067	BP	GO:0006564	L-serine biosynthetic process
fig|742743.3.peg.71|HMPREF9453_00068	MF	GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
fig|742743.3.peg.71|HMPREF9453_00068	BP	GO:0006564	L-serine biosynthetic process
fig|742743.3.peg.71|HMPREF9453_00068	CC	GO:0005737	cytoplasm
fig|742743.3.peg.72|HMPREF9453_00070	MF	GO:0004459	L-lactate dehydrogenase activity
fig|742743.3.peg.72|HMPREF9453_00070	BP	GO:0005975	carbohydrate metabolic process
fig|742743.3.peg.72|HMPREF9453_00070	CC	GO:0005737	cytoplasm
fig|742743.3.peg.73|HMPREF9453_00071	BP	GO:0006449	regulation of translational termination
fig|742743.3.peg.73|HMPREF9453_00071	MF	GO:0016149	translation release factor activity, codon specific
fig|742743.3.peg.73|HMPREF9453_00071	CC	GO:0005737	cytoplasm
