gene	ontology	GO_id	GO_name
fig|1256908.3.peg.6|HMPREF0373_00009	MF	GO:0005524	ATP binding
fig|1256908.3.peg.6|HMPREF0373_00009	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.7|HMPREF0373_00010	BP	GO:0000160	phosphorelay signal transduction system
fig|1256908.3.peg.7|HMPREF0373_00010	MF	GO:0003677	DNA binding
fig|1256908.3.peg.8|HMPREF0373_00012	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.8|HMPREF0373_00012	BP	GO:0006313	transposition, DNA-mediated
fig|1256908.3.peg.9|HMPREF0373_00013	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.9|HMPREF0373_00013	BP	GO:0006298	mismatch repair
fig|1256908.3.peg.9|HMPREF0373_00013	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.10|HMPREF0373_00014	BP	GO:0055085	transmembrane transport
fig|1256908.3.peg.10|HMPREF0373_00014	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.11|HMPREF0373_00015	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.11|HMPREF0373_00015	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1256908.3.peg.12|HMPREF0373_00016	MF	GO:0004478	methionine adenosyltransferase activity
fig|1256908.3.peg.12|HMPREF0373_00016	BP	GO:0006556	S-adenosylmethionine biosynthetic process
fig|1256908.3.peg.12|HMPREF0373_00016	CC	GO:0005737	cytoplasm
fig|1256908.3.peg.13|HMPREF0373_00017	MF	GO:0016832	aldehyde-lyase activity
fig|1256908.3.peg.13|HMPREF0373_00017	BP	GO:0009073	aromatic amino acid family biosynthetic process
fig|1256908.3.peg.14|HMPREF0373_00018	MF	GO:0008811	chloramphenicol O-acetyltransferase activity
fig|1256908.3.peg.14|HMPREF0373_00018	BP	GO:0046677	response to antibiotic
fig|1256908.3.peg.15|HMPREF0373_00019	MF	GO:0031419	cobalamin binding
fig|1256908.3.peg.16|HMPREF0373_00020	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1256908.3.peg.17|HMPREF0373_00021	MF	GO:0008168	methyltransferase activity
fig|1256908.3.peg.17|HMPREF0373_00021	BP	GO:0032259	methylation
fig|1256908.3.peg.18|HMPREF0373_00022	MF	GO:0016787	hydrolase activity
fig|1256908.3.peg.19|HMPREF0373_00023	MF	GO:0008483	transaminase activity
fig|1256908.3.peg.19|HMPREF0373_00023	BP	GO:0009058	biosynthetic process
fig|1256908.3.peg.20|HMPREF0373_00024	MF	GO:0005524	ATP binding
fig|1256908.3.peg.20|HMPREF0373_00024	BP	GO:0016310	phosphorylation
fig|1256908.3.peg.21|HMPREF0373_00025	MF	GO:0008233	peptidase activity
fig|1256908.3.peg.21|HMPREF0373_00025	BP	GO:0006508	proteolysis
fig|1256908.3.peg.22|HMPREF0373_00026	MF	GO:0016831	carboxy-lyase activity
fig|1256908.3.peg.22|HMPREF0373_00026	BP	GO:0019752	carboxylic acid metabolic process
fig|1256908.3.peg.24|HMPREF0373_00028	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.24|HMPREF0373_00028	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1256908.3.peg.25|HMPREF0373_00029	BP	GO:0006814	sodium ion transport
fig|1256908.3.peg.25|HMPREF0373_00029	MF	GO:0015293	symporter activity
fig|1256908.3.peg.25|HMPREF0373_00029	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.26|HMPREF0373_00030	MF	GO:0004565	beta-galactosidase activity
fig|1256908.3.peg.26|HMPREF0373_00030	CC	GO:0009341	beta-galactosidase complex
fig|1256908.3.peg.26|HMPREF0373_00030	BP	GO:0005975	carbohydrate metabolic process
fig|1256908.3.peg.27|HMPREF0373_00032	BP	GO:0015074	DNA integration
fig|1256908.3.peg.27|HMPREF0373_00032	MF	GO:0003676	nucleic acid binding
fig|1256908.3.peg.31|HMPREF0373_00036	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.31|HMPREF0373_00036	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1256908.3.peg.32|HMPREF0373_00037	BP	GO:0000160	phosphorelay signal transduction system
fig|1256908.3.peg.32|HMPREF0373_00037	MF	GO:0003677	DNA binding
fig|1256908.3.peg.32|HMPREF0373_00037	CC	GO:0005829	cytosol
fig|1256908.3.peg.33|HMPREF0373_00038	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1256908.3.peg.33|HMPREF0373_00038	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1256908.3.peg.33|HMPREF0373_00038	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.34|HMPREF0373_00039	MF	GO:0042626	ATPase activity, coupled to transmembrane movement of substances
fig|1256908.3.peg.34|HMPREF0373_00039	BP	GO:0055085	transmembrane transport
fig|1256908.3.peg.34|HMPREF0373_00039	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.36|HMPREF0373_00042	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1256908.3.peg.37|HMPREF0373_00043	MF	GO:0004803	transposase activity
fig|1256908.3.peg.37|HMPREF0373_00043	BP	GO:0006313	transposition, DNA-mediated
fig|1256908.3.peg.39|HMPREF0373_00044	BP	GO:0055085	transmembrane transport
fig|1256908.3.peg.39|HMPREF0373_00044	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.40|HMPREF0373_00045	MF	GO:0016887	ATPase activity
fig|1256908.3.peg.40|HMPREF0373_00045	BP	GO:1902047	polyamine transmembrane transport
fig|1256908.3.peg.43|HMPREF0373_00047	CC	GO:0009380	excinuclease repair complex
fig|1256908.3.peg.43|HMPREF0373_00047	BP	GO:0006289	nucleotide-excision repair
fig|1256908.3.peg.43|HMPREF0373_00047	MF	GO:0016887	ATPase activity
fig|1256908.3.peg.45|HMPREF0373_00048	BP	GO:0015074	DNA integration
fig|1256908.3.peg.45|HMPREF0373_00048	MF	GO:0003677	DNA binding
fig|1256908.3.peg.46|HMPREF0373_00049	BP	GO:0015074	DNA integration
fig|1256908.3.peg.46|HMPREF0373_00049	MF	GO:0003677	DNA binding
fig|1256908.3.peg.47|HMPREF0373_00050	MF	GO:0003677	DNA binding
fig|1256908.3.peg.48|HMPREF0373_00051	MF	GO:0003677	DNA binding
fig|1256908.3.peg.48|HMPREF0373_00051	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1256908.3.peg.49|HMPREF0373_00053	MF	GO:0016987	sigma factor activity
fig|1256908.3.peg.49|HMPREF0373_00053	BP	GO:0006352	DNA-templated transcription, initiation
fig|1256908.3.peg.51|HMPREF0373_00054	MF	GO:0043565	sequence-specific DNA binding
fig|1256908.3.peg.52|HMPREF0373_00055	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.53|HMPREF0373_00056	BP	GO:0000160	phosphorelay signal transduction system
fig|1256908.3.peg.53|HMPREF0373_00056	MF	GO:0003677	DNA binding
fig|1256908.3.peg.54|HMPREF0373_00057	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|1256908.3.peg.54|HMPREF0373_00057	MF	GO:0003677	DNA binding
fig|1256908.3.peg.55|HMPREF0373_00059	MF	GO:0003700	DNA-binding transcription factor activity
fig|1256908.3.peg.55|HMPREF0373_00059	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1256908.3.peg.56|HMPREF0373_00060	BP	GO:0055085	transmembrane transport
fig|1256908.3.peg.56|HMPREF0373_00060	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.57|HMPREF0373_00061	MF	GO:0016887	ATPase activity
fig|1256908.3.peg.58|HMPREF0373_00063	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1256908.3.peg.58|HMPREF0373_00063	MF	GO:0003677	DNA binding
fig|1256908.3.peg.58|HMPREF0373_00063	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.60|HMPREF0373_00065	MF	GO:0016301	kinase activity
fig|1256908.3.peg.60|HMPREF0373_00065	BP	GO:0016310	phosphorylation
fig|1256908.3.peg.60|HMPREF0373_00065	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.61|HMPREF0373_00066	BP	GO:0000160	phosphorelay signal transduction system
fig|1256908.3.peg.61|HMPREF0373_00066	MF	GO:0003677	DNA binding
fig|1256908.3.peg.62|HMPREF0373_00067	BP	GO:0055085	transmembrane transport
fig|1256908.3.peg.62|HMPREF0373_00067	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.63|HMPREF0373_00068	MF	GO:0016887	ATPase activity
fig|1256908.3.peg.63|HMPREF0373_00068	BP	GO:0051301	cell division
fig|1256908.3.peg.65|HMPREF0373_00071	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.66|HMPREF0373_00073	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.67|HMPREF0373_00075	MF	GO:0051920	peroxiredoxin activity
fig|1256908.3.peg.67|HMPREF0373_00075	BP	GO:0098869	cellular oxidant detoxification
fig|1256908.3.peg.67|HMPREF0373_00075	CC	GO:0005623	cell
fig|1256908.3.peg.68|HMPREF0373_00076	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.69|HMPREF0373_00077	CC	GO:0016021	integral component of membrane
fig|1256908.3.peg.70|HMPREF0373_00078	BP	GO:0006355	regulation of transcription, DNA-templated
