gene	ontology	GO_id	GO_name
fig|742765.5.peg.1|HMPREF9457_00002	MF	GO:0000155	phosphorelay sensor kinase activity
fig|742765.5.peg.1|HMPREF9457_00002	BP	GO:0023014	signal transduction by protein phosphorylation
fig|742765.5.peg.1|HMPREF9457_00002	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.2|HMPREF9457_00003	BP	GO:0000160	phosphorelay signal transduction system
fig|742765.5.peg.2|HMPREF9457_00003	MF	GO:0003677	DNA binding
fig|742765.5.peg.3|HMPREF9457_00004	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|742765.5.peg.3|HMPREF9457_00004	MF	GO:0016830	carbon-carbon lyase activity
fig|742765.5.peg.4|HMPREF9457_00005	MF	GO:0008236	serine-type peptidase activity
fig|742765.5.peg.4|HMPREF9457_00005	BP	GO:0006508	proteolysis
fig|742765.5.peg.4|HMPREF9457_00005	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.5|HMPREF9457_00006	MF	GO:0022857	transmembrane transporter activity
fig|742765.5.peg.5|HMPREF9457_00006	BP	GO:0055085	transmembrane transport
fig|742765.5.peg.5|HMPREF9457_00006	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.6|HMPREF9457_00007	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|742765.5.peg.6|HMPREF9457_00007	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.7|HMPREF9457_00008	MF	GO:0018697	carbonyl sulfide nitrogenase activity
fig|742765.5.peg.7|HMPREF9457_00008	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.8|HMPREF9457_00009	MF	GO:0016491	oxidoreductase activity
fig|742765.5.peg.8|HMPREF9457_00009	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.9|HMPREF9457_00010	BP	GO:0046944	protein carbamoylation
fig|742765.5.peg.9|HMPREF9457_00010	MF	GO:0003725	double-stranded RNA binding
fig|742765.5.peg.12|HMPREF9457_00013	MF	GO:0046872	metal ion binding
fig|742765.5.peg.15|HMPREF9457_00016	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|742765.5.peg.15|HMPREF9457_00016	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.16|HMPREF9457_00017	MF	GO:0016491	oxidoreductase activity
fig|742765.5.peg.16|HMPREF9457_00017	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.17|HMPREF9457_00018	MF	GO:0016491	oxidoreductase activity
fig|742765.5.peg.17|HMPREF9457_00018	BP	GO:0055114	oxidation-reduction process
fig|742765.5.peg.22|HMPREF9457_00023	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.23|HMPREF9457_00024	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.24|HMPREF9457_00025	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.25|HMPREF9457_00026	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.26|HMPREF9457_00027	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.27|HMPREF9457_00028	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.28|HMPREF9457_00029	MF	GO:0004190	aspartic-type endopeptidase activity
fig|742765.5.peg.28|HMPREF9457_00029	BP	GO:0006508	proteolysis
fig|742765.5.peg.28|HMPREF9457_00029	CC	GO:0016020	membrane
fig|742765.5.peg.29|HMPREF9457_00030	BP	GO:0009306	protein secretion
fig|742765.5.peg.29|HMPREF9457_00030	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.30|HMPREF9457_00031	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.31|HMPREF9457_00032	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.33|HMPREF9457_00034	MF	GO:0005524	ATP binding
fig|742765.5.peg.33|HMPREF9457_00034	BP	GO:0016310	phosphorylation
fig|742765.5.peg.34|HMPREF9457_00035	BP	GO:0055085	transmembrane transport
fig|742765.5.peg.34|HMPREF9457_00035	CC	GO:0005886	plasma membrane
fig|742765.5.peg.35	MF	GO:0005524	ATP binding
fig|742765.5.peg.36|HMPREF9457_00036	MF	GO:0016887	ATPase activity
fig|742765.5.peg.37|HMPREF9457_00037	MF	GO:0052693	epoxyqueuosine reductase activity
fig|742765.5.peg.37|HMPREF9457_00037	BP	GO:0008616	queuosine biosynthetic process
fig|742765.5.peg.38|HMPREF9457_00038	MF	GO:0004056	argininosuccinate lyase activity
fig|742765.5.peg.38|HMPREF9457_00038	BP	GO:0042450	arginine biosynthetic process via ornithine
fig|742765.5.peg.38|HMPREF9457_00038	CC	GO:0005737	cytoplasm
fig|742765.5.peg.39|HMPREF9457_00039	MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
fig|742765.5.peg.39|HMPREF9457_00039	BP	GO:0008652	cellular amino acid biosynthetic process
fig|742765.5.peg.40|HMPREF9457_00040	BP	GO:0006799	polyphosphate biosynthetic process
fig|742765.5.peg.40|HMPREF9457_00040	MF	GO:0008976	polyphosphate kinase activity
fig|742765.5.peg.40|HMPREF9457_00040	CC	GO:0009358	polyphosphate kinase complex
fig|742765.5.peg.41|HMPREF9457_00041	MF	GO:0003917	DNA topoisomerase type I activity
fig|742765.5.peg.41|HMPREF9457_00041	BP	GO:0006265	DNA topological change
fig|742765.5.peg.42|HMPREF9457_00042	MF	GO:0000150	recombinase activity
fig|742765.5.peg.42|HMPREF9457_00042	BP	GO:0006310	DNA recombination
fig|742765.5.peg.43|HMPREF9457_00043	MF	GO:0003677	DNA binding
fig|742765.5.peg.44|HMPREF9457_00044	MF	GO:0003677	DNA binding
fig|742765.5.peg.45|HMPREF9457_00045	MF	GO:0016740	transferase activity
fig|742765.5.peg.46|HMPREF9457_00046	MF	GO:0022857	transmembrane transporter activity
fig|742765.5.peg.46|HMPREF9457_00046	BP	GO:0055085	transmembrane transport
fig|742765.5.peg.46|HMPREF9457_00046	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.47|HMPREF9457_00047	MF	GO:0003852	2-isopropylmalate synthase activity
fig|742765.5.peg.47|HMPREF9457_00047	BP	GO:0009098	leucine biosynthetic process
fig|742765.5.peg.48|HMPREF9457_00048	MF	GO:0016874	ligase activity
fig|742765.5.peg.49|HMPREF9457_00049	BP	GO:0036376	sodium ion export across plasma membrane
fig|742765.5.peg.49|HMPREF9457_00049	MF	GO:0008948	oxaloacetate decarboxylase activity
fig|742765.5.peg.49|HMPREF9457_00049	CC	GO:0005886	plasma membrane
fig|742765.5.peg.50|HMPREF9457_00050	MF	GO:0018801	glutaconyl-CoA decarboxylase activity
fig|742765.5.peg.51|HMPREF9457_00051	MF	GO:0018801	glutaconyl-CoA decarboxylase activity
fig|742765.5.peg.51|HMPREF9457_00051	BP	GO:0006814	sodium ion transport
fig|742765.5.peg.51|HMPREF9457_00051	CC	GO:0005886	plasma membrane
fig|742765.5.peg.52|HMPREF9457_00052	MF	GO:0047154	methylmalonyl-CoA carboxytransferase activity
fig|742765.5.peg.53|HMPREF9457_00053	MF	GO:0003700	DNA-binding transcription factor activity
fig|742765.5.peg.53|HMPREF9457_00053	BP	GO:0006355	regulation of transcription, DNA-templated
fig|742765.5.peg.55|HMPREF9457_00055	MF	GO:0004127	cytidylate kinase activity
fig|742765.5.peg.55|HMPREF9457_00055	BP	GO:0046940	nucleoside monophosphate phosphorylation
fig|742765.5.peg.55|HMPREF9457_00055	CC	GO:0005737	cytoplasm
fig|742765.5.peg.56|HMPREF9457_00056	MF	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
fig|742765.5.peg.56|HMPREF9457_00056	BP	GO:0050992	dimethylallyl diphosphate biosynthetic process
fig|742765.5.peg.57|HMPREF9457_00057	CC	GO:0005840	ribosome
fig|742765.5.peg.57|HMPREF9457_00057	MF	GO:0003676	nucleic acid binding
fig|742765.5.peg.58|HMPREF9457_00058	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|742765.5.peg.58|HMPREF9457_00058	BP	GO:0022900	electron transport chain
fig|742765.5.peg.58|HMPREF9457_00058	CC	GO:0005886	plasma membrane
fig|742765.5.peg.59|HMPREF9457_00059	BP	GO:0022900	electron transport chain
fig|742765.5.peg.59|HMPREF9457_00059	CC	GO:0005886	plasma membrane
fig|742765.5.peg.59|HMPREF9457_00059	MF	GO:0016491	oxidoreductase activity
fig|742765.5.peg.60|HMPREF9457_00060	MF	GO:0010181	FMN binding
fig|742765.5.peg.60|HMPREF9457_00060	BP	GO:0022900	electron transport chain
fig|742765.5.peg.60|HMPREF9457_00060	CC	GO:0005886	plasma membrane
fig|742765.5.peg.61|HMPREF9457_00061	BP	GO:0022900	electron transport chain
fig|742765.5.peg.61|HMPREF9457_00061	CC	GO:0005886	plasma membrane
fig|742765.5.peg.61|HMPREF9457_00061	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|742765.5.peg.62|HMPREF9457_00062	BP	GO:0022900	electron transport chain
fig|742765.5.peg.62|HMPREF9457_00062	CC	GO:0005886	plasma membrane
fig|742765.5.peg.63|HMPREF9457_00063	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|742765.5.peg.63|HMPREF9457_00063	BP	GO:0022900	electron transport chain
fig|742765.5.peg.63|HMPREF9457_00063	CC	GO:0005886	plasma membrane
fig|742765.5.peg.64|HMPREF9457_00064	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.65|HMPREF9457_00065	BP	GO:0017013	protein flavinylation
fig|742765.5.peg.65|HMPREF9457_00065	MF	GO:0046872	metal ion binding
fig|742765.5.peg.65|HMPREF9457_00065	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.66|HMPREF9457_00066	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.66|HMPREF9457_00066	MF	GO:0046872	metal ion binding
fig|742765.5.peg.67|HMPREF9457_00067	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.67|HMPREF9457_00067	MF	GO:0004386	helicase activity
fig|742765.5.peg.68|HMPREF9457_00068	CC	GO:0009379	Holliday junction helicase complex
fig|742765.5.peg.68|HMPREF9457_00068	MF	GO:0009378	four-way junction helicase activity
fig|742765.5.peg.68|HMPREF9457_00068	BP	GO:0009432	SOS response
fig|742765.5.peg.69|HMPREF9457_00069	MF	GO:0009378	four-way junction helicase activity
fig|742765.5.peg.69|HMPREF9457_00069	BP	GO:0009432	SOS response
fig|742765.5.peg.70|HMPREF9457_00070	BP	GO:0000917	division septum assembly
fig|742765.5.peg.70|HMPREF9457_00070	CC	GO:0005737	cytoplasm
fig|742765.5.peg.71|HMPREF9457_00071	MF	GO:0008233	peptidase activity
fig|742765.5.peg.71|HMPREF9457_00071	BP	GO:0006508	proteolysis
fig|742765.5.peg.72|HMPREF9457_00072	BP	GO:0051301	cell division
fig|742765.5.peg.72|HMPREF9457_00072	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.73|HMPREF9457_00073	MF	GO:0008658	penicillin binding
fig|742765.5.peg.73|HMPREF9457_00073	BP	GO:0046677	response to antibiotic
fig|742765.5.peg.73|HMPREF9457_00073	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.78|HMPREF9457_00077	CC	GO:0016021	integral component of membrane
fig|742765.5.peg.79|HMPREF9457_00078	MF	GO:0003735	structural constituent of ribosome
fig|742765.5.peg.79|HMPREF9457_00078	BP	GO:0006412	translation
fig|742765.5.peg.79|HMPREF9457_00078	CC	GO:0005840	ribosome
fig|742765.5.peg.81|HMPREF9457_00080	MF	GO:0004371	glycerone kinase activity
