gene	ontology	GO_id	GO_name
fig|997885.3.peg.2|HMPREF1069_00001	MF	GO:0046961	proton-transporting ATPase activity, rotational mechanism
fig|997885.3.peg.2|HMPREF1069_00001	BP	GO:0015991	ATP hydrolysis coupled proton transport
fig|997885.3.peg.2|HMPREF1069_00001	CC	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
fig|997885.3.peg.3|HMPREF1069_00002	MF	GO:0016787	hydrolase activity
fig|997885.3.peg.4|HMPREF1069_00003	BP	GO:0042777	plasma membrane ATP synthesis coupled proton transport
fig|997885.3.peg.4|HMPREF1069_00003	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|997885.3.peg.4|HMPREF1069_00003	CC	GO:0005774	vacuolar membrane
fig|997885.3.peg.5|HMPREF1069_00004	BP	GO:1902600	proton transmembrane transport
fig|997885.3.peg.5|HMPREF1069_00004	MF	GO:0005524	ATP binding
fig|997885.3.peg.6|HMPREF1069_00005	MF	GO:0042626	ATPase activity, coupled to transmembrane movement of substances
fig|997885.3.peg.6|HMPREF1069_00005	BP	GO:0055085	transmembrane transport
fig|997885.3.peg.7|HMPREF1069_00006	CC	GO:0033179	proton-transporting V-type ATPase, V0 domain
fig|997885.3.peg.7|HMPREF1069_00006	BP	GO:0015991	ATP hydrolysis coupled proton transport
fig|997885.3.peg.7|HMPREF1069_00006	MF	GO:0015078	proton transmembrane transporter activity
fig|997885.3.peg.8|HMPREF1069_00007	BP	GO:0015991	ATP hydrolysis coupled proton transport
fig|997885.3.peg.8|HMPREF1069_00007	CC	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
fig|997885.3.peg.8|HMPREF1069_00007	MF	GO:0015078	proton transmembrane transporter activity
fig|997885.3.peg.10|HMPREF1069_00008	MF	GO:0004373	glycogen (starch) synthase activity
fig|997885.3.peg.10|HMPREF1069_00008	BP	GO:0005978	glycogen biosynthetic process
fig|997885.3.peg.10|HMPREF1069_00008	CC	GO:0005737	cytoplasm
fig|997885.3.peg.11|HMPREF1069_00009	MF	GO:0008184	glycogen phosphorylase activity
