gene	ontology	GO_id	GO_name
fig|1033732.3.peg.1	MF	GO:0008733	L-arabinose isomerase activity
fig|1033732.3.peg.1	BP	GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
fig|1033732.3.peg.1	CC	GO:0005737	cytoplasm
fig|1033732.3.peg.3	MF	GO:0043565	sequence-specific DNA binding
fig|1033732.3.peg.3	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1033732.3.peg.4	CC	GO:0009279	cell outer membrane
fig|1033732.3.peg.4	MF	GO:0004181	metallocarboxypeptidase activity
fig|1033732.3.peg.4	BP	GO:0016485	protein processing
fig|1033732.3.peg.5	CC	GO:0016021	integral component of membrane
fig|1033732.3.peg.8	MF	GO:0046558	arabinan endo-1,5-alpha-L-arabinosidase activity
fig|1033732.3.peg.8	BP	GO:0031222	arabinan catabolic process
fig|1033732.3.peg.9	MF	GO:0016787	hydrolase activity
fig|1033732.3.peg.9	BP	GO:0005975	carbohydrate metabolic process
fig|1033732.3.peg.11	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1033732.3.peg.11	BP	GO:0016139	glycoside catabolic process
fig|1033732.3.peg.11	CC	GO:0016021	integral component of membrane
fig|1033732.3.peg.12	CC	GO:0016021	integral component of membrane
fig|1033732.3.peg.14	MF	GO:0004347	glucose-6-phosphate isomerase activity
fig|1033732.3.peg.14	BP	GO:0006094	gluconeogenesis
fig|1033732.3.peg.14	CC	GO:0005737	cytoplasm
fig|1033732.3.peg.15	MF	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
fig|1033732.3.peg.15	BP	GO:0046168	glycerol-3-phosphate catabolic process
fig|1033732.3.peg.15	CC	GO:0009331	glycerol-3-phosphate dehydrogenase complex
fig|1033732.3.peg.16	BP	GO:0000902	cell morphogenesis
fig|1033732.3.peg.17	BP	GO:0008360	regulation of cell shape
fig|1033732.3.peg.17	CC	GO:0016021	integral component of membrane
fig|1033732.3.peg.18	CC	GO:0016021	integral component of membrane
fig|1033732.3.peg.19	MF	GO:0008658	penicillin binding
