gene	ontology	GO_id	GO_name
fig|411477.4.peg.2|PARMER_01698	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.3|PARMER_01699	MF	GO:0003735	structural constituent of ribosome
fig|411477.4.peg.3|PARMER_01699	BP	GO:0006412	translation
fig|411477.4.peg.3|PARMER_01699	CC	GO:0005840	ribosome
fig|411477.4.peg.4|PARMER_01701	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.4|PARMER_01701	MF	GO:0016301	kinase activity
fig|411477.4.peg.4|PARMER_01701	BP	GO:0016310	phosphorylation
fig|411477.4.peg.5|PARMER_01702	MF	GO:0009982	pseudouridine synthase activity
fig|411477.4.peg.5|PARMER_01702	BP	GO:0001522	pseudouridine synthesis
fig|411477.4.peg.6|PARMER_01703	MF	GO:0008716	D-alanine-D-alanine ligase activity
fig|411477.4.peg.6|PARMER_01703	BP	GO:0009252	peptidoglycan biosynthetic process
fig|411477.4.peg.6|PARMER_01703	CC	GO:0005737	cytoplasm
fig|411477.4.peg.7|PARMER_01704	MF	GO:0016746	transferase activity, transferring acyl groups
fig|411477.4.peg.8|PARMER_01705	MF	GO:0000155	phosphorelay sensor kinase activity
fig|411477.4.peg.8|PARMER_01705	BP	GO:0023014	signal transduction by protein phosphorylation
fig|411477.4.peg.8|PARMER_01705	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.9|PARMER_01707	BP	GO:1901642	nucleoside transmembrane transport
fig|411477.4.peg.9|PARMER_01707	MF	GO:0005337	nucleoside transmembrane transporter activity
fig|411477.4.peg.9|PARMER_01707	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.10|PARMER_01708	MF	GO:0004587	ornithine-oxo-acid transaminase activity
fig|411477.4.peg.10|PARMER_01708	BP	GO:0055129	L-proline biosynthetic process
fig|411477.4.peg.10|PARMER_01708	CC	GO:0005739	mitochondrion
fig|411477.4.peg.11|PARMER_01709	MF	GO:0004053	arginase activity
fig|411477.4.peg.11|PARMER_01709	BP	GO:0006525	arginine metabolic process
fig|411477.4.peg.12|PARMER_01710	CC	GO:0019867	outer membrane
fig|411477.4.peg.13|PARMER_01711	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.14|PARMER_01713	MF	GO:0008934	inositol monophosphate 1-phosphatase activity
fig|411477.4.peg.14|PARMER_01713	BP	GO:0046855	inositol phosphate dephosphorylation
fig|411477.4.peg.16	CC	GO:0009279	cell outer membrane
fig|411477.4.peg.17|PARMER_01717	MF	GO:0016746	transferase activity, transferring acyl groups
fig|411477.4.peg.18|PARMER_01718	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.19|PARMER_01720	CC	GO:0009279	cell outer membrane
fig|411477.4.peg.19|PARMER_01720	MF	GO:0030246	carbohydrate binding
fig|411477.4.peg.20|PARMER_00001	MF	GO:0004803	transposase activity
fig|411477.4.peg.20|PARMER_00001	BP	GO:0006313	transposition, DNA-mediated
fig|411477.4.peg.21|PARMER_00002	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.22|PARMER_00003	CC	GO:0009279	cell outer membrane
fig|411477.4.peg.24|PARMER_00005	MF	GO:0016987	sigma factor activity
fig|411477.4.peg.24|PARMER_00005	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|411477.4.peg.26|PARMER_00008	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|411477.4.peg.26|PARMER_00008	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.27|PARMER_00010	MF	GO:0004075	biotin carboxylase activity
fig|411477.4.peg.27|PARMER_00010	BP	GO:2001295	malonyl-CoA biosynthetic process
fig|411477.4.peg.28|PARMER_00011	MF	GO:0018801	glutaconyl-CoA decarboxylase activity
fig|411477.4.peg.29|PARMER_00012	MF	GO:0016874	ligase activity
fig|411477.4.peg.30|PARMER_00013	CC	GO:0016021	integral component of membrane
fig|411477.4.peg.31|PARMER_00014	MF	GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity
fig|411477.4.peg.31|PARMER_00014	BP	GO:0055114	oxidation-reduction process
fig|411477.4.peg.32|PARMER_00015	MF	GO:0008998	ribonucleoside-triphosphate reductase activity
fig|411477.4.peg.32|PARMER_00015	BP	GO:0006260	DNA replication
fig|411477.4.peg.33|PARMER_00016	BP	GO:0042777	plasma membrane ATP synthesis coupled proton transport
fig|411477.4.peg.33|PARMER_00016	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|411477.4.peg.33|PARMER_00016	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|411477.4.peg.34|PARMER_00017	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|411477.4.peg.34|PARMER_00017	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|411477.4.peg.34|PARMER_00017	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|411477.4.peg.35|PARMER_00018	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|411477.4.peg.35|PARMER_00018	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|411477.4.peg.35|PARMER_00018	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|411477.4.peg.36|PARMER_00019	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|411477.4.peg.36|PARMER_00019	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|411477.4.peg.36|PARMER_00019	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|411477.4.peg.37|PARMER_00020	BP	GO:0015991	ATP hydrolysis coupled proton transport
fig|411477.4.peg.37|PARMER_00020	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|411477.4.peg.37|PARMER_00020	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|411477.4.peg.38|PARMER_00021	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|411477.4.peg.38|PARMER_00021	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
