gene	ontology	GO_id	GO_name
fig|622312.4.peg.2|ROSEINA2194_00002	MF	GO:0005524	ATP binding
fig|622312.4.peg.2|ROSEINA2194_00002	BP	GO:0051607	defense response to virus
fig|622312.4.peg.4|ROSEINA2194_00004	BP	GO:0043571	maintenance of CRISPR repeat elements
fig|622312.4.peg.4|ROSEINA2194_00004	MF	GO:0004519	endonuclease activity
fig|622312.4.peg.7|ROSEINA2194_00007	BP	GO:0051607	defense response to virus
fig|622312.4.peg.7|ROSEINA2194_00007	MF	GO:0004527	exonuclease activity
fig|622312.4.peg.8|ROSEINA2194_00008	BP	GO:0043571	maintenance of CRISPR repeat elements
fig|622312.4.peg.8|ROSEINA2194_00008	MF	GO:0004520	endodeoxyribonuclease activity
fig|622312.4.peg.9|ROSEINA2194_00009	BP	GO:0043571	maintenance of CRISPR repeat elements
fig|622312.4.peg.9|ROSEINA2194_00009	MF	GO:0004521	endoribonuclease activity
fig|622312.4.peg.10|ROSEINA2194_00012	MF	GO:0043565	sequence-specific DNA binding
fig|622312.4.peg.10|ROSEINA2194_00012	BP	GO:0009432	SOS response
fig|622312.4.peg.11|ROSEINA2194_00013	MF	GO:0003684	damaged DNA binding
fig|622312.4.peg.11|ROSEINA2194_00013	BP	GO:0006261	DNA-dependent DNA replication
fig|622312.4.peg.11|ROSEINA2194_00013	CC	GO:0005737	cytoplasm
fig|622312.4.peg.13|ROSEINA2194_00017	MF	GO:0043565	sequence-specific DNA binding
fig|622312.4.peg.15|ROSEINA2194_00020	MF	GO:0016787	hydrolase activity
fig|622312.4.peg.16|ROSEINA2194_00021	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.18|ROSEINA2194_00025	MF	GO:0043565	sequence-specific DNA binding
fig|622312.4.peg.21|ROSEINA2194_00028	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.23|ROSEINA2194_00029	MF	GO:0008484	sulfuric ester hydrolase activity
fig|622312.4.peg.23|ROSEINA2194_00029	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.24|ROSEINA2194_00030	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.25|ROSEINA2194_00031	MF	GO:0016787	hydrolase activity
fig|622312.4.peg.25|ROSEINA2194_00031	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.26|ROSEINA2194_00032	MF	GO:0016787	hydrolase activity
fig|622312.4.peg.27|ROSEINA2194_00033	MF	GO:0070006	metalloaminopeptidase activity
fig|622312.4.peg.27|ROSEINA2194_00033	BP	GO:0006508	proteolysis
fig|622312.4.peg.28|ROSEINA2194_00034	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|622312.4.peg.28|ROSEINA2194_00034	BP	GO:0006261	DNA-dependent DNA replication
fig|622312.4.peg.29|ROSEINA2194_00035	MF	GO:0004140	dephospho-CoA kinase activity
fig|622312.4.peg.29|ROSEINA2194_00035	BP	GO:0015937	coenzyme A biosynthetic process
fig|622312.4.peg.29|ROSEINA2194_00035	CC	GO:0005737	cytoplasm
fig|622312.4.peg.30|ROSEINA2194_00036	BP	GO:0051301	cell division
fig|622312.4.peg.30|ROSEINA2194_00036	MF	GO:0004140	dephospho-CoA kinase activity
fig|622312.4.peg.30|ROSEINA2194_00036	CC	GO:0005737	cytoplasm
fig|622312.4.peg.31|ROSEINA2194_00037	MF	GO:0016787	hydrolase activity
fig|622312.4.peg.31|ROSEINA2194_00037	BP	GO:0017001	antibiotic catabolic process
fig|622312.4.peg.34|ROSEINA2194_00040	MF	GO:0003937	IMP cyclohydrolase activity
fig|622312.4.peg.34|ROSEINA2194_00040	BP	GO:0006188	IMP biosynthetic process
fig|622312.4.peg.35|ROSEINA2194_00041	MF	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
fig|622312.4.peg.35|ROSEINA2194_00041	BP	GO:0006164	purine nucleotide biosynthetic process
fig|622312.4.peg.36|ROSEINA2194_00042	MF	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
fig|622312.4.peg.36|ROSEINA2194_00042	BP	GO:0006164	purine nucleotide biosynthetic process
fig|622312.4.peg.37|ROSEINA2194_00043	MF	GO:0004731	purine-nucleoside phosphorylase activity
fig|622312.4.peg.37|ROSEINA2194_00043	BP	GO:0009116	nucleoside metabolic process
fig|622312.4.peg.38|ROSEINA2194_00044	BP	GO:0006400	tRNA modification
fig|622312.4.peg.38|ROSEINA2194_00044	MF	GO:0016879	ligase activity, forming carbon-nitrogen bonds
fig|622312.4.peg.38|ROSEINA2194_00044	CC	GO:0005737	cytoplasm
fig|622312.4.peg.39|ROSEINA2194_00045	MF	GO:0008776	acetate kinase activity
fig|622312.4.peg.39|ROSEINA2194_00045	BP	GO:0006085	acetyl-CoA biosynthetic process
fig|622312.4.peg.39|ROSEINA2194_00045	CC	GO:0005737	cytoplasm
fig|622312.4.peg.40|ROSEINA2194_00046	MF	GO:0003677	DNA binding
fig|622312.4.peg.41|ROSEINA2194_00047	CC	GO:0015934	large ribosomal subunit
fig|622312.4.peg.41|ROSEINA2194_00047	MF	GO:0003735	structural constituent of ribosome
fig|622312.4.peg.41|ROSEINA2194_00047	BP	GO:0006412	translation
fig|622312.4.peg.42|ROSEINA2194_00048	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.43|ROSEINA2194_00049	MF	GO:0043811	phosphate:acyl-[acyl carrier protein] acyltransferase activity
fig|622312.4.peg.43|ROSEINA2194_00049	BP	GO:0006633	fatty acid biosynthetic process
fig|622312.4.peg.43|ROSEINA2194_00049	CC	GO:0005737	cytoplasm
fig|622312.4.peg.44|ROSEINA2194_00050	MF	GO:0000036	acyl carrier activity
fig|622312.4.peg.44|ROSEINA2194_00050	BP	GO:0006633	fatty acid biosynthetic process
fig|622312.4.peg.44|ROSEINA2194_00050	CC	GO:0005737	cytoplasm
fig|622312.4.peg.45|ROSEINA2194_00051	MF	GO:0004525	ribonuclease III activity
fig|622312.4.peg.45|ROSEINA2194_00051	BP	GO:0016075	rRNA catabolic process
fig|622312.4.peg.45|ROSEINA2194_00051	CC	GO:0005737	cytoplasm
fig|622312.4.peg.46|ROSEINA2194_00052	BP	GO:0007062	sister chromatid cohesion
fig|622312.4.peg.46|ROSEINA2194_00052	CC	GO:0005694	chromosome
fig|622312.4.peg.46|ROSEINA2194_00052	MF	GO:0003677	DNA binding
fig|622312.4.peg.47|ROSEINA2194_00053	BP	GO:0051301	cell division
fig|622312.4.peg.48|ROSEINA2194_00054	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
fig|622312.4.peg.48|ROSEINA2194_00054	MF	GO:0003924	GTPase activity
fig|622312.4.peg.48|ROSEINA2194_00054	CC	GO:0031226	intrinsic component of plasma membrane
fig|622312.4.peg.49|ROSEINA2194_00055	MF	GO:0004794	L-threonine ammonia-lyase activity
fig|622312.4.peg.49|ROSEINA2194_00055	BP	GO:0006567	threonine catabolic process
fig|622312.4.peg.50|ROSEINA2194_00056	MF	GO:0003999	adenine phosphoribosyltransferase activity
fig|622312.4.peg.50|ROSEINA2194_00056	BP	GO:0006168	adenine salvage
fig|622312.4.peg.50|ROSEINA2194_00056	CC	GO:0005737	cytoplasm
fig|622312.4.peg.51|ROSEINA2194_00057	MF	GO:0022857	transmembrane transporter activity
fig|622312.4.peg.51|ROSEINA2194_00057	BP	GO:0055085	transmembrane transport
fig|622312.4.peg.51|ROSEINA2194_00057	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.52|ROSEINA2194_00058	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.53|ROSEINA2194_00059	MF	GO:0003677	DNA binding
fig|622312.4.peg.54|ROSEINA2194_00060	MF	GO:0008312	7S RNA binding
fig|622312.4.peg.54|ROSEINA2194_00060	CC	GO:0048500	signal recognition particle
fig|622312.4.peg.54|ROSEINA2194_00060	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
fig|622312.4.peg.55|ROSEINA2194_00061	MF	GO:0003735	structural constituent of ribosome
fig|622312.4.peg.55|ROSEINA2194_00061	BP	GO:0006412	translation
fig|622312.4.peg.55|ROSEINA2194_00061	CC	GO:0005840	ribosome
fig|622312.4.peg.56|ROSEINA2194_00062	MF	GO:0003723	RNA binding
fig|622312.4.peg.57|ROSEINA2194_00063	MF	GO:0043022	ribosome binding
fig|622312.4.peg.57|ROSEINA2194_00063	BP	GO:0042274	ribosomal small subunit biogenesis
fig|622312.4.peg.57|ROSEINA2194_00063	CC	GO:0005840	ribosome
fig|622312.4.peg.58|ROSEINA2194_00064	MF	GO:0052906	tRNA (guanine(37)-N(1))-methyltransferase activity
fig|622312.4.peg.58|ROSEINA2194_00064	BP	GO:0030488	tRNA methylation
fig|622312.4.peg.58|ROSEINA2194_00064	CC	GO:0005737	cytoplasm
fig|622312.4.peg.59|ROSEINA2194_00065	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.60|ROSEINA2194_00066	MF	GO:0003735	structural constituent of ribosome
fig|622312.4.peg.60|ROSEINA2194_00066	BP	GO:0006412	translation
fig|622312.4.peg.60|ROSEINA2194_00066	CC	GO:0005840	ribosome
fig|622312.4.peg.62|ROSEINA2194_00068	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.63|ROSEINA2194_00069	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.64|ROSEINA2194_00070	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.64|ROSEINA2194_00070	MF	GO:0016787	hydrolase activity
fig|622312.4.peg.65|ROSEINA2194_00071	MF	GO:0008236	serine-type peptidase activity
fig|622312.4.peg.65|ROSEINA2194_00071	BP	GO:0006508	proteolysis
fig|622312.4.peg.65|ROSEINA2194_00071	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.66|ROSEINA2194_00072	MF	GO:0005525	GTP binding
fig|622312.4.peg.66|ROSEINA2194_00072	CC	GO:0005737	cytoplasm
fig|622312.4.peg.67|ROSEINA2194_00073	MF	GO:0004523	RNA-DNA hybrid ribonuclease activity
fig|622312.4.peg.67|ROSEINA2194_00073	BP	GO:0006401	RNA catabolic process
fig|622312.4.peg.67|ROSEINA2194_00073	CC	GO:0005737	cytoplasm
fig|622312.4.peg.69|ROSEINA2194_00075	BP	GO:0009306	protein secretion
fig|622312.4.peg.69|ROSEINA2194_00075	CC	GO:0016020	membrane
fig|622312.4.peg.70|ROSEINA2194_00076	MF	GO:0004518	nuclease activity
fig|622312.4.peg.70|ROSEINA2194_00076	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|622312.4.peg.72|ROSEINA2194_00078	MF	GO:0004177	aminopeptidase activity
fig|622312.4.peg.72|ROSEINA2194_00078	BP	GO:0006508	proteolysis
fig|622312.4.peg.73|ROSEINA2194_00079	MF	GO:0003700	DNA-binding transcription factor activity
fig|622312.4.peg.73|ROSEINA2194_00079	BP	GO:0006355	regulation of transcription, DNA-templated
fig|622312.4.peg.74|ROSEINA2194_00080	MF	GO:0016887	ATPase activity
fig|622312.4.peg.75|ROSEINA2194_00081	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.76|ROSEINA2194_00082	MF	GO:0005525	GTP binding
fig|622312.4.peg.76|ROSEINA2194_00082	BP	GO:0042254	ribosome biogenesis
fig|622312.4.peg.77|ROSEINA2194_00083	MF	GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity
fig|622312.4.peg.77|ROSEINA2194_00083	BP	GO:0008654	phospholipid biosynthetic process
fig|622312.4.peg.77|ROSEINA2194_00083	CC	GO:0005886	plasma membrane
fig|622312.4.peg.78|ROSEINA2194_00084	BP	GO:0046167	glycerol-3-phosphate biosynthetic process
fig|622312.4.peg.78|ROSEINA2194_00084	MF	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
fig|622312.4.peg.78|ROSEINA2194_00084	CC	GO:0009331	glycerol-3-phosphate dehydrogenase complex
fig|622312.4.peg.79|ROSEINA2194_00085	MF	GO:0004170	dUTP diphosphatase activity
fig|622312.4.peg.79|ROSEINA2194_00085	BP	GO:0046080	dUTP metabolic process
fig|622312.4.peg.80|ROSEINA2194_00086	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|622312.4.peg.80|ROSEINA2194_00086	BP	GO:0009116	nucleoside metabolic process
fig|622312.4.peg.81|ROSEINA2194_00087	MF	GO:0016887	ATPase activity
fig|622312.4.peg.81|ROSEINA2194_00087	BP	GO:0015794	glycerol-3-phosphate transmembrane transport
fig|622312.4.peg.82|ROSEINA2194_00088	MF	GO:0003677	DNA binding
fig|622312.4.peg.83|ROSEINA2194_00089	MF	GO:0061505	DNA topoisomerase II activity
fig|622312.4.peg.83|ROSEINA2194_00089	BP	GO:0006265	DNA topological change
fig|622312.4.peg.84|ROSEINA2194_00090	MF	GO:0061505	DNA topoisomerase II activity
fig|622312.4.peg.84|ROSEINA2194_00090	BP	GO:0006265	DNA topological change
fig|622312.4.peg.84|ROSEINA2194_00090	CC	GO:0005694	chromosome
fig|622312.4.peg.85|ROSEINA2194_00091	MF	GO:0004326	tetrahydrofolylpolyglutamate synthase activity
fig|622312.4.peg.85|ROSEINA2194_00091	BP	GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process
fig|622312.4.peg.85|ROSEINA2194_00091	CC	GO:0016021	integral component of membrane
fig|622312.4.peg.86|ROSEINA2194_00092	MF	GO:0003934	GTP cyclohydrolase I activity
fig|622312.4.peg.86|ROSEINA2194_00092	BP	GO:0035998	7,8-dihydroneopterin 3-triphosphate biosynthetic process	3.03037280920455	0.557463666597	1
fig|622312.4.peg.86|ROSEINA2194_00092	CC	0005737	cytoplasm	0.4796222495510977	0.405257918993	1
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0003933	GTP cyclohydrolase activity	3.116710470147021	0.561039094776	2
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0051066	dihydrobiopterin metabolic process	3.030331974078665	0.55746196356	2
fig|622312.4.peg.86|ROSEINA2194_00092	CC	0044424	intracellular part	0.403525974499526	0.396936404209	2
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0046654	tetrahydrofolate biosynthetic process	2.866578747013045	0.550537739955	3
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0019238	cyclohydrolase activity	2.7202867773369355	0.544182598403	3
fig|622312.4.peg.86|ROSEINA2194_00092	CC	0005622	intracellular	0.403525169439214	0.3969363122	3
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0009396	folic acid-containing compound biosynthetic process	2.534608656033555	0.535864996657	4
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	2.422795205447784	0.530708602111	4
fig|622312.4.peg.86|ROSEINA2194_00092	CC	0044464	cell part	0.2780496355224279	0.3812645583	4
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0046653	tetrahydrofolate metabolic process	2.4903792484716147	0.533839183272	5
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1.748329677230256	0.496689855248	5
fig|622312.4.peg.86|ROSEINA2194_00092	CC	0005623	cell	0.26588156426970094	0.379570499229	5
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0042559	pteridine-containing compound biosynthetic process	2.4813240289734377	0.533422219637	6
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0005525	GTP binding	1.6228876599228304	0.489674066965	6
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006730	one-carbon metabolic process	2.4750769689190606	0.533134119034	7
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0032550	purine ribonucleoside binding	1.6228558869520593	0.489672256241	7
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006760	folic acid-containing compound metabolic process	2.3085902123225956	0.525317541891	8
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0001883	purine nucleoside binding	1.622648180668398	0.489660418736	8
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0042398	cellular modified amino acid biosynthetic process	2.271415197002302	0.523534040896	9
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0032561	guanyl ribonucleotide binding	1.6055857176665547	0.488685401347	9
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0042558	pteridine-containing compound metabolic process	2.245996112237756	0.522306125544	10
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0019001	guanyl nucleotide binding	1.60513697464389	0.488659688633	10
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006575	cellular modified amino acid metabolic process	2.0383318540183804	0.512002272085	11
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0032549	ribonucleoside binding	1.5923294929370708	0.487924306228	11
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0001882	nucleoside binding	1.5915516545995918	0.487879549066	12
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0009108	coenzyme biosynthetic process	1.5720932594110464	0.4867563239	12
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0008270	zinc ion binding	1.5517169995988533	0.48557263909	13
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006732	coenzyme metabolic process	1.4806864836215983	0.481384386298	13
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0051188	cofactor biosynthetic process	1.4331266286237505	0.478523663626	14
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0046914	transition metal ion binding	1.309693026154114	0.470869523253	14
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0051186	cofactor metabolic process	1.3245859750624747	0.471811636626	15
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0046872	metal ion binding	0.8066358527802474	0.435108343098	15
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0046394	carboxylic acid biosynthetic process	1.2973913242763462	0.470087282417	16
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0043169	cation binding	0.8018803549175816	0.434723365585	16
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0016053	organic acid biosynthetic process	1.2956507803620894	0.469976305708	17
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0035639	purine ribonucleoside triphosphate binding	0.7577877164803292	0.431098056702	17
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0090407	organophosphate biosynthetic process	1.1595166419989875	0.461052600694	18
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0032555	purine ribonucleotide binding	0.7527153739992779	0.430674316186	18
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0044283	small molecule biosynthetic process	1.1228199315040548	0.458558563391	19
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0017076	purine nucleotide binding	0.7514844855035007	0.4305712734	19
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0019752	carboxylic acid metabolic process	1.0262351802321175	0.451792342949	20
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0032553	ribonucleotide binding	0.73952053971112	0.429565291893	20
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0043436	oxoacid metabolic process	1.0193554093615347	0.45129846817	21
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0097367	carbohydrate derivative binding	0.7268889284816883	0.428494298555	21
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006082	organic acid metabolic process	1.0146937921729489	0.450962879119	22
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0016787	hydrolase activity	0.6740900910980374	0.423913540985	22
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0043604	amide biosynthetic process	0.9919583902562362	0.449315000675	23
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0000166	nucleotide binding	0.6593851072364442	0.422606075294	23
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0019438	aromatic compound biosynthetic process	0.9904832590921381	0.449207432926	24
fig|622312.4.peg.86|ROSEINA2194_00092	MF	1901265	nucleoside phosphate binding	0.6593850811466048	0.422606072962	24
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0018130	heterocycle biosynthetic process	0.9726225917983106	0.447898606864	25
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0043168	anion binding	0.6529894896309955	0.422032874888	25
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0043603	cellular amide metabolic process	0.9650814707008782	0.447342389387	26
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0036094	small molecule binding	0.6143145391267204	0.418505175634	26
fig|622312.4.peg.86|ROSEINA2194_00092	BP	1901362	organic cyclic compound biosynthetic process	0.9543843929007784	0.446549653968	27
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0043167	ion binding	0.5030938134185662	0.407689062488	27
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0019637	organophosphate metabolic process	0.9490504658270031	0.446152709175	28
fig|622312.4.peg.86|ROSEINA2194_00092	MF	1901363	heterocyclic compound binding	0.33192445780610014	0.388353909777	28
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006796	phosphate-containing compound metabolic process	0.7607307771874516	0.431343268296	29
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0097159	organic cyclic compound binding	0.33184152243965265	0.38834345815	29
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006793	phosphorus metabolic process	0.7536883911995496	0.430755711886	30
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0005488	binding	0.25808533233753267	0.378464648614	30
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0044281	small molecule metabolic process	0.7269385031901121	0.428498519944	31
fig|622312.4.peg.86|ROSEINA2194_00092	MF	0003824	catalytic activity	0.18914692340863376	0.367848967942	31
fig|622312.4.peg.86|ROSEINA2194_00092	BP	1901566	organonitrogen compound biosynthetic process	0.7121811693250482	0.427235480903	32
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0044271	cellular nitrogen compound biosynthetic process	0.7106960753504175	0.427107654109	33
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006725	cellular aromatic compound metabolic process	0.5944961429746748	0.416654392331	34
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0046483	heterocycle metabolic process	0.5935958518132408	0.416569589646	35
fig|622312.4.peg.86|ROSEINA2194_00092	BP	1901360	organic cyclic compound metabolic process	0.583133719851182	0.415579355793	36
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0044249	cellular biosynthetic process	0.5697725677867123	0.414301723698	37
fig|622312.4.peg.86|ROSEINA2194_00092	BP	1901576	organic substance biosynthetic process	0.5609691385651941	0.413451711652	38
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0009058	biosynthetic process	0.5433157465428726	0.411726854653	39
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0034641	cellular nitrogen compound metabolic process	0.473869463542236	0.404653033244	40
fig|622312.4.peg.86|ROSEINA2194_00092	BP	1901564	organonitrogen compound metabolic process	0.46117812635613087	0.403305460727	41
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0006807	nitrogen compound metabolic process	0.3224907340268859	0.387156564597	42
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0044237	cellular metabolic process	0.2772978945043915	0.381160987449	43
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0071704	organic substance metabolic process	0.25463810116233093	0.377970357392	44
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0009987	cellular process	0.199250661130324	0.369513653335	45
fig|622312.4.peg.86|ROSEINA2194_00092	BP	0008152	metabolic process	0.15170979408070043	0.36125531502	46
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0004156	dihydropteroate synthase activity	4.120555042252815	0.599443662829	1
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0046656	folic acid biosynthetic process	3.1898798895750984	0.564030610047	1
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0046655	folic acid metabolic process	3.184579552009303	0.563815067254	2
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	2.5149542147479624	0.534966976155	2
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0009396	folic acid-containing compound biosynthetic process	3.061248688336762	0.558748083138	3
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0016740	transferase activity	0.841417119264727	0.437890205279	3
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0042559	pteridine-containing compound biosynthetic process	2.996892601527067	0.55606349495	4
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0046872	metal ion binding	0.8089411520109545	0.43529455833	4
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0046654	tetrahydrofolate biosynthetic process	2.8747711943949383	0.55088878139	5
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0043169	cation binding	0.8041720633247138	0.434909031092	5
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0006760	folic acid-containing compound metabolic process	2.788268217484566	0.547156532929	6
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0043167	ion binding	0.504531614350734	0.407836124644	6
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0042398	cellular modified amino acid biosynthetic process	2.7433689914769355	0.545196482681	7
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0005488	binding	0.2588229190887834	0.378569980074	7
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0042558	pteridine-containing compound metabolic process	2.712668338849969	0.543847015651	8
fig|622312.4.peg.87|ROSEINA2194_00093	MF	0003824	catalytic activity	0.2284477999431043	0.374100101615	8
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0046653	tetrahydrofolate metabolic process	2.497496548484852	0.534166380177	9
fig|622312.4.peg.87|ROSEINA2194_00093	BP	0006575	cellular modified amino acid metabolic process	2.4618556792406845	0.532523180909	10
