gene	ontology	GO_id	GO_name
fig|483215.6.peg.2|BACFIN_04701	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|483215.6.peg.2|BACFIN_04701	BP	GO:0022900	electron transport chain
fig|483215.6.peg.3|BACFIN_04702	MF	GO:0016491	oxidoreductase activity
fig|483215.6.peg.3|BACFIN_04702	BP	GO:0055114	oxidation-reduction process
fig|483215.6.peg.3|BACFIN_04702	CC	GO:0005886	plasma membrane
fig|483215.6.peg.4|BACFIN_04703	MF	GO:0008177	succinate dehydrogenase (ubiquinone) activity
fig|483215.6.peg.4|BACFIN_04703	CC	GO:0016021	integral component of membrane
fig|483215.6.peg.4|BACFIN_04703	BP	GO:0055114	oxidation-reduction process
fig|483215.6.peg.5|BACFIN_04705	MF	GO:0043565	sequence-specific DNA binding
fig|483215.6.peg.5|BACFIN_04705	BP	GO:0006355	regulation of transcription, DNA-templated
fig|483215.6.peg.6|BACFIN_04704	MF	GO:0008061	chitin binding
fig|483215.6.peg.6|BACFIN_04704	BP	GO:0005975	carbohydrate metabolic process
fig|483215.6.peg.7|BACFIN_04706	MF	GO:0000155	phosphorelay sensor kinase activity
fig|483215.6.peg.7|BACFIN_04706	BP	GO:0023014	signal transduction by protein phosphorylation
fig|483215.6.peg.7|BACFIN_04706	CC	GO:0016021	integral component of membrane
fig|483215.6.peg.8|BACFIN_04707	CC	GO:0016021	integral component of membrane
fig|483215.6.peg.9|BACFIN_04708	CC	GO:0009279	cell outer membrane
fig|483215.6.peg.11|BACFIN_04710	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|483215.6.peg.11|BACFIN_04710	BP	GO:0045493	xylan catabolic process
fig|483215.6.peg.12|BACFIN_04711	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|483215.6.peg.12|BACFIN_04711	BP	GO:0045493	xylan catabolic process
fig|483215.6.peg.15|BACFIN_04713	MF	GO:0003677	DNA binding
fig|483215.6.peg.17|BACFIN_04716	MF	GO:0016787	hydrolase activity
fig|483215.6.peg.18|BACFIN_04717	MF	GO:0008236	serine-type peptidase activity
fig|483215.6.peg.18|BACFIN_04717	BP	GO:0006508	proteolysis
fig|483215.6.peg.18|BACFIN_04717	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|483215.6.peg.19|BACFIN_04718	MF	GO:0004595	pantetheine-phosphate adenylyltransferase activity
fig|483215.6.peg.19|BACFIN_04718	BP	GO:0015937	coenzyme A biosynthetic process
fig|483215.6.peg.19|BACFIN_04718	CC	GO:0005737	cytoplasm
fig|483215.6.peg.20|BACFIN_04719	MF	GO:0061505	DNA topoisomerase II activity
fig|483215.6.peg.20|BACFIN_04719	BP	GO:0006265	DNA topological change
fig|483215.6.peg.21|BACFIN_04720	MF	GO:0016740	transferase activity
fig|483215.6.peg.21|BACFIN_04720	BP	GO:0006355	regulation of transcription, DNA-templated
fig|483215.6.peg.22|BACFIN_04721	BP	GO:0055085	transmembrane transport
fig|483215.6.peg.22|BACFIN_04721	CC	GO:0016021	integral component of membrane
fig|483215.6.peg.22|BACFIN_04721	MF	GO:0008273	calcium, potassium:sodium antiporter activity
fig|483215.6.peg.23|BACFIN_04722	BP	GO:0055085	transmembrane transport
fig|483215.6.peg.23|BACFIN_04722	CC	GO:0016021	integral component of membrane
fig|483215.6.peg.24|BACFIN_04723	MF	GO:0003993	acid phosphatase activity
fig|483215.6.peg.24|BACFIN_04723	BP	GO:0016311	dephosphorylation
fig|483215.6.peg.25|BACFIN_04724	CC	GO:0009279	cell outer membrane
