gene	ontology	GO_id	GO_name
fig|428128.7.peg.2|EUBSIR_01471	CC	GO:0016021	integral component of membrane
fig|428128.7.peg.4|EUBSIR_01473	MF	GO:0016787	hydrolase activity
fig|428128.7.peg.4|EUBSIR_01473	BP	GO:0016311	dephosphorylation
fig|428128.7.peg.5|EUBSIR_01474	MF	GO:0009982	pseudouridine synthase activity
fig|428128.7.peg.5|EUBSIR_01474	BP	GO:0001522	pseudouridine synthesis
fig|428128.7.peg.6|EUBSIR_01475	MF	GO:0004190	aspartic-type endopeptidase activity
fig|428128.7.peg.6|EUBSIR_01475	BP	GO:0006508	proteolysis
fig|428128.7.peg.6|EUBSIR_01475	CC	GO:0005886	plasma membrane
fig|428128.7.peg.7|EUBSIR_01476	BP	GO:0007049	cell cycle
fig|428128.7.peg.7|EUBSIR_01476	CC	GO:0005737	cytoplasm
fig|428128.7.peg.8|EUBSIR_01477	MF	GO:0003723	RNA binding
fig|428128.7.peg.9|EUBSIR_01478	BP	GO:0090529	cell septum assembly
fig|428128.7.peg.9|EUBSIR_01478	CC	GO:0005737	cytoplasm
fig|428128.7.peg.10|EUBSIR_01479	MF	GO:0030170	pyridoxal phosphate binding
fig|428128.7.peg.11|EUBSIR_01480	CC	GO:0016021	integral component of membrane
fig|428128.7.peg.12|EUBSIR_01481	BP	GO:0006355	regulation of transcription, DNA-templated
fig|428128.7.peg.12|EUBSIR_01481	MF	GO:0003723	RNA binding
fig|428128.7.peg.13|EUBSIR_01482	MF	GO:0052381	tRNA dimethylallyltransferase activity
fig|428128.7.peg.13|EUBSIR_01482	BP	GO:0008033	tRNA processing
fig|428128.7.peg.14|EUBSIR_01483	CC	GO:0032300	mismatch repair complex
fig|428128.7.peg.14|EUBSIR_01483	MF	GO:0030983	mismatched DNA binding
fig|428128.7.peg.14|EUBSIR_01483	BP	GO:0006298	mismatch repair
fig|428128.7.peg.15|EUBSIR_01484	MF	GO:0030983	mismatched DNA binding
fig|428128.7.peg.15|EUBSIR_01484	BP	GO:0006298	mismatch repair
fig|428128.7.peg.17|EUBSIR_01486	BP	GO:0006400	tRNA modification
fig|428128.7.peg.17|EUBSIR_01486	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|428128.7.peg.17|EUBSIR_01486	CC	GO:0005737	cytoplasm
fig|428128.7.peg.21|EUBSIR_01494	MF	GO:0016740	transferase activity
fig|428128.7.peg.21|EUBSIR_01494	CC	GO:0005840	ribosome
fig|428128.7.peg.22|EUBSIR_01497	MF	GO:0008236	serine-type peptidase activity
fig|428128.7.peg.22|EUBSIR_01497	BP	GO:0006508	proteolysis
fig|428128.7.peg.23|EUBSIR_01498	MF	GO:0016740	transferase activity
fig|428128.7.peg.24|EUBSIR_01499	MF	GO:0050270	S-adenosylhomocysteine deaminase activity
fig|428128.7.peg.25|EUBSIR_01500	MF	GO:0004013	adenosylhomocysteinase activity
fig|428128.7.peg.25|EUBSIR_01500	BP	GO:0006730	one-carbon metabolic process
fig|428128.7.peg.25|EUBSIR_01500	CC	GO:0005737	cytoplasm
fig|428128.7.peg.26|EUBSIR_01501	MF	GO:0016301	kinase activity
fig|428128.7.peg.26|EUBSIR_01501	BP	GO:0016310	phosphorylation
fig|428128.7.peg.27|EUBSIR_01502	MF	GO:0010181	FMN binding
fig|428128.7.peg.28|EUBSIR_01503	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|428128.7.peg.28|EUBSIR_01503	BP	GO:0071705	nitrogen compound transport
fig|428128.7.peg.28|EUBSIR_01503	MF	GO:0022857	transmembrane transporter activity
fig|428128.7.peg.29|EUBSIR_01504	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|428128.7.peg.29|EUBSIR_01504	BP	GO:0071705	nitrogen compound transport
fig|428128.7.peg.29|EUBSIR_01504	MF	GO:0022857	transmembrane transporter activity
fig|428128.7.peg.30|EUBSIR_01505	MF	GO:0015424	amino acid-transporting ATPase activity
fig|428128.7.peg.30|EUBSIR_01505	BP	GO:0003333	amino acid transmembrane transport
fig|428128.7.peg.31|EUBSIR_01506	MF	GO:0004970	ionotropic glutamate receptor activity
