gene	ontology	GO_id	GO_name
fig|1137135.3.peg.1|T22_00010	MF	GO:0008827	cytochrome o ubiquinol oxidase activity
fig|1137135.3.peg.1|T22_00010	BP	GO:0015990	electron transport coupled proton transport
fig|1137135.3.peg.1|T22_00010	CC	GO:0016021	integral component of membrane
fig|1137135.3.peg.2|T22_00015	MF	GO:0008827	cytochrome o ubiquinol oxidase activity
fig|1137135.3.peg.2|T22_00015	BP	GO:0019646	aerobic electron transport chain
fig|1137135.3.peg.2|T22_00015	CC	GO:0005886	plasma membrane
fig|1137135.3.peg.3|T22_00020	MF	GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
fig|1137135.3.peg.3|T22_00020	BP	GO:0009060	aerobic respiration
fig|1137135.3.peg.3|T22_00020	CC	GO:0070469	respiratory chain
fig|1137135.3.peg.4|T22_00025	MF	GO:0008827	cytochrome o ubiquinol oxidase activity
fig|1137135.3.peg.4|T22_00025	BP	GO:1902600	proton transmembrane transport
fig|1137135.3.peg.4|T22_00025	CC	GO:0070469	respiratory chain
fig|1137135.3.peg.5|T22_00030	BP	GO:0055085	transmembrane transport
fig|1137135.3.peg.5|T22_00030	CC	GO:0016021	integral component of membrane
fig|1137135.3.peg.5|T22_00030	MF	GO:0016746	transferase activity, transferring acyl groups
fig|1137135.3.peg.6|T22_00035	CC	GO:0005886	plasma membrane
fig|1137135.3.peg.7|T22_00040	BP	GO:0051301	cell division
fig|1137135.3.peg.7|T22_00040	CC	GO:0005829	cytosol
fig|1137135.3.peg.7|T22_00040	MF	GO:0003677	DNA binding
fig|1137135.3.peg.9|T22_00050	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|1137135.3.peg.9|T22_00050	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|1137135.3.peg.9|T22_00050	CC	GO:0005737	cytoplasm
fig|1137135.3.peg.10|T22_00055	MF	GO:0004252	serine-type endopeptidase activity
fig|1137135.3.peg.10|T22_00055	BP	GO:0006508	proteolysis
fig|1137135.3.peg.10|T22_00055	CC	GO:0005737	cytoplasm
fig|1137135.3.peg.11|T22_00060	MF	GO:0051082	unfolded protein binding
fig|1137135.3.peg.11|T22_00060	BP	GO:0006457	protein folding
fig|1137135.3.peg.11|T22_00060	CC	GO:0009376	HslUV protease complex
fig|1137135.3.peg.12|T22_00065	BP	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
fig|1137135.3.peg.12|T22_00065	MF	GO:0004176	ATP-dependent peptidase activity
fig|1137135.3.peg.12|T22_00065	CC	GO:0005737	cytoplasm
fig|1137135.3.peg.13|T22_00070	BP	GO:0030261	chromosome condensation
fig|1137135.3.peg.13|T22_00070	MF	GO:0003677	DNA binding
fig|1137135.3.peg.13|T22_00070	CC	GO:0005829	cytosol
fig|1137135.3.peg.14|T22_00075	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|1137135.3.peg.14|T22_00075	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|1137135.3.peg.14|T22_00075	CC	GO:0016021	integral component of membrane
fig|1137135.3.peg.15|T22_00080	BP	GO:0006281	DNA repair
fig|1137135.3.peg.15|T22_00080	MF	GO:0003677	DNA binding
fig|1137135.3.peg.15|T22_00080	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|1137135.3.peg.16|T22_00085	MF	GO:0016787	hydrolase activity
