gene	ontology	GO_id	GO_name
fig|657313.3.peg.406|RTO_00100	CC	GO:0016021	integral component of membrane
fig|657313.3.peg.407|RTO_00120	MF	GO:0008097	5S rRNA binding
fig|657313.3.peg.407|RTO_00120	BP	GO:0006412	translation
fig|657313.3.peg.407|RTO_00120	CC	GO:0005840	ribosome
fig|657313.3.peg.408|RTO_00130	BP	GO:0006855	drug transmembrane transport
fig|657313.3.peg.408|RTO_00130	MF	GO:0015238	drug transmembrane transporter activity
fig|657313.3.peg.408|RTO_00130	CC	GO:0016021	integral component of membrane
fig|657313.3.peg.409	MF	GO:0016491	oxidoreductase activity
fig|657313.3.peg.409	BP	GO:0055114	oxidation-reduction process
fig|657313.3.peg.409	CC	GO:0016021	integral component of membrane
fig|657313.3.peg.410|RTO_00150	MF	GO:0005524	ATP binding
fig|657313.3.peg.411|RTO_00160	MF	GO:0010181	FMN binding
fig|657313.3.peg.412|RTO_00170	MF	GO:0043565	sequence-specific DNA binding
fig|657313.3.peg.413|RTO_00180	MF	GO:0016787	hydrolase activity
fig|657313.3.peg.414|RTO_00190	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657313.3.peg.414|RTO_00190	MF	GO:0003677	DNA binding
fig|657313.3.peg.796|RTO_00200	MF	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
fig|657313.3.peg.796|RTO_00200	BP	GO:0034219	carbohydrate transmembrane transport
fig|657313.3.peg.797|RTO_00210	MF	GO:0016787	hydrolase activity
fig|657313.3.peg.797|RTO_00210	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657313.3.peg.798|RTO_00220	MF	GO:0102500	beta-maltose 4-alpha-glucanotransferase activity
fig|657313.3.peg.798|RTO_00220	BP	GO:0005977	glycogen metabolic process
fig|657313.3.peg.799|RTO_00230	BP	GO:0006855	drug transmembrane transport
fig|657313.3.peg.799|RTO_00230	MF	GO:0015238	drug transmembrane transporter activity
fig|657313.3.peg.799|RTO_00230	CC	GO:0016021	integral component of membrane
fig|657313.3.peg.800	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657313.3.peg.800	MF	GO:0003677	DNA binding
fig|657313.3.peg.801|RTO_00250	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|657313.3.peg.801|RTO_00250	MF	GO:0016301	kinase activity
fig|657313.3.peg.802|RTO_00260	MF	GO:0010181	FMN binding
fig|657313.3.peg.802|RTO_00260	BP	GO:0022900	electron transport chain
fig|657313.3.peg.803|RTO_00270	BP	GO:0006855	drug transmembrane transport
fig|657313.3.peg.803|RTO_00270	MF	GO:0015238	drug transmembrane transporter activity
fig|657313.3.peg.803|RTO_00270	CC	GO:0016021	integral component of membrane
fig|657313.3.peg.804|RTO_00280	MF	GO:0016301	kinase activity
fig|657313.3.peg.804|RTO_00280	BP	GO:0016310	phosphorylation
fig|657313.3.peg.805	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|657313.3.peg.805	BP	GO:0005975	carbohydrate metabolic process
fig|657313.3.peg.807|RTO_00310	MF	GO:0005298	proline:sodium symporter activity
fig|657313.3.peg.807|RTO_00310	BP	GO:0015824	proline transport
fig|657313.3.peg.807|RTO_00310	CC	GO:0005886	plasma membrane
fig|657313.3.peg.808|RTO_00320	MF	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
fig|657313.3.peg.808|RTO_00320	BP	GO:0006044	N-acetylglucosamine metabolic process
fig|657313.3.peg.809|RTO_00330	MF	GO:0004342	glucosamine-6-phosphate deaminase activity
fig|657313.3.peg.809|RTO_00330	BP	GO:0019262	N-acetylneuraminate catabolic process
fig|657313.3.peg.810|RTO_00340	BP	GO:0006878	cellular copper ion homeostasis
fig|657313.3.peg.810|RTO_00340	MF	GO:0005507	copper ion binding
