gene	ontology	GO_id	GO_name
fig|1572646.3.peg.2|PU94_00010	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1572646.3.peg.2|PU94_00010	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1572646.3.peg.2|PU94_00010	CC	GO:0016021	integral component of membrane
fig|1572646.3.peg.3|PU94_00015	MF	GO:0016787	hydrolase activity
fig|1572646.3.peg.3|PU94_00015	BP	GO:0000272	polysaccharide catabolic process
fig|1572646.3.peg.4|PU94_00020	MF	GO:0016829	lyase activity
fig|1572646.3.peg.4|PU94_00020	CC	GO:0042597	periplasmic space
fig|1572646.3.peg.5|PU94_00025	MF	GO:0047486	chondroitin ABC lyase activity
fig|1572646.3.peg.5|PU94_00025	BP	GO:0006027	glycosaminoglycan catabolic process
fig|1572646.3.peg.5|PU94_00025	CC	GO:0005576	extracellular region
fig|1572646.3.peg.6|PU94_00030	MF	GO:0008484	sulfuric ester hydrolase activity
fig|1572646.3.peg.7|PU94_00035	MF	GO:0003824	catalytic activity
fig|1572646.3.peg.8|PU94_00040	MF	GO:0016301	kinase activity
fig|1572646.3.peg.8|PU94_00040	BP	GO:0016310	phosphorylation
fig|1572646.3.peg.9|PU94_00045	BP	GO:0055085	transmembrane transport
fig|1572646.3.peg.9|PU94_00045	CC	GO:0016021	integral component of membrane
fig|1572646.3.peg.10|PU94_00050	MF	GO:0047486	chondroitin ABC lyase activity
fig|1572646.3.peg.10|PU94_00050	BP	GO:0006027	glycosaminoglycan catabolic process
fig|1572646.3.peg.10|PU94_00050	CC	GO:0005576	extracellular region
fig|1572646.3.peg.11|PU94_00055	MF	GO:0047488	heparin lyase activity
fig|1572646.3.peg.14|PU94_00070	CC	GO:0009279	cell outer membrane
fig|1572646.3.peg.16|PU94_00080	MF	GO:0016829	lyase activity
fig|1572646.3.peg.17|PU94_00085	MF	GO:0015562	efflux transmembrane transporter activity
fig|1572646.3.peg.17|PU94_00085	BP	GO:0055085	transmembrane transport
fig|1572646.3.peg.17|PU94_00085	CC	GO:0016021	integral component of membrane
fig|1572646.3.peg.18|PU94_00090	MF	GO:0022857	transmembrane transporter activity
fig|1572646.3.peg.18|PU94_00090	BP	GO:0055085	transmembrane transport
fig|1572646.3.peg.18|PU94_00090	CC	GO:0016020	membrane
fig|1572646.3.peg.19|PU94_00095	MF	GO:0005215	transporter activity
fig|1572646.3.peg.19|PU94_00095	BP	GO:0055085	transmembrane transport
fig|1572646.3.peg.19|PU94_00095	CC	GO:0016020	membrane
fig|1572646.3.peg.20|PU94_00100	BP	GO:0006508	proteolysis
fig|1572646.3.peg.20|PU94_00100	MF	GO:0016787	hydrolase activity
