gene	ontology	GO_id	GO_name
fig|1120974.3.peg.1	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.3	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.6	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.11	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.13	BP	GO:0015074	DNA integration
fig|1120974.3.peg.13	MF	GO:0003677	DNA binding
fig|1120974.3.peg.14	MF	GO:0003677	DNA binding
fig|1120974.3.peg.21	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.22	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.25	MF	GO:0016740	transferase activity
fig|1120974.3.peg.26	MF	GO:0004519	endonuclease activity
fig|1120974.3.peg.26	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1120974.3.peg.31	MF	GO:0016779	nucleotidyltransferase activity
fig|1120974.3.peg.32	MF	GO:0003677	DNA binding
fig|1120974.3.peg.37	MF	GO:0003677	DNA binding
fig|1120974.3.peg.38	MF	GO:0004386	helicase activity
fig|1120974.3.peg.38	BP	GO:0006259	DNA metabolic process
fig|1120974.3.peg.45	BP	GO:0006397	mRNA processing
fig|1120974.3.peg.45	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1120974.3.peg.46	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.47	MF	GO:0005524	ATP binding
fig|1120974.3.peg.53	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.53	BP	GO:0030255	protein secretion by the type IV secretion system
fig|1120974.3.peg.54	CC	GO:0016020	membrane
fig|1120974.3.peg.56	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.59	MF	GO:0004801	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
fig|1120974.3.peg.59	BP	GO:0006098	pentose-phosphate shunt
fig|1120974.3.peg.59	CC	GO:0005737	cytoplasm
fig|1120974.3.peg.60	MF	GO:0003677	DNA binding
fig|1120974.3.peg.62	MF	GO:0016740	transferase activity
fig|1120974.3.peg.67	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.67	MF	GO:0003677	DNA binding
fig|1120974.3.peg.68	MF	GO:0003677	DNA binding
fig|1120974.3.peg.70	MF	GO:0004519	endonuclease activity
fig|1120974.3.peg.70	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1120974.3.peg.72	BP	GO:0015074	DNA integration
fig|1120974.3.peg.72	MF	GO:0003677	DNA binding
fig|1120974.3.peg.75	MF	GO:0003677	DNA binding
fig|1120974.3.peg.76	MF	GO:0003677	DNA binding
fig|1120974.3.peg.79	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.81	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.81	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.82	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.83	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.85	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.86	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.88	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.88	MF	GO:0003677	DNA binding
fig|1120974.3.peg.88	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.91	MF	GO:0052692	raffinose alpha-galactosidase activity
fig|1120974.3.peg.91	BP	GO:0008152	metabolic process
fig|1120974.3.peg.93	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.93	MF	GO:0003677	DNA binding
fig|1120974.3.peg.94	MF	GO:0003677	DNA binding
fig|1120974.3.peg.98	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.99	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.101	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.102	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.103	MF	GO:0043565	sequence-specific DNA binding
fig|1120974.3.peg.103	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.103	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.104	MF	GO:0004386	helicase activity
fig|1120974.3.peg.104	BP	GO:0032259	methylation
fig|1120974.3.peg.105	MF	GO:0043565	sequence-specific DNA binding
fig|1120974.3.peg.105	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.105	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.106	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.122	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.123	BP	GO:0015074	DNA integration
fig|1120974.3.peg.123	MF	GO:0003677	DNA binding
fig|1120974.3.peg.125	MF	GO:0051536	iron-sulfur cluster binding
fig|1120974.3.peg.133	BP	GO:0009291	unidirectional conjugation
fig|1120974.3.peg.133	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.133	MF	GO:0003677	DNA binding
fig|1120974.3.peg.134	MF	GO:0004518	nuclease activity
fig|1120974.3.peg.134	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1120974.3.peg.134	CC	GO:0005840	ribosome
fig|1120974.3.peg.135	MF	GO:0003677	DNA binding
fig|1120974.3.peg.136	MF	GO:0003677	DNA binding
fig|1120974.3.peg.140	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.144	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.145	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.148	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1120974.3.peg.148	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|1120974.3.peg.150	MF	GO:0015562	efflux transmembrane transporter activity
fig|1120974.3.peg.150	BP	GO:0055085	transmembrane transport
fig|1120974.3.peg.151	MF	GO:0005215	transporter activity
fig|1120974.3.peg.151	BP	GO:0055085	transmembrane transport
fig|1120974.3.peg.151	CC	GO:0016020	membrane
fig|1120974.3.peg.152	MF	GO:0022857	transmembrane transporter activity
fig|1120974.3.peg.152	BP	GO:0055085	transmembrane transport
fig|1120974.3.peg.152	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.153	MF	GO:0022857	transmembrane transporter activity
fig|1120974.3.peg.153	BP	GO:0055085	transmembrane transport
fig|1120974.3.peg.153	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.154	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.154	MF	GO:0016874	ligase activity
fig|1120974.3.peg.155	MF	GO:0008236	serine-type peptidase activity
fig|1120974.3.peg.155	BP	GO:0006508	proteolysis
fig|1120974.3.peg.155	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.156	BP	GO:0019299	rhamnose metabolic process
fig|1120974.3.peg.156	MF	GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
fig|1120974.3.peg.156	CC	GO:0005737	cytoplasm
fig|1120974.3.peg.157	MF	GO:0043565	sequence-specific DNA binding
fig|1120974.3.peg.157	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1120974.3.peg.159	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.160	MF	GO:0030246	carbohydrate binding
fig|1120974.3.peg.160	BP	GO:0000023	maltose metabolic process
fig|1120974.3.peg.163	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.164	CC	GO:0009279	cell outer membrane
fig|1120974.3.peg.165	MF	GO:0008233	peptidase activity
fig|1120974.3.peg.165	BP	GO:0006508	proteolysis
fig|1120974.3.peg.167	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1120974.3.peg.167	BP	GO:0005975	carbohydrate metabolic process
fig|1120974.3.peg.167	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.168	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.168	BP	GO:0008152	metabolic process
fig|1120974.3.peg.169	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1120974.3.peg.169	BP	GO:0005975	carbohydrate metabolic process
fig|1120974.3.peg.169	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.170	MF	GO:0003824	catalytic activity
fig|1120974.3.peg.170	CC	GO:0015629	actin cytoskeleton
fig|1120974.3.peg.170	BP	GO:0007155	cell adhesion
fig|1120974.3.peg.172	BP	GO:0006013	mannose metabolic process
fig|1120974.3.peg.172	MF	GO:0004559	alpha-mannosidase activity
fig|1120974.3.peg.173	BP	GO:0006397	mRNA processing
fig|1120974.3.peg.173	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1120974.3.peg.174	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.176	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1120974.3.peg.176	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|1120974.3.peg.177	MF	GO:0005524	ATP binding
fig|1120974.3.peg.180	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.181	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.182	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.183	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.186	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.187	MF	GO:0003743	translation initiation factor activity
fig|1120974.3.peg.187	BP	GO:0006413	translational initiation
fig|1120974.3.peg.193	MF	GO:0005524	ATP binding
fig|1120974.3.peg.197	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.199	MF	GO:0003677	DNA binding
fig|1120974.3.peg.200	MF	GO:0003677	DNA binding
fig|1120974.3.peg.201	MF	GO:0004713	protein tyrosine kinase activity
fig|1120974.3.peg.201	BP	GO:0018108	peptidyl-tyrosine phosphorylation
fig|1120974.3.peg.202	BP	GO:0015074	DNA integration
fig|1120974.3.peg.202	MF	GO:0003677	DNA binding
fig|1120974.3.peg.203	BP	GO:0015074	DNA integration
fig|1120974.3.peg.203	MF	GO:0003677	DNA binding
fig|1120974.3.peg.204	MF	GO:0022857	transmembrane transporter activity
fig|1120974.3.peg.204	BP	GO:0055085	transmembrane transport
fig|1120974.3.peg.204	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.205	MF	GO:0016829	lyase activity
fig|1120974.3.peg.205	BP	GO:0009253	peptidoglycan catabolic process
fig|1120974.3.peg.206	MF	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
fig|1120974.3.peg.208	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.209	BP	GO:0015074	DNA integration
fig|1120974.3.peg.209	MF	GO:0003677	DNA binding
fig|1120974.3.peg.211	MF	GO:0005524	ATP binding
fig|1120974.3.peg.213	MF	GO:0003677	DNA binding
fig|1120974.3.peg.215	BP	GO:0006260	DNA replication
fig|1120974.3.peg.215	MF	GO:0008270	zinc ion binding
fig|1120974.3.peg.216	CC	GO:0046821	extrachromosomal DNA
fig|1120974.3.peg.216	BP	GO:0006310	DNA recombination
fig|1120974.3.peg.216	MF	GO:0003677	DNA binding
fig|1120974.3.peg.217	MF	GO:0016740	transferase activity
fig|1120974.3.peg.219	CC	GO:0009279	cell outer membrane
fig|1120974.3.peg.220	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.222	CC	GO:0046821	extrachromosomal DNA
fig|1120974.3.peg.222	BP	GO:0006310	DNA recombination
fig|1120974.3.peg.222	MF	GO:0003677	DNA binding
fig|1120974.3.peg.223	BP	GO:0015074	DNA integration
fig|1120974.3.peg.223	MF	GO:0003677	DNA binding
fig|1120974.3.peg.225	BP	GO:0015074	DNA integration
fig|1120974.3.peg.225	MF	GO:0003677	DNA binding
fig|1120974.3.peg.227	MF	GO:0004386	helicase activity
fig|1120974.3.peg.228	BP	GO:0006260	DNA replication
fig|1120974.3.peg.228	MF	GO:0008270	zinc ion binding
fig|1120974.3.peg.229	CC	GO:0046821	extrachromosomal DNA
fig|1120974.3.peg.229	BP	GO:0006310	DNA recombination
fig|1120974.3.peg.229	MF	GO:0003677	DNA binding
fig|1120974.3.peg.230	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.233	MF	GO:0004519	endonuclease activity
fig|1120974.3.peg.233	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1120974.3.peg.234	MF	GO:0016301	kinase activity
fig|1120974.3.peg.234	BP	GO:0016310	phosphorylation
fig|1120974.3.peg.235	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.236	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.237	MF	GO:0004180	carboxypeptidase activity
fig|1120974.3.peg.237	BP	GO:0006508	proteolysis
fig|1120974.3.peg.238	MF	GO:0002161	aminoacyl-tRNA editing activity
fig|1120974.3.peg.238	BP	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
fig|1120974.3.peg.239	MF	GO:0016740	transferase activity
fig|1120974.3.peg.240	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1120974.3.peg.241	MF	GO:0016740	transferase activity
fig|1120974.3.peg.243	BP	GO:0042121	alginic acid biosynthetic process
fig|1120974.3.peg.243	MF	GO:0016746	transferase activity, transferring acyl groups
fig|1120974.3.peg.243	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.244	MF	GO:0016740	transferase activity
fig|1120974.3.peg.245	MF	GO:0016740	transferase activity
fig|1120974.3.peg.246	MF	GO:0016740	transferase activity
fig|1120974.3.peg.249	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.250	MF	GO:0016740	transferase activity
fig|1120974.3.peg.251	MF	GO:0016740	transferase activity
fig|1120974.3.peg.251	BP	GO:0009116	nucleoside metabolic process
fig|1120974.3.peg.251	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.253	BP	GO:0006855	drug transmembrane transport
fig|1120974.3.peg.253	MF	GO:0015238	drug transmembrane transporter activity
fig|1120974.3.peg.253	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.254	MF	GO:0008460	dTDP-glucose 4,6-dehydratase activity
fig|1120974.3.peg.254	BP	GO:0009225	nucleotide-sugar metabolic process
fig|1120974.3.peg.255	MF	GO:0008831	dTDP-4-dehydrorhamnose reductase activity
fig|1120974.3.peg.255	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|1120974.3.peg.256	MF	GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
fig|1120974.3.peg.256	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|1120974.3.peg.257	MF	GO:0008879	glucose-1-phosphate thymidylyltransferase activity
fig|1120974.3.peg.257	BP	GO:0045226	extracellular polysaccharide biosynthetic process
fig|1120974.3.peg.261	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.262	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.263	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.265	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.266	BP	GO:0005975	carbohydrate metabolic process
fig|1120974.3.peg.266	MF	GO:0016798	hydrolase activity, acting on glycosyl bonds
fig|1120974.3.peg.266	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.268	MF	GO:0015159	polysaccharide transmembrane transporter activity
fig|1120974.3.peg.268	BP	GO:0015774	polysaccharide transport
fig|1120974.3.peg.268	CC	GO:0016020	membrane
fig|1120974.3.peg.269	BP	GO:0045226	extracellular polysaccharide biosynthetic process
fig|1120974.3.peg.269	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.269	MF	GO:0016301	kinase activity
fig|1120974.3.peg.270	MF	GO:0016787	hydrolase activity
fig|1120974.3.peg.271	MF	GO:0016779	nucleotidyltransferase activity
fig|1120974.3.peg.271	BP	GO:0009058	biosynthetic process
fig|1120974.3.peg.272	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.273	MF	GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
fig|1120974.3.peg.273	BP	GO:0016114	terpenoid biosynthetic process
fig|1120974.3.peg.274	MF	GO:0004222	metalloendopeptidase activity
fig|1120974.3.peg.274	BP	GO:0006508	proteolysis
fig|1120974.3.peg.274	CC	GO:0005886	plasma membrane
fig|1120974.3.peg.275	CC	GO:0016021	integral component of membrane
fig|1120974.3.peg.278	BP	GO:0000725	recombinational repair
fig|1120974.3.peg.278	MF	GO:0003684	damaged DNA binding
fig|1120974.3.peg.279	MF	GO:0050662	coenzyme binding
fig|1120974.3.peg.280	BP	GO:0006662	glycerol ether metabolic process
