gene	ontology	GO_id	GO_name
fig|411459.7.peg.1|RUMOBE_03425	MF	GO:0003677	DNA binding
fig|411459.7.peg.3|RUMOBE_03427	MF	GO:0022857	transmembrane transporter activity
fig|411459.7.peg.3|RUMOBE_03427	CC	GO:0005886	plasma membrane
fig|411459.7.peg.3|RUMOBE_03427	BP	GO:0055085	transmembrane transport
fig|411459.7.peg.4|RUMOBE_03428	MF	GO:0016790	thiolester hydrolase activity
fig|411459.7.peg.4|RUMOBE_03428	BP	GO:0006633	fatty acid biosynthetic process
fig|411459.7.peg.5|RUMOBE_03429	MF	GO:0003676	nucleic acid binding
fig|411459.7.peg.6|RUMOBE_03430	MF	GO:0008408	3-5 exonuclease activity
fig|411459.7.peg.6|RUMOBE_03430	BP	GO:0071897	DNA biosynthetic process
fig|411459.7.peg.6|RUMOBE_03430	CC	GO:0005737	cytoplasm
fig|411459.7.peg.7|RUMOBE_03431	MF	GO:0003872	6-phosphofructokinase activity
fig|411459.7.peg.7|RUMOBE_03431	BP	GO:0006002	fructose 6-phosphate metabolic process
fig|411459.7.peg.7|RUMOBE_03431	CC	GO:0005737	cytoplasm
fig|411459.7.peg.8|RUMOBE_03432	MF	GO:0008173	RNA methyltransferase activity
fig|411459.7.peg.8|RUMOBE_03432	BP	GO:0001510	RNA methylation
fig|411459.7.peg.9|RUMOBE_03433	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.9|RUMOBE_03433	MF	GO:0008233	peptidase activity
fig|411459.7.peg.9|RUMOBE_03433	BP	GO:0006508	proteolysis
fig|411459.7.peg.10|RUMOBE_03434	MF	GO:0008233	peptidase activity
fig|411459.7.peg.10|RUMOBE_03434	BP	GO:0006508	proteolysis
fig|411459.7.peg.10|RUMOBE_03434	CC	GO:0016020	membrane
fig|411459.7.peg.11|RUMOBE_03435	MF	GO:0004585	ornithine carbamoyltransferase activity
fig|411459.7.peg.11|RUMOBE_03435	BP	GO:0006591	ornithine metabolic process
fig|411459.7.peg.11|RUMOBE_03435	CC	GO:0005737	cytoplasm
fig|411459.7.peg.12|RUMOBE_03436	MF	GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
fig|411459.7.peg.12|RUMOBE_03436	BP	GO:0009305	protein biotinylation
fig|411459.7.peg.14|RUMOBE_03438	MF	GO:0017150	tRNA dihydrouridine synthase activity
fig|411459.7.peg.14|RUMOBE_03438	BP	GO:0002943	tRNA dihydrouridine synthesis
fig|411459.7.peg.15|RUMOBE_03439	MF	GO:0070063	RNA polymerase binding
fig|411459.7.peg.15|RUMOBE_03439	BP	GO:0032784	regulation of DNA-templated transcription, elongation
fig|411459.7.peg.16|RUMOBE_03440	MF	GO:0004824	lysine-tRNA ligase activity
fig|411459.7.peg.16|RUMOBE_03440	BP	GO:0006430	lysyl-tRNA aminoacylation
fig|411459.7.peg.16|RUMOBE_03440	CC	GO:0005737	cytoplasm
fig|411459.7.peg.19|RUMOBE_03444	MF	GO:0005524	ATP binding
fig|411459.7.peg.19|RUMOBE_03444	BP	GO:0055114	oxidation-reduction process
fig|411459.7.peg.20|RUMOBE_03445	MF	GO:0003677	DNA binding
fig|411459.7.peg.21|RUMOBE_03446	BP	GO:0006397	mRNA processing
fig|411459.7.peg.21|RUMOBE_03446	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|411459.7.peg.22|RUMOBE_03447	MF	GO:0003677	DNA binding
fig|411459.7.peg.23|RUMOBE_03448	MF	GO:0003677	DNA binding
fig|411459.7.peg.24|RUMOBE_03449	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.25|RUMOBE_03451	BP	GO:0006855	drug transmembrane transport
fig|411459.7.peg.25|RUMOBE_03451	MF	GO:0015238	drug transmembrane transporter activity
fig|411459.7.peg.25|RUMOBE_03451	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.26|RUMOBE_03452	MF	GO:0004803	transposase activity
fig|411459.7.peg.26|RUMOBE_03452	BP	GO:0006313	transposition, DNA-mediated
fig|411459.7.peg.26|RUMOBE_03452	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.28|RUMOBE_03454	MF	GO:0045302	choloylglycine hydrolase activity
fig|411459.7.peg.29|RUMOBE_03455	BP	GO:0015969	guanosine tetraphosphate metabolic process
fig|411459.7.peg.29|RUMOBE_03455	MF	GO:0008728	GTP diphosphokinase activity
fig|411459.7.peg.30|RUMOBE_03457	MF	GO:0008808	cardiolipin synthase activity
fig|411459.7.peg.30|RUMOBE_03457	BP	GO:0032049	cardiolipin biosynthetic process
fig|411459.7.peg.30|RUMOBE_03457	CC	GO:0005886	plasma membrane
fig|411459.7.peg.31|RUMOBE_03458	MF	GO:0016740	transferase activity
fig|411459.7.peg.31|RUMOBE_03458	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.32|RUMOBE_03459	BP	GO:0000160	phosphorelay signal transduction system
fig|411459.7.peg.32|RUMOBE_03459	MF	GO:0003677	DNA binding
fig|411459.7.peg.33|RUMOBE_03460	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|411459.7.peg.33|RUMOBE_03460	MF	GO:0000155	phosphorelay sensor kinase activity
fig|411459.7.peg.33|RUMOBE_03460	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.34|RUMOBE_03461	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.35|RUMOBE_03462	MF	GO:0016780	phosphotransferase activity, for other substituted phosphate groups
fig|411459.7.peg.35|RUMOBE_03462	BP	GO:0008654	phospholipid biosynthetic process
fig|411459.7.peg.35|RUMOBE_03462	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.37|RUMOBE_03464	MF	GO:0043565	sequence-specific DNA binding
fig|411459.7.peg.37|RUMOBE_03464	BP	GO:0009432	SOS response
fig|411459.7.peg.38|RUMOBE_03465	MF	GO:0003684	damaged DNA binding
fig|411459.7.peg.38|RUMOBE_03465	BP	GO:0006261	DNA-dependent DNA replication
fig|411459.7.peg.38|RUMOBE_03465	CC	GO:0005737	cytoplasm
fig|411459.7.peg.41|RUMOBE_03468	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.42|RUMOBE_03469	MF	GO:0008236	serine-type peptidase activity
fig|411459.7.peg.42|RUMOBE_03469	BP	GO:0006508	proteolysis
fig|411459.7.peg.45|RUMOBE_03475	CC	GO:0016021	integral component of membrane
fig|411459.7.peg.46|RUMOBE_03477	MF	GO:0016740	transferase activity
fig|411459.7.peg.48|RUMOBE_03479	MF	GO:0003677	DNA binding
fig|411459.7.peg.49|RUMOBE_03480	MF	GO:0043565	sequence-specific DNA binding
fig|411459.7.peg.50|RUMOBE_03481	BP	GO:0015074	DNA integration
fig|411459.7.peg.50|RUMOBE_03481	MF	GO:0003677	DNA binding
fig|411459.7.peg.53|RUMOBE_03484	MF	GO:0005506	iron ion binding
fig|411459.7.peg.53|RUMOBE_03484	BP	GO:0022900	electron transport chain
fig|411459.7.peg.54|RUMOBE_03485	MF	GO:0046872	metal ion binding
fig|411459.7.peg.55|RUMOBE_03488	MF	GO:0051920	peroxiredoxin activity
fig|411459.7.peg.55|RUMOBE_03488	BP	GO:0098869	cellular oxidant detoxification
fig|411459.7.peg.55|RUMOBE_03488	CC	GO:0005623	cell
fig|411459.7.peg.57|RUMOBE_03490	MF	GO:0005506	iron ion binding
fig|411459.7.peg.58|RUMOBE_03492	MF	GO:0005506	iron ion binding
fig|411459.7.peg.58|RUMOBE_03492	BP	GO:0055114	oxidation-reduction process
fig|411459.7.peg.59|RUMOBE_03493	MF	GO:0005506	iron ion binding
fig|411459.7.peg.59|RUMOBE_03493	BP	GO:0055114	oxidation-reduction process
fig|411459.7.peg.60|RUMOBE_03494	MF	GO:0016491	oxidoreductase activity
fig|411459.7.peg.60|RUMOBE_03494	BP	GO:0055114	oxidation-reduction process
fig|411459.7.peg.61|RUMOBE_03495	BP	GO:0006662	glycerol ether metabolic process
fig|411459.7.peg.61|RUMOBE_03495	MF	GO:0015035	protein disulfide oxidoreductase activity
fig|411459.7.peg.61|RUMOBE_03495	CC	GO:0005623	cell
