gene	ontology	GO_id	GO_name
fig|213810.4.peg.62|RUM_00130	BP	GO:0000272	polysaccharide catabolic process
fig|213810.4.peg.62|RUM_00130	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|213810.4.peg.64|RUM_00140	BP	GO:0000272	polysaccharide catabolic process
fig|213810.4.peg.64|RUM_00140	MF	GO:0030246	carbohydrate binding
fig|213810.4.peg.65|RUM_00150	MF	GO:0043565	sequence-specific DNA binding
fig|213810.4.peg.65|RUM_00150	BP	GO:0006355	regulation of transcription, DNA-templated
fig|213810.4.peg.117|RUM_00170	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.117|RUM_00170	BP	GO:0051301	cell division
fig|213810.4.peg.118|RUM_00180	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.120|RUM_00190	BP	GO:0000272	polysaccharide catabolic process
fig|213810.4.peg.120|RUM_00190	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|213810.4.peg.120|RUM_00190	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.121|RUM_00200	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.122|RUM_00210	MF	GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
fig|213810.4.peg.122|RUM_00210	BP	GO:0055129	L-proline biosynthetic process
fig|213810.4.peg.122|RUM_00210	CC	GO:0005737	cytoplasm
fig|213810.4.peg.123	MF	GO:0004349	glutamate 5-kinase activity
fig|213810.4.peg.123	BP	GO:0055129	L-proline biosynthetic process
fig|213810.4.peg.123	CC	GO:0005737	cytoplasm
fig|213810.4.peg.124|RUM_00230	MF	GO:0051287	NAD binding
fig|213810.4.peg.124|RUM_00230	BP	GO:0055114	oxidation-reduction process
fig|213810.4.peg.125	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.127|RUM_00250	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.128	MF	GO:0061505	DNA topoisomerase II activity
fig|213810.4.peg.128	BP	GO:0006265	DNA topological change
fig|213810.4.peg.128	CC	GO:0005694	chromosome
fig|213810.4.peg.129|RUM_00270	MF	GO:0061505	DNA topoisomerase II activity
fig|213810.4.peg.129|RUM_00270	BP	GO:0006265	DNA topological change
fig|213810.4.peg.130|RUM_00280	MF	GO:0016787	hydrolase activity
fig|213810.4.peg.130|RUM_00280	CC	GO:0016021	integral component of membrane
fig|213810.4.peg.132|RUM_00300	BP	GO:0000272	polysaccharide catabolic process
fig|213810.4.peg.132|RUM_00300	MF	GO:0008234	cysteine-type peptidase activity
fig|213810.4.peg.133|RUM_00310	MF	GO:0004372	glycine hydroxymethyltransferase activity
fig|213810.4.peg.133|RUM_00310	BP	GO:0019264	glycine biosynthetic process from serine
fig|213810.4.peg.133|RUM_00310	CC	GO:0005737	cytoplasm
fig|213810.4.peg.134|RUM_00320	BP	GO:0006260	DNA replication
fig|213810.4.peg.134|RUM_00320	MF	GO:0003677	DNA binding
fig|213810.4.peg.135|RUM_00330	MF	GO:0003676	nucleic acid binding
fig|213810.4.peg.135|RUM_00330	CC	GO:0005840	ribosome
fig|213810.4.peg.139|RUM_00370	MF	GO:0016149	translation release factor activity, codon specific
fig|213810.4.peg.139|RUM_00370	BP	GO:0006415	translational termination
fig|213810.4.peg.139|RUM_00370	CC	GO:0005737	cytoplasm
fig|213810.4.peg.140|RUM_00380	MF	GO:0061710	L-threonylcarbamoyladenylate synthase
fig|213810.4.peg.140|RUM_00380	BP	GO:0008033	tRNA processing
fig|213810.4.peg.140|RUM_00380	CC	GO:0005737	cytoplasm
fig|213810.4.peg.141	MF	GO:0004140	dephospho-CoA kinase activity
fig|213810.4.peg.141	BP	GO:0015937	coenzyme A biosynthetic process
fig|213810.4.peg.141	CC	GO:0005737	cytoplasm
fig|213810.4.peg.142|RUM_00400	MF	GO:0004177	aminopeptidase activity
