gene	ontology	GO_id	GO_name
fig|484018.6.peg.1|BACPLE_00562	MF	GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
fig|484018.6.peg.1|BACPLE_00562	CC	GO:0009331	glycerol-3-phosphate dehydrogenase complex
fig|484018.6.peg.1|BACPLE_00562	BP	GO:0006072	glycerol-3-phosphate metabolic process
fig|484018.6.peg.4|BACPLE_00557	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.5|BACPLE_00558	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.6|BACPLE_00559	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.9	MF	GO:0003677	DNA binding
fig|484018.6.peg.12|BACPLE_02255	BP	GO:0015074	DNA integration
fig|484018.6.peg.12|BACPLE_02255	MF	GO:0003677	DNA binding
fig|484018.6.peg.13|BACPLE_02256	BP	GO:0006355	regulation of transcription, DNA-templated
fig|484018.6.peg.13|BACPLE_02256	MF	GO:0003677	DNA binding
fig|484018.6.peg.14|BACPLE_02257	MF	GO:0046872	metal ion binding
fig|484018.6.peg.14|BACPLE_02257	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|484018.6.peg.14|BACPLE_02257	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.15|BACPLE_02258	MF	GO:0016798	hydrolase activity, acting on glycosyl bonds
fig|484018.6.peg.16|BACPLE_02259	MF	GO:0030246	carbohydrate binding
fig|484018.6.peg.16|BACPLE_02259	BP	GO:0006508	proteolysis
fig|484018.6.peg.16|BACPLE_02259	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.18|BACPLE_02261	MF	GO:0004519	endonuclease activity
fig|484018.6.peg.18|BACPLE_02261	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|484018.6.peg.19|BACPLE_02262	MF	GO:0016787	hydrolase activity
fig|484018.6.peg.20|BACPLE_02263	MF	GO:0016787	hydrolase activity
fig|484018.6.peg.21|BACPLE_02264	MF	GO:0016773	phosphotransferase activity, alcohol group as acceptor
fig|484018.6.peg.21|BACPLE_02264	BP	GO:0005975	carbohydrate metabolic process
fig|484018.6.peg.22|BACPLE_02265	MF	GO:0009045	xylose isomerase activity
fig|484018.6.peg.22|BACPLE_02265	BP	GO:0042732	D-xylose metabolic process
fig|484018.6.peg.22|BACPLE_02265	CC	GO:0005737	cytoplasm
fig|484018.6.peg.23|BACPLE_02266	MF	GO:0022857	transmembrane transporter activity
fig|484018.6.peg.23|BACPLE_02266	BP	GO:0055085	transmembrane transport
fig|484018.6.peg.23|BACPLE_02266	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.25|BACPLE_02270	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.26|BACPLE_02271	MF	GO:0003935	GTP cyclohydrolase II activity
fig|484018.6.peg.26|BACPLE_02271	BP	GO:0009231	riboflavin biosynthetic process
fig|484018.6.peg.27|BACPLE_02272	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.28|BACPLE_02273	MF	GO:0008483	transaminase activity
fig|484018.6.peg.28|BACPLE_02273	BP	GO:0009058	biosynthetic process
fig|484018.6.peg.29|BACPLE_02274	MF	GO:0016787	hydrolase activity
fig|484018.6.peg.29|BACPLE_02274	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.30|BACPLE_02275	MF	GO:0016787	hydrolase activity
fig|484018.6.peg.30|BACPLE_02275	BP	GO:0008152	metabolic process
fig|484018.6.peg.32|BACPLE_02277	CC	GO:0009279	cell outer membrane
fig|484018.6.peg.32|BACPLE_02277	MF	GO:0004180	carboxypeptidase activity
fig|484018.6.peg.32|BACPLE_02277	BP	GO:0006508	proteolysis
fig|484018.6.peg.34|BACPLE_02279	MF	GO:0016829	lyase activity
fig|484018.6.peg.35|BACPLE_02280	MF	GO:0004560	alpha-L-fucosidase activity
fig|484018.6.peg.35|BACPLE_02280	BP	GO:0005975	carbohydrate metabolic process
fig|484018.6.peg.35|BACPLE_02280	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.36|BACPLE_02281	MF	GO:0000155	phosphorelay sensor kinase activity
fig|484018.6.peg.36|BACPLE_02281	BP	GO:0023014	signal transduction by protein phosphorylation
fig|484018.6.peg.36|BACPLE_02281	CC	GO:0016021	integral component of membrane
fig|484018.6.peg.37|BACPLE_02282	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|484018.6.peg.37|BACPLE_02282	BP	GO:0022900	electron transport chain
fig|484018.6.peg.38|BACPLE_02283	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|484018.6.peg.38|BACPLE_02283	BP	GO:0005975	carbohydrate metabolic process
fig|484018.6.peg.39|BACPLE_02284	BP	GO:0009166	nucleotide catabolic process
fig|484018.6.peg.39|BACPLE_02284	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|484018.6.peg.41|BACPLE_02287	MF	GO:0003735	structural constituent of ribosome
fig|484018.6.peg.41|BACPLE_02287	BP	GO:0006412	translation
fig|484018.6.peg.41|BACPLE_02287	CC	GO:0005840	ribosome
fig|484018.6.peg.42|BACPLE_02289	MF	GO:0004797	thymidine kinase activity
fig|484018.6.peg.42|BACPLE_02289	BP	GO:0009157	deoxyribonucleoside monophosphate biosynthetic process
fig|484018.6.peg.42|BACPLE_02289	CC	GO:0005737	cytoplasm
fig|484018.6.peg.43|BACPLE_02290	MF	GO:0070677	rRNA (cytosine-2-O-)-methyltransferase activity	3.968833357598039	0.593966438481	1
fig|484018.6.peg.43|BACPLE_02290	BP	0000453	enzyme-directed rRNA 2-O-methylation
fig|484018.6.peg.43|BACPLE_02290	CC	GO:0005737	cytoplasm
fig|484018.6.peg.334|BACPLE_00846	MF	GO:0008233	peptidase activity
fig|484018.6.peg.334|BACPLE_00846	BP	GO:0006508	proteolysis
fig|484018.6.peg.335|BACPLE_00847	MF	GO:0018580	nitronate monooxygenase activity
fig|484018.6.peg.335|BACPLE_00847	BP	GO:0055114	oxidation-reduction process
