gene	ontology	GO_id	GO_name
fig|1121130.3.peg.1	MF	GO:0016987	sigma factor activity
fig|1121130.3.peg.1	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1121130.3.peg.2	MF	GO:0015036	disulfide oxidoreductase activity
fig|1121130.3.peg.2	BP	GO:0006662	glycerol ether metabolic process
fig|1121130.3.peg.2	CC	GO:0005623	cell
fig|1121130.3.peg.5	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.6	CC	GO:0019867	outer membrane
fig|1121130.3.peg.7	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.8	MF	GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
fig|1121130.3.peg.8	BP	GO:0006177	GMP biosynthetic process
fig|1121130.3.peg.9	MF	GO:0005328	neurotransmitter:sodium symporter activity
fig|1121130.3.peg.9	BP	GO:0006836	neurotransmitter transport
fig|1121130.3.peg.9	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.11	MF	GO:0003676	nucleic acid binding
fig|1121130.3.peg.13	MF	GO:0003700	DNA-binding transcription factor activity
fig|1121130.3.peg.13	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1121130.3.peg.14	BP	GO:0006508	proteolysis
fig|1121130.3.peg.14	MF	GO:0016787	hydrolase activity
fig|1121130.3.peg.15	MF	GO:0016301	kinase activity
fig|1121130.3.peg.15	BP	GO:0016310	phosphorylation
fig|1121130.3.peg.19	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1121130.3.peg.19	BP	GO:0032259	methylation
fig|1121130.3.peg.20	BP	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
fig|1121130.3.peg.20	MF	GO:0103039	protein methylthiotransferase activity
fig|1121130.3.peg.20	CC	GO:0005840	ribosome
fig|1121130.3.peg.21	MF	GO:0009678	hydrogen-translocating pyrophosphatase activity
fig|1121130.3.peg.21	BP	GO:0006814	sodium ion transport
fig|1121130.3.peg.21	CC	GO:0005887	integral component of plasma membrane
fig|1121130.3.peg.22	MF	GO:0016657	oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor
fig|1121130.3.peg.22	BP	GO:0034599	cellular response to oxidative stress
fig|1121130.3.peg.23	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.27	MF	GO:0016987	sigma factor activity
fig|1121130.3.peg.27	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1121130.3.peg.27	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.28	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.30	CC	GO:0009279	cell outer membrane
fig|1121130.3.peg.34	MF	GO:0005542	folic acid binding
fig|1121130.3.peg.34	BP	GO:0044237	cellular metabolic process
fig|1121130.3.peg.35	MF	GO:0050480	imidazolonepropionase activity
fig|1121130.3.peg.35	BP	GO:0043606	formamide metabolic process
fig|1121130.3.peg.35	CC	GO:0005737	cytoplasm
fig|1121130.3.peg.36	BP	GO:0051301	cell division
fig|1121130.3.peg.36	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.37	MF	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
fig|1121130.3.peg.37	BP	GO:0009252	peptidoglycan biosynthetic process
fig|1121130.3.peg.37	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.38	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.39	BP	GO:0008360	regulation of cell shape
fig|1121130.3.peg.39	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.40	BP	GO:0000902	cell morphogenesis
fig|1121130.3.peg.41	MF	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
fig|1121130.3.peg.41	BP	GO:0006189	de novo IMP biosynthetic process
fig|1121130.3.peg.43	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.44	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.45	MF	GO:0016987	sigma factor activity
fig|1121130.3.peg.45	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1121130.3.peg.47	MF	GO:0070006	metalloaminopeptidase activity
fig|1121130.3.peg.47	BP	GO:0006508	proteolysis
fig|1121130.3.peg.48	MF	GO:0043565	sequence-specific DNA binding
fig|1121130.3.peg.49	MF	GO:0004152	dihydroorotate dehydrogenase activity
fig|1121130.3.peg.49	BP	GO:0006207	de novo pyrimidine nucleobase biosynthetic process
fig|1121130.3.peg.49	CC	GO:0005737	cytoplasm
fig|1121130.3.peg.50	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|1121130.3.peg.50	BP	GO:0044205	de novo UMP biosynthetic process
fig|1121130.3.peg.51	CC	GO:0009380	excinuclease repair complex
fig|1121130.3.peg.51	BP	GO:0006289	nucleotide-excision repair
fig|1121130.3.peg.51	MF	GO:0004518	nuclease activity
fig|1121130.3.peg.52	MF	GO:0019843	rRNA binding
fig|1121130.3.peg.52	BP	GO:0006412	translation
fig|1121130.3.peg.52	CC	GO:0005840	ribosome
fig|1121130.3.peg.53	MF	GO:0019843	rRNA binding
fig|1121130.3.peg.53	BP	GO:0006412	translation
fig|1121130.3.peg.53	CC	GO:0005840	ribosome
fig|1121130.3.peg.54	MF	GO:0019843	rRNA binding
fig|1121130.3.peg.54	BP	GO:0006412	translation
fig|1121130.3.peg.54	CC	GO:0005840	ribosome
fig|1121130.3.peg.55	MF	GO:0008932	lytic endotransglycosylase activity
fig|1121130.3.peg.55	BP	GO:0009252	peptidoglycan biosynthetic process
fig|1121130.3.peg.55	CC	GO:0005887	integral component of plasma membrane
fig|1121130.3.peg.56	CC	GO:0009295	nucleoid
fig|1121130.3.peg.58	MF	GO:0016491	oxidoreductase activity
fig|1121130.3.peg.58	BP	GO:0055114	oxidation-reduction process
fig|1121130.3.peg.61	MF	GO:0061505	DNA topoisomerase II activity
fig|1121130.3.peg.61	BP	GO:0006265	DNA topological change
fig|1121130.3.peg.61	CC	GO:0005694	chromosome
fig|1121130.3.peg.62	MF	GO:0016787	hydrolase activity
fig|1121130.3.peg.63	MF	GO:0008168	methyltransferase activity
fig|1121130.3.peg.63	BP	GO:0032259	methylation
fig|1121130.3.peg.64	MF	GO:0008972	phosphomethylpyrimidine kinase activity
fig|1121130.3.peg.64	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|1121130.3.peg.65	MF	GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
fig|1121130.3.peg.65	BP	GO:0016042	lipid catabolic process
fig|1121130.3.peg.66	MF	GO:0005506	iron ion binding
fig|1121130.3.peg.66	BP	GO:0098869	cellular oxidant detoxification
fig|1121130.3.peg.67	MF	GO:0003700	DNA-binding transcription factor activity
fig|1121130.3.peg.67	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1121130.3.peg.68	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.69	CC	GO:0009279	cell outer membrane
fig|1121130.3.peg.71	MF	GO:0004784	superoxide dismutase activity
fig|1121130.3.peg.71	BP	GO:0019430	removal of superoxide radicals
fig|1121130.3.peg.74	MF	GO:0070009	serine-type aminopeptidase activity
fig|1121130.3.peg.74	BP	GO:0006508	proteolysis
fig|1121130.3.peg.75	MF	GO:0047429	nucleoside-triphosphate diphosphatase activity
fig|1121130.3.peg.75	CC	GO:0005737	cytoplasm
fig|1121130.3.peg.76	MF	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
fig|1121130.3.peg.76	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.77	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|1121130.3.peg.77	BP	GO:0016311	dephosphorylation
fig|1121130.3.peg.78	BP	GO:0055114	oxidation-reduction process
fig|1121130.3.peg.79	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.80	MF	GO:0008483	transaminase activity
fig|1121130.3.peg.81	MF	GO:0016787	hydrolase activity
fig|1121130.3.peg.81	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.82	BP	GO:0031388	organic acid phosphorylation
fig|1121130.3.peg.82	MF	GO:0008887	glycerate kinase activity
fig|1121130.3.peg.83	MF	GO:0047761	butyrate kinase activity
fig|1121130.3.peg.83	BP	GO:0016310	phosphorylation
fig|1121130.3.peg.83	CC	GO:0005737	cytoplasm
fig|1121130.3.peg.84	MF	GO:0016787	hydrolase activity
fig|1121130.3.peg.85	MF	GO:0050118	N-acetyldiaminopimelate deacetylase activity
fig|1121130.3.peg.85	BP	GO:0019877	diaminopimelate biosynthetic process
fig|1121130.3.peg.86	MF	GO:0022857	transmembrane transporter activity
fig|1121130.3.peg.86	BP	GO:0055085	transmembrane transport
fig|1121130.3.peg.86	CC	GO:0016021	integral component of membrane
fig|1121130.3.peg.87	BP	GO:0046110	xanthine metabolic process
fig|1121130.3.peg.87	MF	GO:0000310	xanthine phosphoribosyltransferase activity
fig|1121130.3.peg.87	CC	GO:0005737	cytoplasm
