gene	ontology	GO_id	GO_name
fig|1504823.3.peg.1	CC	GO:0015935	small ribosomal subunit
fig|1504823.3.peg.1	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.1	BP	GO:0006412	translation
fig|1504823.3.peg.2	CC	GO:0015935	small ribosomal subunit
fig|1504823.3.peg.2	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.2	BP	GO:0006412	translation
fig|1504823.3.peg.3	MF	GO:0003746	translation elongation factor activity
fig|1504823.3.peg.3	BP	GO:0006414	translational elongation
fig|1504823.3.peg.3	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.4	MF	GO:0003746	translation elongation factor activity
fig|1504823.3.peg.4	BP	GO:0006414	translational elongation
fig|1504823.3.peg.4	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.5	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|1504823.3.peg.5	MF	GO:0046872	metal ion binding
fig|1504823.3.peg.6	MF	GO:0051499	D-aminoacyl-tRNA deacylase activity
fig|1504823.3.peg.6	BP	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
fig|1504823.3.peg.6	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.7	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.8	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.9	BP	GO:0000160	phosphorelay signal transduction system
fig|1504823.3.peg.9	MF	GO:0003677	DNA binding
fig|1504823.3.peg.10	MF	GO:0043565	sequence-specific DNA binding
fig|1504823.3.peg.11	BP	GO:0009372	quorum sensing
fig|1504823.3.peg.11	MF	GO:0008233	peptidase activity
fig|1504823.3.peg.11	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.12	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.13	MF	GO:0008168	methyltransferase activity
fig|1504823.3.peg.13	BP	GO:0032259	methylation
fig|1504823.3.peg.14	MF	GO:0008879	glucose-1-phosphate thymidylyltransferase activity
fig|1504823.3.peg.14	BP	GO:0045226	extracellular polysaccharide biosynthetic process
fig|1504823.3.peg.15	MF	GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
fig|1504823.3.peg.15	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|1504823.3.peg.16	MF	GO:0008460	dTDP-glucose 4,6-dehydratase activity
fig|1504823.3.peg.16	BP	GO:0009225	nucleotide-sugar metabolic process
fig|1504823.3.peg.17	MF	GO:0008484	sulfuric ester hydrolase activity
fig|1504823.3.peg.17	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.23	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|1504823.3.peg.23	BP	GO:0006351	transcription, DNA-templated
fig|1504823.3.peg.24	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|1504823.3.peg.24	BP	GO:0006351	transcription, DNA-templated
fig|1504823.3.peg.25	BP	GO:0015074	DNA integration
fig|1504823.3.peg.25	MF	GO:0003676	nucleic acid binding
fig|1504823.3.peg.26	MF	GO:0008168	methyltransferase activity
fig|1504823.3.peg.26	BP	GO:0032259	methylation
fig|1504823.3.peg.26	CC	GO:0005840	ribosome
fig|1504823.3.peg.27	MF	GO:0003735	structural constituent of ribosome
fig|1504823.3.peg.27	BP	GO:0006412	translation
fig|1504823.3.peg.27	CC	GO:0005840	ribosome
fig|1504823.3.peg.28	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|1504823.3.peg.28	BP	GO:0042254	ribosome biogenesis
fig|1504823.3.peg.28	CC	GO:0005840	ribosome
fig|1504823.3.peg.29	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.29	BP	GO:0006417	regulation of translation
fig|1504823.3.peg.29	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.30	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|1504823.3.peg.30	BP	GO:0006412	translation
fig|1504823.3.peg.30	CC	GO:0005840	ribosome
fig|1504823.3.peg.31	BP	GO:0032196	transposition
fig|1504823.3.peg.31	MF	GO:0003677	DNA binding
fig|1504823.3.peg.32	MF	GO:0004807	triose-phosphate isomerase activity
fig|1504823.3.peg.32	BP	GO:0006094	gluconeogenesis
fig|1504823.3.peg.32	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.33	MF	GO:0004618	phosphoglycerate kinase activity
fig|1504823.3.peg.33	BP	GO:0006096	glycolytic process
fig|1504823.3.peg.33	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.34	MF	GO:0004792	thiosulfate sulfurtransferase activity
fig|1504823.3.peg.35	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.36	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1504823.3.peg.36	MF	GO:0003677	DNA binding
fig|1504823.3.peg.36	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.39	MF	GO:0003984	acetolactate synthase activity
fig|1504823.3.peg.39	BP	GO:0009099	valine biosynthetic process
fig|1504823.3.peg.40	MF	GO:0004160	dihydroxy-acid dehydratase activity
fig|1504823.3.peg.40	BP	GO:0009099	valine biosynthetic process
fig|1504823.3.peg.41	MF	GO:0003862	3-isopropylmalate dehydrogenase activity
fig|1504823.3.peg.41	BP	GO:0009098	leucine biosynthetic process
fig|1504823.3.peg.41	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.42	MF	GO:0003861	3-isopropylmalate dehydratase activity
fig|1504823.3.peg.42	BP	GO:0009098	leucine biosynthetic process
fig|1504823.3.peg.43	MF	GO:0003861	3-isopropylmalate dehydratase activity
fig|1504823.3.peg.43	BP	GO:0009098	leucine biosynthetic process
fig|1504823.3.peg.44	MF	GO:0004455	ketol-acid reductoisomerase activity
fig|1504823.3.peg.44	BP	GO:0009099	valine biosynthetic process
fig|1504823.3.peg.45	MF	GO:0003984	acetolactate synthase activity
fig|1504823.3.peg.45	BP	GO:0009082	branched-chain amino acid biosynthetic process
fig|1504823.3.peg.46	MF	GO:0003852	2-isopropylmalate synthase activity
fig|1504823.3.peg.46	BP	GO:0009098	leucine biosynthetic process
fig|1504823.3.peg.47	MF	GO:0008716	D-alanine-D-alanine ligase activity
fig|1504823.3.peg.47	BP	GO:0009252	peptidoglycan biosynthetic process
fig|1504823.3.peg.47	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.48	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.49	MF	GO:0047480	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
fig|1504823.3.peg.49	BP	GO:0009252	peptidoglycan biosynthetic process
fig|1504823.3.peg.49	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.50	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.51	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.52	CC	GO:0005886	plasma membrane
fig|1504823.3.peg.52	BP	GO:0055085	transmembrane transport
fig|1504823.3.peg.53	BP	GO:0015821	methionine transport
fig|1504823.3.peg.53	MF	GO:0015424	amino acid-transporting ATPase activity
fig|1504823.3.peg.53	CC	GO:0005886	plasma membrane
fig|1504823.3.peg.54	MF	GO:0008113	peptide-methionine (S)-S-oxide reductase activity
fig|1504823.3.peg.54	BP	GO:0006464	cellular protein modification process
fig|1504823.3.peg.54	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.55	MF	GO:0003872	6-phosphofructokinase activity
fig|1504823.3.peg.55	BP	GO:0006002	fructose 6-phosphate metabolic process
fig|1504823.3.peg.55	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.56	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.57	MF	GO:0043565	sequence-specific DNA binding
fig|1504823.3.peg.58	BP	GO:0043937	regulation of sporulation
fig|1504823.3.peg.58	MF	GO:0003677	DNA binding
fig|1504823.3.peg.59	MF	GO:0005525	GTP binding
fig|1504823.3.peg.59	BP	GO:0016310	phosphorylation
fig|1504823.3.peg.60	MF	GO:0004791	thioredoxin-disulfide reductase activity
fig|1504823.3.peg.60	BP	GO:0019430	removal of superoxide radicals
fig|1504823.3.peg.60	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.61	MF	GO:0004427	inorganic diphosphatase activity
fig|1504823.3.peg.62	MF	GO:0008961	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity
fig|1504823.3.peg.62	BP	GO:0042158	lipoprotein biosynthetic process
fig|1504823.3.peg.62	CC	GO:0005887	integral component of plasma membrane
fig|1504823.3.peg.63	MF	GO:0004712	protein serine/threonine/tyrosine kinase activity
fig|1504823.3.peg.63	BP	GO:0006109	regulation of carbohydrate metabolic process
fig|1504823.3.peg.64	MF	GO:0009381	excinuclease ABC activity
fig|1504823.3.peg.64	CC	GO:0009380	excinuclease repair complex
fig|1504823.3.peg.64	BP	GO:0006289	nucleotide-excision repair
fig|1504823.3.peg.65	MF	GO:0052927	CTP:tRNA cytidylyltransferase activity
fig|1504823.3.peg.65	BP	GO:0006396	RNA processing
fig|1504823.3.peg.66	MF	GO:0009381	excinuclease ABC activity
fig|1504823.3.peg.66	CC	GO:0009380	excinuclease repair complex
fig|1504823.3.peg.66	BP	GO:0006289	nucleotide-excision repair
fig|1504823.3.peg.67	MF	GO:0008236	serine-type peptidase activity
fig|1504823.3.peg.67	BP	GO:0006508	proteolysis
fig|1504823.3.peg.67	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.68	MF	GO:0008237	metallopeptidase activity
fig|1504823.3.peg.68	BP	GO:0006508	proteolysis
fig|1504823.3.peg.69	BP	GO:0055085	transmembrane transport
fig|1504823.3.peg.69	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.74	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.74	BP	GO:0006412	translation
fig|1504823.3.peg.74	CC	GO:0005840	ribosome
fig|1504823.3.peg.75	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.75	BP	GO:0006412	translation
fig|1504823.3.peg.75	CC	GO:0005840	ribosome
fig|1504823.3.peg.76	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.76	BP	GO:0006412	translation
fig|1504823.3.peg.76	CC	GO:0005840	ribosome
fig|1504823.3.peg.77	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.77	BP	GO:0006412	translation
fig|1504823.3.peg.77	CC	GO:0005840	ribosome
fig|1504823.3.peg.78	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.78	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.78	BP	GO:0006412	translation
fig|1504823.3.peg.79	CC	GO:0015935	small ribosomal subunit
fig|1504823.3.peg.79	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.79	BP	GO:0006412	translation
fig|1504823.3.peg.80	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.80	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.80	BP	GO:0006412	translation
fig|1504823.3.peg.81	MF	GO:0003729	mRNA binding
fig|1504823.3.peg.81	CC	GO:0015935	small ribosomal subunit
fig|1504823.3.peg.81	BP	GO:0006412	translation
fig|1504823.3.peg.82	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.82	BP	GO:0006412	translation
fig|1504823.3.peg.82	CC	GO:0005840	ribosome
fig|1504823.3.peg.83	MF	GO:0003735	structural constituent of ribosome
fig|1504823.3.peg.83	BP	GO:0006412	translation
fig|1504823.3.peg.83	CC	GO:0005840	ribosome
fig|1504823.3.peg.84	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.84	BP	GO:0006412	translation
fig|1504823.3.peg.84	CC	GO:0005840	ribosome
fig|1504823.3.peg.85	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.85	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.85	BP	GO:0006412	translation
fig|1504823.3.peg.86	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.86	BP	GO:0006412	translation
fig|1504823.3.peg.86	CC	GO:0005840	ribosome
fig|1504823.3.peg.87	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.87	BP	GO:0006412	translation
fig|1504823.3.peg.87	CC	GO:0005840	ribosome
fig|1504823.3.peg.88	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.88	BP	GO:0006412	translation
fig|1504823.3.peg.88	CC	GO:0005840	ribosome
fig|1504823.3.peg.89	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.89	BP	GO:0006412	translation
fig|1504823.3.peg.89	CC	GO:0005840	ribosome
fig|1504823.3.peg.90	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.90	BP	GO:0006412	translation
fig|1504823.3.peg.90	CC	GO:0005840	ribosome
fig|1504823.3.peg.91	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.91	BP	GO:0006412	translation
fig|1504823.3.peg.91	CC	GO:0005840	ribosome
fig|1504823.3.peg.92	CC	GO:0015935	small ribosomal subunit
fig|1504823.3.peg.92	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.92	BP	GO:0006412	translation
fig|1504823.3.peg.93	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.93	MF	GO:0003735	structural constituent of ribosome
fig|1504823.3.peg.93	BP	GO:0006412	translation
fig|1504823.3.peg.94	CC	GO:0015934	large ribosomal subunit
fig|1504823.3.peg.94	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.94	BP	GO:0006412	translation
fig|1504823.3.peg.95	BP	GO:0043952	protein transport by the Sec complex
fig|1504823.3.peg.95	CC	GO:0005886	plasma membrane
fig|1504823.3.peg.96	BP	GO:0070084	protein initiator methionine removal
fig|1504823.3.peg.96	MF	GO:0070006	metalloaminopeptidase activity
fig|1504823.3.peg.97	MF	GO:0043022	ribosome binding
fig|1504823.3.peg.97	BP	GO:0006413	translational initiation
fig|1504823.3.peg.97	CC	GO:0005737	cytoplasm
fig|1504823.3.peg.98	MF	GO:0003735	structural constituent of ribosome
fig|1504823.3.peg.98	BP	GO:0006412	translation
fig|1504823.3.peg.98	CC	GO:0005840	ribosome
fig|1504823.3.peg.99	MF	GO:0000049	tRNA binding
fig|1504823.3.peg.99	BP	GO:0006412	translation
fig|1504823.3.peg.99	CC	GO:0005840	ribosome
fig|1504823.3.peg.100	MF	GO:0019843	rRNA binding
fig|1504823.3.peg.100	BP	GO:0006412	translation
fig|1504823.3.peg.100	CC	GO:0005840	ribosome
fig|1504823.3.peg.101	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|1504823.3.peg.101	BP	GO:0006351	transcription, DNA-templated
fig|1504823.3.peg.102	MF	GO:0003735	structural constituent of ribosome
fig|1504823.3.peg.102	BP	GO:0006412	translation
fig|1504823.3.peg.102	CC	GO:0005840	ribosome
fig|1504823.3.peg.103	MF	GO:0016887	ATPase activity
fig|1504823.3.peg.103	CC	GO:0005886	plasma membrane
fig|1504823.3.peg.103	BP	GO:0055085	transmembrane transport
fig|1504823.3.peg.104	MF	GO:0016887	ATPase activity
fig|1504823.3.peg.104	CC	GO:0005886	plasma membrane
fig|1504823.3.peg.104	BP	GO:0055085	transmembrane transport
fig|1504823.3.peg.105	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.105	MF	GO:0022857	transmembrane transporter activity
fig|1504823.3.peg.105	BP	GO:0055085	transmembrane transport
fig|1504823.3.peg.106	BP	GO:0031119	tRNA pseudouridine synthesis
fig|1504823.3.peg.106	MF	GO:0106029	tRNA pseudouridine synthase activity
fig|1504823.3.peg.106	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.108	MF	GO:0016787	hydrolase activity
fig|1504823.3.peg.108	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.109	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1504823.3.peg.109	BP	GO:0005975	carbohydrate metabolic process
fig|1504823.3.peg.110	MF	GO:0016829	lyase activity
fig|1504823.3.peg.110	BP	GO:0006520	cellular amino acid metabolic process
fig|1504823.3.peg.111	BP	GO:0030261	chromosome condensation
fig|1504823.3.peg.111	MF	GO:0003677	DNA binding
fig|1504823.3.peg.112	CC	GO:0016021	integral component of membrane
fig|1504823.3.peg.113	BP	GO:0051144	propanediol catabolic process
fig|1504823.3.peg.113	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|1504823.3.peg.114	MF	GO:0015930	glutamate synthase activity
fig|1504823.3.peg.114	BP	GO:0006537	glutamate biosynthetic process
fig|1504823.3.peg.115	BP	GO:0006537	glutamate biosynthetic process
fig|1504823.3.peg.115	MF	GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
fig|1504823.3.peg.116	MF	GO:0016887	ATPase activity
fig|1504823.3.peg.119	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1504823.3.peg.119	BP	GO:0005975	carbohydrate metabolic process
