gene	ontology	GO_id	GO_name
fig|718252.3.peg.1|FP2_00100	MF	GO:0016787	hydrolase activity
fig|718252.3.peg.2	MF	GO:0003677	DNA binding
fig|718252.3.peg.3	MF	GO:0004386	helicase activity
fig|718252.3.peg.7|FP2_00150	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.8|FP2_00170	MF	GO:0016740	transferase activity
fig|718252.3.peg.11|FP2_00210	MF	GO:0043565	sequence-specific DNA binding
fig|718252.3.peg.16|FP2_00260	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1544|FP2_00430	MF	GO:0003677	DNA binding
fig|718252.3.peg.1547|FP2_00460	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1722|FP2_00480	MF	GO:0004519	endonuclease activity
fig|718252.3.peg.1722|FP2_00480	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|718252.3.peg.1723	MF	GO:0003677	DNA binding
fig|718252.3.peg.1725|FP2_00510	BP	GO:0015074	DNA integration
fig|718252.3.peg.1725|FP2_00510	MF	GO:0003677	DNA binding
fig|718252.3.peg.1833|FP2_00540	MF	GO:0003917	DNA topoisomerase type I activity
fig|718252.3.peg.1833|FP2_00540	BP	GO:0006265	DNA topological change
fig|718252.3.peg.1834|FP2_00550	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1835|FP2_00560	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1836|FP2_00570	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1836|FP2_00570	MF	GO:0016787	hydrolase activity
fig|718252.3.peg.1847|FP2_00680	BP	GO:0006353	DNA-templated transcription, termination
fig|718252.3.peg.1850|FP2_00710	MF	GO:0008233	peptidase activity
fig|718252.3.peg.1850|FP2_00710	BP	GO:0006508	proteolysis
fig|718252.3.peg.1851	BP	GO:0019068	virion assembly
fig|718252.3.peg.1851	MF	GO:0005198	structural molecule activity
fig|718252.3.peg.1857|FP2_00780	MF	GO:0016740	transferase activity
fig|718252.3.peg.1860|FP2_00810	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1866|FP2_00890	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1869|FP2_00920	MF	GO:0003677	DNA binding
fig|718252.3.peg.1870|FP2_00930	BP	GO:0006306	DNA methylation
fig|718252.3.peg.1870|FP2_00930	MF	GO:0008170	N-methyltransferase activity
fig|718252.3.peg.1872	MF	GO:0003676	nucleic acid binding
fig|718252.3.peg.1875|FP2_00980	BP	GO:0009254	peptidoglycan turnover
fig|718252.3.peg.1875|FP2_00980	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|718252.3.peg.1875|FP2_00980	CC	GO:0019867	outer membrane
fig|718252.3.peg.1876|FP2_00990	MF	GO:0004386	helicase activity
fig|718252.3.peg.1878|FP2_01010	MF	GO:0003697	single-stranded DNA binding
fig|718252.3.peg.1878|FP2_01010	BP	GO:0006260	DNA replication
fig|718252.3.peg.1880|FP2_01030	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1883|FP2_01060	MF	GO:0005524	ATP binding
fig|718252.3.peg.1888|FP2_01110	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1890|FP2_01130	MF	GO:0003677	DNA binding
fig|718252.3.peg.1891|FP2_01140	MF	GO:0043565	sequence-specific DNA binding
fig|718252.3.peg.1893|FP2_01160	MF	GO:0000150	recombinase activity
fig|718252.3.peg.1893|FP2_01160	BP	GO:0006310	DNA recombination
fig|718252.3.peg.1896|FP2_01180	MF	GO:0016787	hydrolase activity
fig|718252.3.peg.1896|FP2_01180	CC	GO:0005576	extracellular region
fig|718252.3.peg.1896|FP2_01180	BP	GO:0006508	proteolysis
fig|718252.3.peg.1897|FP2_01190	MF	GO:0008514	organic anion transmembrane transporter activity
fig|718252.3.peg.1897|FP2_01190	BP	GO:0015711	organic anion transport
fig|718252.3.peg.1897|FP2_01190	CC	GO:0005886	plasma membrane
fig|718252.3.peg.1898|FP2_01200	MF	GO:0003700	DNA-binding transcription factor activity
fig|718252.3.peg.1898|FP2_01200	BP	GO:0006355	regulation of transcription, DNA-templated
fig|718252.3.peg.1900|FP2_01220	BP	GO:0000160	phosphorelay signal transduction system
fig|718252.3.peg.1900|FP2_01220	MF	GO:0003677	DNA binding
fig|718252.3.peg.1901|FP2_01230	MF	GO:0051287	NAD binding
fig|718252.3.peg.1901|FP2_01230	BP	GO:0055114	oxidation-reduction process
fig|718252.3.peg.1903	MF	GO:0000155	phosphorelay sensor kinase activity
fig|718252.3.peg.1903	BP	GO:0023014	signal transduction by protein phosphorylation
fig|718252.3.peg.1903	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1904|FP2_01270	BP	GO:0000160	phosphorelay signal transduction system
fig|718252.3.peg.1904|FP2_01270	MF	GO:0003677	DNA binding
fig|718252.3.peg.1905|FP2_01280	BP	GO:0000160	phosphorelay signal transduction system
fig|718252.3.peg.1905|FP2_01280	MF	GO:0071111	cyclic-guanylate-specific phosphodiesterase activity
fig|718252.3.peg.1905|FP2_01280	CC	GO:0016021	integral component of membrane
fig|718252.3.peg.1906|FP2_01290	MF	GO:0016491	oxidoreductase activity
fig|718252.3.peg.1906|FP2_01290	BP	GO:0055114	oxidation-reduction process
fig|718252.3.peg.1909|FP2_01300	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|718252.3.peg.1909|FP2_01300	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.1909|FP2_01300	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|718252.3.peg.2146|FP2_01310	BP	GO:0015991	ATP hydrolysis coupled proton transport
fig|718252.3.peg.2146|FP2_01310	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|718252.3.peg.2146|FP2_01310	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2147|FP2_01320	CC	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
fig|718252.3.peg.2147|FP2_01320	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2147|FP2_01320	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|718252.3.peg.2148|FP2_01330	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|718252.3.peg.2148|FP2_01330	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2148|FP2_01330	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|718252.3.peg.2149|FP2_01340	BP	GO:0042777	plasma membrane ATP synthesis coupled proton transport
fig|718252.3.peg.2149|FP2_01340	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|718252.3.peg.2149|FP2_01340	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2150|FP2_01350	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|718252.3.peg.2150|FP2_01350	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2150|FP2_01350	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
fig|718252.3.peg.2151|FP2_01360	CC	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
fig|718252.3.peg.2151|FP2_01360	MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
fig|718252.3.peg.2151|FP2_01360	BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
