gene	ontology	GO_id	GO_name
fig|762968.3.peg.1|HMPREF9441_00001	MF	GO:0047480	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
fig|762968.3.peg.1|HMPREF9441_00001	BP	GO:0009252	peptidoglycan biosynthetic process
fig|762968.3.peg.1|HMPREF9441_00001	CC	GO:0005737	cytoplasm
fig|762968.3.peg.2|HMPREF9441_00002	MF	GO:0004156	dihydropteroate synthase activity
fig|762968.3.peg.2|HMPREF9441_00002	BP	GO:0009396	folic acid-containing compound biosynthetic process
fig|762968.3.peg.2|HMPREF9441_00002	CC	GO:0005829	cytosol
fig|762968.3.peg.3|HMPREF9441_00003	BP	GO:0006171	cAMP biosynthetic process
fig|762968.3.peg.3|HMPREF9441_00003	MF	GO:0004016	adenylate cyclase activity
fig|762968.3.peg.3|HMPREF9441_00003	CC	GO:0005886	plasma membrane
fig|762968.3.peg.4|HMPREF9441_00004	MF	GO:0016740	transferase activity
fig|762968.3.peg.5|HMPREF9441_00005	MF	GO:0016407	acetyltransferase activity
fig|762968.3.peg.6|HMPREF9441_00006	MF	GO:0008776	acetate kinase activity
fig|762968.3.peg.6|HMPREF9441_00006	BP	GO:0006085	acetyl-CoA biosynthetic process
fig|762968.3.peg.6|HMPREF9441_00006	CC	GO:0005737	cytoplasm
fig|762968.3.peg.10|HMPREF9441_00011	BP	GO:0009245	lipid A biosynthetic process
fig|762968.3.peg.10|HMPREF9441_00011	MF	GO:0016462	pyrophosphatase activity
fig|762968.3.peg.10|HMPREF9441_00011	CC	GO:0005737	cytoplasm
fig|762968.3.peg.12|HMPREF9441_00013	MF	GO:0008237	metallopeptidase activity
fig|762968.3.peg.12|HMPREF9441_00013	BP	GO:0006508	proteolysis
fig|762968.3.peg.13|HMPREF9441_00014	MF	GO:0016740	transferase activity
fig|762968.3.peg.13|HMPREF9441_00014	CC	GO:0016021	integral component of membrane
fig|762968.3.peg.14|HMPREF9441_00015	MF	GO:0003746	translation elongation factor activity
fig|762968.3.peg.14|HMPREF9441_00015	BP	GO:0006414	translational elongation
fig|762968.3.peg.14|HMPREF9441_00015	CC	GO:0005737	cytoplasm
fig|762968.3.peg.15	MF	GO:0003735	structural constituent of ribosome
fig|762968.3.peg.15	BP	GO:0006412	translation
fig|762968.3.peg.15	CC	GO:0005840	ribosome
fig|762968.3.peg.19|HMPREF9441_00020	MF	GO:0005524	ATP binding
fig|762968.3.peg.20	CC	GO:0016021	integral component of membrane
fig|762968.3.peg.23|HMPREF9441_00024	CC	GO:0016021	integral component of membrane
fig|762968.3.peg.28|HMPREF9441_00029	BP	GO:0007165	signal transduction
fig|762968.3.peg.29|HMPREF9441_00030	MF	GO:0003796	lysozyme activity
fig|762968.3.peg.29|HMPREF9441_00030	BP	GO:0016998	cell wall macromolecule catabolic process
fig|762968.3.peg.31|HMPREF9441_00032	MF	GO:0003896	DNA primase activity
fig|762968.3.peg.31|HMPREF9441_00032	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|762968.3.peg.34|HMPREF9441_00035	CC	GO:0016021	integral component of membrane
