gene	ontology	GO_id	GO_name
fig|1232439.3.peg.4	MF	GO:0051536	iron-sulfur cluster binding
fig|1232439.3.peg.5	MF	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
fig|1232439.3.peg.5	BP	GO:0032775	DNA methylation on adenine
fig|1232439.3.peg.9	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|1232439.3.peg.9	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|1232439.3.peg.10	BP	GO:0070929	trans-translation
fig|1232439.3.peg.10	MF	GO:0003723	RNA binding
fig|1232439.3.peg.10	CC	GO:0005737	cytoplasm
fig|1232439.3.peg.12	MF	GO:0047631	ADP-ribose diphosphatase activity
fig|1232439.3.peg.13	BP	GO:0000160	phosphorelay signal transduction system
fig|1232439.3.peg.13	MF	GO:0003677	DNA binding
fig|1232439.3.peg.14	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|1232439.3.peg.14	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1232439.3.peg.14	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.15	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.16	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.21	BP	GO:0000160	phosphorelay signal transduction system
fig|1232439.3.peg.21	MF	GO:0003677	DNA binding
fig|1232439.3.peg.22	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1232439.3.peg.22	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1232439.3.peg.22	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.23	MF	GO:0016787	hydrolase activity
fig|1232439.3.peg.23	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.23	BP	GO:0006508	proteolysis
fig|1232439.3.peg.24	MF	GO:0016874	ligase activity
fig|1232439.3.peg.24	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.27	MF	GO:0018423	protein C-terminal leucine carboxyl O-methyltransferase activity
fig|1232439.3.peg.27	BP	GO:0006481	C-terminal protein methylation
fig|1232439.3.peg.31	BP	GO:0032196	transposition
fig|1232439.3.peg.31	MF	GO:0004803	transposase activity
fig|1232439.3.peg.32	MF	GO:0016787	hydrolase activity
fig|1232439.3.peg.32	CC	GO:0005840	ribosome
fig|1232439.3.peg.33	MF	GO:0000150	recombinase activity
fig|1232439.3.peg.33	BP	GO:0006310	DNA recombination
fig|1232439.3.peg.34	MF	GO:0000150	recombinase activity
fig|1232439.3.peg.34	BP	GO:0006310	DNA recombination
fig|1232439.3.peg.35	MF	GO:0000150	recombinase activity
fig|1232439.3.peg.35	BP	GO:0006310	DNA recombination
fig|1232439.3.peg.36	MF	GO:0000150	recombinase activity
fig|1232439.3.peg.36	BP	GO:0006310	DNA recombination
fig|1232439.3.peg.37	MF	GO:0000150	recombinase activity
fig|1232439.3.peg.37	BP	GO:0006310	DNA recombination
fig|1232439.3.peg.41	MF	GO:0043565	sequence-specific DNA binding
fig|1232439.3.peg.45	BP	GO:0006260	DNA replication
fig|1232439.3.peg.45	MF	GO:0003896	DNA primase activity
fig|1232439.3.peg.47	MF	GO:0003677	DNA binding
fig|1232439.3.peg.52	MF	GO:0008168	methyltransferase activity
fig|1232439.3.peg.52	BP	GO:0032259	methylation
fig|1232439.3.peg.56	CC	GO:0009360	DNA polymerase III complex
fig|1232439.3.peg.56	MF	GO:0008408	3-5 exonuclease activity
fig|1232439.3.peg.56	BP	GO:0071897	DNA biosynthetic process
fig|1232439.3.peg.57	MF	GO:0008641	ubiquitin-like modifier activating enzyme activity
fig|1232439.3.peg.57	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.63	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1232439.3.peg.63	MF	GO:0003677	DNA binding
fig|1232439.3.peg.65	MF	GO:0003697	single-stranded DNA binding
fig|1232439.3.peg.65	BP	GO:0006260	DNA replication
fig|1232439.3.peg.66	MF	GO:0016887	ATPase activity
fig|1232439.3.peg.77	BP	GO:0006352	DNA-templated transcription, initiation
fig|1232439.3.peg.77	MF	GO:0016987	sigma factor activity
fig|1232439.3.peg.84	CC	GO:0009360	DNA polymerase III complex
fig|1232439.3.peg.84	MF	GO:0008408	3-5 exonuclease activity
fig|1232439.3.peg.84	BP	GO:0071897	DNA biosynthetic process
fig|1232439.3.peg.86	MF	GO:0004386	helicase activity
fig|1232439.3.peg.92	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.96	BP	GO:0042173	regulation of sporulation resulting in formation of a cellular spore
fig|1232439.3.peg.96	MF	GO:0005509	calcium ion binding
fig|1232439.3.peg.96	CC	GO:0005737	cytoplasm
fig|1232439.3.peg.97	MF	GO:0043565	sequence-specific DNA binding
fig|1232439.3.peg.98	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.99	MF	GO:0008869	galactonate dehydratase activity
fig|1232439.3.peg.99	BP	GO:0009063	cellular amino acid catabolic process
fig|1232439.3.peg.99	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.100	MF	GO:0008869	galactonate dehydratase activity
fig|1232439.3.peg.100	BP	GO:0009063	cellular amino acid catabolic process
fig|1232439.3.peg.100	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.101	MF	GO:0022857	transmembrane transporter activity
fig|1232439.3.peg.101	BP	GO:0055085	transmembrane transport
fig|1232439.3.peg.101	CC	GO:0016021	integral component of membrane
fig|1232439.3.peg.102	MF	GO:0008869	galactonate dehydratase activity
