gene	ontology	GO_id	GO_name
fig|762982.3.peg.2|HMPREF9442_00003	MF	GO:0004789	thiamine-phosphate diphosphorylase activity
fig|762982.3.peg.2|HMPREF9442_00003	BP	GO:0009229	thiamine diphosphate biosynthetic process
fig|762982.3.peg.3|HMPREF9442_00004	BP	GO:0009229	thiamine diphosphate biosynthetic process
fig|762982.3.peg.3|HMPREF9442_00004	MF	GO:0016830	carbon-carbon lyase activity
fig|762982.3.peg.4|HMPREF9442_00005	MF	GO:0003824	catalytic activity
fig|762982.3.peg.4|HMPREF9442_00005	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|762982.3.peg.4|HMPREF9442_00005	CC	GO:0005737	cytoplasm
fig|762982.3.peg.5|HMPREF9442_00006	MF	GO:0004749	ribose phosphate diphosphokinase activity
fig|762982.3.peg.5|HMPREF9442_00006	BP	GO:0009116	nucleoside metabolic process
fig|762982.3.peg.5|HMPREF9442_00006	CC	GO:0005737	cytoplasm
fig|762982.3.peg.6|HMPREF9442_00007	BP	GO:0045454	cell redox homeostasis
fig|762982.3.peg.6|HMPREF9442_00007	CC	GO:0005623	cell
fig|762982.3.peg.7|HMPREF9442_00008	MF	GO:0008184	glycogen phosphorylase activity
fig|762982.3.peg.7|HMPREF9442_00008	BP	GO:0005975	carbohydrate metabolic process
fig|762982.3.peg.8|HMPREF9442_00009	MF	GO:0004373	glycogen (starch) synthase activity
fig|762982.3.peg.8|HMPREF9442_00009	BP	GO:0005978	glycogen biosynthetic process
fig|762982.3.peg.8|HMPREF9442_00009	CC	GO:0005737	cytoplasm
fig|762982.3.peg.11|HMPREF9442_00013	MF	GO:0008237	metallopeptidase activity
fig|762982.3.peg.11|HMPREF9442_00013	BP	GO:0006508	proteolysis
fig|762982.3.peg.12|HMPREF9442_00014	MF	GO:0008894	guanosine-5-triphosphate,3-diphosphate diphosphatase activity
fig|762982.3.peg.13|HMPREF9442_00015	BP	GO:0006799	polyphosphate biosynthetic process
fig|762982.3.peg.13|HMPREF9442_00015	MF	GO:0008976	polyphosphate kinase activity
