gene	ontology	GO_id	GO_name
fig|537011.5.peg.2690	MF	GO:0003677	DNA binding
fig|537011.5.peg.2691	MF	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
fig|537011.5.peg.2691	BP	GO:0009253	peptidoglycan catabolic process
fig|537011.5.peg.2692	MF	GO:0003677	DNA binding
fig|537011.5.peg.2694	BP	GO:0006270	DNA replication initiation
fig|537011.5.peg.2694	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|537011.5.peg.2697	MF	GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
fig|537011.5.peg.2697	CC	GO:0009349	riboflavin synthase complex
fig|537011.5.peg.2697	BP	GO:0009231	riboflavin biosynthetic process
fig|537011.5.peg.2698	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2699	MF	GO:0003697	single-stranded DNA binding
fig|537011.5.peg.2699	BP	GO:0009432	SOS response
fig|537011.5.peg.2699	CC	GO:0005737	cytoplasm
fig|537011.5.peg.2701	MF	GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
fig|537011.5.peg.2702	MF	GO:0008236	serine-type peptidase activity
fig|537011.5.peg.2702	BP	GO:0006508	proteolysis
fig|537011.5.peg.2702	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2703	MF	GO:0004132	dCMP deaminase activity
fig|537011.5.peg.2703	BP	GO:0006220	pyrimidine nucleotide metabolic process
fig|537011.5.peg.2704	MF	GO:0004222	metalloendopeptidase activity
fig|537011.5.peg.2704	BP	GO:0006508	proteolysis
fig|537011.5.peg.2705	BP	GO:0006355	regulation of transcription, DNA-templated
fig|537011.5.peg.2705	MF	GO:0003677	DNA binding
fig|537011.5.peg.2706	BP	GO:0017013	protein flavinylation
fig|537011.5.peg.2706	MF	GO:0046872	metal ion binding
fig|537011.5.peg.2706	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2708	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2709	MF	GO:0016740	transferase activity
fig|537011.5.peg.2709	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2710	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2711	BP	GO:0045910	negative regulation of DNA recombination
fig|537011.5.peg.2711	MF	GO:0030983	mismatched DNA binding
fig|537011.5.peg.2711	CC	GO:0016021	integral component of membrane
fig|537011.5.peg.2712	MF	GO:0003824	catalytic activity
fig|537011.5.peg.2712	BP	GO:0016310	phosphorylation
fig|537011.5.peg.2713	MF	GO:0008972	phosphomethylpyrimidine kinase activity
fig|537011.5.peg.2713	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|537011.5.peg.2714	MF	GO:0050797	thymidylate synthase (FAD) activity
fig|537011.5.peg.2714	BP	GO:0046073	dTMP metabolic process
fig|537011.5.peg.2715	MF	GO:0008168	methyltransferase activity
fig|537011.5.peg.2715	BP	GO:0032259	methylation
fig|537011.5.peg.2716	MF	GO:0004650	polygalacturonase activity
fig|537011.5.peg.2716	BP	GO:0005975	carbohydrate metabolic process
fig|537011.5.peg.2717	MF	GO:0009030	thiamine-phosphate kinase activity
fig|537011.5.peg.2717	BP	GO:0009229	thiamine diphosphate biosynthetic process
fig|537011.5.peg.2718	MF	GO:0004731	purine-nucleoside phosphorylase activity
fig|537011.5.peg.2718	BP	GO:0009116	nucleoside metabolic process
fig|537011.5.peg.3107	MF	GO:0008233	peptidase activity
fig|537011.5.peg.3107	BP	GO:0006508	proteolysis
