gene	ontology	GO_id	GO_name
fig|1203554.3.peg.1|HMPREF1476_00003	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|1203554.3.peg.1|HMPREF1476_00003	BP	GO:0055085	transmembrane transport
fig|1203554.3.peg.2|HMPREF1476_00004	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|1203554.3.peg.2|HMPREF1476_00004	BP	GO:0055085	transmembrane transport
fig|1203554.3.peg.3|HMPREF1476_00005	CC	GO:0009380	excinuclease repair complex
fig|1203554.3.peg.3|HMPREF1476_00005	BP	GO:0006289	nucleotide-excision repair
fig|1203554.3.peg.3|HMPREF1476_00005	MF	GO:0004518	nuclease activity
fig|1203554.3.peg.4|HMPREF1476_00016	BP	GO:0044238	primary metabolic process
fig|1203554.3.peg.6|HMPREF1476_00018	MF	GO:0004370	glycerol kinase activity
fig|1203554.3.peg.6|HMPREF1476_00018	BP	GO:0019563	glycerol catabolic process
fig|1203554.3.peg.9|HMPREF1476_00021	CC	GO:0005886	plasma membrane
fig|1203554.3.peg.11|HMPREF1476_00023	MF	GO:0003735	structural constituent of ribosome
fig|1203554.3.peg.11|HMPREF1476_00023	BP	GO:0006412	translation
fig|1203554.3.peg.11|HMPREF1476_00023	CC	GO:0005840	ribosome
fig|1203554.3.peg.12|HMPREF1476_00024	MF	GO:0003735	structural constituent of ribosome
fig|1203554.3.peg.12|HMPREF1476_00024	BP	GO:0006412	translation
fig|1203554.3.peg.12|HMPREF1476_00024	CC	GO:0005840	ribosome
fig|1203554.3.peg.13|HMPREF1476_00025	MF	GO:0004803	transposase activity
fig|1203554.3.peg.13|HMPREF1476_00025	BP	GO:0006313	transposition, DNA-mediated
fig|1203554.3.peg.14|HMPREF1476_00026	BP	GO:0097428	protein maturation by iron-sulfur cluster transfer
fig|1203554.3.peg.14|HMPREF1476_00026	MF	GO:0005506	iron ion binding
fig|1203554.3.peg.15|HMPREF1476_00027	BP	GO:0097174	1,6-anhydro-N-acetyl-beta-muramic acid metabolic process
fig|1203554.3.peg.15|HMPREF1476_00027	MF	GO:0016773	phosphotransferase activity, alcohol group as acceptor
fig|1203554.3.peg.16|HMPREF1476_00028	CC	GO:0016021	integral component of membrane
fig|1203554.3.peg.17|HMPREF1476_00029	MF	GO:0004831	tyrosine-tRNA ligase activity
fig|1203554.3.peg.17|HMPREF1476_00029	BP	GO:0006437	tyrosyl-tRNA aminoacylation
fig|1203554.3.peg.17|HMPREF1476_00029	CC	GO:0005737	cytoplasm
fig|1203554.3.peg.18|HMPREF1476_00030	MF	GO:0043908	Ser(Gly)-tRNA(Ala) hydrolase activity
fig|1203554.3.peg.18|HMPREF1476_00030	BP	GO:0019478	D-amino acid catabolic process
fig|1203554.3.peg.18|HMPREF1476_00030	CC	GO:0005737	cytoplasm
fig|1203554.3.peg.19|HMPREF1476_00031	MF	GO:0016301	kinase activity
fig|1203554.3.peg.19|HMPREF1476_00031	BP	GO:0016310	phosphorylation
fig|1203554.3.peg.20|HMPREF1476_00032	MF	GO:0004372	glycine hydroxymethyltransferase activity
fig|1203554.3.peg.20|HMPREF1476_00032	BP	GO:0019264	glycine biosynthetic process from serine
fig|1203554.3.peg.20|HMPREF1476_00032	CC	GO:0005737	cytoplasm
fig|1203554.3.peg.22|HMPREF1476_00034	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|1203554.3.peg.22|HMPREF1476_00034	MF	GO:0008270	zinc ion binding
fig|1203554.3.peg.23|HMPREF1476_00035	MF	GO:0008835	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
fig|1203554.3.peg.23|HMPREF1476_00035	BP	GO:0009231	riboflavin biosynthetic process
fig|1203554.3.peg.24|HMPREF1476_00036	MF	GO:0004746	riboflavin synthase activity
fig|1203554.3.peg.25|HMPREF1476_00037	MF	GO:0010181	FMN binding
fig|1203554.3.peg.25|HMPREF1476_00037	BP	GO:0055114	oxidation-reduction process
fig|1203554.3.peg.26|HMPREF1476_00038	CC	GO:0016021	integral component of membrane
fig|1203554.3.peg.27|HMPREF1476_00039	MF	GO:0016887	ATPase activity
fig|1203554.3.peg.27|HMPREF1476_00039	BP	GO:0015716	organic phosphonate transport
fig|1203554.3.peg.27|HMPREF1476_00039	CC	GO:0005886	plasma membrane
fig|1203554.3.peg.29|HMPREF1476_00041	MF	GO:0016791	phosphatase activity
fig|1203554.3.peg.29|HMPREF1476_00041	BP	GO:0016311	dephosphorylation
