gene	ontology	GO_id	GO_name
fig|483218.5.peg.4|BACPEC_00093	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.5|BACPEC_00096	BP	GO:0015074	DNA integration
fig|483218.5.peg.5|BACPEC_00096	MF	GO:0003677	DNA binding
fig|483218.5.peg.6|BACPEC_00097	MF	GO:0043565	sequence-specific DNA binding
fig|483218.5.peg.7|BACPEC_00098	MF	GO:0003677	DNA binding
fig|483218.5.peg.9|BACPEC_00100	MF	GO:0016740	transferase activity
fig|483218.5.peg.9|BACPEC_00100	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.10|BACPEC_00101	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.21|BACPEC_00115	BP	GO:0000160	phosphorelay signal transduction system
fig|483218.5.peg.21|BACPEC_00115	MF	GO:0003677	DNA binding
fig|483218.5.peg.22|BACPEC_00116	MF	GO:0016301	kinase activity
fig|483218.5.peg.22|BACPEC_00116	BP	GO:0016310	phosphorylation
fig|483218.5.peg.22|BACPEC_00116	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.26|BACPEC_00004	BP	GO:0000160	phosphorelay signal transduction system
fig|483218.5.peg.26|BACPEC_00004	MF	GO:0003677	DNA binding
fig|483218.5.peg.27|BACPEC_00002	MF	GO:0003677	DNA binding
fig|483218.5.peg.28|BACPEC_02210	BP	GO:0015074	DNA integration
fig|483218.5.peg.28|BACPEC_02210	MF	GO:0003677	DNA binding
fig|483218.5.peg.28|BACPEC_02210	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.30|BACPEC_02215	MF	GO:0016836	hydro-lyase activity
fig|483218.5.peg.30|BACPEC_02215	BP	GO:0032259	methylation
fig|483218.5.peg.31|BACPEC_02216	MF	GO:0008730	L(+)-tartrate dehydratase activity
fig|483218.5.peg.32|BACPEC_02217	BP	GO:0006814	sodium ion transport
fig|483218.5.peg.32|BACPEC_02217	MF	GO:0005215	transporter activity
fig|483218.5.peg.32|BACPEC_02217	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.34|BACPEC_02218	MF	GO:0003700	DNA-binding transcription factor activity
fig|483218.5.peg.34|BACPEC_02218	BP	GO:0006355	regulation of transcription, DNA-templated
fig|483218.5.peg.35|BACPEC_02220	BP	GO:0015074	DNA integration
fig|483218.5.peg.35|BACPEC_02220	MF	GO:0003677	DNA binding
fig|483218.5.peg.35|BACPEC_02220	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.36|BACPEC_02221	MF	GO:0003677	DNA binding
fig|483218.5.peg.38|BACPEC_02223	MF	GO:0003677	DNA binding
fig|483218.5.peg.40|BACPEC_02225	BP	GO:0006281	DNA repair
fig|483218.5.peg.40|BACPEC_02225	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|483218.5.peg.41|BACPEC_02227	MF	GO:0043565	sequence-specific DNA binding
fig|483218.5.peg.41|BACPEC_02227	BP	GO:0009432	SOS response
fig|483218.5.peg.41|BACPEC_02227	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.42|BACPEC_02228	MF	GO:0043565	sequence-specific DNA binding
fig|483218.5.peg.44|BACPEC_02230	BP	GO:0007165	signal transduction
fig|483218.5.peg.44|BACPEC_02230	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.44|BACPEC_02230	MF	GO:0004888	transmembrane signaling receptor activity
fig|483218.5.peg.47|BACPEC_02233	MF	GO:0004222	metalloendopeptidase activity
fig|483218.5.peg.47|BACPEC_02233	BP	GO:0030163	protein catabolic process
fig|483218.5.peg.47|BACPEC_02233	CC	GO:0005886	plasma membrane
fig|483218.5.peg.48|BACPEC_02234	MF	GO:0004222	metalloendopeptidase activity
fig|483218.5.peg.48|BACPEC_02234	BP	GO:0006508	proteolysis
fig|483218.5.peg.48|BACPEC_02234	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.49|BACPEC_02235	MF	GO:0045302	choloylglycine hydrolase activity
fig|483218.5.peg.51|BACPEC_02238	MF	GO:0016780	phosphotransferase activity, for other substituted phosphate groups
fig|483218.5.peg.51|BACPEC_02238	BP	GO:0008654	phospholipid biosynthetic process
fig|483218.5.peg.51|BACPEC_02238	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.52|BACPEC_02239	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.53|BACPEC_02241	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|483218.5.peg.53|BACPEC_02241	MF	GO:0000155	phosphorelay sensor kinase activity
fig|483218.5.peg.53|BACPEC_02241	CC	GO:0016021	integral component of membrane
fig|483218.5.peg.54|BACPEC_02242	BP	GO:0000160	phosphorelay signal transduction system
fig|483218.5.peg.54|BACPEC_02242	MF	GO:0003677	DNA binding
fig|483218.5.peg.55|BACPEC_02243	MF	GO:0016740	transferase activity
fig|483218.5.peg.56|BACPEC_02245	MF	GO:0008808	cardiolipin synthase activity
fig|483218.5.peg.56|BACPEC_02245	BP	GO:0032049	cardiolipin biosynthetic process
fig|483218.5.peg.56|BACPEC_02245	CC	GO:0005886	plasma membrane
fig|483218.5.peg.57|BACPEC_02246	BP	GO:0015969	guanosine tetraphosphate metabolic process
fig|483218.5.peg.57|BACPEC_02246	MF	GO:0008728	GTP diphosphokinase activity
fig|483218.5.peg.59|BACPEC_02250	MF	GO:0071111	cyclic-guanylate-specific phosphodiesterase activity
fig|483218.5.peg.60|BACPEC_02251	MF	GO:0008774	acetaldehyde dehydrogenase (acetylating) activity
fig|483218.5.peg.60|BACPEC_02251	BP	GO:0015976	carbon utilization
fig|483218.5.peg.61|BACPEC_02252	MF	GO:0016740	transferase activity
fig|483218.5.peg.61|BACPEC_02252	BP	GO:0006468	protein phosphorylation
