gene	ontology	GO_id	GO_name
fig|999419.3.peg.3|HMPREF1077_00005	MF	GO:0030246	carbohydrate binding
fig|999419.3.peg.3|HMPREF1077_00005	BP	GO:0006517	protein deglycosylation
fig|999419.3.peg.3|HMPREF1077_00005	CC	GO:0005829	cytosol
fig|999419.3.peg.5|HMPREF1077_00007	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.6|HMPREF1077_00008	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.8|HMPREF1077_00010	MF	GO:0008236	serine-type peptidase activity
fig|999419.3.peg.8|HMPREF1077_00010	BP	GO:0006508	proteolysis
fig|999419.3.peg.8|HMPREF1077_00010	CC	GO:0005737	cytoplasm
fig|999419.3.peg.9|HMPREF1077_00011	MF	GO:0016987	sigma factor activity
fig|999419.3.peg.9|HMPREF1077_00011	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|999419.3.peg.10|HMPREF1077_00013	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.11|HMPREF1077_00014	CC	GO:0009279	cell outer membrane
fig|999419.3.peg.12|HMPREF1077_00015	BP	GO:0007218	neuropeptide signaling pathway
fig|999419.3.peg.14|HMPREF1077_00017	MF	GO:0008236	serine-type peptidase activity
fig|999419.3.peg.14|HMPREF1077_00017	BP	GO:0006508	proteolysis
fig|999419.3.peg.14|HMPREF1077_00017	CC	GO:0005737	cytoplasm
fig|999419.3.peg.15|HMPREF1077_00018	MF	GO:0003676	nucleic acid binding
fig|999419.3.peg.15|HMPREF1077_00018	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|999419.3.peg.15|HMPREF1077_00018	CC	GO:0005829	cytosol
fig|999419.3.peg.16|HMPREF1077_00019	MF	GO:0015293	symporter activity
fig|999419.3.peg.16|HMPREF1077_00019	BP	GO:0055085	transmembrane transport
fig|999419.3.peg.16|HMPREF1077_00019	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.17|HMPREF1077_00020	MF	GO:0015297	antiporter activity
fig|999419.3.peg.17|HMPREF1077_00020	BP	GO:0055085	transmembrane transport
fig|999419.3.peg.17|HMPREF1077_00020	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.18|HMPREF1077_00021	MF	GO:0036055	protein-succinyllysine desuccinylase activity
fig|999419.3.peg.18|HMPREF1077_00021	BP	GO:0036047	peptidyl-lysine demalonylation
fig|999419.3.peg.18|HMPREF1077_00021	CC	GO:0005737	cytoplasm
fig|999419.3.peg.19|HMPREF1077_00022	MF	GO:0003824	catalytic activity
fig|999419.3.peg.20|HMPREF1077_00023	MF	GO:0016787	hydrolase activity
fig|999419.3.peg.21|HMPREF1077_00025	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|999419.3.peg.21|HMPREF1077_00025	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|999419.3.peg.22|HMPREF1077_00026	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|999419.3.peg.22|HMPREF1077_00026	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|999419.3.peg.22|HMPREF1077_00026	CC	GO:0016020	membrane
fig|999419.3.peg.23|HMPREF1077_00027	MF	GO:0043565	sequence-specific DNA binding
fig|999419.3.peg.23|HMPREF1077_00027	BP	GO:0006355	regulation of transcription, DNA-templated
fig|999419.3.peg.24|HMPREF1077_00028	MF	GO:0004252	serine-type endopeptidase activity
fig|999419.3.peg.24|HMPREF1077_00028	BP	GO:0006508	proteolysis
fig|999419.3.peg.24|HMPREF1077_00028	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.25|HMPREF1077_00029	MF	GO:0008855	exodeoxyribonuclease VII activity
fig|999419.3.peg.25|HMPREF1077_00029	CC	GO:0009318	exodeoxyribonuclease VII complex
fig|999419.3.peg.25|HMPREF1077_00029	BP	GO:0006308	DNA catabolic process
fig|999419.3.peg.26|HMPREF1077_00030	MF	GO:0008855	exodeoxyribonuclease VII activity
fig|999419.3.peg.26|HMPREF1077_00030	CC	GO:0009318	exodeoxyribonuclease VII complex
fig|999419.3.peg.26|HMPREF1077_00030	BP	GO:0006308	DNA catabolic process
fig|999419.3.peg.27|HMPREF1077_00031	MF	GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
fig|999419.3.peg.27|HMPREF1077_00031	BP	GO:0016114	terpenoid biosynthetic process
fig|999419.3.peg.28|HMPREF1077_00032	MF	GO:0004003	ATP-dependent DNA helicase activity
fig|999419.3.peg.28|HMPREF1077_00032	BP	GO:0032508	DNA duplex unwinding
fig|999419.3.peg.29|HMPREF1077_00033	MF	GO:0016787	hydrolase activity
fig|999419.3.peg.29|HMPREF1077_00033	BP	GO:0006508	proteolysis
fig|999419.3.peg.31|HMPREF1077_00035	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.31|HMPREF1077_00035	MF	GO:0016853	isomerase activity
fig|999419.3.peg.31|HMPREF1077_00035	BP	GO:0006094	gluconeogenesis
fig|999419.3.peg.32|HMPREF1077_00036	MF	GO:0004807	triose-phosphate isomerase activity
fig|999419.3.peg.32|HMPREF1077_00036	BP	GO:0006094	gluconeogenesis
fig|999419.3.peg.32|HMPREF1077_00036	CC	GO:0005737	cytoplasm
fig|999419.3.peg.33|HMPREF1077_00037	MF	GO:0042834	peptidoglycan binding
fig|999419.3.peg.33|HMPREF1077_00037	BP	GO:0051301	cell division
fig|999419.3.peg.34|HMPREF1077_00038	MF	GO:0003934	GTP cyclohydrolase I activity
fig|999419.3.peg.553	MF	GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5-phosphomonoesters	0.3797406769239597	0.394176744919	15
fig|999419.3.peg.553	BP	0071704	organic substance metabolic process	0.8499633283564514	0.438564897752	16
fig|999419.3.peg.553	MF	0140097	catalytic activity, acting on DNA	0.25121282975067294	0.377475889813	16
fig|999419.3.peg.553	BP	0009987	cellular process	0.6650841108950537	0.423114504658	17
fig|999419.3.peg.553	MF	0003824	catalytic activity	0.22980866696129204	0.374306503417	17
fig|999419.3.peg.553	BP	0008152	metabolic process	0.5063961792540238	0.408026525651	18
fig|999419.3.peg.553	MF	0008168	methyltransferase activity	0.1310619872975549	0.357266007273	18
fig|999419.3.peg.553	MF	0016741	transferase activity, transferring one-carbon groups	0.12707020123445675	0.35645930965	19
fig|999419.3.peg.553	BP	0032259	methylation	0.1253092784659987	0.356099421497	19
fig|999419.3.peg.553	MF	0016740	transferase activity	0.05839209844502982	0.339786791634	20
fig|999419.3.peg.554	BP	0015074	DNA integration	2.9254476576519206	0.553049209751	1
fig|999419.3.peg.554	MF	0003677	DNA binding	1.2927090586718857	0.469788572567	1
fig|999419.3.peg.554	BP	0006310	DNA recombination	2.4186566818901123	0.530515490103	2
fig|999419.3.peg.554	MF	0003676	nucleic acid binding	0.8853105657897915	0.441320050033	2
fig|999419.3.peg.554	BP	0006259	DNA metabolic process	1.6859437270079445	0.493233336666	3
fig|999419.3.peg.554	MF	1901363	heterocyclic compound binding	0.5142978974883332	0.408829549815	3
fig|999419.3.peg.554	BP	0090304	nucleic acid metabolic process	1.178800621865332	0.462347393454	4
fig|999419.3.peg.554	MF	0097159	organic cyclic compound binding	0.5141693938978679	0.408816539984	4
fig|999419.3.peg.554	BP	0006139	nucleobase-containing compound metabolic process	0.9105113877417782	0.443250885989	5
fig|999419.3.peg.554	MF	0005488	binding	0.35951514233181764	0.391761312455	5
fig|999419.3.peg.554	BP	0006725	cellular aromatic compound metabolic process	0.8281383661808919	0.436835060827	6
fig|999419.3.peg.554	BP	0046483	heterocycle metabolic process	0.8268842526591682	0.436734971785	7
fig|999419.3.peg.554	BP	0044260	cellular macromolecule metabolic process	0.8234429275048721	0.436459933889	8
fig|999419.3.peg.554	BP	1901360	organic cyclic compound metabolic process	0.8123104106381319	0.435566240413	9
fig|999419.3.peg.554	BP	0034641	cellular nitrogen compound metabolic process	0.6601043387048523	0.422670361435	10
fig|999419.3.peg.554	BP	0043170	macromolecule metabolic process	0.6571819637749388	0.422408936065	11
fig|999419.3.peg.554	BP	0006807	nitrogen compound metabolic process	0.44923243445984595	0.402020015336	12
fig|999419.3.peg.554	BP	0044238	primary metabolic process	0.40682653109389677	0.397312850232	13
fig|999419.3.peg.554	BP	0044237	cellular metabolic process	0.38627841074159946	0.394943687784	14
fig|999419.3.peg.554	BP	0071704	organic substance metabolic process	0.3547131189259214	0.391177921314	15
fig|999419.3.peg.554	BP	0009987	cellular process	0.2775579268576655	0.381196829178	16
fig|999419.3.peg.554	BP	0008152	metabolic process	0.21133308010205684	0.371449859783	17
fig|999419.3.peg.555	CC	0016021	integral component of membrane	0.832122905509446	0.437152559438	1
fig|999419.3.peg.555	CC	0031224	intrinsic component of membrane	0.8301657590332827	0.436996704057	2
fig|999419.3.peg.555	CC	0044425	membrane part	0.8035712042693189	0.434860377391	3
fig|999419.3.peg.555	CC	0016020	membrane	0.6940187571171246	0.425662908435	4
fig|999419.3.peg.557	BP	0007229	integrin-mediated signaling pathway	8.410477192014344	0.725791946086	1
fig|999419.3.peg.557	MF	0008237	metallopeptidase activity	1.8092675549954447	0.500007092121	1
fig|999419.3.peg.557	BP	0007166	cell surface receptor signaling pathway	5.712973461811427	0.651754531759	2
fig|999419.3.peg.557	MF	0070011	peptidase activity, acting on L-amino acid peptides	1.348487265932967	0.473312606193	2
fig|999419.3.peg.557	BP	0007165	signal transduction	3.1650979658978895	0.563021286422	3
fig|999419.3.peg.557	MF	0008233	peptidase activity	1.2899094396932265	0.469609709579	3
fig|999419.3.peg.557	BP	0023052	signaling	3.156154274717152	0.562656055986	4
fig|999419.3.peg.557	MF	0140096	catalytic activity, acting on a protein	1.0245835039903377	0.451673926252	4
fig|999419.3.peg.557	BP	0007154	cell communication	3.0557175735493485	0.558518470234	5
fig|999419.3.peg.557	MF	0016787	hydrolase activity	0.6212082485751428	0.419141943155	5
fig|999419.3.peg.557	BP	0051716	cellular response to stimulus	2.6282056861133767	0.540094489333	6
fig|999419.3.peg.557	MF	0003824	catalytic activity	0.1743084946148026	0.36532139032	6
fig|999419.3.peg.557	BP	0050896	response to stimulus	2.3912351265660994	0.529231747917	7
fig|999419.3.peg.557	BP	0050794	regulation of cellular process	1.9378411728177207	0.506827640268	8
fig|999419.3.peg.557	BP	0050789	regulation of biological process	1.8819754488786102	0.50389278016	9
fig|999419.3.peg.557	BP	0065007	biological regulation	1.8012355495935408	0.499573089834	10
fig|999419.3.peg.557	BP	0006508	proteolysis	1.207898971315628	0.464281271859	11
fig|999419.3.peg.557	BP	0019538	protein metabolic process	0.6492070478196756	0.421692555992	12
fig|999419.3.peg.557	BP	0009987	cellular process	0.48076660946229044	0.40537781115	13
fig|999419.3.peg.557	BP	0043170	macromolecule metabolic process	0.43476146397628046	0.400439716604	14
fig|999419.3.peg.557	BP	1901564	organonitrogen compound metabolic process	0.42499906160642875	0.399358714421	15
fig|999419.3.peg.557	BP	0006807	nitrogen compound metabolic process	0.2971915871663779	0.383856188134	16
fig|999419.3.peg.557	BP	0044238	primary metabolic process	0.26913778525934534	0.38002756927	17
fig|999419.3.peg.557	BP	0071704	organic substance metabolic process	0.23466194049208472	0.375037664717	18
fig|999419.3.peg.557	BP	0008152	metabolic process	0.13980827891870173	0.358991652552	19
fig|999419.3.peg.559	MF	0003677	DNA binding	1.4598065191749403	0.480134202013	1
fig|999419.3.peg.559	MF	0003676	nucleic acid binding	0.9997471022305443	0.449881638461	2
fig|999419.3.peg.559	MF	1901363	heterocyclic compound binding	0.5807767946816833	0.415355051368	3
fig|999419.3.peg.559	MF	0097159	organic cyclic compound binding	0.5806316805294769	0.415341226249	4
fig|999419.3.peg.559	MF	0005488	binding	0.4059865945840052	0.39721719631	5
fig|999419.3.peg.560	CC	0016021	integral component of membrane	0.8321159110664808	0.437152002769	1
fig|999419.3.peg.560	CC	0031224	intrinsic component of membrane	0.8301587810411919	0.436996148043	2
fig|999419.3.peg.560	CC	0044425	membrane part	0.8035644498188409	0.434859830355	3
fig|999419.3.peg.560	CC	0016020	membrane	0.6940129235142021	0.425662400055	4
fig|999419.3.peg.561	BP	0015074	DNA integration	3.2625360567653785	0.566967379188	1
fig|999419.3.peg.561	MF	0003677	DNA binding	1.441663091729831	0.479040588015	1
fig|999419.3.peg.561	BP	0006310	DNA recombination	2.697349451104722	0.543170808217	2
fig|999419.3.peg.561	MF	0003676	nucleic acid binding	0.9873215932507446	0.44897661156	2
fig|999419.3.peg.561	BP	0006259	DNA metabolic process	1.880208721100724	0.503799260861	3
fig|999419.3.peg.561	MF	1901363	heterocyclic compound binding	0.5735585219190259	0.414665254785	3
fig|999419.3.peg.561	BP	0090304	nucleic acid metabolic process	1.3146294115068704	0.471182384858	4
fig|999419.3.peg.561	MF	0097159	organic cyclic compound binding	0.5734152113401404	0.414651515848	4
fig|999419.3.peg.561	BP	0006139	nucleobase-containing compound metabolic process	1.0154262117228703	0.451015656848	5
fig|999419.3.peg.561	MF	0005488	binding	0.4009407284190253	0.396640466688	5
fig|999419.3.peg.561	BP	0006725	cellular aromatic compound metabolic process	0.9235616547740685	0.444240271284	6
fig|999419.3.peg.561	BP	0046483	heterocycle metabolic process	0.9221630344387506	0.444134572978	7
fig|999419.3.peg.561	BP	0044260	cellular macromolecule metabolic process	0.9183251782496036	0.443844121205	8
fig|999419.3.peg.561	BP	1901360	organic cyclic compound metabolic process	0.9059099030744393	0.442900342702	9
fig|999419.3.peg.561	BP	0034641	cellular nitrogen compound metabolic process	0.7361656943745911	0.42928174337	10
fig|999419.3.peg.561	BP	0043170	macromolecule metabolic process	0.7329065851044965	0.429005667007	11
fig|999419.3.peg.561	BP	0006807	nitrogen compound metabolic process	0.5009958087816603	0.407474095357	12
fig|999419.3.peg.561	BP	0044238	primary metabolic process	0.45370363167186256	0.402503127837	13
fig|999419.3.peg.561	BP	0044237	cellular metabolic process	0.43078782821430467	0.400001191041	14
fig|999419.3.peg.561	BP	0071704	organic substance metabolic process	0.3955853858046431	0.396024380711	15
fig|999419.3.peg.561	BP	0009987	cellular process	0.3095398893381691	0.385483920854	16
fig|999419.3.peg.561	BP	0008152	metabolic process	0.2356842010202472	0.375190704618	17
fig|999419.3.peg.562	MF	0003677	DNA binding	3.0978082810792484	0.56026059145	1
fig|999419.3.peg.562	MF	0003676	nucleic acid binding	2.1215310464739883	0.516190718269	2
fig|999419.3.peg.562	MF	1901363	heterocyclic compound binding	1.2324476842591605	0.465894738826	3
fig|999419.3.peg.562	MF	0097159	organic cyclic compound binding	1.2321397422021123	0.465874599334	4
fig|999419.3.peg.562	MF	0005488	binding	0.8615310441415956	0.439472747486	5
fig|999419.3.peg.563	MF	0003924	GTPase activity	2.373520263587189	0.528398508395	1
fig|999419.3.peg.563	BP	0006400	tRNA modification	2.334099351831801	0.526533067866	1
fig|999419.3.peg.563	CC	0005737	cytoplasm	0.5582990547561476	0.413192586398	1
fig|999419.3.peg.563	MF	0005525	GTP binding	2.1285754904019534	0.516541549766	2
fig|999419.3.peg.563	BP	0008033	tRNA processing	2.104126410953659	0.515321416972	2
fig|999419.3.peg.563	CC	0044424	intracellular part	0.4697200147480587	0.404214450507	2
fig|999419.3.peg.563	MF	0032550	purine ribonucleoside binding	2.1285338170511046	0.516539476034	3
fig|999419.3.peg.563	BP	0009451	RNA modification	2.029389149458972	0.511547027084	3
fig|999419.3.peg.563	CC	0005622	intracellular	0.4697190776263725	0.404214351238	3
fig|999419.3.peg.563	MF	0001883	purine nucleoside binding	2.128261389996835	0.516525919131	4
fig|999419.3.peg.563	BP	0034470	ncRNA processing	1.9053744311022671	0.505127256993	4
fig|999419.3.peg.563	CC	0044464	cell part	0.3236606492562738	0.387305995029	4
fig|999419.3.peg.563	MF	0032561	guanyl ribonucleotide binding	2.1058823052034112	0.515409280469	5
fig|999419.3.peg.563	BP	0006399	tRNA metabolic process	1.8114692340462872	0.500125889585	5
fig|999419.3.peg.563	CC	0005623	cell	0.30949653846916747	0.385478263787	5
fig|999419.3.peg.563	MF	0019001	guanyl nucleotide binding	2.1052937349510636	0.515379832983	6
fig|999419.3.peg.563	BP	0006396	RNA processing	1.6978951007269096	0.493900397263	6
fig|999419.3.peg.563	MF	0032549	ribonucleoside binding	2.0884954732302226	0.514537636286	7
fig|999419.3.peg.563	BP	0034660	ncRNA metabolic process	1.688947868718661	0.493401233367	7
fig|999419.3.peg.563	MF	0001882	nucleoside binding	2.0874752623668704	0.514486378146	8
fig|999419.3.peg.563	BP	0043412	macromolecule modification	1.3217230909345081	0.471630946188	8
fig|999419.3.peg.563	MF	0017111	nucleoside-triphosphatase activity	1.4018046196252076	0.476613649452	9
fig|999419.3.peg.563	BP	0016070	RNA metabolic process	1.2992172121386514	0.470203620662	9
fig|999419.3.peg.563	MF	0016462	pyrophosphatase activity	1.3737862073155571	0.474886925351	10
