gene	ontology	GO_id	GO_name
fig|547042.5.peg.1|BACCOPRO_00001	MF	GO:0016887	ATPase activity
fig|547042.5.peg.1|BACCOPRO_00001	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|547042.5.peg.2|BACCOPRO_00002	MF	GO:0004519	endonuclease activity
fig|547042.5.peg.2|BACCOPRO_00002	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|547042.5.peg.5|BACCOPRO_00005	MF	GO:0043141	ATP-dependent 5-3 DNA helicase activity
fig|547042.5.peg.5|BACCOPRO_00005	BP	GO:0032508	DNA duplex unwinding
fig|547042.5.peg.7|BACCOPRO_00007	MF	GO:0016874	ligase activity
fig|547042.5.peg.10|BACCOPRO_00011	MF	GO:0004176	ATP-dependent peptidase activity
fig|547042.5.peg.10|BACCOPRO_00011	BP	GO:0030163	protein catabolic process
fig|547042.5.peg.12|BACCOPRO_00013	MF	GO:0008168	methyltransferase activity
fig|547042.5.peg.12|BACCOPRO_00013	BP	GO:0032259	methylation
fig|547042.5.peg.13|BACCOPRO_00014	MF	GO:0008168	methyltransferase activity
fig|547042.5.peg.13|BACCOPRO_00014	BP	GO:0032259	methylation
fig|547042.5.peg.21	MF	GO:0003677	DNA binding
fig|547042.5.peg.22|BACCOPRO_00029	BP	GO:0009116	nucleoside metabolic process
fig|547042.5.peg.22|BACCOPRO_00029	MF	GO:0016301	kinase activity
fig|547042.5.peg.23|BACCOPRO_00030	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.24|BACCOPRO_00031	MF	GO:0008233	peptidase activity
fig|547042.5.peg.24|BACCOPRO_00031	BP	GO:0006508	proteolysis
fig|547042.5.peg.25|BACCOPRO_00032	MF	GO:0003896	DNA primase activity
fig|547042.5.peg.25|BACCOPRO_00032	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|547042.5.peg.25|BACCOPRO_00032	CC	GO:1990077	primosome complex
fig|547042.5.peg.26|BACCOPRO_00033	MF	GO:0003677	DNA binding
fig|547042.5.peg.26|BACCOPRO_00033	BP	GO:0006355	regulation of transcription, DNA-templated
fig|547042.5.peg.29|BACCOPRO_00036	MF	GO:0043565	sequence-specific DNA binding
fig|547042.5.peg.31|BACCOPRO_00038	MF	GO:0005524	ATP binding
fig|547042.5.peg.33|BACCOPRO_00041	BP	GO:0006855	drug transmembrane transport
fig|547042.5.peg.33|BACCOPRO_00041	MF	GO:0015238	drug transmembrane transporter activity
fig|547042.5.peg.33|BACCOPRO_00041	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.34|BACCOPRO_00042	MF	GO:0004803	transposase activity
fig|547042.5.peg.34|BACCOPRO_00042	BP	GO:0006313	transposition, DNA-mediated
fig|547042.5.peg.36|BACCOPRO_00043	MF	GO:0008556	potassium-transporting ATPase activity
fig|547042.5.peg.36|BACCOPRO_00043	BP	GO:0071805	potassium ion transmembrane transport
fig|547042.5.peg.36|BACCOPRO_00043	CC	GO:0005887	integral component of plasma membrane
fig|547042.5.peg.37|BACCOPRO_00044	MF	GO:0008556	potassium-transporting ATPase activity
fig|547042.5.peg.37|BACCOPRO_00044	BP	GO:0071804	cellular potassium ion transport
fig|547042.5.peg.37|BACCOPRO_00044	CC	GO:0005887	integral component of plasma membrane
fig|547042.5.peg.38|BACCOPRO_00045	MF	GO:0008556	potassium-transporting ATPase activity
fig|547042.5.peg.38|BACCOPRO_00045	BP	GO:0071804	cellular potassium ion transport
fig|547042.5.peg.38|BACCOPRO_00045	CC	GO:0005887	integral component of plasma membrane
fig|547042.5.peg.40|BACCOPRO_00047	MF	GO:0015379	potassium:chloride symporter activity
fig|547042.5.peg.40|BACCOPRO_00047	BP	GO:0071805	potassium ion transmembrane transport
fig|547042.5.peg.40|BACCOPRO_00047	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.41|BACCOPRO_00048	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|547042.5.peg.41|BACCOPRO_00048	MF	GO:0000155	phosphorelay sensor kinase activity
fig|547042.5.peg.41|BACCOPRO_00048	CC	GO:0016020	membrane
fig|547042.5.peg.42|BACCOPRO_00049	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|547042.5.peg.42|BACCOPRO_00049	MF	GO:0000155	phosphorelay sensor kinase activity
fig|547042.5.peg.42|BACCOPRO_00049	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.43|BACCOPRO_00050	MF	GO:0043565	sequence-specific DNA binding
fig|547042.5.peg.44	MF	GO:0008134	transcription factor binding
fig|547042.5.peg.44	BP	GO:0000160	phosphorelay signal transduction system
fig|547042.5.peg.46|BACCOPRO_00054	MF	GO:0015485	cholesterol binding
fig|547042.5.peg.46|BACCOPRO_00054	BP	GO:0009405	pathogenesis
fig|547042.5.peg.47|BACCOPRO_00055	MF	GO:0030246	carbohydrate binding
fig|547042.5.peg.47|BACCOPRO_00055	BP	GO:0055085	transmembrane transport
fig|547042.5.peg.48|BACCOPRO_00056	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.49|BACCOPRO_00057	MF	GO:0030246	carbohydrate binding
fig|547042.5.peg.50|BACCOPRO_00058	MF	GO:0003824	catalytic activity
fig|547042.5.peg.52|BACCOPRO_00060	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|547042.5.peg.52|BACCOPRO_00060	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.54|BACCOPRO_00062	MF	GO:0030246	carbohydrate binding
fig|547042.5.peg.54|BACCOPRO_00062	BP	GO:0016052	carbohydrate catabolic process
fig|547042.5.peg.55|BACCOPRO_00063	MF	GO:0008236	serine-type peptidase activity
fig|547042.5.peg.55|BACCOPRO_00063	BP	GO:0006508	proteolysis
fig|547042.5.peg.58|BACCOPRO_00065	MF	GO:0032977	membrane insertase activity
fig|547042.5.peg.58|BACCOPRO_00065	BP	GO:0015031	protein transport
fig|547042.5.peg.58|BACCOPRO_00065	CC	GO:0005886	plasma membrane
fig|547042.5.peg.59|BACCOPRO_00066	MF	GO:0003883	CTP synthase activity
fig|547042.5.peg.59|BACCOPRO_00066	BP	GO:0006241	CTP biosynthetic process
fig|547042.5.peg.61|BACCOPRO_00069	CC	GO:0016021	integral component of membrane
fig|547042.5.peg.62|BACCOPRO_00070	CC	GO:0016020	membrane
