gene	ontology	GO_id	GO_name
fig|1519439.3.peg.3	MF	GO:0022857	transmembrane transporter activity
fig|1519439.3.peg.3	BP	GO:0055085	transmembrane transport
fig|1519439.3.peg.3	CC	GO:0005886	plasma membrane
fig|1519439.3.peg.4	MF	GO:0016887	ATPase activity
fig|1519439.3.peg.4	BP	GO:0015716	organic phosphonate transport
fig|1519439.3.peg.5	MF	GO:0016790	thiolester hydrolase activity
fig|1519439.3.peg.5	BP	GO:0006633	fatty acid biosynthetic process
fig|1519439.3.peg.6	MF	GO:0003938	IMP dehydrogenase activity
fig|1519439.3.peg.6	BP	GO:0006164	purine nucleotide biosynthetic process
fig|1519439.3.peg.7	BP	GO:0006541	glutamine metabolic process
fig|1519439.3.peg.7	MF	GO:0004642	phosphoribosylformylglycinamidine synthase activity
fig|1519439.3.peg.8	MF	GO:0004637	phosphoribosylamine-glycine ligase activity
fig|1519439.3.peg.8	BP	GO:0009113	purine nucleobase biosynthetic process
fig|1519439.3.peg.9	MF	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
fig|1519439.3.peg.9	BP	GO:0006164	purine nucleotide biosynthetic process
fig|1519439.3.peg.10	MF	GO:0003937	IMP cyclohydrolase activity
fig|1519439.3.peg.10	BP	GO:0006188	IMP biosynthetic process
fig|1519439.3.peg.11	MF	GO:0004644	phosphoribosylglycinamide formyltransferase activity
fig|1519439.3.peg.11	BP	GO:0006189	de novo IMP biosynthetic process
fig|1519439.3.peg.12	MF	GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
fig|1519439.3.peg.12	BP	GO:0006189	de novo IMP biosynthetic process
fig|1519439.3.peg.12	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.13	MF	GO:0004044	amidophosphoribosyltransferase activity
fig|1519439.3.peg.13	BP	GO:0009113	purine nucleobase biosynthetic process
fig|1519439.3.peg.14	MF	GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
fig|1519439.3.peg.14	BP	GO:0009236	cobalamin biosynthetic process
fig|1519439.3.peg.15	MF	GO:0034023	5-(carboxyamino)imidazole ribonucleotide mutase activity
fig|1519439.3.peg.15	BP	GO:0006189	de novo IMP biosynthetic process
fig|1519439.3.peg.15	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.17	MF	GO:0010181	FMN binding
fig|1519439.3.peg.17	BP	GO:0022900	electron transport chain
fig|1519439.3.peg.19	MF	GO:0043565	sequence-specific DNA binding
fig|1519439.3.peg.19	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1519439.3.peg.20	MF	GO:0016746	transferase activity, transferring acyl groups
fig|1519439.3.peg.20	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.23	MF	GO:0043565	sequence-specific DNA binding
fig|1519439.3.peg.24	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.25	MF	GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
fig|1519439.3.peg.25	BP	GO:0006564	L-serine biosynthetic process
fig|1519439.3.peg.25	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.26	MF	GO:0051287	NAD binding
fig|1519439.3.peg.26	BP	GO:0055114	oxidation-reduction process
fig|1519439.3.peg.27	MF	GO:0003697	single-stranded DNA binding
fig|1519439.3.peg.27	BP	GO:0006260	DNA replication
fig|1519439.3.peg.28	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1519439.3.peg.28	BP	GO:0055114	oxidation-reduction process
fig|1519439.3.peg.29	MF	GO:0016699	oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor
fig|1519439.3.peg.29	BP	GO:0042773	ATP synthesis coupled electron transport
fig|1519439.3.peg.29	CC	GO:0016020	membrane
fig|1519439.3.peg.30	MF	GO:0003700	DNA-binding transcription factor activity
fig|1519439.3.peg.30	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1519439.3.peg.31	MF	GO:0004349	glutamate 5-kinase activity
fig|1519439.3.peg.31	BP	GO:0006561	proline biosynthetic process
fig|1519439.3.peg.31	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.32	MF	GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
fig|1519439.3.peg.32	BP	GO:0006561	proline biosynthetic process
fig|1519439.3.peg.32	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.33	MF	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
fig|1519439.3.peg.34	MF	GO:0046872	metal ion binding
fig|1519439.3.peg.35	MF	GO:0016151	nickel cation binding
fig|1519439.3.peg.35	BP	GO:0051604	protein maturation
fig|1519439.3.peg.36	MF	GO:0016151	nickel cation binding
fig|1519439.3.peg.36	BP	GO:0051604	protein maturation
fig|1519439.3.peg.37	MF	GO:0051536	iron-sulfur cluster binding
fig|1519439.3.peg.37	BP	GO:0055114	oxidation-reduction process
fig|1519439.3.peg.40	MF	GO:0003700	DNA-binding transcription factor activity
fig|1519439.3.peg.40	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1519439.3.peg.41	CC	GO:0005886	plasma membrane
fig|1519439.3.peg.42	MF	GO:0016301	kinase activity
fig|1519439.3.peg.42	BP	GO:0016310	phosphorylation
fig|1519439.3.peg.44	MF	GO:0005215	transporter activity
fig|1519439.3.peg.44	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.45	MF	GO:0015225	biotin transmembrane transporter activity
fig|1519439.3.peg.45	BP	GO:0015878	biotin transport
fig|1519439.3.peg.45	CC	GO:0005886	plasma membrane
fig|1519439.3.peg.46	MF	GO:0005506	iron ion binding
fig|1519439.3.peg.46	BP	GO:0055114	oxidation-reduction process
fig|1519439.3.peg.48	MF	GO:0008784	alanine racemase activity
fig|1519439.3.peg.48	BP	GO:0006522	alanine metabolic process
fig|1519439.3.peg.49	MF	GO:0004519	endonuclease activity
fig|1519439.3.peg.49	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1519439.3.peg.52	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|1519439.3.peg.52	MF	GO:0008270	zinc ion binding
fig|1519439.3.peg.54	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.55	MF	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
fig|1519439.3.peg.55	BP	GO:1901137	carbohydrate derivative biosynthetic process
fig|1519439.3.peg.55	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.57	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.59	MF	GO:0003743	translation initiation factor activity
fig|1519439.3.peg.59	BP	GO:0006413	translational initiation
fig|1519439.3.peg.59	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.60	MF	GO:0003735	structural constituent of ribosome
fig|1519439.3.peg.60	BP	GO:0006412	translation
fig|1519439.3.peg.60	CC	GO:0005840	ribosome
fig|1519439.3.peg.61	BP	GO:0000027	ribosomal large subunit assembly
fig|1519439.3.peg.61	MF	GO:0019843	rRNA binding
fig|1519439.3.peg.61	CC	GO:0005840	ribosome
fig|1519439.3.peg.63	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.65	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.66	MF	GO:0005524	ATP binding
fig|1519439.3.peg.67	MF	GO:0004521	endoribonuclease activity
fig|1519439.3.peg.67	BP	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
fig|1519439.3.peg.67	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.68	MF	GO:0070181	small ribosomal subunit rRNA binding
fig|1519439.3.peg.68	BP	GO:0042274	ribosomal small subunit biogenesis
fig|1519439.3.peg.68	CC	GO:0005886	plasma membrane
fig|1519439.3.peg.69	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.70	BP	GO:0006310	DNA recombination
fig|1519439.3.peg.71	BP	GO:0045910	negative regulation of DNA recombination
fig|1519439.3.peg.71	MF	GO:0030983	mismatched DNA binding
fig|1519439.3.peg.72	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|1519439.3.peg.72	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.72	MF	GO:0016740	transferase activity
fig|1519439.3.peg.73	MF	GO:0009381	excinuclease ABC activity
fig|1519439.3.peg.73	CC	GO:0009380	excinuclease repair complex
fig|1519439.3.peg.73	BP	GO:0006289	nucleotide-excision repair
fig|1519439.3.peg.74	BP	GO:0009254	peptidoglycan turnover
fig|1519439.3.peg.74	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1519439.3.peg.74	CC	GO:0019867	outer membrane
fig|1519439.3.peg.77	CC	GO:0005886	plasma membrane
fig|1519439.3.peg.78	MF	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
fig|1519439.3.peg.78	BP	GO:0031167	rRNA methylation
fig|1519439.3.peg.78	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.79	MF	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
fig|1519439.3.peg.79	BP	GO:0006094	gluconeogenesis
fig|1519439.3.peg.79	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.80	MF	GO:0016787	hydrolase activity
fig|1519439.3.peg.80	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.81	BP	GO:0042121	alginic acid biosynthetic process
fig|1519439.3.peg.81	MF	GO:0016746	transferase activity, transferring acyl groups
fig|1519439.3.peg.81	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.82	BP	GO:0009305	protein biotinylation
fig|1519439.3.peg.82	MF	GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
fig|1519439.3.peg.83	MF	GO:0015109	chromate transmembrane transporter activity
fig|1519439.3.peg.83	BP	GO:0015703	chromate transport
fig|1519439.3.peg.83	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.84	MF	GO:0015109	chromate transmembrane transporter activity
fig|1519439.3.peg.84	BP	GO:0015703	chromate transport
fig|1519439.3.peg.84	CC	GO:0016021	integral component of membrane
fig|1519439.3.peg.85	MF	GO:0004849	uridine kinase activity
fig|1519439.3.peg.85	BP	GO:0044211	CTP salvage
fig|1519439.3.peg.85	CC	GO:0005737	cytoplasm
fig|1519439.3.peg.86	CC	GO:0016021	integral component of membrane
