gene	ontology	GO_id	GO_name
fig|411489.7.peg.5|CLOL250_00007	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.6|CLOL250_00008	BP	GO:0051301	cell division
fig|411489.7.peg.6|CLOL250_00008	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.7|CLOL250_00009	MF	GO:0016740	transferase activity
fig|411489.7.peg.7|CLOL250_00009	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.9|CLOL250_02963	BP	GO:0006355	regulation of transcription, DNA-templated
fig|411489.7.peg.9|CLOL250_02963	MF	GO:0003677	DNA binding
fig|411489.7.peg.10|CLOL250_02964	MF	GO:0000155	phosphorelay sensor kinase activity
fig|411489.7.peg.10|CLOL250_02964	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|411489.7.peg.10|CLOL250_02964	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.11|CLOL250_02965	BP	GO:0000160	phosphorelay signal transduction system
fig|411489.7.peg.11|CLOL250_02965	MF	GO:0003677	DNA binding
fig|411489.7.peg.12|CLOL250_02966	MF	GO:0009982	pseudouridine synthase activity
fig|411489.7.peg.12|CLOL250_02966	BP	GO:0001522	pseudouridine synthesis
fig|411489.7.peg.13|CLOL250_02967	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.14|CLOL250_02969	MF	GO:0004827	proline-tRNA ligase activity
fig|411489.7.peg.14|CLOL250_02969	BP	GO:0006433	prolyl-tRNA aminoacylation
fig|411489.7.peg.14|CLOL250_02969	CC	GO:0005737	cytoplasm
fig|411489.7.peg.15|CLOL250_02970	MF	GO:0052927	CTP:tRNA cytidylyltransferase activity
fig|411489.7.peg.15|CLOL250_02970	BP	GO:0006396	RNA processing
fig|411489.7.peg.16|CLOL250_02972	MF	GO:0051213	dioxygenase activity
fig|411489.7.peg.16|CLOL250_02972	BP	GO:0055114	oxidation-reduction process
fig|411489.7.peg.17|CLOL250_02973	MF	GO:0004497	monooxygenase activity
fig|411489.7.peg.17|CLOL250_02973	BP	GO:0055114	oxidation-reduction process
fig|411489.7.peg.19|CLOL250_02975	MF	GO:0016787	hydrolase activity
fig|411489.7.peg.19|CLOL250_02975	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.20|CLOL250_02976	MF	GO:0016787	hydrolase activity
fig|411489.7.peg.21|CLOL250_02977	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.23|CLOL250_02980	MF	GO:0016740	transferase activity
fig|411489.7.peg.24|CLOL250_02981	BP	GO:0006855	drug transmembrane transport
fig|411489.7.peg.24|CLOL250_02981	MF	GO:0015238	drug transmembrane transporter activity
fig|411489.7.peg.24|CLOL250_02981	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.25|CLOL250_02982	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.26|CLOL250_02983	MF	GO:0016740	transferase activity
fig|411489.7.peg.27|CLOL250_02984	MF	GO:0016740	transferase activity
fig|411489.7.peg.29|CLOL250_02987	MF	GO:0008641	ubiquitin-like modifier activating enzyme activity
fig|411489.7.peg.30|CLOL250_02988	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|411489.7.peg.30|CLOL250_02988	MF	GO:0016783	sulfurtransferase activity
fig|411489.7.peg.30|CLOL250_02988	CC	GO:0005737	cytoplasm
fig|411489.7.peg.31|CLOL250_02989	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|411489.7.peg.31|CLOL250_02989	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|411489.7.peg.32|CLOL250_02990	MF	GO:0003824	catalytic activity
fig|411489.7.peg.33|CLOL250_02991	MF	GO:0016740	transferase activity
fig|411489.7.peg.34|CLOL250_02993	MF	GO:0003677	DNA binding
fig|411489.7.peg.35|CLOL250_02994	MF	GO:0016787	hydrolase activity
fig|411489.7.peg.40|CLOL250_02999	MF	GO:0016868	intramolecular transferase activity, phosphotransferases
fig|411489.7.peg.40|CLOL250_02999	BP	GO:0005975	carbohydrate metabolic process
fig|411489.7.peg.41|CLOL250_02339	BP	GO:0006855	drug transmembrane transport
fig|411489.7.peg.41|CLOL250_02339	MF	GO:0015238	drug transmembrane transporter activity
fig|411489.7.peg.41|CLOL250_02339	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.42|CLOL250_02340	MF	GO:0016491	oxidoreductase activity
fig|411489.7.peg.42|CLOL250_02340	BP	GO:0055114	oxidation-reduction process
fig|411489.7.peg.43|CLOL250_02341	MF	GO:0047850	diaminopimelate dehydrogenase activity
fig|411489.7.peg.43|CLOL250_02341	BP	GO:0019877	diaminopimelate biosynthetic process
fig|411489.7.peg.44|CLOL250_02342	MF	GO:0016407	acetyltransferase activity
fig|411489.7.peg.45|CLOL250_02343	BP	GO:0008643	carbohydrate transport
fig|411489.7.peg.45|CLOL250_02343	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.46|CLOL250_02344	BP	GO:0055085	transmembrane transport
fig|411489.7.peg.46|CLOL250_02344	CC	GO:0005886	plasma membrane
fig|411489.7.peg.47|CLOL250_02345	BP	GO:0055085	transmembrane transport
fig|411489.7.peg.47|CLOL250_02345	CC	GO:0005886	plasma membrane
fig|411489.7.peg.49|CLOL250_02347	MF	GO:0000155	phosphorelay sensor kinase activity
fig|411489.7.peg.49|CLOL250_02347	BP	GO:0023014	signal transduction by protein phosphorylation
fig|411489.7.peg.49|CLOL250_02347	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.50|CLOL250_02348	MF	GO:0043565	sequence-specific DNA binding
fig|411489.7.peg.50|CLOL250_02348	BP	GO:0000160	phosphorelay signal transduction system
fig|411489.7.peg.51|CLOL250_02349	MF	GO:0008184	glycogen phosphorylase activity
fig|411489.7.peg.51|CLOL250_02349	BP	GO:0005977	glycogen metabolic process
fig|411489.7.peg.52|CLOL250_02350	MF	GO:0043565	sequence-specific DNA binding
fig|411489.7.peg.52|CLOL250_02350	BP	GO:0006355	regulation of transcription, DNA-templated
fig|411489.7.peg.53|CLOL250_02351	MF	GO:0016301	kinase activity
fig|411489.7.peg.53|CLOL250_02351	BP	GO:0016310	phosphorylation
fig|411489.7.peg.53|CLOL250_02351	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.54|CLOL250_02352	BP	GO:0000160	phosphorelay signal transduction system
fig|411489.7.peg.54|CLOL250_02352	MF	GO:0003677	DNA binding
fig|411489.7.peg.55|CLOL250_02353	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.55|CLOL250_02353	BP	GO:0055085	transmembrane transport
fig|411489.7.peg.56|CLOL250_02354	MF	GO:0016887	ATPase activity
fig|411489.7.peg.57	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.58|CLOL250_02357	MF	GO:0050418	hydroxylamine reductase activity
fig|411489.7.peg.58|CLOL250_02357	BP	GO:0055114	oxidation-reduction process
fig|411489.7.peg.58|CLOL250_02357	CC	GO:0005737	cytoplasm
fig|411489.7.peg.60|CLOL250_02359	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.61|CLOL250_02360	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.62|CLOL250_02362	MF	GO:0004645	phosphorylase activity
fig|411489.7.peg.62|CLOL250_02362	BP	GO:0044262	cellular carbohydrate metabolic process
fig|411489.7.peg.63|CLOL250_02363	MF	GO:0016301	kinase activity
fig|411489.7.peg.63|CLOL250_02363	BP	GO:0016310	phosphorylation
fig|411489.7.peg.64|CLOL250_02364	MF	GO:0004557	alpha-galactosidase activity
fig|411489.7.peg.64|CLOL250_02364	BP	GO:0005975	carbohydrate metabolic process
fig|411489.7.peg.65|CLOL250_02365	CC	GO:0005886	plasma membrane
fig|411489.7.peg.65|CLOL250_02365	BP	GO:0055085	transmembrane transport
fig|411489.7.peg.66|CLOL250_02366	CC	GO:0005886	plasma membrane
fig|411489.7.peg.66|CLOL250_02366	BP	GO:0055085	transmembrane transport
fig|411489.7.peg.67|CLOL250_02367	BP	GO:0008643	carbohydrate transport
fig|411489.7.peg.68|CLOL250_02368	MF	GO:0043565	sequence-specific DNA binding
fig|411489.7.peg.68|CLOL250_02368	BP	GO:0006355	regulation of transcription, DNA-templated
fig|411489.7.peg.69|CLOL250_02369	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.70|CLOL250_02370	MF	GO:0016829	lyase activity
fig|411489.7.peg.71|CLOL250_02371	BP	GO:0030001	metal ion transport
fig|411489.7.peg.71|CLOL250_02371	MF	GO:0046872	metal ion binding
fig|411489.7.peg.72|CLOL250_02372	MF	GO:0003677	DNA binding
fig|411489.7.peg.73|CLOL250_02373	MF	GO:0019104	DNA N-glycosylase activity
fig|411489.7.peg.73|CLOL250_02373	BP	GO:0006284	base-excision repair
fig|411489.7.peg.75|CLOL250_02375	MF	GO:0016787	hydrolase activity
fig|411489.7.peg.76|CLOL250_02376	MF	GO:0045302	choloylglycine hydrolase activity
fig|411489.7.peg.77|CLOL250_02378	MF	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
fig|411489.7.peg.77|CLOL250_02378	BP	GO:0009086	methionine biosynthetic process
fig|411489.7.peg.77|CLOL250_02378	CC	GO:0005829	cytosol
fig|411489.7.peg.78|CLOL250_02379	MF	GO:0003916	DNA topoisomerase activity
fig|411489.7.peg.78|CLOL250_02379	BP	GO:0006265	DNA topological change
fig|411489.7.peg.78|CLOL250_02379	CC	GO:0005694	chromosome
fig|411489.7.peg.79|CLOL250_02380	MF	GO:0005328	neurotransmitter:sodium symporter activity
fig|411489.7.peg.79|CLOL250_02380	BP	GO:0006836	neurotransmitter transport
fig|411489.7.peg.79|CLOL250_02380	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.81|CLOL250_02382	MF	GO:0004609	phosphatidylserine decarboxylase activity
fig|411489.7.peg.81|CLOL250_02382	BP	GO:0008654	phospholipid biosynthetic process
fig|411489.7.peg.82|CLOL250_02383	MF	GO:0016780	phosphotransferase activity, for other substituted phosphate groups
fig|411489.7.peg.82|CLOL250_02383	BP	GO:0008654	phospholipid biosynthetic process
fig|411489.7.peg.82|CLOL250_02383	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.83|CLOL250_02384	MF	GO:0050071	lysyltransferase activity
fig|411489.7.peg.83|CLOL250_02384	BP	GO:0046677	response to antibiotic
fig|411489.7.peg.83|CLOL250_02384	CC	GO:0005886	plasma membrane
fig|411489.7.peg.84|CLOL250_02386	BP	GO:0006855	drug transmembrane transport
fig|411489.7.peg.84|CLOL250_02386	MF	GO:0015238	drug transmembrane transporter activity
fig|411489.7.peg.84|CLOL250_02386	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.85|CLOL250_02387	MF	GO:0004386	helicase activity
fig|411489.7.peg.85|CLOL250_02387	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|411489.7.peg.86|CLOL250_02388	MF	GO:0004519	endonuclease activity
fig|411489.7.peg.86|CLOL250_02388	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|411489.7.peg.92|CLOL250_02398	CC	GO:0016021	integral component of membrane
fig|411489.7.peg.93|CLOL250_02399	MF	GO:0003700	DNA-binding transcription factor activity
