gene	ontology	GO_id	GO_name
fig|657315.3.peg.1	BP	GO:0009372	quorum sensing
fig|657315.3.peg.1	MF	GO:0008233	peptidase activity
fig|657315.3.peg.1	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.3|ROI_00110	BP	GO:0000160	phosphorelay signal transduction system
fig|657315.3.peg.3|ROI_00110	MF	GO:0003677	DNA binding
fig|657315.3.peg.4|ROI_00120	MF	GO:0016301	kinase activity
fig|657315.3.peg.4|ROI_00120	BP	GO:0016310	phosphorylation
fig|657315.3.peg.4|ROI_00120	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1534|ROI_00200	MF	GO:0008168	methyltransferase activity
fig|657315.3.peg.1534|ROI_00200	BP	GO:0032259	methylation
fig|657315.3.peg.1695|ROI_00260	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|657315.3.peg.1695|ROI_00260	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|657315.3.peg.1697|ROI_00280	MF	GO:0003677	DNA binding
fig|657315.3.peg.1697|ROI_00280	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657315.3.peg.1699|ROI_00300	MF	GO:0000150	recombinase activity
fig|657315.3.peg.1699|ROI_00300	BP	GO:0006310	DNA recombination
fig|657315.3.peg.1700|ROI_00310	MF	GO:0000150	recombinase activity
fig|657315.3.peg.1700|ROI_00310	BP	GO:0006310	DNA recombination
fig|657315.3.peg.1701|ROI_00320	MF	GO:0000150	recombinase activity
fig|657315.3.peg.1701|ROI_00320	BP	GO:0006310	DNA recombination
fig|657315.3.peg.1702	MF	GO:0043565	sequence-specific DNA binding
fig|657315.3.peg.1703|ROI_00340	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|657315.3.peg.1703|ROI_00340	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1704|ROI_00350	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1706|ROI_00370	BP	GO:0000160	phosphorelay signal transduction system
fig|657315.3.peg.1706|ROI_00370	MF	GO:0003677	DNA binding
fig|657315.3.peg.1707|ROI_00380	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|657315.3.peg.1707|ROI_00380	MF	GO:0000155	phosphorelay sensor kinase activity
fig|657315.3.peg.1707|ROI_00380	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1709|ROI_00400	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|657315.3.peg.1709|ROI_00400	BP	GO:0005975	carbohydrate metabolic process
fig|657315.3.peg.1710|ROI_00410	BP	GO:0000160	phosphorelay signal transduction system
fig|657315.3.peg.1710|ROI_00410	MF	GO:0003677	DNA binding
fig|657315.3.peg.1711|ROI_00420	MF	GO:0005524	ATP binding
fig|657315.3.peg.1711|ROI_00420	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1711|ROI_00420	BP	GO:0016310	phosphorylation
fig|657315.3.peg.1712|ROI_00430	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1713|ROI_00440	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|657315.3.peg.1713|ROI_00440	BP	GO:0005975	carbohydrate metabolic process
fig|657315.3.peg.1713|ROI_00440	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1714|ROI_00450	BP	GO:0000271	polysaccharide biosynthetic process
fig|657315.3.peg.1714|ROI_00450	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1715|ROI_00460	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1718|ROI_00480	MF	GO:0010181	FMN binding
fig|657315.3.peg.1720|ROI_00490	MF	GO:0005215	transporter activity
