gene	ontology	GO_id	GO_name
fig|1262915.3.peg.1|BN574_00001	MF	GO:0016887	ATPase activity
fig|1262915.3.peg.2|BN574_00002	BP	GO:0006307	DNA dealkylation involved in DNA repair
fig|1262915.3.peg.2|BN574_00002	MF	GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
fig|1262915.3.peg.2|BN574_00002	CC	GO:0005737	cytoplasm
fig|1262915.3.peg.3|BN574_00003	MF	GO:0016874	ligase activity
fig|1262915.3.peg.4|BN574_00004	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|1262915.3.peg.4|BN574_00004	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.5|BN574_00588	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.6|BN574_00589	BP	GO:0008643	carbohydrate transport
fig|1262915.3.peg.7|BN574_00590	CC	GO:0005886	plasma membrane
fig|1262915.3.peg.7|BN574_00590	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.8|BN574_00591	CC	GO:0005886	plasma membrane
fig|1262915.3.peg.8|BN574_00591	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.9|BN574_00592	MF	GO:0016887	ATPase activity
fig|1262915.3.peg.9|BN574_00592	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|1262915.3.peg.9|BN574_00592	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.10|BN574_00593	MF	GO:0016853	isomerase activity
fig|1262915.3.peg.10|BN574_00593	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1262915.3.peg.12|BN574_00595	MF	GO:0003677	DNA binding
fig|1262915.3.peg.13|BN574_00596	MF	GO:0005388	calcium-transporting ATPase activity
fig|1262915.3.peg.13|BN574_00596	BP	GO:0070588	calcium ion transmembrane transport
fig|1262915.3.peg.13|BN574_00596	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.14|BN574_00597	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.16|BN574_00599	MF	GO:0022857	transmembrane transporter activity
fig|1262915.3.peg.16|BN574_00599	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.16|BN574_00599	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.17|BN574_00600	MF	GO:0016740	transferase activity
fig|1262915.3.peg.18|BN574_00601	MF	GO:0016740	transferase activity
fig|1262915.3.peg.20|BN574_00602	MF	GO:0008168	methyltransferase activity
fig|1262915.3.peg.20|BN574_00602	BP	GO:0032259	methylation
fig|1262915.3.peg.20|BN574_00602	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.21|BN574_00603	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.22|BN574_00604	CC	GO:0005886	plasma membrane
fig|1262915.3.peg.22|BN574_00604	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.23|BN574_00605	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|1262915.3.peg.23|BN574_00605	MF	GO:0022857	transmembrane transporter activity
fig|1262915.3.peg.23|BN574_00605	BP	GO:0055085	transmembrane transport
fig|1262915.3.peg.25|BN574_00607	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|1262915.3.peg.25|BN574_00607	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1262915.3.peg.25|BN574_00607	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.26|BN574_00608	BP	GO:0000160	phosphorelay signal transduction system
fig|1262915.3.peg.26|BN574_00608	MF	GO:0003677	DNA binding
fig|1262915.3.peg.28|BN574_00610	MF	GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
fig|1262915.3.peg.28|BN574_00610	BP	GO:0006189	de novo IMP biosynthetic process
fig|1262915.3.peg.30|BN574_00612	BP	GO:0006813	potassium ion transport
fig|1262915.3.peg.30|BN574_00612	MF	GO:0008324	cation transmembrane transporter activity
fig|1262915.3.peg.30|BN574_00612	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.31|BN574_00613	MF	GO:0015299	solute:proton antiporter activity
fig|1262915.3.peg.31|BN574_00613	BP	GO:1902600	proton transmembrane transport
fig|1262915.3.peg.31|BN574_00613	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.32|BN574_00614	MF	GO:0102009	proline dipeptidase activity
fig|1262915.3.peg.32|BN574_00614	BP	GO:0006508	proteolysis
fig|1262915.3.peg.33|BN574_00615	MF	GO:0003824	catalytic activity
fig|1262915.3.peg.35|BN574_00617	MF	GO:0016887	ATPase activity
fig|1262915.3.peg.37|BN574_00620	MF	GO:0051536	iron-sulfur cluster binding
fig|1262915.3.peg.37|BN574_00620	BP	GO:0055114	oxidation-reduction process
fig|1262915.3.peg.38|BN574_00621	MF	GO:0000034	adenine deaminase activity
fig|1262915.3.peg.38|BN574_00621	BP	GO:0006146	adenine catabolic process
fig|1262915.3.peg.39|BN574_00622	MF	GO:0016853	isomerase activity
fig|1262915.3.peg.42|BN574_00626	MF	GO:0004356	glutamate-ammonia ligase activity
fig|1262915.3.peg.42|BN574_00626	BP	GO:0006807	nitrogen compound metabolic process
fig|1262915.3.peg.44|BN574_00628	BP	GO:0030420	establishment of competence for transformation
fig|1262915.3.peg.44|BN574_00628	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.45|BN574_00629	BP	GO:0006281	DNA repair
fig|1262915.3.peg.45|BN574_00629	MF	GO:0003677	DNA binding
fig|1262915.3.peg.45|BN574_00629	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.46|BN574_00630	MF	GO:0004823	leucine-tRNA ligase activity
fig|1262915.3.peg.46|BN574_00630	BP	GO:0006429	leucyl-tRNA aminoacylation
fig|1262915.3.peg.46|BN574_00630	CC	GO:0005737	cytoplasm
fig|1262915.3.peg.47|BN574_00631	MF	GO:0016787	hydrolase activity
fig|1262915.3.peg.48|BN574_00632	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.49|BN574_00633	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.50|BN574_00634	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.51|BN574_00635	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.52|BN574_00636	BP	GO:0015628	protein secretion by the type II secretion system
fig|1262915.3.peg.52|BN574_00636	CC	GO:0015627	type II protein secretion system complex
fig|1262915.3.peg.52|BN574_00636	MF	GO:0008565	protein transporter activity
fig|1262915.3.peg.53|BN574_00637	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.54|BN574_00638	BP	GO:0006814	sodium ion transport
fig|1262915.3.peg.54|BN574_00638	MF	GO:0005215	transporter activity
fig|1262915.3.peg.54|BN574_00638	CC	GO:0016021	integral component of membrane
fig|1262915.3.peg.55|BN574_00639	BP	GO:0016226	iron-sulfur cluster assembly
fig|1262915.3.peg.56|BN574_00640	MF	GO:0016887	ATPase activity
fig|1262915.3.peg.57|BN574_00641	BP	GO:0042158	lipoprotein biosynthetic process
