gene	ontology	GO_id	GO_name
fig|592977.3.peg.1|BSTER_1808	MF	GO:0070403	NAD+ binding
fig|592977.3.peg.2|BSTER_1809	MF	GO:0004794	L-threonine ammonia-lyase activity
fig|592977.3.peg.2|BSTER_1809	BP	GO:0006567	threonine catabolic process
fig|592977.3.peg.3|BSTER_1810	BP	GO:0005975	carbohydrate metabolic process
fig|592977.3.peg.3|BSTER_1810	MF	GO:0004574	oligo-1,6-glucosidase activity
fig|592977.3.peg.4|BSTER_1811	CC	GO:0005886	plasma membrane
fig|592977.3.peg.4|BSTER_1811	BP	GO:0055085	transmembrane transport
fig|592977.3.peg.5|BSTER_1812	CC	GO:0005886	plasma membrane
fig|592977.3.peg.5|BSTER_1812	BP	GO:0055085	transmembrane transport
fig|592977.3.peg.6|BSTER_1813	BP	GO:0006810	transport
fig|592977.3.peg.6|BSTER_1813	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.8|BSTER_1814	MF	GO:0008865	fructokinase activity
fig|592977.3.peg.8|BSTER_1814	BP	GO:0046835	carbohydrate phosphorylation
fig|592977.3.peg.9|BSTER_1815	MF	GO:0004557	alpha-galactosidase activity
fig|592977.3.peg.9|BSTER_1815	BP	GO:0005975	carbohydrate metabolic process
fig|592977.3.peg.10|BSTER_1816	MF	GO:0008251	tRNA-specific adenosine deaminase activity
fig|592977.3.peg.10|BSTER_1816	BP	GO:0002100	tRNA wobble adenosine to inosine editing
fig|592977.3.peg.12|BSTER_1817	MF	GO:0015299	solute:proton antiporter activity
fig|592977.3.peg.12|BSTER_1817	BP	GO:1902600	proton transmembrane transport
fig|592977.3.peg.12|BSTER_1817	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.14|BSTER_1818	MF	GO:0016787	hydrolase activity
fig|592977.3.peg.15|BSTER_1819	MF	GO:0033973	dCTP deaminase (dUMP-forming) activity
fig|592977.3.peg.15|BSTER_1819	BP	GO:0006229	dUTP biosynthetic process
fig|592977.3.peg.16|BSTER_1820	MF	GO:0000166	nucleotide binding
fig|592977.3.peg.16|BSTER_1820	BP	GO:0070588	calcium ion transmembrane transport
fig|592977.3.peg.16|BSTER_1820	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.17|BSTER_1821	MF	GO:0004565	beta-galactosidase activity
fig|592977.3.peg.17|BSTER_1821	CC	GO:0009341	beta-galactosidase complex
fig|592977.3.peg.17|BSTER_1821	BP	GO:0005975	carbohydrate metabolic process
fig|592977.3.peg.18|BSTER_1822	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.18|BSTER_1822	MF	GO:0004497	monooxygenase activity
fig|592977.3.peg.18|BSTER_1822	BP	GO:0055114	oxidation-reduction process
fig|592977.3.peg.19|BSTER_1823	BP	GO:0006355	regulation of transcription, DNA-templated
fig|592977.3.peg.19|BSTER_1823	MF	GO:0003677	DNA binding
fig|592977.3.peg.20|BSTER_1824	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.23|BSTER_1826	BP	GO:0055085	transmembrane transport
fig|592977.3.peg.23|BSTER_1826	CC	GO:0016021	integral component of membrane
fig|592977.3.peg.23|BSTER_1826	MF	GO:0008168	methyltransferase activity
fig|592977.3.peg.24|BSTER_1827	MF	GO:0008173	RNA methyltransferase activity
fig|592977.3.peg.24|BSTER_1827	BP	GO:0001510	RNA methylation
fig|592977.3.peg.54|BSTER_1860	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|592977.3.peg.54|BSTER_1860	BP	GO:0005975	carbohydrate metabolic process
fig|592977.3.peg.55|BSTER_1861	CC	GO:0005886	plasma membrane
