gene	ontology	GO_id	GO_name
fig|717959.3.peg.2	MF	GO:0004866	endopeptidase inhibitor activity
fig|717959.3.peg.2	BP	GO:0010951	negative regulation of endopeptidase activity
fig|717959.3.peg.2	CC	GO:0005615	extracellular space
fig|717959.3.peg.1825|AL1_00130	MF	GO:0008955	peptidoglycan glycosyltransferase activity
fig|717959.3.peg.1825|AL1_00130	BP	GO:0009252	peptidoglycan biosynthetic process
fig|717959.3.peg.1825|AL1_00130	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1826	MF	GO:0004034	aldose 1-epimerase activity
fig|717959.3.peg.1826	BP	GO:0019318	hexose metabolic process
fig|717959.3.peg.1904	MF	GO:0008484	sulfuric ester hydrolase activity
fig|717959.3.peg.1904	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1905|AL1_00180	MF	GO:0008484	sulfuric ester hydrolase activity
fig|717959.3.peg.1905|AL1_00180	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1906|AL1_00190	MF	GO:0000155	phosphorelay sensor kinase activity
fig|717959.3.peg.1906|AL1_00190	BP	GO:0023014	signal transduction by protein phosphorylation
fig|717959.3.peg.1906|AL1_00190	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1907	MF	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
fig|717959.3.peg.1907	CC	GO:0016020	membrane
fig|717959.3.peg.1908|AL1_00210	MF	GO:0016829	lyase activity
fig|717959.3.peg.1908|AL1_00210	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1909|AL1_00220	MF	GO:0016829	lyase activity
fig|717959.3.peg.1909|AL1_00220	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1913|AL1_00260	CC	GO:0009279	cell outer membrane
fig|717959.3.peg.1914|AL1_00270	MF	GO:0016787	hydrolase activity
fig|717959.3.peg.1914|AL1_00270	BP	GO:0008152	metabolic process
fig|717959.3.peg.1915|AL1_00280	MF	GO:0030246	carbohydrate binding
fig|717959.3.peg.1915|AL1_00280	CC	GO:0005576	extracellular region
fig|717959.3.peg.1915|AL1_00280	BP	GO:0005975	carbohydrate metabolic process
fig|717959.3.peg.1916|AL1_00290	BP	GO:0006355	regulation of transcription, DNA-templated
fig|717959.3.peg.1916|AL1_00290	MF	GO:0003677	DNA binding
fig|717959.3.peg.1917|AL1_00310	MF	GO:0022857	transmembrane transporter activity
fig|717959.3.peg.1917|AL1_00310	BP	GO:0055085	transmembrane transport
fig|717959.3.peg.1917|AL1_00310	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1918|AL1_00320	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.1918|AL1_00320	MF	GO:0016491	oxidoreductase activity
fig|717959.3.peg.1918|AL1_00320	BP	GO:0055114	oxidation-reduction process
fig|717959.3.peg.1919|AL1_00330	CC	GO:0009279	cell outer membrane
fig|717959.3.peg.2085|AL1_00350	MF	GO:0016787	hydrolase activity
fig|717959.3.peg.2087|AL1_00370	MF	GO:0003824	catalytic activity
fig|717959.3.peg.2087|AL1_00370	BP	GO:0006629	lipid metabolic process
fig|717959.3.peg.2087|AL1_00370	CC	GO:0016021	integral component of membrane
fig|717959.3.peg.2088|AL1_00380	MF	GO:0052692	raffinose alpha-galactosidase activity
fig|717959.3.peg.2088|AL1_00380	BP	GO:0005975	carbohydrate metabolic process
fig|717959.3.peg.2089	BP	GO:0015074	DNA integration
fig|717959.3.peg.2089	MF	GO:0003677	DNA binding
