gene	ontology	GO_id	GO_name
fig|1235803.3.peg.1|C825_00001	MF	GO:0005524	ATP binding
fig|1235803.3.peg.2|C825_00002	BP	GO:0006397	mRNA processing
fig|1235803.3.peg.2|C825_00002	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1235803.3.peg.4|C825_00004	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.5|C825_00005	CC	GO:0016020	membrane
fig|1235803.3.peg.6|C825_00006	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.7|C825_00007	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.10|C825_00010	MF	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
fig|1235803.3.peg.10|C825_00010	BP	GO:0090116	C-5 methylation of cytosine
fig|1235803.3.peg.11|C825_00011	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.17|C825_00016	BP	GO:0015074	DNA integration
fig|1235803.3.peg.17|C825_00016	MF	GO:0003677	DNA binding
fig|1235803.3.peg.18|C825_00018	BP	GO:0006662	glycerol ether metabolic process
fig|1235803.3.peg.18|C825_00018	MF	GO:0015035	protein disulfide oxidoreductase activity
fig|1235803.3.peg.18|C825_00018	CC	GO:0005623	cell
fig|1235803.3.peg.19|C825_00019	MF	GO:0003735	structural constituent of ribosome
fig|1235803.3.peg.19|C825_00019	BP	GO:0006412	translation
fig|1235803.3.peg.19|C825_00019	CC	GO:0005840	ribosome
fig|1235803.3.peg.20|C825_00020	MF	GO:0016887	ATPase activity
fig|1235803.3.peg.20|C825_00020	BP	GO:0015886	heme transport
fig|1235803.3.peg.21|C825_00021	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.22|C825_00022	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.23|C825_00023	MF	GO:0004067	asparaginase activity
fig|1235803.3.peg.23|C825_00023	BP	GO:0006520	cellular amino acid metabolic process
fig|1235803.3.peg.24|C825_00024	MF	GO:0016787	hydrolase activity
fig|1235803.3.peg.27|C825_00028	MF	GO:0008478	pyridoxal kinase activity
fig|1235803.3.peg.298|C825_00296	BP	GO:0006813	potassium ion transport
fig|1235803.3.peg.298|C825_00296	MF	GO:0008324	cation transmembrane transporter activity
fig|1235803.3.peg.298|C825_00296	CC	GO:0005886	plasma membrane
fig|1235803.3.peg.299|C825_00297	MF	GO:0016491	oxidoreductase activity
fig|1235803.3.peg.299|C825_00297	BP	GO:0055114	oxidation-reduction process
fig|1235803.3.peg.299|C825_00297	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.300|C825_00298	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.301|C825_00299	MF	GO:0008168	methyltransferase activity
fig|1235803.3.peg.301|C825_00299	BP	GO:0032259	methylation
fig|1235803.3.peg.302|C825_00300	MF	GO:0004834	tryptophan synthase activity
fig|1235803.3.peg.302|C825_00300	BP	GO:0000162	tryptophan biosynthetic process
fig|1235803.3.peg.303|C825_00301	BP	GO:0009058	biosynthetic process
fig|1235803.3.peg.303|C825_00301	MF	GO:0004049	anthranilate synthase activity
fig|1235803.3.peg.304|C825_00302	BP	GO:0006541	glutamine metabolic process
fig|1235803.3.peg.304|C825_00302	MF	GO:0004049	anthranilate synthase activity
fig|1235803.3.peg.305|C825_00303	MF	GO:0004048	anthranilate phosphoribosyltransferase activity
fig|1235803.3.peg.305|C825_00303	BP	GO:0000162	tryptophan biosynthetic process
fig|1235803.3.peg.305|C825_00303	CC	GO:0005829	cytosol
fig|1235803.3.peg.306|C825_00304	MF	GO:0004425	indole-3-glycerol-phosphate synthase activity
fig|1235803.3.peg.306|C825_00304	BP	GO:0006568	tryptophan metabolic process
fig|1235803.3.peg.307|C825_00305	MF	GO:0004640	phosphoribosylanthranilate isomerase activity
fig|1235803.3.peg.307|C825_00305	BP	GO:0000162	tryptophan biosynthetic process
fig|1235803.3.peg.308|C825_00306	MF	GO:0004834	tryptophan synthase activity
fig|1235803.3.peg.308|C825_00306	BP	GO:0000162	tryptophan biosynthetic process
fig|1235803.3.peg.310|C825_00308	MF	GO:0005506	iron ion binding
fig|1235803.3.peg.310|C825_00308	BP	GO:0098869	cellular oxidant detoxification
fig|1235803.3.peg.311|C825_00309	MF	GO:0016829	lyase activity
fig|1235803.3.peg.312|C825_00310	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.313|C825_00311	MF	GO:0009982	pseudouridine synthase activity
fig|1235803.3.peg.313|C825_00311	BP	GO:0001522	pseudouridine synthesis
fig|1235803.3.peg.314|C825_00312	MF	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
fig|1235803.3.peg.314|C825_00312	BP	GO:0006633	fatty acid biosynthetic process
fig|1235803.3.peg.315|C825_00313	MF	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
fig|1235803.3.peg.315|C825_00313	BP	GO:0006633	fatty acid biosynthetic process
fig|1235803.3.peg.316|C825_00314	MF	GO:0003677	DNA binding
fig|1235803.3.peg.317|C825_00316	MF	GO:0051082	unfolded protein binding
fig|1235803.3.peg.317|C825_00316	BP	GO:0006457	protein folding
fig|1235803.3.peg.321|C825_00321	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|1235803.3.peg.321|C825_00321	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.321|C825_00321	MF	GO:0016301	kinase activity
fig|1235803.3.peg.322|C825_00322	MF	GO:0015159	polysaccharide transmembrane transporter activity
fig|1235803.3.peg.322|C825_00322	BP	GO:0015774	polysaccharide transport
fig|1235803.3.peg.322|C825_00322	CC	GO:0016020	membrane
fig|1235803.3.peg.324|C825_00324	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.325|C825_00325	MF	GO:0003896	DNA primase activity
fig|1235803.3.peg.325|C825_00325	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|1235803.3.peg.326|C825_00326	MF	GO:0003678	DNA helicase activity
fig|1235803.3.peg.326|C825_00326	BP	GO:0032508	DNA duplex unwinding
fig|1235803.3.peg.327|C825_00327	MF	GO:0003678	DNA helicase activity
fig|1235803.3.peg.327|C825_00327	BP	GO:0032508	DNA duplex unwinding
fig|1235803.3.peg.329|C825_00330	MF	GO:0003677	DNA binding
fig|1235803.3.peg.330|C825_00331	MF	GO:0004040	amidase activity
fig|1235803.3.peg.331|C825_00332	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.332|C825_00333	MF	GO:0016853	isomerase activity
fig|1235803.3.peg.332|C825_00333	BP	GO:0000162	tryptophan biosynthetic process
fig|1235803.3.peg.333|C825_00334	MF	GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
fig|1235803.3.peg.333|C825_00334	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.333|C825_00334	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|1235803.3.peg.334|C825_00335	MF	GO:0050662	coenzyme binding
fig|1235803.3.peg.335|C825_00336	MF	GO:0016740	transferase activity
fig|1235803.3.peg.335|C825_00336	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.336|C825_00337	MF	GO:0008761	UDP-N-acetylglucosamine 2-epimerase activity
fig|1235803.3.peg.337|C825_00338	MF	GO:0050662	coenzyme binding
fig|1235803.3.peg.339|C825_00339	MF	GO:0003978	UDP-glucose 4-epimerase activity
fig|1235803.3.peg.339|C825_00339	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|1235803.3.peg.340|C825_00340	MF	GO:0016740	transferase activity
fig|1235803.3.peg.341|C825_00341	MF	GO:0016740	transferase activity
fig|1235803.3.peg.342|C825_00342	MF	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
fig|1235803.3.peg.342|C825_00342	BP	GO:0000271	polysaccharide biosynthetic process
fig|1235803.3.peg.344|C825_00344	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.345|C825_00345	MF	GO:0016740	transferase activity
fig|1235803.3.peg.345|C825_00345	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.346|C825_00346	MF	GO:0050501	hyaluronan synthase activity
fig|1235803.3.peg.346|C825_00346	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.347|C825_00347	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.348|C825_00348	MF	GO:0008460	dTDP-glucose 4,6-dehydratase activity
fig|1235803.3.peg.349|C825_00349	MF	GO:0003979	UDP-glucose 6-dehydrogenase activity
fig|1235803.3.peg.349|C825_00349	BP	GO:0000271	polysaccharide biosynthetic process
fig|1235803.3.peg.350|C825_00350	MF	GO:0003978	UDP-glucose 4-epimerase activity
fig|1235803.3.peg.350|C825_00350	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.351|C825_00351	MF	GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
fig|1235803.3.peg.351|C825_00351	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.351|C825_00351	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|1235803.3.peg.352|C825_00352	MF	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
fig|1235803.3.peg.352|C825_00352	BP	GO:0000271	polysaccharide biosynthetic process
fig|1235803.3.peg.353|C825_00353	BP	GO:0008643	carbohydrate transport
fig|1235803.3.peg.353|C825_00353	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.354|C825_00354	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.355|C825_00355	MF	GO:0016740	transferase activity
fig|1235803.3.peg.356|C825_00356	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|1235803.3.peg.357|C825_00357	MF	GO:0009001	serine O-acetyltransferase activity
fig|1235803.3.peg.357|C825_00357	BP	GO:0006535	cysteine biosynthetic process from serine
fig|1235803.3.peg.357|C825_00357	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.358|C825_00358	MF	GO:0016829	lyase activity
fig|1235803.3.peg.359|C825_00359	MF	GO:0016740	transferase activity
fig|1235803.3.peg.359|C825_00359	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.360|C825_00360	MF	GO:0008761	UDP-N-acetylglucosamine 2-epimerase activity
fig|1235803.3.peg.361|C825_00361	MF	GO:0015159	polysaccharide transmembrane transporter activity
fig|1235803.3.peg.361|C825_00361	BP	GO:0015774	polysaccharide transport
fig|1235803.3.peg.361|C825_00361	CC	GO:0016020	membrane
fig|1235803.3.peg.362|C825_00362	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|1235803.3.peg.362|C825_00362	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.362|C825_00362	MF	GO:0016301	kinase activity
fig|1235803.3.peg.363|C825_00363	MF	GO:0016301	kinase activity
fig|1235803.3.peg.363|C825_00363	BP	GO:0016310	phosphorylation
fig|1235803.3.peg.365|C825_00364	MF	GO:0000150	recombinase activity
fig|1235803.3.peg.365|C825_00364	BP	GO:0006310	DNA recombination
fig|1235803.3.peg.365|C825_00364	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.367|C825_00366	MF	GO:0004550	nucleoside diphosphate kinase activity
fig|1235803.3.peg.367|C825_00366	BP	GO:0006228	UTP biosynthetic process
fig|1235803.3.peg.367|C825_00366	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.369|C825_00368	MF	GO:0030170	pyridoxal phosphate binding
fig|1235803.3.peg.370|C825_00369	MF	GO:1990663	dihydroorotate dehydrogenase (fumarate) activity
fig|1235803.3.peg.370|C825_00369	BP	GO:0055114	oxidation-reduction process
fig|1235803.3.peg.371|C825_00370	MF	GO:0004152	dihydroorotate dehydrogenase activity
fig|1235803.3.peg.371|C825_00370	BP	GO:0006222	UMP biosynthetic process
fig|1235803.3.peg.371|C825_00370	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.373|C825_00372	MF	GO:0003700	DNA-binding transcription factor activity
fig|1235803.3.peg.373|C825_00372	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235803.3.peg.374|C825_00373	BP	GO:0045454	cell redox homeostasis
fig|1235803.3.peg.374|C825_00373	MF	GO:0050660	flavin adenine dinucleotide binding
fig|1235803.3.peg.374|C825_00373	CC	GO:0005623	cell
fig|1235803.3.peg.375|C825_00374	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.376|C825_00375	MF	GO:0004828	serine-tRNA ligase activity
fig|1235803.3.peg.376|C825_00375	BP	GO:0006434	seryl-tRNA aminoacylation
fig|1235803.3.peg.377|C825_00376	MF	GO:0016787	hydrolase activity
fig|1235803.3.peg.377|C825_00376	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.380|C825_00379	CC	GO:0005886	plasma membrane
fig|1235803.3.peg.380|C825_00379	MF	GO:0005524	ATP binding
fig|1235803.3.peg.381|C825_00380	MF	GO:0016887	ATPase activity
fig|1235803.3.peg.381|C825_00380	BP	GO:0015716	organic phosphonate transport
fig|1235803.3.peg.382|C825_00381	MF	GO:0008134	transcription factor binding
fig|1235803.3.peg.382|C825_00381	BP	GO:0000160	phosphorelay signal transduction system
fig|1235803.3.peg.383|C825_00382	MF	GO:0016301	kinase activity
fig|1235803.3.peg.383|C825_00382	BP	GO:0016310	phosphorylation
fig|1235803.3.peg.383|C825_00382	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.385|C825_00384	MF	GO:0005524	ATP binding
fig|1235803.3.peg.394|C825_00392	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.397|C825_00395	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.398|C825_00396	MF	GO:0003735	structural constituent of ribosome
fig|1235803.3.peg.398|C825_00396	BP	GO:0006412	translation
fig|1235803.3.peg.398|C825_00396	CC	GO:0005840	ribosome
fig|1235803.3.peg.399|C825_00397	MF	GO:0019843	rRNA binding
fig|1235803.3.peg.399|C825_00397	BP	GO:0006412	translation
fig|1235803.3.peg.399|C825_00397	CC	GO:0005840	ribosome
fig|1235803.3.peg.402|C825_00400	MF	GO:0004803	transposase activity
fig|1235803.3.peg.402|C825_00400	BP	GO:0006313	transposition, DNA-mediated
fig|1235803.3.peg.402|C825_00400	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.404|C825_00402	MF	GO:0047429	nucleoside-triphosphate diphosphatase activity
fig|1235803.3.peg.404|C825_00402	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.405|C825_00403	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|1235803.3.peg.405|C825_00403	BP	GO:0016311	dephosphorylation
fig|1235803.3.peg.406|C825_00404	BP	GO:0055114	oxidation-reduction process
fig|1235803.3.peg.407|C825_00405	MF	GO:0016491	oxidoreductase activity
fig|1235803.3.peg.407|C825_00405	BP	GO:0055114	oxidation-reduction process
fig|1235803.3.peg.408|C825_00406	CC	GO:0009279	cell outer membrane
fig|1235803.3.peg.408|C825_00406	MF	GO:0004180	carboxypeptidase activity
fig|1235803.3.peg.408|C825_00406	BP	GO:0006508	proteolysis
fig|1235803.3.peg.409|C825_00407	MF	GO:0004493	methylmalonyl-CoA epimerase activity
fig|1235803.3.peg.409|C825_00407	BP	GO:0055114	oxidation-reduction process
fig|1235803.3.peg.410|C825_00408	MF	GO:0016874	ligase activity
fig|1235803.3.peg.410|C825_00408	CC	GO:0009317	acetyl-CoA carboxylase complex
fig|1235803.3.peg.410|C825_00408	BP	GO:0006633	fatty acid biosynthetic process
fig|1235803.3.peg.411|C825_00409	BP	GO:0036376	sodium ion export across plasma membrane
fig|1235803.3.peg.411|C825_00409	MF	GO:0008948	oxaloacetate decarboxylase activity
fig|1235803.3.peg.411|C825_00409	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.412|C825_00410	MF	GO:0018801	glutaconyl-CoA decarboxylase activity
fig|1235803.3.peg.412|C825_00410	CC	GO:0009317	acetyl-CoA carboxylase complex
fig|1235803.3.peg.412|C825_00410	BP	GO:0006633	fatty acid biosynthetic process
fig|1235803.3.peg.413|C825_00411	BP	GO:0006814	sodium ion transport
fig|1235803.3.peg.413|C825_00411	MF	GO:0016829	lyase activity
fig|1235803.3.peg.413|C825_00411	CC	GO:0005886	plasma membrane
fig|1235803.3.peg.414	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.416|C825_00413	BP	GO:0002949	tRNA threonylcarbamoyladenosine modification
fig|1235803.3.peg.416|C825_00413	MF	GO:0016740	transferase activity
fig|1235803.3.peg.418|C825_00415	MF	GO:0004385	guanylate kinase activity
fig|1235803.3.peg.418|C825_00415	BP	GO:0046710	GDP metabolic process
fig|1235803.3.peg.418|C825_00415	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.419|C825_00416	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.420|C825_00417	MF	GO:0004515	nicotinate-nucleotide adenylyltransferase activity
fig|1235803.3.peg.420|C825_00417	BP	GO:0009435	NAD biosynthetic process
fig|1235803.3.peg.421|C825_00418	MF	GO:0004824	lysine-tRNA ligase activity
fig|1235803.3.peg.421|C825_00418	BP	GO:0006430	lysyl-tRNA aminoacylation
fig|1235803.3.peg.421|C825_00418	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.422|C825_00419	MF	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
fig|1235803.3.peg.422|C825_00419	BP	GO:0046168	glycerol-3-phosphate catabolic process
fig|1235803.3.peg.422|C825_00419	CC	GO:0009331	glycerol-3-phosphate dehydrogenase complex
fig|1235803.3.peg.423|C825_00420	MF	GO:0004347	glucose-6-phosphate isomerase activity
fig|1235803.3.peg.423|C825_00420	BP	GO:0006094	gluconeogenesis
fig|1235803.3.peg.423|C825_00420	CC	GO:0005737	cytoplasm
fig|1235803.3.peg.424|C825_00421	MF	GO:0016787	hydrolase activity
fig|1235803.3.peg.425|C825_00422	MF	GO:0016853	isomerase activity
fig|1235803.3.peg.425|C825_00422	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1235803.3.peg.426|C825_00423	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.427|C825_00424	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.428|C825_00425	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.429|C825_00426	MF	GO:0015562	efflux transmembrane transporter activity
fig|1235803.3.peg.429|C825_00426	BP	GO:0055085	transmembrane transport
fig|1235803.3.peg.429|C825_00426	CC	GO:1990281	efflux pump complex
fig|1235803.3.peg.430|C825_00427	MF	GO:0016301	kinase activity
fig|1235803.3.peg.430|C825_00427	BP	GO:0016310	phosphorylation
fig|1235803.3.peg.431|C825_00428	CC	GO:0016021	integral component of membrane
fig|1235803.3.peg.431|C825_00428	BP	GO:0051301	cell division
fig|1235803.3.peg.433|C825_00429	MF	GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
