gene	ontology	GO_id	GO_name
fig|762984.3.peg.2|HMPREF9445_00002	CC	GO:0042597	periplasmic space
fig|762984.3.peg.2|HMPREF9445_00002	MF	GO:0016829	lyase activity
fig|762984.3.peg.2|HMPREF9445_00002	BP	GO:0006541	glutamine metabolic process
fig|762984.3.peg.5|HMPREF9445_00005	CC	GO:0009279	cell outer membrane
fig|762984.3.peg.6|HMPREF9445_00006	BP	GO:0006355	regulation of transcription, DNA-templated
fig|762984.3.peg.6|HMPREF9445_00006	MF	GO:0003677	DNA binding
fig|762984.3.peg.6|HMPREF9445_00006	CC	GO:0016021	integral component of membrane
fig|762984.3.peg.8|HMPREF9445_00008	MF	GO:0008236	serine-type peptidase activity
fig|762984.3.peg.8|HMPREF9445_00008	BP	GO:0006508	proteolysis
fig|762984.3.peg.8|HMPREF9445_00008	CC	GO:0016020	membrane
fig|762984.3.peg.9|HMPREF9445_00009	MF	GO:0008236	serine-type peptidase activity
fig|762984.3.peg.9|HMPREF9445_00009	BP	GO:0006508	proteolysis
fig|762984.3.peg.9|HMPREF9445_00009	CC	GO:0016021	integral component of membrane
fig|762984.3.peg.10|HMPREF9445_00010	MF	GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase
fig|762984.3.peg.10|HMPREF9445_00010	BP	GO:0019877	diaminopimelate biosynthetic process
fig|762984.3.peg.10|HMPREF9445_00010	CC	GO:0005829	cytosol
fig|762984.3.peg.13|HMPREF9445_00013	MF	GO:0034000	chondroitin-sulfate-ABC endolyase activity
fig|762984.3.peg.13|HMPREF9445_00013	BP	GO:0006027	glycosaminoglycan catabolic process
fig|762984.3.peg.13|HMPREF9445_00013	CC	GO:0005576	extracellular region
fig|762984.3.peg.14|HMPREF9445_00014	MF	GO:0008484	sulfuric ester hydrolase activity
fig|762984.3.peg.15|HMPREF9445_00015	MF	GO:0017150	tRNA dihydrouridine synthase activity
fig|762984.3.peg.15|HMPREF9445_00015	BP	GO:0002943	tRNA dihydrouridine synthesis
fig|762984.3.peg.16|HMPREF9445_00016	MF	GO:0016787	hydrolase activity
fig|762984.3.peg.16|HMPREF9445_00016	CC	GO:0016021	integral component of membrane
fig|762984.3.peg.18|HMPREF9445_00018	CC	GO:0009279	cell outer membrane
fig|762984.3.peg.19|HMPREF9445_00019	MF	GO:0008484	sulfuric ester hydrolase activity
fig|762984.3.peg.20|HMPREF9445_00020	MF	GO:0000155	phosphorelay sensor kinase activity
fig|762984.3.peg.20|HMPREF9445_00020	BP	GO:0023014	signal transduction by protein phosphorylation
fig|762984.3.peg.20|HMPREF9445_00020	CC	GO:0016021	integral component of membrane
fig|762984.3.peg.21|HMPREF9445_00021	MF	GO:0016740	transferase activity
fig|762984.3.peg.21|HMPREF9445_00021	BP	GO:0016310	phosphorylation
fig|762984.3.peg.22|HMPREF9445_00022	MF	GO:0030246	carbohydrate binding
fig|762984.3.peg.22|HMPREF9445_00022	BP	GO:0016052	carbohydrate catabolic process
fig|762984.3.peg.22|HMPREF9445_00022	CC	GO:0016021	integral component of membrane
