gene	ontology	GO_id	GO_name
fig|1121098.7.peg.1	MF	GO:0042084	5-methyltetrahydrofolate-dependent methyltransferase activity
fig|1121098.7.peg.1	BP	GO:0009086	methionine biosynthetic process
fig|1121098.7.peg.2	MF	GO:0004151	dihydroorotase activity
fig|1121098.7.peg.3	MF	GO:0016740	transferase activity
fig|1121098.7.peg.3	BP	GO:0097502	mannosylation
fig|1121098.7.peg.5	CC	GO:0016021	integral component of membrane
fig|1121098.7.peg.7	MF	GO:0008236	serine-type peptidase activity
fig|1121098.7.peg.7	BP	GO:0006508	proteolysis
fig|1121098.7.peg.7	CC	GO:0016021	integral component of membrane
fig|1121098.7.peg.8	CC	GO:0016021	integral component of membrane
fig|1121098.7.peg.9	MF	GO:0016787	hydrolase activity
fig|1121098.7.peg.9	BP	GO:0032259	methylation
fig|1121098.7.peg.11	MF	GO:0016301	kinase activity
fig|1121098.7.peg.11	BP	GO:0016310	phosphorylation
fig|1121098.7.peg.11	CC	GO:0016021	integral component of membrane
fig|1121098.7.peg.13	MF	GO:0004844	uracil DNA N-glycosylase activity
fig|1121098.7.peg.13	BP	GO:0006284	base-excision repair
fig|1121098.7.peg.13	CC	GO:0005737	cytoplasm
fig|1121098.7.peg.14	MF	GO:0004071	aspartate-ammonia ligase activity
fig|1121098.7.peg.14	BP	GO:0070981	L-asparagine biosynthetic process
fig|1121098.7.peg.14	CC	GO:0005737	cytoplasm
fig|1121098.7.peg.15	CC	GO:0009279	cell outer membrane
fig|1121098.7.peg.17	MF	GO:0004308	exo-alpha-sialidase activity
fig|1121098.7.peg.17	BP	GO:0009405	pathogenesis
fig|1121098.7.peg.17	CC	GO:0042597	periplasmic space
fig|1121098.7.peg.18	MF	GO:0004563	beta-N-acetylhexosaminidase activity
fig|1121098.7.peg.18	BP	GO:0005975	carbohydrate metabolic process
fig|1121098.7.peg.19	MF	GO:0016787	hydrolase activity
fig|1121098.7.peg.20	MF	GO:0001681	sialate O-acetylesterase activity
fig|1121098.7.peg.21	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1121098.7.peg.21	BP	GO:0005975	carbohydrate metabolic process
fig|1121098.7.peg.22	MF	GO:0004563	beta-N-acetylhexosaminidase activity
fig|1121098.7.peg.22	BP	GO:0005975	carbohydrate metabolic process
fig|1121098.7.peg.23	MF	GO:0004563	beta-N-acetylhexosaminidase activity
fig|1121098.7.peg.23	BP	GO:0005975	carbohydrate metabolic process
fig|1121098.7.peg.24	MF	GO:0016853	isomerase activity
fig|1121098.7.peg.24	CC	GO:0016021	integral component of membrane
