gene	ontology	GO_id	GO_name
fig|245018.3.peg.1|CL2_00100	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.2|CL2_00110	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.3|CL2_00120	MF	GO:0003796	lysozyme activity
fig|245018.3.peg.3|CL2_00120	BP	GO:0016998	cell wall macromolecule catabolic process
fig|245018.3.peg.3|CL2_00120	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.9|CL2_00180	MF	GO:0043565	sequence-specific DNA binding
fig|245018.3.peg.11|CL2_00200	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.17|CL2_00260	MF	GO:0003697	single-stranded DNA binding
fig|245018.3.peg.17|CL2_00260	BP	GO:0006260	DNA replication
fig|245018.3.peg.20|CL2_00290	MF	GO:0016787	hydrolase activity
fig|245018.3.peg.20|CL2_00290	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.21|CL2_00300	MF	GO:0004601	peroxidase activity
fig|245018.3.peg.21|CL2_00300	BP	GO:0098869	cellular oxidant detoxification
fig|245018.3.peg.21|CL2_00300	CC	GO:0005840	ribosome
fig|245018.3.peg.23|CL2_00320	MF	GO:0016491	oxidoreductase activity
fig|245018.3.peg.23|CL2_00320	BP	GO:0055114	oxidation-reduction process
fig|245018.3.peg.23|CL2_00320	CC	GO:0005623	cell
fig|245018.3.peg.25|CL2_00340	MF	GO:0004127	cytidylate kinase activity
fig|245018.3.peg.25|CL2_00340	BP	GO:0046940	nucleoside monophosphate phosphorylation
fig|245018.3.peg.25|CL2_00340	CC	GO:0005737	cytoplasm
fig|245018.3.peg.26|CL2_00350	MF	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
fig|245018.3.peg.26|CL2_00350	BP	GO:0050992	dimethylallyl diphosphate biosynthetic process
fig|245018.3.peg.26|CL2_00350	CC	GO:0005840	ribosome
fig|245018.3.peg.27|CL2_00360	MF	GO:0009374	biotin binding
fig|245018.3.peg.27|CL2_00360	BP	GO:0006094	gluconeogenesis
fig|245018.3.peg.28|CL2_00370	MF	GO:0008233	peptidase activity
fig|245018.3.peg.28|CL2_00370	BP	GO:0006508	proteolysis
fig|245018.3.peg.29|CL2_00380	MF	GO:0016699	oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor
fig|245018.3.peg.29|CL2_00380	BP	GO:0022900	electron transport chain
fig|245018.3.peg.30|CL2_00390	BP	GO:0007059	chromosome segregation
fig|245018.3.peg.30|CL2_00390	MF	GO:0003677	DNA binding
fig|245018.3.peg.30|CL2_00390	CC	GO:0005886	plasma membrane
fig|245018.3.peg.31	MF	GO:0004329	formate-tetrahydrofolate ligase activity
fig|245018.3.peg.31	BP	GO:0035999	tetrahydrofolate interconversion
fig|245018.3.peg.32|CL2_00410	MF	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
fig|245018.3.peg.32|CL2_00410	BP	GO:0035999	tetrahydrofolate interconversion
fig|245018.3.peg.33|CL2_00420	MF	GO:0103039	protein methylthiotransferase activity
fig|245018.3.peg.33|CL2_00420	BP	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
fig|245018.3.peg.33|CL2_00420	CC	GO:0005840	ribosome
fig|245018.3.peg.34|CL2_00430	MF	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
fig|245018.3.peg.34|CL2_00430	BP	GO:0008654	phospholipid biosynthetic process
fig|245018.3.peg.34|CL2_00430	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.36|CL2_00450	MF	GO:0019159	nicotinamide-nucleotide amidase activity
fig|245018.3.peg.690|CL2_00460	MF	GO:0003697	single-stranded DNA binding
fig|245018.3.peg.690|CL2_00460	BP	GO:0009432	SOS response
fig|245018.3.peg.690|CL2_00460	CC	GO:0005737	cytoplasm
fig|245018.3.peg.691|CL2_00470	BP	GO:0006282	regulation of DNA repair
fig|245018.3.peg.691|CL2_00470	CC	GO:0005737	cytoplasm
fig|245018.3.peg.692|CL2_00480	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|245018.3.peg.692|CL2_00480	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.693|CL2_00490	BP	GO:0000160	phosphorelay signal transduction system
fig|245018.3.peg.693|CL2_00490	MF	GO:0003677	DNA binding
fig|245018.3.peg.873	MF	GO:0000155	phosphorelay sensor kinase activity
fig|245018.3.peg.873	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|245018.3.peg.873	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.875|CL2_00530	BP	GO:0008033	tRNA processing
fig|245018.3.peg.875|CL2_00530	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|245018.3.peg.876|CL2_00540	MF	GO:0016887	ATPase activity
fig|245018.3.peg.877|CL2_00550	MF	GO:0003677	DNA binding
fig|245018.3.peg.878|CL2_00560	MF	GO:0008312	7S RNA binding
fig|245018.3.peg.878|CL2_00560	CC	GO:0048500	signal recognition particle
fig|245018.3.peg.878|CL2_00560	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
fig|245018.3.peg.879|CL2_00570	MF	GO:0003735	structural constituent of ribosome
fig|245018.3.peg.879|CL2_00570	BP	GO:0006412	translation
fig|245018.3.peg.879|CL2_00570	CC	GO:0005840	ribosome
fig|245018.3.peg.880|CL2_00580	MF	GO:0003723	RNA binding
fig|245018.3.peg.882|CL2_00600	BP	GO:0015700	arsenite transport
fig|245018.3.peg.882|CL2_00600	MF	GO:0015105	arsenite transmembrane transporter activity
fig|245018.3.peg.882|CL2_00600	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.885|CL2_00620	MF	GO:0043768	S-ribosylhomocysteine lyase activity
fig|245018.3.peg.885|CL2_00620	BP	GO:0009372	quorum sensing
fig|245018.3.peg.1172|CL2_00800	MF	GO:0016836	hydro-lyase activity
fig|245018.3.peg.1173|CL2_00810	MF	GO:0016829	lyase activity
fig|245018.3.peg.1174|CL2_00820	MF	GO:0061505	DNA topoisomerase II activity
fig|245018.3.peg.1174|CL2_00820	BP	GO:0006265	DNA topological change
fig|245018.3.peg.1174|CL2_00820	CC	GO:0005694	chromosome
fig|245018.3.peg.1175|CL2_00830	MF	GO:0061505	DNA topoisomerase II activity
fig|245018.3.peg.1175|CL2_00830	BP	GO:0006265	DNA topological change
fig|245018.3.peg.1175|CL2_00830	CC	GO:0005694	chromosome
fig|245018.3.peg.1176|CL2_00840	MF	GO:0003697	single-stranded DNA binding
fig|245018.3.peg.1176|CL2_00840	BP	GO:0009432	SOS response
fig|245018.3.peg.1176|CL2_00840	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1177|CL2_00850	MF	GO:0003723	RNA binding
fig|245018.3.peg.1178|CL2_00860	CC	GO:0009360	DNA polymerase III complex
fig|245018.3.peg.1178|CL2_00860	MF	GO:0008408	3-5 exonuclease activity
fig|245018.3.peg.1178|CL2_00860	BP	GO:0071897	DNA biosynthetic process
fig|245018.3.peg.1179|CL2_00870	MF	GO:0003688	DNA replication origin binding
fig|245018.3.peg.1179|CL2_00870	BP	GO:0006275	regulation of DNA replication
fig|245018.3.peg.1179|CL2_00870	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1180|CL2_00880	MF	GO:0003735	structural constituent of ribosome
fig|245018.3.peg.1180|CL2_00880	BP	GO:0006412	translation
fig|245018.3.peg.1180|CL2_00880	CC	GO:0005840	ribosome
fig|245018.3.peg.1182	CC	GO:0005886	plasma membrane
fig|245018.3.peg.1183|CL2_00910	MF	GO:0032977	membrane insertase activity
fig|245018.3.peg.1183|CL2_00910	BP	GO:0015031	protein transport
fig|245018.3.peg.1183|CL2_00910	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1184|CL2_00920	MF	GO:0003676	nucleic acid binding
fig|245018.3.peg.1185|CL2_00930	MF	GO:0003924	GTPase activity
fig|245018.3.peg.1185|CL2_00930	BP	GO:0006400	tRNA modification
fig|245018.3.peg.1185|CL2_00930	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1186|CL2_00940	BP	GO:0002098	tRNA wobble uridine modification
fig|245018.3.peg.1186|CL2_00940	MF	GO:0050660	flavin adenine dinucleotide binding
fig|245018.3.peg.1186|CL2_00940	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1187|CL2_00950	MF	GO:0070043	rRNA (guanine-N7-)-methyltransferase activity
fig|245018.3.peg.1187|CL2_00950	BP	GO:0070476	rRNA (guanine-N7)-methylation
fig|245018.3.peg.1187|CL2_00950	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1189|CL2_00970	MF	GO:0004814	arginine-tRNA ligase activity
fig|245018.3.peg.1189|CL2_00970	BP	GO:0006420	arginyl-tRNA aminoacylation
fig|245018.3.peg.1189|CL2_00970	CC	GO:0005737	cytoplasm
fig|245018.3.peg.1190|CL2_00980	MF	GO:0016787	hydrolase activity
fig|245018.3.peg.1191|CL2_00990	MF	GO:0003677	DNA binding
fig|245018.3.peg.1192|CL2_01000	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1193|CL2_01010	MF	GO:0004828	serine-tRNA ligase activity
fig|245018.3.peg.1193|CL2_01010	BP	GO:0006434	seryl-tRNA aminoacylation
fig|245018.3.peg.1194|CL2_01020	BP	GO:0000160	phosphorelay signal transduction system
fig|245018.3.peg.1194|CL2_01020	MF	GO:0003677	DNA binding
fig|245018.3.peg.1195|CL2_01030	MF	GO:0016301	kinase activity
fig|245018.3.peg.1195|CL2_01030	BP	GO:0016310	phosphorylation
fig|245018.3.peg.1195|CL2_01030	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1196|CL2_01040	MF	GO:0004401	histidinol-phosphatase activity
fig|245018.3.peg.1196|CL2_01040	BP	GO:0000105	histidine biosynthetic process
fig|245018.3.peg.1197|CL2_01050	MF	GO:0046564	oxalate decarboxylase activity
fig|245018.3.peg.1198|CL2_01070	MF	GO:0016887	ATPase activity
fig|245018.3.peg.1198|CL2_01070	BP	GO:0015709	thiosulfate transport
fig|245018.3.peg.1199|CL2_01080	BP	GO:0055085	transmembrane transport
fig|245018.3.peg.1199|CL2_01080	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1200	MF	GO:0003700	DNA-binding transcription factor activity
fig|245018.3.peg.1200	BP	GO:0006355	regulation of transcription, DNA-templated
fig|245018.3.peg.1201|CL2_01100	MF	GO:0008662	1-phosphofructokinase activity
fig|245018.3.peg.1201|CL2_01100	BP	GO:2001058	D-tagatose 6-phosphate metabolic process
fig|245018.3.peg.1202|CL2_01110	MF	GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
fig|245018.3.peg.1203|CL2_01120	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1204|CL2_01140	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1205|CL2_01150	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1206|CL2_01160	BP	GO:0017013	protein flavinylation
fig|245018.3.peg.1206|CL2_01160	MF	GO:0046872	metal ion binding
fig|245018.3.peg.1206|CL2_01160	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1207|CL2_01170	MF	GO:0010181	FMN binding
fig|245018.3.peg.1207|CL2_01170	CC	GO:0016020	membrane
fig|245018.3.peg.1207|CL2_01170	BP	GO:0022900	electron transport chain
fig|245018.3.peg.1208|CL2_01180	MF	GO:0010181	FMN binding
fig|245018.3.peg.1208|CL2_01180	CC	GO:0016020	membrane
fig|245018.3.peg.1209|CL2_01190	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1210|CL2_01200	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1211|CL2_01210	MF	GO:0016779	nucleotidyltransferase activity
fig|245018.3.peg.1211|CL2_01210	BP	GO:0006355	regulation of transcription, DNA-templated
fig|245018.3.peg.1211|CL2_01210	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1410|CL2_01220	MF	GO:0050511	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
fig|245018.3.peg.1410|CL2_01220	BP	GO:0030259	lipid glycosylation
fig|245018.3.peg.1410|CL2_01220	CC	GO:0005886	plasma membrane
fig|245018.3.peg.1412|CL2_01240	MF	GO:0008930	methylthioadenosine nucleosidase activity
fig|245018.3.peg.1412|CL2_01240	BP	GO:0019509	L-methionine salvage from methylthioadenosine
fig|245018.3.peg.1413|CL2_01250	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1414	MF	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
fig|245018.3.peg.1414	BP	GO:0005975	carbohydrate metabolic process
fig|245018.3.peg.1414	CC	GO:0016021	integral component of membrane
fig|245018.3.peg.1415|CL2_01270	MF	GO:0004170	dUTP diphosphatase activity
fig|245018.3.peg.1415|CL2_01270	BP	GO:0046080	dUTP metabolic process
