gene	ontology	GO_id	GO_name
fig|658082.3.peg.1|HMPREF0991_00001	MF	GO:0004803	transposase activity
fig|658082.3.peg.1|HMPREF0991_00001	BP	GO:0006313	transposition, DNA-mediated
fig|658082.3.peg.3|HMPREF0991_00003	MF	GO:0016887	ATPase activity
fig|658082.3.peg.4|HMPREF0991_00004	BP	GO:0051301	cell division
fig|658082.3.peg.4|HMPREF0991_00004	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.5|HMPREF0991_00005	BP	GO:0051301	cell division
fig|658082.3.peg.5|HMPREF0991_00005	CC	GO:0016020	membrane
fig|658082.3.peg.6|HMPREF0991_00006	MF	GO:0000155	phosphorelay sensor kinase activity
fig|658082.3.peg.6|HMPREF0991_00006	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|658082.3.peg.6|HMPREF0991_00006	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.7|HMPREF0991_00007	BP	GO:0000160	phosphorelay signal transduction system
fig|658082.3.peg.7|HMPREF0991_00007	MF	GO:0003677	DNA binding
fig|658082.3.peg.8|HMPREF0991_00008	MF	GO:0008289	lipid binding
fig|658082.3.peg.8|HMPREF0991_00008	BP	GO:0016310	phosphorylation
fig|658082.3.peg.11|HMPREF0991_00011	MF	GO:0016787	hydrolase activity
fig|658082.3.peg.12|HMPREF0991_00012	MF	GO:0004140	dephospho-CoA kinase activity
fig|658082.3.peg.12|HMPREF0991_00012	BP	GO:0015937	coenzyme A biosynthetic process
fig|658082.3.peg.12|HMPREF0991_00012	CC	GO:0005737	cytoplasm
fig|658082.3.peg.13|HMPREF0991_00013	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|658082.3.peg.13|HMPREF0991_00013	BP	GO:0006261	DNA-dependent DNA replication
fig|658082.3.peg.14|HMPREF0991_00014	MF	GO:0016740	transferase activity
fig|658082.3.peg.14|HMPREF0991_00014	BP	GO:0006474	N-terminal protein amino acid acetylation
fig|658082.3.peg.14|HMPREF0991_00014	CC	GO:0005840	ribosome
fig|658082.3.peg.15|HMPREF0991_00015	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|658082.3.peg.15|HMPREF0991_00015	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|658082.3.peg.16|HMPREF0991_00016	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.17|HMPREF0991_00017	MF	GO:0003700	DNA-binding transcription factor activity
fig|658082.3.peg.17|HMPREF0991_00017	BP	GO:0006355	regulation of transcription, DNA-templated
fig|658082.3.peg.18|HMPREF0991_00018	MF	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
fig|658082.3.peg.19|HMPREF0991_00019	MF	GO:0018763	hydroxydechloroatrazine ethylaminohydrolase activity
fig|658082.3.peg.20|HMPREF0991_00020	MF	GO:0022857	transmembrane transporter activity
fig|658082.3.peg.20|HMPREF0991_00020	BP	GO:0055085	transmembrane transport
fig|658082.3.peg.20|HMPREF0991_00020	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.21|HMPREF0991_00021	MF	GO:0022857	transmembrane transporter activity
fig|658082.3.peg.21|HMPREF0991_00021	BP	GO:0055085	transmembrane transport
fig|658082.3.peg.21|HMPREF0991_00021	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.22|HMPREF0991_00022	MF	GO:0010181	FMN binding
fig|658082.3.peg.22|HMPREF0991_00022	BP	GO:0055114	oxidation-reduction process
fig|658082.3.peg.23|HMPREF0991_00023	MF	GO:0043565	sequence-specific DNA binding
fig|658082.3.peg.23|HMPREF0991_00023	BP	GO:0006355	regulation of transcription, DNA-templated
fig|658082.3.peg.24|HMPREF0991_00024	MF	GO:0003677	DNA binding
fig|658082.3.peg.28|HMPREF0991_00028	BP	GO:0009291	unidirectional conjugation
fig|658082.3.peg.28|HMPREF0991_00028	CC	GO:0016020	membrane
fig|658082.3.peg.30|HMPREF0991_00030	CC	GO:0016021	integral component of membrane
fig|658082.3.peg.31|HMPREF0991_00031	MF	GO:0043565	sequence-specific DNA binding
fig|658082.3.peg.34|HMPREF0991_00034	MF	GO:0043565	sequence-specific DNA binding
fig|658082.3.peg.36|HMPREF0991_00036	MF	GO:0003700	DNA-binding transcription factor activity
fig|658082.3.peg.36|HMPREF0991_00036	BP	GO:0006355	regulation of transcription, DNA-templated
fig|658082.3.peg.37|HMPREF0991_00037	MF	GO:0016740	transferase activity
fig|658082.3.peg.38|HMPREF0991_00038	MF	GO:0043565	sequence-specific DNA binding
fig|658082.3.peg.40|HMPREF0991_00040	MF	GO:0016740	transferase activity
fig|658082.3.peg.41|HMPREF0991_00041	MF	GO:0003896	DNA primase activity
fig|658082.3.peg.41|HMPREF0991_00041	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|658082.3.peg.44|HMPREF0991_00044	MF	GO:0000150	recombinase activity
