gene	ontology	GO_id	GO_name
fig|349741.6.peg.3|Amuc_0001	MF	GO:0016787	hydrolase activity
fig|349741.6.peg.4|Amuc_0002	MF	GO:0003688	DNA replication origin binding
fig|349741.6.peg.4|Amuc_0002	BP	GO:0006275	regulation of DNA replication
fig|349741.6.peg.4|Amuc_0002	CC	GO:0005737	cytoplasm
fig|349741.6.peg.5|Amuc_0003	MF	GO:0016887	ATPase activity
fig|349741.6.peg.6|Amuc_0004	BP	GO:0055085	transmembrane transport
fig|349741.6.peg.6|Amuc_0004	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.7|Amuc_0005	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.9|Amuc_0007	MF	GO:0004190	aspartic-type endopeptidase activity
fig|349741.6.peg.9|Amuc_0007	BP	GO:0006508	proteolysis
fig|349741.6.peg.10|Amuc_0008	MF	GO:0009982	pseudouridine synthase activity
fig|349741.6.peg.10|Amuc_0008	BP	GO:0001522	pseudouridine synthesis
fig|349741.6.peg.12|Amuc_0009	MF	GO:0004664	prephenate dehydratase activity
fig|349741.6.peg.12|Amuc_0009	BP	GO:1902223	erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process
fig|349741.6.peg.12|Amuc_0009	CC	GO:0005737	cytoplasm
fig|349741.6.peg.13|Amuc_0010	MF	GO:0004560	alpha-L-fucosidase activity
fig|349741.6.peg.13|Amuc_0010	BP	GO:0006004	fucose metabolic process
fig|349741.6.peg.14|Amuc_0011	MF	GO:0003911	DNA ligase (NAD+) activity
fig|349741.6.peg.14|Amuc_0011	BP	GO:0006266	DNA ligation
fig|349741.6.peg.16|Amuc_0012	MF	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
fig|349741.6.peg.16|Amuc_0012	BP	GO:0008654	phospholipid biosynthetic process
fig|349741.6.peg.16|Amuc_0012	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.20|Amuc_0015	MF	GO:0004386	helicase activity
fig|349741.6.peg.23|Amuc_0017	MF	GO:0016491	oxidoreductase activity
fig|349741.6.peg.23|Amuc_0017	BP	GO:0055114	oxidation-reduction process
fig|349741.6.peg.24|Amuc_0018	MF	GO:0016853	isomerase activity
fig|349741.6.peg.26|Amuc_0020	BP	GO:0055085	transmembrane transport
fig|349741.6.peg.26|Amuc_0020	MF	GO:0005215	transporter activity
fig|349741.6.peg.26|Amuc_0020	CC	GO:0005886	plasma membrane
fig|349741.6.peg.27|Amuc_0021	MF	GO:0001216	bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding
fig|349741.6.peg.27|Amuc_0021	BP	GO:0045893	positive regulation of transcription, DNA-templated
fig|349741.6.peg.28|Amuc_0022	MF	GO:0016787	hydrolase activity
fig|349741.6.peg.31|Amuc_0024	BP	GO:0006811	ion transport
fig|349741.6.peg.31|Amuc_0024	CC	GO:0005886	plasma membrane
fig|349741.6.peg.31|Amuc_0024	MF	GO:0005384	manganese ion transmembrane transporter activity
fig|349741.6.peg.34|Amuc_0027	BP	GO:0006260	DNA replication
fig|349741.6.peg.34|Amuc_0027	MF	GO:0009378	four-way junction helicase activity
fig|349741.6.peg.35|Amuc_0028	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.36|Amuc_0029	MF	GO:0050662	coenzyme binding
fig|349741.6.peg.37|Amuc_0030	MF	GO:0016740	transferase activity
fig|349741.6.peg.37|Amuc_0030	BP	GO:0016310	phosphorylation
fig|349741.6.peg.38|Amuc_0031	MF	GO:0016779	nucleotidyltransferase activity
fig|349741.6.peg.38|Amuc_0031	BP	GO:0009058	biosynthetic process
fig|349741.6.peg.40|Amuc_0033	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.41|Amuc_0034	MF	GO:0004827	proline-tRNA ligase activity
fig|349741.6.peg.41|Amuc_0034	BP	GO:0006433	prolyl-tRNA aminoacylation
fig|349741.6.peg.41|Amuc_0034	CC	GO:0005737	cytoplasm
fig|349741.6.peg.42|Amuc_0036	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.43|Amuc_0037	MF	GO:0022857	transmembrane transporter activity
fig|349741.6.peg.43|Amuc_0037	BP	GO:0055085	transmembrane transport
fig|349741.6.peg.43|Amuc_0037	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.44|Amuc_0038	MF	GO:0004359	glutaminase activity
fig|349741.6.peg.44|Amuc_0038	BP	GO:0006541	glutamine metabolic process
fig|349741.6.peg.45|Amuc_0039	MF	GO:0016740	transferase activity
fig|349741.6.peg.45|Amuc_0039	BP	GO:0006048	UDP-N-acetylglucosamine biosynthetic process
fig|349741.6.peg.47|Amuc_0040	MF	GO:0015655	alanine:sodium symporter activity
fig|349741.6.peg.47|Amuc_0040	BP	GO:0032328	alanine transport
fig|349741.6.peg.47|Amuc_0040	CC	GO:0005886	plasma membrane
fig|349741.6.peg.48|Amuc_0041	MF	GO:0016149	translation release factor activity, codon specific
fig|349741.6.peg.48|Amuc_0041	BP	GO:0006415	translational termination
fig|349741.6.peg.48|Amuc_0041	CC	GO:0005737	cytoplasm
fig|349741.6.peg.49|Amuc_0042	MF	GO:0102559	protein-(glutamine-N5) methyltransferase activity
fig|349741.6.peg.49|Amuc_0042	BP	GO:0018364	peptidyl-glutamine methylation
fig|349741.6.peg.50|Amuc_0043	BP	GO:0006268	DNA unwinding involved in DNA replication
fig|349741.6.peg.50|Amuc_0043	CC	GO:1990077	primosome complex
fig|349741.6.peg.50|Amuc_0043	MF	GO:0004003	ATP-dependent DNA helicase activity
fig|349741.6.peg.51|Amuc_0044	MF	GO:0008837	diaminopimelate epimerase activity
fig|349741.6.peg.51|Amuc_0044	BP	GO:0046451	diaminopimelate metabolic process
fig|349741.6.peg.51|Amuc_0044	CC	GO:0005737	cytoplasm
fig|349741.6.peg.52|Amuc_0045	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.56|Amuc_0047	MF	GO:0102955	S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity
fig|349741.6.peg.56|Amuc_0047	BP	GO:0009234	menaquinone biosynthetic process
fig|349741.6.peg.57|Amuc_0048	BP	GO:0006855	drug transmembrane transport
fig|349741.6.peg.57|Amuc_0048	MF	GO:0015238	drug transmembrane transporter activity
fig|349741.6.peg.57|Amuc_0048	CC	GO:0016020	membrane
fig|349741.6.peg.59	MF	GO:0003852	2-isopropylmalate synthase activity
fig|349741.6.peg.61	MF	GO:0046912	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
fig|349741.6.peg.61	BP	GO:0019752	carboxylic acid metabolic process
fig|349741.6.peg.62|Amuc_0051	MF	GO:0008409	5-3 exonuclease activity
fig|349741.6.peg.62|Amuc_0051	BP	GO:0006310	DNA recombination
fig|349741.6.peg.63|Amuc_0052	MF	GO:0015929	hexosaminidase activity
fig|349741.6.peg.63|Amuc_0052	BP	GO:0008152	metabolic process
fig|349741.6.peg.65|Amuc_0053	BP	GO:0007155	cell adhesion
fig|349741.6.peg.65|Amuc_0053	MF	GO:0046872	metal ion binding
fig|349741.6.peg.67|Amuc_0055	MF	GO:0016887	ATPase activity
fig|349741.6.peg.68|Amuc_0056	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|349741.6.peg.68|Amuc_0056	MF	GO:0042626	ATPase activity, coupled to transmembrane movement of substances
fig|349741.6.peg.68|Amuc_0056	BP	GO:0055085	transmembrane transport
fig|349741.6.peg.69|Amuc_0057	MF	GO:0016301	kinase activity
fig|349741.6.peg.69|Amuc_0057	BP	GO:0016310	phosphorylation
fig|349741.6.peg.70|Amuc_0058	MF	GO:0016775	phosphotransferase activity, nitrogenous group as acceptor
fig|349741.6.peg.70|Amuc_0058	BP	GO:0006468	protein phosphorylation
fig|349741.6.peg.71|Amuc_0059	MF	GO:0005524	ATP binding
fig|349741.6.peg.71|Amuc_0059	BP	GO:0019538	protein metabolic process
fig|349741.6.peg.72|Amuc_0060	MF	GO:0004561	alpha-N-acetylglucosaminidase activity
fig|349741.6.peg.72|Amuc_0060	BP	GO:0008152	metabolic process
fig|349741.6.peg.72|Amuc_0060	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.74	MF	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
fig|349741.6.peg.74	BP	GO:0032775	DNA methylation on adenine
fig|349741.6.peg.75|Amuc_0063	MF	GO:0004792	thiosulfate sulfurtransferase activity
fig|349741.6.peg.75|Amuc_0063	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.77|Amuc_0064	MF	GO:0016853	isomerase activity
fig|349741.6.peg.78|Amuc_0065	MF	GO:0003852	2-isopropylmalate synthase activity
fig|349741.6.peg.78|Amuc_0065	BP	GO:0009098	leucine biosynthetic process
fig|349741.6.peg.81|Amuc_0067	MF	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
fig|349741.6.peg.82|Amuc_0068	MF	GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
fig|349741.6.peg.82|Amuc_0068	BP	GO:0008299	isoprenoid biosynthetic process
fig|349741.6.peg.83|Amuc_0069	MF	GO:0050662	coenzyme binding
fig|349741.6.peg.84|Amuc_0070	MF	GO:0004830	tryptophan-tRNA ligase activity
fig|349741.6.peg.84|Amuc_0070	BP	GO:0006436	tryptophanyl-tRNA aminoacylation
fig|349741.6.peg.84|Amuc_0070	CC	GO:0005737	cytoplasm
fig|349741.6.peg.85|Amuc_0071	CC	GO:0005737	cytoplasm
fig|349741.6.peg.86|Amuc_0072	MF	GO:0046872	metal ion binding
fig|349741.6.peg.88|Amuc_0073	MF	GO:0008641	ubiquitin-like modifier activating enzyme activity
fig|349741.6.peg.88|Amuc_0073	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.89|Amuc_0074	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.90|Amuc_0075	MF	GO:0016301	kinase activity
fig|349741.6.peg.90|Amuc_0075	BP	GO:0016310	phosphorylation
fig|349741.6.peg.91|Amuc_0076	MF	GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity
fig|349741.6.peg.91|Amuc_0076	BP	GO:0006281	DNA repair
fig|349741.6.peg.93|Amuc_0077	MF	GO:0008890	glycine C-acetyltransferase activity
fig|349741.6.peg.93|Amuc_0077	BP	GO:0019518	L-threonine catabolic process to glycine
fig|349741.6.peg.94|Amuc_0078	MF	GO:0004672	protein kinase activity
fig|349741.6.peg.94|Amuc_0078	BP	GO:0006468	protein phosphorylation
fig|349741.6.peg.94|Amuc_0078	CC	GO:0016021	integral component of membrane
fig|349741.6.peg.95|Amuc_0079	MF	GO:0016787	hydrolase activity
