gene	ontology	GO_id	GO_name
fig|500632.7.peg.2|CLONEX_00002	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.3|CLONEX_00004	MF	GO:0043565	sequence-specific DNA binding
fig|500632.7.peg.119|CLONEX_00007	BP	GO:0006270	DNA replication initiation
fig|500632.7.peg.119|CLONEX_00007	MF	GO:0003916	DNA topoisomerase activity
fig|500632.7.peg.120|CLONEX_00008	BP	GO:0015074	DNA integration
fig|500632.7.peg.121|CLONEX_00009	BP	GO:0015074	DNA integration
fig|500632.7.peg.121|CLONEX_00009	MF	GO:0003677	DNA binding
fig|500632.7.peg.122|CLONEX_00010	MF	GO:0004672	protein kinase activity
fig|500632.7.peg.122|CLONEX_00010	BP	GO:0006468	protein phosphorylation
fig|500632.7.peg.124|CLONEX_00012	MF	GO:0008173	RNA methyltransferase activity
fig|500632.7.peg.124|CLONEX_00012	BP	GO:0001510	RNA methylation
fig|500632.7.peg.126|CLONEX_00014	MF	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
fig|500632.7.peg.126|CLONEX_00014	BP	GO:0008654	phospholipid biosynthetic process
fig|500632.7.peg.126|CLONEX_00014	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.127|CLONEX_00015	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.128|CLONEX_00016	BP	GO:0006268	DNA unwinding involved in DNA replication
fig|500632.7.peg.128|CLONEX_00016	MF	GO:0004003	ATP-dependent DNA helicase activity
fig|500632.7.peg.128|CLONEX_00016	CC	GO:0005737	cytoplasm
fig|500632.7.peg.129|CLONEX_00017	BP	GO:0030153	bacteriocin immunity
fig|500632.7.peg.129|CLONEX_00017	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.130|CLONEX_00018	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.131|CLONEX_00019	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.132|CLONEX_00020	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.133|CLONEX_00021	MF	GO:0043565	sequence-specific DNA binding
fig|500632.7.peg.133|CLONEX_00021	BP	GO:0006355	regulation of transcription, DNA-templated
fig|500632.7.peg.134|CLONEX_00022	MF	GO:0016787	hydrolase activity
fig|500632.7.peg.137|CLONEX_00025	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.138|CLONEX_00026	MF	GO:0016740	transferase activity
fig|500632.7.peg.138|CLONEX_00026	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.139|CLONEX_00027	MF	GO:0004806	triglyceride lipase activity
fig|500632.7.peg.140|CLONEX_00028	MF	GO:0022857	transmembrane transporter activity
fig|500632.7.peg.140|CLONEX_00028	BP	GO:0055085	transmembrane transport
fig|500632.7.peg.140|CLONEX_00028	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.141|CLONEX_00029	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|500632.7.peg.141|CLONEX_00029	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|500632.7.peg.141|CLONEX_00029	CC	GO:0005737	cytoplasm
fig|500632.7.peg.142|CLONEX_00030	MF	GO:0016740	transferase activity
fig|500632.7.peg.143|CLONEX_00031	MF	GO:0022877	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
fig|500632.7.peg.143|CLONEX_00031	BP	GO:0015755	fructose transmembrane transport
fig|500632.7.peg.143|CLONEX_00031	CC	GO:0005886	plasma membrane
fig|500632.7.peg.145|CLONEX_00033	MF	GO:0008662	1-phosphofructokinase activity
fig|500632.7.peg.145|CLONEX_00033	BP	GO:2001058	D-tagatose 6-phosphate metabolic process
fig|500632.7.peg.146|CLONEX_00034	MF	GO:0003700	DNA-binding transcription factor activity
fig|500632.7.peg.146|CLONEX_00034	BP	GO:0006355	regulation of transcription, DNA-templated
fig|500632.7.peg.147|CLONEX_00035	MF	GO:0004124	cysteine synthase activity
fig|500632.7.peg.147|CLONEX_00035	BP	GO:0006535	cysteine biosynthetic process from serine
fig|500632.7.peg.148|CLONEX_00036	MF	GO:0003677	DNA binding
fig|500632.7.peg.149|CLONEX_00037	MF	GO:0003677	DNA binding
fig|500632.7.peg.150|CLONEX_00038	MF	GO:0003676	nucleic acid binding
fig|500632.7.peg.150|CLONEX_00038	CC	GO:0005737	cytoplasm
fig|500632.7.peg.151|CLONEX_00039	MF	GO:0004415	hyalurononglucosaminidase activity
fig|500632.7.peg.151|CLONEX_00039	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.151|CLONEX_00039	BP	GO:0008152	metabolic process
fig|500632.7.peg.153|CLONEX_00041	MF	GO:0033926	glycopeptide alpha-N-acetylgalactosaminidase activity
fig|500632.7.peg.153|CLONEX_00041	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.153|CLONEX_00041	BP	GO:0000272	polysaccharide catabolic process
fig|500632.7.peg.154|CLONEX_00043	MF	GO:0004563	beta-N-acetylhexosaminidase activity
fig|500632.7.peg.154|CLONEX_00043	BP	GO:0005975	carbohydrate metabolic process
fig|500632.7.peg.154|CLONEX_00043	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.157|CLONEX_00045	MF	GO:0047475	phenylacetate-CoA ligase activity
fig|500632.7.peg.157|CLONEX_00045	BP	GO:0010124	phenylacetate catabolic process
fig|500632.7.peg.159|CLONEX_00047	MF	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
fig|500632.7.peg.159|CLONEX_00047	BP	GO:0055114	oxidation-reduction process
fig|500632.7.peg.160|CLONEX_00048	MF	GO:0043805	indolepyruvate ferredoxin oxidoreductase activity
fig|500632.7.peg.160|CLONEX_00048	BP	GO:0055114	oxidation-reduction process
fig|500632.7.peg.161|CLONEX_00049	MF	GO:0030976	thiamine pyrophosphate binding
fig|500632.7.peg.161|CLONEX_00049	BP	GO:0055114	oxidation-reduction process
fig|500632.7.peg.162|CLONEX_00050	MF	GO:0047475	phenylacetate-CoA ligase activity
fig|500632.7.peg.162|CLONEX_00050	BP	GO:0010124	phenylacetate catabolic process
fig|500632.7.peg.163|CLONEX_00051	MF	GO:0003887	DNA-directed DNA polymerase activity
fig|500632.7.peg.163|CLONEX_00051	BP	GO:0071897	DNA biosynthetic process
fig|500632.7.peg.163|CLONEX_00051	CC	GO:0005737	cytoplasm
fig|500632.7.peg.165|CLONEX_00053	MF	GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
fig|500632.7.peg.165|CLONEX_00053	BP	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
fig|500632.7.peg.166|CLONEX_00054	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.167|CLONEX_00055	MF	GO:0043565	sequence-specific DNA binding
fig|500632.7.peg.168|CLONEX_00056	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|500632.7.peg.168|CLONEX_00056	BP	GO:0005975	carbohydrate metabolic process
fig|500632.7.peg.169|CLONEX_00057	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|500632.7.peg.169|CLONEX_00057	BP	GO:0005975	carbohydrate metabolic process
fig|500632.7.peg.170|CLONEX_00058	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|500632.7.peg.170|CLONEX_00058	BP	GO:0005975	carbohydrate metabolic process
fig|500632.7.peg.171|CLONEX_00059	BP	GO:0006814	sodium ion transport
fig|500632.7.peg.171|CLONEX_00059	MF	GO:0015293	symporter activity
fig|500632.7.peg.171|CLONEX_00059	CC	GO:0016021	integral component of membrane
fig|500632.7.peg.172|CLONEX_00060	MF	GO:0043565	sequence-specific DNA binding
fig|500632.7.peg.172|CLONEX_00060	BP	GO:0006355	regulation of transcription, DNA-templated
fig|500632.7.peg.173|CLONEX_00061	MF	GO:0004856	xylulokinase activity
