gene	ontology	GO_id	GO_name
fig|742725.3.peg.2|HMPREF9450_00004	MF	GO:0008483	transaminase activity
fig|742725.3.peg.3|HMPREF9450_00006	MF	GO:0016740	transferase activity
fig|742725.3.peg.3|HMPREF9450_00006	CC	GO:0016021	integral component of membrane
fig|742725.3.peg.4|HMPREF9450_00007	CC	GO:0016021	integral component of membrane
fig|742725.3.peg.5|HMPREF9450_00008	CC	GO:0016021	integral component of membrane
fig|742725.3.peg.6|HMPREF9450_00009	MF	GO:0016740	transferase activity
fig|742725.3.peg.6|HMPREF9450_00009	CC	GO:0016021	integral component of membrane
fig|742725.3.peg.7|HMPREF9450_00010	MF	GO:0016740	transferase activity
fig|742725.3.peg.9|HMPREF9450_00012	CC	GO:0016021	integral component of membrane
fig|742725.3.peg.10|HMPREF9450_00013	MF	GO:0016740	transferase activity
fig|742725.3.peg.11|HMPREF9450_00014	MF	GO:0016740	transferase activity
fig|742725.3.peg.12|HMPREF9450_00015	MF	GO:0003979	UDP-glucose 6-dehydrogenase activity
fig|742725.3.peg.12|HMPREF9450_00015	BP	GO:0000271	polysaccharide biosynthetic process
fig|742725.3.peg.13|HMPREF9450_00016	MF	GO:0008460	dTDP-glucose 4,6-dehydratase activity
fig|742725.3.peg.15	MF	GO:0003677	DNA binding
fig|742725.3.peg.18|HMPREF9450_00020	MF	GO:0004386	helicase activity
fig|742725.3.peg.23|HMPREF9450_00024	BP	GO:0015074	DNA integration
fig|742725.3.peg.23|HMPREF9450_00024	MF	GO:0003677	DNA binding
fig|742725.3.peg.26|HMPREF9450_00025	MF	GO:0000150	recombinase activity
fig|742725.3.peg.26|HMPREF9450_00025	BP	GO:0006310	DNA recombination
fig|742725.3.peg.27|HMPREF9450_00026	MF	GO:0000150	recombinase activity
fig|742725.3.peg.27|HMPREF9450_00026	BP	GO:0006310	DNA recombination
fig|742725.3.peg.28|HMPREF9450_00027	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
