gene	ontology	GO_id	GO_name
fig|411462.6.peg.1|DORLON_02683	MF	GO:0004803	transposase activity
fig|411462.6.peg.1|DORLON_02683	BP	GO:0006313	transposition, DNA-mediated
fig|411462.6.peg.2|DORLON_02684	BP	GO:0046952	ketone body catabolic process
fig|411462.6.peg.2|DORLON_02684	MF	GO:0008410	CoA-transferase activity
fig|411462.6.peg.3|DORLON_02687	BP	GO:0015074	DNA integration
fig|411462.6.peg.3|DORLON_02687	MF	GO:0003677	DNA binding
fig|411462.6.peg.4|DORLON_02688	BP	GO:0006270	DNA replication initiation
fig|411462.6.peg.4|DORLON_02688	MF	GO:0003916	DNA topoisomerase activity
fig|411462.6.peg.6|DORLON_02690	MF	GO:0043565	sequence-specific DNA binding
fig|411462.6.peg.7|DORLON_02693	MF	GO:0016301	kinase activity
fig|411462.6.peg.7|DORLON_02693	BP	GO:0016310	phosphorylation
fig|411462.6.peg.8|DORLON_02696	MF	GO:0003746	translation elongation factor activity
fig|411462.6.peg.8|DORLON_02696	BP	GO:0006414	translational elongation
fig|411462.6.peg.8|DORLON_02696	CC	GO:0005737	cytoplasm
fig|411462.6.peg.9|DORLON_02697	CC	GO:0015935	small ribosomal subunit
fig|411462.6.peg.9|DORLON_02697	MF	GO:0003735	structural constituent of ribosome
fig|411462.6.peg.9|DORLON_02697	BP	GO:0006412	translation
fig|411462.6.peg.10|DORLON_02698	MF	GO:0016787	hydrolase activity
fig|411462.6.peg.10|DORLON_02698	CC	GO:0016021	integral component of membrane
fig|411462.6.peg.11|DORLON_02699	BP	GO:0006537	glutamate biosynthetic process
fig|411462.6.peg.11|DORLON_02699	MF	GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
fig|411462.6.peg.12|DORLON_02700	MF	GO:0015930	glutamate synthase activity
fig|411462.6.peg.12|DORLON_02700	BP	GO:0006537	glutamate biosynthetic process
fig|411462.6.peg.13|DORLON_02701	MF	GO:0008233	peptidase activity
fig|411462.6.peg.13|DORLON_02701	BP	GO:0006508	proteolysis
fig|411462.6.peg.13|DORLON_02701	CC	GO:0016020	membrane
fig|411462.6.peg.14|DORLON_02702	MF	GO:0002161	aminoacyl-tRNA editing activity
fig|411462.6.peg.14|DORLON_02702	BP	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
fig|411462.6.peg.15|DORLON_02703	MF	GO:0043565	sequence-specific DNA binding
fig|411462.6.peg.16|DORLON_02704	MF	GO:0017150	tRNA dihydrouridine synthase activity
fig|411462.6.peg.16|DORLON_02704	BP	GO:0002943	tRNA dihydrouridine synthesis
fig|411462.6.peg.17|DORLON_02705	MF	GO:0008168	methyltransferase activity
fig|411462.6.peg.17|DORLON_02705	BP	GO:0032259	methylation
fig|411462.6.peg.18|DORLON_02706	MF	GO:0008833	deoxyribonuclease IV (phage-T4-induced) activity
fig|411462.6.peg.18|DORLON_02706	BP	GO:0006281	DNA repair
fig|411462.6.peg.19|DORLON_02707	MF	GO:0016887	ATPase activity
fig|411462.6.peg.19|DORLON_02707	BP	GO:0099132	ATP hydrolysis coupled cation transmembrane transport
fig|411462.6.peg.20|DORLON_02708	MF	GO:0015098	molybdate ion transmembrane transporter activity
fig|411462.6.peg.20|DORLON_02708	BP	GO:0015689	molybdate ion transport
fig|411462.6.peg.20|DORLON_02708	CC	GO:0005886	plasma membrane
fig|411462.6.peg.21|DORLON_02709	BP	GO:0015689	molybdate ion transport
fig|411462.6.peg.21|DORLON_02709	MF	GO:0046872	metal ion binding
fig|411462.6.peg.22|DORLON_02710	MF	GO:0030151	molybdenum ion binding
fig|411462.6.peg.22|DORLON_02710	BP	GO:0019720	Mo-molybdopterin cofactor metabolic process
fig|411462.6.peg.23|DORLON_02711	CC	GO:0019008	molybdopterin synthase complex
fig|411462.6.peg.23|DORLON_02711	MF	GO:0061798	GTP 3,8-cyclase activity
fig|411462.6.peg.23|DORLON_02711	BP	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
fig|411462.6.peg.24|DORLON_02712	MF	GO:0061799	cyclic pyranopterin monophosphate synthase activity
fig|411462.6.peg.24|DORLON_02712	BP	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
fig|411462.6.peg.25|DORLON_02713	MF	GO:0061599	molybdopterin molybdotransferase activity
fig|411462.6.peg.25|DORLON_02713	BP	GO:0032324	molybdopterin cofactor biosynthetic process
fig|411462.6.peg.26|DORLON_02714	MF	GO:0061599	molybdopterin molybdotransferase activity
fig|411462.6.peg.26|DORLON_02714	BP	GO:0032324	molybdopterin cofactor biosynthetic process
