gene	ontology	GO_id	GO_name
fig|742722.3.peg.1|HMPREF9463_00001	MF	GO:0004177	aminopeptidase activity
fig|742722.3.peg.1|HMPREF9463_00001	BP	GO:0006508	proteolysis
fig|742722.3.peg.2|HMPREF9463_00002	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.3|HMPREF9463_00003	MF	GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
fig|742722.3.peg.3|HMPREF9463_00003	BP	GO:0006189	de novo IMP biosynthetic process
fig|742722.3.peg.4|HMPREF9463_00004	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|742722.3.peg.4|HMPREF9463_00004	MF	GO:0000155	phosphorelay sensor kinase activity
fig|742722.3.peg.4|HMPREF9463_00004	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.5|HMPREF9463_00005	BP	GO:0000160	phosphorelay signal transduction system
fig|742722.3.peg.5|HMPREF9463_00005	MF	GO:0003677	DNA binding
fig|742722.3.peg.8|HMPREF9463_00008	MF	GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
fig|742722.3.peg.8|HMPREF9463_00008	BP	GO:0044208	de novo AMP biosynthetic process
fig|742722.3.peg.8|HMPREF9463_00008	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.10|HMPREF9463_00009	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.11|HMPREF9463_00010	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.12|HMPREF9463_00011	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.13|HMPREF9463_00012	CC	GO:0000502	proteasome complex
fig|742722.3.peg.14|HMPREF9463_00013	CC	GO:0000502	proteasome complex
fig|742722.3.peg.15|HMPREF9463_00014	MF	GO:0008026	ATP-dependent helicase activity
fig|742722.3.peg.15|HMPREF9463_00014	BP	GO:0006139	nucleobase-containing compound metabolic process
fig|742722.3.peg.16|HMPREF9463_00015	MF	GO:0008716	D-alanine-D-alanine ligase activity
fig|742722.3.peg.16|HMPREF9463_00015	BP	GO:0009252	peptidoglycan biosynthetic process
fig|742722.3.peg.16|HMPREF9463_00015	CC	GO:0005737	cytoplasm
fig|742722.3.peg.17|HMPREF9463_00016	MF	GO:0070040	rRNA (adenine-C2-)-methyltransferase activity
fig|742722.3.peg.17|HMPREF9463_00016	BP	GO:0070475	rRNA base methylation
fig|742722.3.peg.17|HMPREF9463_00016	CC	GO:0005737	cytoplasm
fig|742722.3.peg.18|HMPREF9463_00018	MF	GO:0003677	DNA binding
fig|742722.3.peg.19|HMPREF9463_00019	MF	GO:0005524	ATP binding
fig|742722.3.peg.19|HMPREF9463_00019	BP	GO:0055114	oxidation-reduction process
fig|742722.3.peg.20|HMPREF9463_00020	MF	GO:0070043	rRNA (guanine-N7-)-methyltransferase activity
fig|742722.3.peg.20|HMPREF9463_00020	BP	GO:0070476	rRNA (guanine-N7)-methylation
fig|742722.3.peg.20|HMPREF9463_00020	CC	GO:0005737	cytoplasm
fig|742722.3.peg.21|HMPREF9463_00021	MF	GO:0003676	nucleic acid binding
fig|742722.3.peg.22|HMPREF9463_00022	MF	GO:0032977	membrane insertase activity
fig|742722.3.peg.22|HMPREF9463_00022	BP	GO:0015031	protein transport
fig|742722.3.peg.22|HMPREF9463_00022	CC	GO:0016021	integral component of membrane
fig|742722.3.peg.23|HMPREF9463_00023	CC	GO:0005886	plasma membrane
fig|742722.3.peg.25|HMPREF9463_00025	MF	GO:0003735	structural constituent of ribosome
fig|742722.3.peg.25|HMPREF9463_00025	BP	GO:0006412	translation
fig|742722.3.peg.25|HMPREF9463_00025	CC	GO:0005840	ribosome
fig|742722.3.peg.26|HMPREF9463_00026	MF	GO:0016301	kinase activity
fig|742722.3.peg.26|HMPREF9463_00026	BP	GO:0016310	phosphorylation
fig|742722.3.peg.27|HMPREF9463_00027	MF	GO:0003688	DNA replication origin binding
fig|742722.3.peg.27|HMPREF9463_00027	BP	GO:0006275	regulation of DNA replication
