gene	ontology	GO_id	GO_name
fig|665956.3.peg.2|HMPREF1032_01630	BP	GO:0031564	transcription antitermination
fig|665956.3.peg.5|HMPREF1032_01633	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.6|HMPREF1032_01634	MF	GO:0003677	DNA binding
fig|665956.3.peg.8|HMPREF1032_01636	BP	GO:0042262	DNA protection
fig|665956.3.peg.8|HMPREF1032_01636	MF	GO:0003690	double-stranded DNA binding
fig|665956.3.peg.14|HMPREF1032_01642	MF	GO:0003677	DNA binding
fig|665956.3.peg.17|HMPREF1032_01644	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.19|HMPREF1032_01645	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.20|HMPREF1032_01646	MF	GO:0043565	sequence-specific DNA binding
fig|665956.3.peg.21|HMPREF1032_01647	BP	GO:0015074	DNA integration
fig|665956.3.peg.21|HMPREF1032_01647	MF	GO:0004803	transposase activity
fig|665956.3.peg.31|HMPREF1032_01656	MF	GO:0004812	aminoacyl-tRNA ligase activity
fig|665956.3.peg.31|HMPREF1032_01656	BP	GO:0043039	tRNA aminoacylation
fig|665956.3.peg.32|HMPREF1032_01657	MF	GO:0016491	oxidoreductase activity
fig|665956.3.peg.32|HMPREF1032_01657	BP	GO:0055114	oxidation-reduction process
fig|665956.3.peg.33|HMPREF1032_01658	MF	GO:0016740	transferase activity
fig|665956.3.peg.35|HMPREF1032_01659	MF	GO:0008519	ammonium transmembrane transporter activity
fig|665956.3.peg.35|HMPREF1032_01659	BP	GO:0006808	regulation of nitrogen utilization
fig|665956.3.peg.35|HMPREF1032_01659	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.38|HMPREF1032_01660	MF	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
fig|665956.3.peg.38|HMPREF1032_01660	BP	GO:0008654	phospholipid biosynthetic process
fig|665956.3.peg.38|HMPREF1032_01660	CC	GO:0016020	membrane
fig|665956.3.peg.39|HMPREF1032_01661	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.40|HMPREF1032_01662	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.41|HMPREF1032_01663	MF	GO:0008168	methyltransferase activity
fig|665956.3.peg.41|HMPREF1032_01663	BP	GO:0032259	methylation
fig|665956.3.peg.42|HMPREF1032_01664	MF	GO:0016787	hydrolase activity
fig|665956.3.peg.42|HMPREF1032_01664	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.43|HMPREF1032_01665	BP	GO:0006855	drug transmembrane transport
fig|665956.3.peg.43|HMPREF1032_01665	MF	GO:0015238	drug transmembrane transporter activity
fig|665956.3.peg.43|HMPREF1032_01665	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.44|HMPREF1032_01666	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.45|HMPREF1032_01667	MF	GO:0030170	pyridoxal phosphate binding
fig|665956.3.peg.45|HMPREF1032_01667	BP	GO:0006355	regulation of transcription, DNA-templated
fig|665956.3.peg.46|HMPREF1032_01668	MF	GO:0000155	phosphorelay sensor kinase activity
fig|665956.3.peg.46|HMPREF1032_01668	BP	GO:0023014	signal transduction by protein phosphorylation
fig|665956.3.peg.46|HMPREF1032_01668	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.47|HMPREF1032_01669	BP	GO:0000160	phosphorelay signal transduction system
fig|665956.3.peg.47|HMPREF1032_01669	MF	GO:0003677	DNA binding
fig|665956.3.peg.48|HMPREF1032_01670	MF	GO:0016987	sigma factor activity
fig|665956.3.peg.48|HMPREF1032_01670	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|665956.3.peg.50|HMPREF1032_01671	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.52|HMPREF1032_01673	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.53|HMPREF1032_01674	MF	GO:0003824	catalytic activity
fig|665956.3.peg.53|HMPREF1032_01674	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.55|HMPREF1032_01675	MF	GO:0016787	hydrolase activity
fig|665956.3.peg.57|HMPREF1032_01677	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.58|HMPREF1032_01678	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.62|HMPREF1032_01683	MF	GO:0016740	transferase activity
fig|665956.3.peg.62|HMPREF1032_01683	CC	GO:0005840	ribosome
fig|665956.3.peg.63|HMPREF1032_01684	MF	GO:0051287	NAD binding
fig|665956.3.peg.63|HMPREF1032_01684	BP	GO:0055114	oxidation-reduction process
fig|665956.3.peg.66|HMPREF1032_01687	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.67|HMPREF1032_01688	MF	GO:0030170	pyridoxal phosphate binding
fig|665956.3.peg.67|HMPREF1032_01688	BP	GO:0051301	cell division
fig|665956.3.peg.69|HMPREF1032_01690	MF	GO:0052621	diguanylate cyclase activity
fig|665956.3.peg.71|HMPREF1032_01692	CC	GO:0016021	integral component of membrane
fig|665956.3.peg.72|HMPREF1032_01693	MF	GO:0000150	recombinase activity
fig|665956.3.peg.72|HMPREF1032_01693	BP	GO:0006310	DNA recombination
fig|665956.3.peg.74|HMPREF1032_01695	CC	GO:0046821	extrachromosomal DNA
fig|665956.3.peg.74|HMPREF1032_01695	BP	GO:0006310	DNA recombination
fig|665956.3.peg.74|HMPREF1032_01695	MF	GO:0003677	DNA binding
fig|665956.3.peg.75|HMPREF1032_01696	MF	GO:0016740	transferase activity
fig|665956.3.peg.76|HMPREF1032_01697	MF	GO:0004386	helicase activity
fig|665956.3.peg.77|HMPREF1032_01698	MF	GO:0003896	DNA primase activity
fig|665956.3.peg.77|HMPREF1032_01698	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|665956.3.peg.79|HMPREF1032_01700	BP	GO:0006352	DNA-templated transcription, initiation
fig|665956.3.peg.79|HMPREF1032_01700	MF	GO:0003700	DNA-binding transcription factor activity
fig|665956.3.peg.80|HMPREF1032_01701	BP	GO:1990414	replication-born double-strand break repair via sister chromatid exchange
fig|665956.3.peg.81|HMPREF1032_01703	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|665956.3.peg.81|HMPREF1032_01703	BP	GO:0055085	transmembrane transport
