gene	ontology	GO_id	GO_name
fig|1232455.3.peg.3	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1232455.3.peg.3	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.4	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1232455.3.peg.4	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.5	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1232455.3.peg.5	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.6	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1232455.3.peg.6	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.7	MF	GO:0043565	sequence-specific DNA binding
fig|1232455.3.peg.7	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1232455.3.peg.13	MF	GO:0030246	carbohydrate binding
fig|1232455.3.peg.13	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.14	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1232455.3.peg.14	BP	GO:0005975	carbohydrate metabolic process
fig|1232455.3.peg.16	MF	GO:0003824	catalytic activity
fig|1232455.3.peg.18	BP	GO:0015074	DNA integration
fig|1232455.3.peg.18	MF	GO:0003677	DNA binding
fig|1232455.3.peg.19	MF	GO:0043565	sequence-specific DNA binding
fig|1232455.3.peg.25	MF	GO:0016740	transferase activity
fig|1232455.3.peg.25	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.25	BP	GO:0097502	mannosylation
fig|1232455.3.peg.27	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.28	MF	GO:0016740	transferase activity
fig|1232455.3.peg.28	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.29	MF	GO:0016740	transferase activity
fig|1232455.3.peg.29	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.30	MF	GO:0016740	transferase activity
fig|1232455.3.peg.30	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.31	MF	GO:0016740	transferase activity
fig|1232455.3.peg.32	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.33	MF	GO:0016740	transferase activity
fig|1232455.3.peg.34	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.35	MF	GO:0051287	NAD binding
fig|1232455.3.peg.35	BP	GO:0055114	oxidation-reduction process
fig|1232455.3.peg.36	MF	GO:0051287	NAD binding
fig|1232455.3.peg.36	BP	GO:0055114	oxidation-reduction process
fig|1232455.3.peg.37	MF	GO:0008270	zinc ion binding
fig|1232455.3.peg.37	BP	GO:0055114	oxidation-reduction process
fig|1232455.3.peg.37	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.38	MF	GO:0071111	cyclic-guanylate-specific phosphodiesterase activity
fig|1232455.3.peg.38	BP	GO:0016310	phosphorylation
fig|1232455.3.peg.39	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.41	CC	GO:0016021	integral component of membrane
fig|1232455.3.peg.41	MF	GO:0004601	peroxidase activity
fig|1232455.3.peg.41	BP	GO:0098869	cellular oxidant detoxification
fig|1232455.3.peg.42	CC	GO:0016021	integral component of membrane
