gene	ontology	GO_id	GO_name
fig|469586.3.peg.12|BSIG_00014	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.14|BSIG_00016	BP	GO:0006306	DNA methylation
fig|469586.3.peg.14|BSIG_00016	MF	GO:0008170	N-methyltransferase activity
fig|469586.3.peg.19|BSIG_00022	MF	GO:0047134	protein-disulfide reductase activity
fig|469586.3.peg.19|BSIG_00022	BP	GO:0017004	cytochrome complex assembly
fig|469586.3.peg.19|BSIG_00022	CC	GO:0005623	cell
fig|469586.3.peg.20|BSIG_00023	MF	GO:0008127	quercetin 2,3-dioxygenase activity
fig|469586.3.peg.20|BSIG_00023	BP	GO:0055114	oxidation-reduction process
fig|469586.3.peg.21|BSIG_00024	MF	GO:0016987	sigma factor activity
fig|469586.3.peg.21|BSIG_00024	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|469586.3.peg.22|BSIG_00025	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.22|BSIG_00025	BP	GO:0071281	cellular response to iron ion
fig|469586.3.peg.22|BSIG_00025	MF	GO:0016989	sigma factor antagonist activity
fig|469586.3.peg.23|BSIG_00026	CC	GO:0009279	cell outer membrane
fig|469586.3.peg.23|BSIG_00026	MF	GO:0004181	metallocarboxypeptidase activity
fig|469586.3.peg.23|BSIG_00026	BP	GO:0016485	protein processing
fig|469586.3.peg.25|BSIG_00028	MF	GO:0016787	hydrolase activity
fig|469586.3.peg.26|BSIG_00029	MF	GO:0016853	isomerase activity
fig|469586.3.peg.26|BSIG_00029	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|469586.3.peg.28|BSIG_00031	MF	GO:0008889	glycerophosphodiester phosphodiesterase activity
fig|469586.3.peg.28|BSIG_00031	BP	GO:0006629	lipid metabolic process
fig|469586.3.peg.29|BSIG_00032	MF	GO:0022857	transmembrane transporter activity
fig|469586.3.peg.29|BSIG_00032	BP	GO:0055085	transmembrane transport
fig|469586.3.peg.29|BSIG_00032	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.31|BSIG_00034	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.33|BSIG_00036	MF	GO:0003879	ATP phosphoribosyltransferase activity
fig|469586.3.peg.33|BSIG_00036	BP	GO:0000105	histidine biosynthetic process
fig|469586.3.peg.33|BSIG_00036	CC	GO:0005737	cytoplasm
fig|469586.3.peg.34|BSIG_00037	MF	GO:0004399	histidinol dehydrogenase activity
fig|469586.3.peg.34|BSIG_00037	BP	GO:0000105	histidine biosynthetic process
fig|469586.3.peg.34|BSIG_00037	CC	GO:0005829	cytosol
fig|469586.3.peg.35|BSIG_00038	MF	GO:0004400	histidinol-phosphate transaminase activity
fig|469586.3.peg.35|BSIG_00038	BP	GO:0000105	histidine biosynthetic process
fig|469586.3.peg.36|BSIG_00039	MF	GO:0004401	histidinol-phosphatase activity
fig|469586.3.peg.36|BSIG_00039	BP	GO:0000105	histidine biosynthetic process
fig|469586.3.peg.36|BSIG_00039	CC	GO:0005737	cytoplasm
fig|469586.3.peg.38|BSIG_00041	MF	GO:0008795	NAD+ synthase activity
fig|469586.3.peg.38|BSIG_00041	BP	GO:0009435	NAD biosynthetic process
fig|469586.3.peg.38|BSIG_00041	CC	GO:0005737	cytoplasm
fig|469586.3.peg.119|BSIG_00042	CC	GO:0009279	cell outer membrane
fig|469586.3.peg.119|BSIG_00042	MF	GO:0004181	metallocarboxypeptidase activity
fig|469586.3.peg.119|BSIG_00042	BP	GO:0016485	protein processing
fig|469586.3.peg.121|BSIG_00044	BP	GO:0007154	cell communication
fig|469586.3.peg.121|BSIG_00044	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.123|BSIG_00046	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.125|BSIG_00048	MF	GO:0004252	serine-type endopeptidase activity
fig|469586.3.peg.125|BSIG_00048	BP	GO:0006508	proteolysis
fig|469586.3.peg.125|BSIG_00048	CC	GO:0005887	integral component of plasma membrane
fig|469586.3.peg.126|BSIG_00049	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.128|BSIG_00051	MF	GO:0003700	DNA-binding transcription factor activity
fig|469586.3.peg.128|BSIG_00051	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469586.3.peg.129|BSIG_00052	MF	GO:0005506	iron ion binding
fig|469586.3.peg.129|BSIG_00052	BP	GO:0098869	cellular oxidant detoxification
fig|469586.3.peg.130|BSIG_00053	MF	GO:0016491	oxidoreductase activity
fig|469586.3.peg.130|BSIG_00053	BP	GO:0055114	oxidation-reduction process
fig|469586.3.peg.361|BSIG_00054	BP	GO:0006662	glycerol ether metabolic process
fig|469586.3.peg.361|BSIG_00054	MF	GO:0015035	protein disulfide oxidoreductase activity
fig|469586.3.peg.361|BSIG_00054	CC	GO:0005623	cell
fig|469586.3.peg.362|BSIG_00055	BP	GO:0006662	glycerol ether metabolic process
fig|469586.3.peg.362|BSIG_00055	MF	GO:0015035	protein disulfide oxidoreductase activity
fig|469586.3.peg.362|BSIG_00055	CC	GO:0005623	cell
fig|469586.3.peg.363|BSIG_00056	MF	GO:0016740	transferase activity
fig|469586.3.peg.365|BSIG_00059	MF	GO:0070009	serine-type aminopeptidase activity
fig|469586.3.peg.365|BSIG_00059	BP	GO:0006508	proteolysis
fig|469586.3.peg.366|BSIG_00060	MF	GO:0070009	serine-type aminopeptidase activity
fig|469586.3.peg.366|BSIG_00060	BP	GO:0006508	proteolysis
fig|469586.3.peg.367|BSIG_00061	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|469586.3.peg.367|BSIG_00061	BP	GO:0055114	oxidation-reduction process
fig|469586.3.peg.367|BSIG_00061	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.369|BSIG_00063	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469586.3.peg.369|BSIG_00063	MF	GO:0003677	DNA binding
fig|469586.3.peg.369|BSIG_00063	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.370|BSIG_00064	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.371|BSIG_00066	MF	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
fig|469586.3.peg.371|BSIG_00066	BP	GO:0008654	phospholipid biosynthetic process
fig|469586.3.peg.371|BSIG_00066	CC	GO:0016021	integral component of membrane
fig|469586.3.peg.372|BSIG_00067	MF	GO:0008408	3-5 exonuclease activity
fig|469586.3.peg.372|BSIG_00067	BP	GO:0006260	DNA replication
fig|469586.3.peg.373|BSIG_00068	BP	GO:0006281	DNA repair
fig|469586.3.peg.373|BSIG_00068	MF	GO:0004518	nuclease activity
fig|469586.3.peg.374|BSIG_00069	MF	GO:0016787	hydrolase activity
fig|469586.3.peg.374|BSIG_00069	CC	GO:0016021	integral component of membrane
