gene	ontology	GO_id	GO_name
fig|411479.10.peg.4|BACUNI_00042	MF	GO:0005524	ATP binding
fig|411479.10.peg.5|BACUNI_00043	CC	GO:0009279	cell outer membrane
fig|411479.10.peg.7|BACUNI_03394	MF	GO:0051536	iron-sulfur cluster binding
fig|411479.10.peg.7|BACUNI_03394	BP	GO:0055114	oxidation-reduction process
fig|411479.10.peg.8|BACUNI_03395	MF	GO:0008236	serine-type peptidase activity
fig|411479.10.peg.8|BACUNI_03395	BP	GO:0006508	proteolysis
fig|411479.10.peg.9|BACUNI_03396	MF	GO:0004068	aspartate 1-decarboxylase activity
fig|411479.10.peg.9|BACUNI_03396	BP	GO:0006523	alanine biosynthetic process
fig|411479.10.peg.9|BACUNI_03396	CC	GO:0005737	cytoplasm
fig|411479.10.peg.10|BACUNI_03397	MF	GO:0004592	pantoate-beta-alanine ligase activity
fig|411479.10.peg.10|BACUNI_03397	BP	GO:0015940	pantothenate biosynthetic process
fig|411479.10.peg.10|BACUNI_03397	CC	GO:0005737	cytoplasm
fig|411479.10.peg.11|BACUNI_03398	MF	GO:0033201	alpha-1,4-glucan synthase activity
fig|411479.10.peg.13|BACUNI_03400	BP	GO:0005975	carbohydrate metabolic process
fig|411479.10.peg.13|BACUNI_03400	MF	GO:0103025	alpha-amylase activity (releasing maltohexaose)
fig|411479.10.peg.14|BACUNI_03401	MF	GO:0016740	transferase activity
fig|411479.10.peg.15|BACUNI_03402	MF	GO:0004135	amylo-alpha-1,6-glucosidase activity
fig|411479.10.peg.15|BACUNI_03402	BP	GO:0005980	glycogen catabolic process
fig|411479.10.peg.18|BACUNI_03403	MF	GO:0004252	serine-type endopeptidase activity
fig|411479.10.peg.18|BACUNI_03403	BP	GO:0006508	proteolysis
fig|411479.10.peg.18|BACUNI_03403	CC	GO:0016021	integral component of membrane
fig|411479.10.peg.19|BACUNI_03405	BP	GO:0006355	regulation of transcription, DNA-templated
fig|411479.10.peg.19|BACUNI_03405	MF	GO:0003677	DNA binding
fig|411479.10.peg.19|BACUNI_03405	CC	GO:0005829	cytosol
fig|411479.10.peg.20|BACUNI_03406	MF	GO:0080030	methyl indole-3-acetate esterase activity
fig|411479.10.peg.21|BACUNI_03407	MF	GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
fig|411479.10.peg.21|BACUNI_03407	BP	GO:0006177	GMP biosynthetic process
fig|411479.10.peg.22|BACUNI_03408	MF	GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
fig|411479.10.peg.22|BACUNI_03408	BP	GO:0006177	GMP biosynthetic process
fig|411479.10.peg.24|BACUNI_03411	MF	GO:0008381	mechanosensitive ion channel activity
fig|411479.10.peg.24|BACUNI_03411	CC	GO:0005887	integral component of plasma membrane
fig|411479.10.peg.24|BACUNI_03411	BP	GO:0034220	ion transmembrane transport
fig|411479.10.peg.26|BACUNI_03412	BP	GO:0006006	glucose metabolic process
fig|411479.10.peg.26|BACUNI_03412	MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
fig|411479.10.peg.26|BACUNI_03412	CC	GO:0005829	cytosol
fig|411479.10.peg.27|BACUNI_03413	MF	GO:0004222	metalloendopeptidase activity
fig|411479.10.peg.27|BACUNI_03413	BP	GO:0006508	proteolysis
fig|411479.10.peg.28|BACUNI_03415	MF	GO:0004132	dCMP deaminase activity
fig|411479.10.peg.28|BACUNI_03415	BP	GO:0006220	pyrimidine nucleotide metabolic process
