gene	ontology	GO_id	GO_name
fig|585394.18.peg.1|RHOM_00005	MF	GO:0003688	DNA replication origin binding
fig|585394.18.peg.1|RHOM_00005	BP	GO:0006275	regulation of DNA replication
fig|585394.18.peg.1|RHOM_00005	CC	GO:0005737	cytoplasm
fig|585394.18.peg.2|RHOM_00010	CC	GO:0009360	DNA polymerase III complex
fig|585394.18.peg.2|RHOM_00010	MF	GO:0008408	3-5 exonuclease activity
fig|585394.18.peg.2|RHOM_00010	BP	GO:0071897	DNA biosynthetic process
fig|585394.18.peg.3|RHOM_00015	MF	GO:0003723	RNA binding
fig|585394.18.peg.4|RHOM_00020	MF	GO:0003697	single-stranded DNA binding
fig|585394.18.peg.4|RHOM_00020	BP	GO:0009432	SOS response
fig|585394.18.peg.4|RHOM_00020	CC	GO:0005737	cytoplasm
fig|585394.18.peg.6|RHOM_00025	MF	GO:0061505	DNA topoisomerase II activity
fig|585394.18.peg.6|RHOM_00025	BP	GO:0006265	DNA topological change
fig|585394.18.peg.6|RHOM_00025	CC	GO:0005694	chromosome
fig|585394.18.peg.7|RHOM_00030	MF	GO:0061505	DNA topoisomerase II activity
fig|585394.18.peg.7|RHOM_00030	BP	GO:0006265	DNA topological change
fig|585394.18.peg.7|RHOM_00030	CC	GO:0005694	chromosome
fig|585394.18.peg.8|RHOM_00035	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.9|RHOM_00040	BP	GO:0055114	oxidation-reduction process
fig|585394.18.peg.9|RHOM_00040	MF	GO:0050661	NADP binding
fig|585394.18.peg.10|RHOM_00045	MF	GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
fig|585394.18.peg.10|RHOM_00045	BP	GO:0015940	pantothenate biosynthetic process
fig|585394.18.peg.10|RHOM_00045	CC	GO:0005737	cytoplasm
fig|585394.18.peg.11|RHOM_00050	MF	GO:0004592	pantoate-beta-alanine ligase activity
fig|585394.18.peg.11|RHOM_00050	BP	GO:0015940	pantothenate biosynthetic process
fig|585394.18.peg.11|RHOM_00050	CC	GO:0005737	cytoplasm
fig|585394.18.peg.12|RHOM_00055	MF	GO:0004068	aspartate 1-decarboxylase activity
fig|585394.18.peg.12|RHOM_00055	BP	GO:0006523	alanine biosynthetic process
fig|585394.18.peg.12|RHOM_00055	CC	GO:0005737	cytoplasm
fig|585394.18.peg.13|RHOM_00060	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.14|RHOM_00065	MF	GO:0016829	lyase activity
fig|585394.18.peg.15|RHOM_00070	MF	GO:0016836	hydro-lyase activity
fig|585394.18.peg.16|RHOM_00075	MF	GO:0051213	dioxygenase activity
fig|585394.18.peg.16|RHOM_00075	BP	GO:0006355	regulation of transcription, DNA-templated
fig|585394.18.peg.17|RHOM_00080	MF	GO:0016887	ATPase activity
fig|585394.18.peg.17|RHOM_00080	BP	GO:0033214	iron assimilation by chelation and transport
fig|585394.18.peg.17|RHOM_00080	CC	GO:0005623	cell
fig|585394.18.peg.18|RHOM_00085	MF	GO:0005215	transporter activity
fig|585394.18.peg.18|RHOM_00085	CC	GO:0005886	plasma membrane
fig|585394.18.peg.20|RHOM_00095	BP	GO:0006355	regulation of transcription, DNA-templated
fig|585394.18.peg.20|RHOM_00095	MF	GO:0003677	DNA binding
fig|585394.18.peg.21|RHOM_00100	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.22|RHOM_00105	MF	GO:0016491	oxidoreductase activity
fig|585394.18.peg.22|RHOM_00105	BP	GO:0055114	oxidation-reduction process
fig|585394.18.peg.22|RHOM_00105	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.25|RHOM_00120	MF	GO:0016787	hydrolase activity
fig|585394.18.peg.26|RHOM_00125	BP	GO:0030163	protein catabolic process
fig|585394.18.peg.26|RHOM_00125	MF	GO:0004222	metalloendopeptidase activity
fig|585394.18.peg.26|RHOM_00125	CC	GO:0005886	plasma membrane
fig|585394.18.peg.27|RHOM_00130	MF	GO:0008233	peptidase activity
fig|585394.18.peg.27|RHOM_00130	BP	GO:0006508	proteolysis
fig|585394.18.peg.27|RHOM_00130	CC	GO:0016020	membrane
fig|585394.18.peg.30|RHOM_00140	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.31|RHOM_00145	MF	GO:0016787	hydrolase activity
fig|585394.18.peg.31|RHOM_00145	BP	GO:0006508	proteolysis
fig|585394.18.peg.32|RHOM_00150	MF	GO:0015095	magnesium ion transmembrane transporter activity
fig|585394.18.peg.32|RHOM_00150	BP	GO:1903830	magnesium ion transmembrane transport
fig|585394.18.peg.32|RHOM_00150	CC	GO:0005886	plasma membrane
fig|585394.18.peg.33|RHOM_00155	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.35|RHOM_00165	CC	GO:0016021	integral component of membrane
fig|585394.18.peg.37|RHOM_00175	MF	GO:0004831	tyrosine-tRNA ligase activity
fig|585394.18.peg.37|RHOM_00175	BP	GO:0006437	tyrosyl-tRNA aminoacylation
fig|585394.18.peg.37|RHOM_00175	CC	GO:0005737	cytoplasm
fig|585394.18.peg.38|RHOM_00180	MF	GO:0016491	oxidoreductase activity
