gene	ontology	GO_id	GO_name
fig|469596.3.peg.1|HMPREF9488_00001	CC	GO:0016021	integral component of membrane
fig|469596.3.peg.2|HMPREF9488_00002	MF	GO:0043565	sequence-specific DNA binding
fig|469596.3.peg.2|HMPREF9488_00002	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469596.3.peg.3|HMPREF9488_00003	MF	GO:0016301	kinase activity
fig|469596.3.peg.3|HMPREF9488_00003	BP	GO:0016310	phosphorylation
fig|469596.3.peg.4|HMPREF9488_00004	BP	GO:0005975	carbohydrate metabolic process
fig|469596.3.peg.4|HMPREF9488_00004	MF	GO:0046872	metal ion binding
fig|469596.3.peg.5|HMPREF9488_00005	MF	GO:0004803	transposase activity
fig|469596.3.peg.5|HMPREF9488_00005	BP	GO:0006313	transposition, DNA-mediated
fig|469596.3.peg.8|HMPREF9488_00008	MF	GO:0043565	sequence-specific DNA binding
fig|469596.3.peg.8|HMPREF9488_00008	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469596.3.peg.9|HMPREF9488_00009	MF	GO:0031176	endo-1,4-beta-xylanase activity
fig|469596.3.peg.9|HMPREF9488_00009	BP	GO:0045493	xylan catabolic process
fig|469596.3.peg.10|HMPREF9488_00010	MF	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
fig|469596.3.peg.10|HMPREF9488_00010	BP	GO:0034219	carbohydrate transmembrane transport
fig|469596.3.peg.10|HMPREF9488_00010	CC	GO:0005886	plasma membrane
fig|469596.3.peg.11|HMPREF9488_00011	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|469596.3.peg.11|HMPREF9488_00011	BP	GO:0005975	carbohydrate metabolic process
fig|469596.3.peg.14|HMPREF9488_00013	CC	GO:0016021	integral component of membrane
fig|469596.3.peg.15|HMPREF9488_00014	MF	GO:0003677	DNA binding
fig|469596.3.peg.16|HMPREF9488_00015	MF	GO:0016491	oxidoreductase activity
fig|469596.3.peg.16|HMPREF9488_00015	BP	GO:0055114	oxidation-reduction process
fig|469596.3.peg.18|HMPREF9488_00017	CC	GO:0016021	integral component of membrane
fig|469596.3.peg.19|HMPREF9488_00018	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|469596.3.peg.19|HMPREF9488_00018	CC	GO:0005737	cytoplasm
fig|469596.3.peg.19|HMPREF9488_00018	MF	GO:0016740	transferase activity
fig|469596.3.peg.20|HMPREF9488_00019	MF	GO:0003700	DNA-binding transcription factor activity
fig|469596.3.peg.20|HMPREF9488_00019	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469596.3.peg.21|HMPREF9488_00020	CC	GO:0016021	integral component of membrane
fig|469596.3.peg.22|HMPREF9488_00021	MF	GO:0016887	ATPase activity
fig|469596.3.peg.23|HMPREF9488_00022	CC	GO:0016021	integral component of membrane
fig|469596.3.peg.24|HMPREF9488_00023	MF	GO:0016787	hydrolase activity
fig|469596.3.peg.25|HMPREF9488_00024	MF	GO:0003700	DNA-binding transcription factor activity
fig|469596.3.peg.25|HMPREF9488_00024	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469596.3.peg.26|HMPREF9488_00025	CC	GO:0005886	plasma membrane
fig|469596.3.peg.27|HMPREF9488_00026	MF	GO:0003700	DNA-binding transcription factor activity
