gene	ontology	GO_id	GO_name
fig|1002367.3.peg.1|HMPREF0673_00001	BP	GO:0015074	DNA integration
fig|1002367.3.peg.1|HMPREF0673_00001	MF	GO:0003677	DNA binding
fig|1002367.3.peg.2|HMPREF0673_00002	BP	GO:0015074	DNA integration
fig|1002367.3.peg.2|HMPREF0673_00002	MF	GO:0003677	DNA binding
fig|1002367.3.peg.3|HMPREF0673_00004	BP	GO:0006304	DNA modification
fig|1002367.3.peg.3|HMPREF0673_00004	MF	GO:0004519	endonuclease activity
fig|1002367.3.peg.4|HMPREF0673_00005	BP	GO:0006306	DNA methylation
fig|1002367.3.peg.4|HMPREF0673_00005	MF	GO:0008170	N-methyltransferase activity
fig|1002367.3.peg.5|HMPREF0673_00006	MF	GO:0004518	nuclease activity
fig|1002367.3.peg.5|HMPREF0673_00006	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1002367.3.peg.7|HMPREF0673_00008	BP	GO:0006304	DNA modification
fig|1002367.3.peg.7|HMPREF0673_00008	MF	GO:0003677	DNA binding
fig|1002367.3.peg.7|HMPREF0673_00008	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.8|HMPREF0673_00009	BP	GO:0006304	DNA modification
fig|1002367.3.peg.8|HMPREF0673_00009	MF	GO:0004519	endonuclease activity
fig|1002367.3.peg.9|HMPREF0673_00010	BP	GO:0006304	DNA modification
fig|1002367.3.peg.9|HMPREF0673_00010	MF	GO:0003677	DNA binding
fig|1002367.3.peg.9|HMPREF0673_00010	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.10|HMPREF0673_00011	BP	GO:0015074	DNA integration
fig|1002367.3.peg.10|HMPREF0673_00011	MF	GO:0003677	DNA binding
fig|1002367.3.peg.12|HMPREF0673_00013	CC	GO:0046821	extrachromosomal DNA
fig|1002367.3.peg.12|HMPREF0673_00013	BP	GO:0006310	DNA recombination
fig|1002367.3.peg.12|HMPREF0673_00013	MF	GO:0003677	DNA binding
fig|1002367.3.peg.14|HMPREF0673_00016	MF	GO:0003677	DNA binding
fig|1002367.3.peg.20|HMPREF0673_00026	MF	GO:0003677	DNA binding
fig|1002367.3.peg.23|HMPREF0673_00031	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.25|HMPREF0673_00041	MF	GO:0004333	fumarate hydratase activity
fig|1002367.3.peg.25|HMPREF0673_00041	BP	GO:0006091	generation of precursor metabolites and energy
fig|1002367.3.peg.26|HMPREF0673_00042	MF	GO:0004222	metalloendopeptidase activity
fig|1002367.3.peg.26|HMPREF0673_00042	BP	GO:0006508	proteolysis
fig|1002367.3.peg.26|HMPREF0673_00042	CC	GO:0005576	extracellular region
fig|1002367.3.peg.27|HMPREF0673_00043	MF	GO:0016740	transferase activity
fig|1002367.3.peg.29|HMPREF0673_00044	MF	GO:0003924	GTPase activity
fig|1002367.3.peg.29|HMPREF0673_00044	CC	GO:0005737	cytoplasm
fig|1002367.3.peg.30|HMPREF0673_00045	MF	GO:0008233	peptidase activity
fig|1002367.3.peg.30|HMPREF0673_00045	BP	GO:0006508	proteolysis
fig|1002367.3.peg.30|HMPREF0673_00045	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.32|HMPREF0673_00047	BP	GO:0006400	tRNA modification
fig|1002367.3.peg.32|HMPREF0673_00047	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|1002367.3.peg.33|HMPREF0673_00048	MF	GO:0016740	transferase activity
fig|1002367.3.peg.35|HMPREF0673_00050	MF	GO:0016787	hydrolase activity
fig|1002367.3.peg.35|HMPREF0673_00050	BP	GO:0016311	dephosphorylation
fig|1002367.3.peg.36|HMPREF0673_00051	MF	GO:0008932	lytic endotransglycosylase activity
fig|1002367.3.peg.36|HMPREF0673_00051	BP	GO:0009252	peptidoglycan biosynthetic process
fig|1002367.3.peg.36|HMPREF0673_00051	CC	GO:0005887	integral component of plasma membrane
fig|1002367.3.peg.42|HMPREF0673_00057	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.43|HMPREF0673_00058	MF	GO:0004518	nuclease activity
fig|1002367.3.peg.43|HMPREF0673_00058	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1002367.3.peg.45|HMPREF0673_00061	BP	GO:0015074	DNA integration
fig|1002367.3.peg.45|HMPREF0673_00061	MF	GO:0003677	DNA binding
fig|1002367.3.peg.46|HMPREF0673_00062	MF	GO:0003677	DNA binding
fig|1002367.3.peg.47|HMPREF0673_00063	MF	GO:0003677	DNA binding
fig|1002367.3.peg.48|HMPREF0673_00064	MF	GO:0003677	DNA binding
fig|1002367.3.peg.49|HMPREF0673_00065	MF	GO:0003677	DNA binding
fig|1002367.3.peg.50|HMPREF0673_00066	MF	GO:0003677	DNA binding
fig|1002367.3.peg.52|HMPREF0673_00068	MF	GO:0003917	DNA topoisomerase type I activity
fig|1002367.3.peg.52|HMPREF0673_00068	BP	GO:0006265	DNA topological change
fig|1002367.3.peg.53|HMPREF0673_00069	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.54|HMPREF0673_00070	BP	GO:0006306	DNA methylation
fig|1002367.3.peg.54|HMPREF0673_00070	MF	GO:0008170	N-methyltransferase activity
fig|1002367.3.peg.55|HMPREF0673_00072	MF	GO:0003924	GTPase activity
fig|1002367.3.peg.55|HMPREF0673_00072	BP	GO:0006414	translational elongation
fig|1002367.3.peg.56|HMPREF0673_00073	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1002367.3.peg.56|HMPREF0673_00073	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1002367.3.peg.56|HMPREF0673_00073	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.57|HMPREF0673_00074	MF	GO:0008134	transcription factor binding
fig|1002367.3.peg.57|HMPREF0673_00074	BP	GO:0000160	phosphorelay signal transduction system
fig|1002367.3.peg.58|HMPREF0673_00075	MF	GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
fig|1002367.3.peg.58|HMPREF0673_00075	BP	GO:0009231	riboflavin biosynthetic process
fig|1002367.3.peg.60|HMPREF0673_00077	MF	GO:0005524	ATP binding
fig|1002367.3.peg.61|HMPREF0673_00078	CC	GO:0016021	integral component of membrane
fig|1002367.3.peg.62|HMPREF0673_00079	CC	GO:0016021	integral component of membrane
