gene	ontology	GO_id	GO_name
fig|435590.9.peg.1|BVU_0001	MF	GO:0003688	DNA replication origin binding
fig|435590.9.peg.1|BVU_0001	BP	GO:0006275	regulation of DNA replication
fig|435590.9.peg.1|BVU_0001	CC	GO:0005737	cytoplasm
fig|435590.9.peg.2|BVU_0002	MF	GO:0016491	oxidoreductase activity
fig|435590.9.peg.2|BVU_0002	BP	GO:0055114	oxidation-reduction process
fig|435590.9.peg.3|BVU_0003	MF	GO:0061731	ribonucleoside-diphosphate reductase activity
fig|435590.9.peg.3|BVU_0003	BP	GO:0071897	DNA biosynthetic process
fig|435590.9.peg.4|BVU_0004	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.5|BVU_0005	MF	GO:0004150	dihydroneopterin aldolase activity
fig|435590.9.peg.5|BVU_0005	BP	GO:0046656	folic acid biosynthetic process
fig|435590.9.peg.6|BVU_0006	MF	GO:0051536	iron-sulfur cluster binding
fig|435590.9.peg.7|BVU_0007	MF	GO:0016740	transferase activity
fig|435590.9.peg.7|BVU_0007	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.8|BVU_0008	BP	GO:0006400	tRNA modification
fig|435590.9.peg.8|BVU_0008	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|435590.9.peg.9|BVU_0009	MF	GO:0016874	ligase activity
fig|435590.9.peg.9|BVU_0009	BP	GO:0001676	long-chain fatty acid metabolic process
fig|435590.9.peg.12|BVU_0011	MF	GO:0019843	rRNA binding
fig|435590.9.peg.12|BVU_0011	BP	GO:0006412	translation
fig|435590.9.peg.12|BVU_0011	CC	GO:0005840	ribosome
fig|435590.9.peg.13|BVU_0012	MF	GO:0019843	rRNA binding
fig|435590.9.peg.13|BVU_0012	BP	GO:0006412	translation
fig|435590.9.peg.13|BVU_0012	CC	GO:0005840	ribosome
fig|435590.9.peg.14|BVU_0013	MF	GO:0019843	rRNA binding
fig|435590.9.peg.14|BVU_0013	BP	GO:0006412	translation
fig|435590.9.peg.14|BVU_0013	CC	GO:0005840	ribosome
fig|435590.9.peg.16|BVU_0014	MF	GO:0003700	DNA-binding transcription factor activity
fig|435590.9.peg.16|BVU_0014	BP	GO:0006355	regulation of transcription, DNA-templated
fig|435590.9.peg.17	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.18|BVU_0015	BP	GO:0000160	phosphorelay signal transduction system
fig|435590.9.peg.18|BVU_0015	MF	GO:0003677	DNA binding
fig|435590.9.peg.18|BVU_0015	CC	GO:0005829	cytosol
fig|435590.9.peg.19|BVU_0016	MF	GO:0000155	phosphorelay sensor kinase activity
fig|435590.9.peg.19|BVU_0016	BP	GO:0023014	signal transduction by protein phosphorylation
fig|435590.9.peg.19|BVU_0016	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.20|BVU_0017	MF	GO:0003924	GTPase activity
fig|435590.9.peg.20|BVU_0017	BP	GO:0006414	translational elongation
fig|435590.9.peg.21|BVU_0018	MF	GO:0004109	coproporphyrinogen oxidase activity
fig|435590.9.peg.21|BVU_0018	BP	GO:0006782	protoporphyrinogen IX biosynthetic process
fig|435590.9.peg.21|BVU_0018	CC	GO:0005737	cytoplasm
fig|435590.9.peg.22|BVU_0019	CC	GO:0019867	outer membrane
fig|435590.9.peg.24|BVU_0021	CC	GO:0009279	cell outer membrane
fig|435590.9.peg.26|BVU_0023	MF	GO:0016987	sigma factor activity
fig|435590.9.peg.26|BVU_0023	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|435590.9.peg.28|BVU_0025	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.29|BVU_0026	CC	GO:0019867	outer membrane
fig|435590.9.peg.31|BVU_0028	MF	GO:0001681	sialate O-acetylesterase activity
fig|435590.9.peg.31|BVU_0028	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.31|BVU_0028	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.32|BVU_0029	MF	GO:0046559	alpha-glucuronidase activity
fig|435590.9.peg.32|BVU_0029	BP	GO:0045493	xylan catabolic process
fig|435590.9.peg.32|BVU_0029	CC	GO:0005576	extracellular region
fig|435590.9.peg.34|BVU_0030	MF	GO:0046559	alpha-glucuronidase activity
fig|435590.9.peg.34|BVU_0030	BP	GO:0045493	xylan catabolic process
fig|435590.9.peg.35|BVU_0031	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|435590.9.peg.35|BVU_0031	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.36|BVU_0032	MF	GO:0030246	carbohydrate binding
fig|435590.9.peg.36|BVU_0032	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.37|BVU_0033	MF	GO:0000155	phosphorelay sensor kinase activity
fig|435590.9.peg.37|BVU_0033	BP	GO:0023014	signal transduction by protein phosphorylation
fig|435590.9.peg.37|BVU_0033	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.41|BVU_0038	CC	GO:0009279	cell outer membrane
fig|435590.9.peg.42|BVU_0039	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|435590.9.peg.42|BVU_0039	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.42|BVU_0039	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.43|BVU_0040	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|435590.9.peg.43|BVU_0040	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.44|BVU_0041	MF	GO:0031176	endo-1,4-beta-xylanase activity
fig|435590.9.peg.44|BVU_0041	BP	GO:0000272	polysaccharide catabolic process
fig|435590.9.peg.45|BVU_0042	MF	GO:0004803	transposase activity
fig|435590.9.peg.45|BVU_0042	BP	GO:0006313	transposition, DNA-mediated
fig|435590.9.peg.45|BVU_0042	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.46|BVU_0043	BP	GO:0006814	sodium ion transport
fig|435590.9.peg.46|BVU_0043	MF	GO:0015293	symporter activity
fig|435590.9.peg.46|BVU_0043	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.47|BVU_0044	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|435590.9.peg.47|BVU_0044	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.49|BVU_0046	MF	GO:0008966	phosphoglucosamine mutase activity
fig|435590.9.peg.49|BVU_0046	BP	GO:0005975	carbohydrate metabolic process
fig|435590.9.peg.51|BVU_0048	MF	GO:0003676	nucleic acid binding
fig|435590.9.peg.52|BVU_0049	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.53|BVU_0050	MF	GO:0004750	ribulose-phosphate 3-epimerase activity
fig|435590.9.peg.53|BVU_0050	BP	GO:0006098	pentose-phosphate shunt
fig|435590.9.peg.54|BVU_0051	CC	GO:0016021	integral component of membrane
fig|435590.9.peg.55|BVU_0052	MF	GO:0016987	sigma factor activity
fig|435590.9.peg.55|BVU_0052	BP	GO:2000142	regulation of DNA-templated transcription, initiation
