gene	ontology	GO_id	GO_name
fig|1226324.3.peg.1|HMPREF1547_00003	MF	GO:0003911	DNA ligase (NAD+) activity
fig|1226324.3.peg.1|HMPREF1547_00003	BP	GO:0006266	DNA ligation
fig|1226324.3.peg.5|HMPREF1547_00007	MF	GO:0005524	ATP binding
fig|1226324.3.peg.6|HMPREF1547_00008	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1226324.3.peg.6|HMPREF1547_00008	MF	GO:0003677	DNA binding
fig|1226324.3.peg.9|HMPREF1547_00012	MF	GO:0000150	recombinase activity
fig|1226324.3.peg.9|HMPREF1547_00012	BP	GO:0006310	DNA recombination
fig|1226324.3.peg.10|HMPREF1547_00014	BP	GO:0000160	phosphorelay signal transduction system
fig|1226324.3.peg.10|HMPREF1547_00014	MF	GO:0003677	DNA binding
fig|1226324.3.peg.12|HMPREF1547_00015	MF	GO:0003677	DNA binding
fig|1226324.3.peg.13|HMPREF1547_00016	BP	GO:0006855	drug transmembrane transport
fig|1226324.3.peg.13|HMPREF1547_00016	MF	GO:0015238	drug transmembrane transporter activity
fig|1226324.3.peg.13|HMPREF1547_00016	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.14|HMPREF1547_00017	BP	GO:0006352	DNA-templated transcription, initiation
fig|1226324.3.peg.14|HMPREF1547_00017	MF	GO:0003700	DNA-binding transcription factor activity
fig|1226324.3.peg.15|HMPREF1547_00018	BP	GO:0006352	DNA-templated transcription, initiation
fig|1226324.3.peg.15|HMPREF1547_00018	MF	GO:0003700	DNA-binding transcription factor activity
fig|1226324.3.peg.16|HMPREF1547_00019	MF	GO:0043565	sequence-specific DNA binding
fig|1226324.3.peg.19|HMPREF1547_00022	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.20|HMPREF1547_00024	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.23|HMPREF1547_00029	MF	GO:0016787	hydrolase activity
fig|1226324.3.peg.23|HMPREF1547_00029	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.24|HMPREF1547_00030	MF	GO:0003896	DNA primase activity
fig|1226324.3.peg.24|HMPREF1547_00030	BP	GO:0006269	DNA replication, synthesis of RNA primer
fig|1226324.3.peg.26|HMPREF1547_00032	MF	GO:0043141	ATP-dependent 5-3 DNA helicase activity
fig|1226324.3.peg.26|HMPREF1547_00032	BP	GO:0032508	DNA duplex unwinding
fig|1226324.3.peg.27|HMPREF1547_00033	MF	GO:0004519	endonuclease activity
fig|1226324.3.peg.27|HMPREF1547_00033	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1226324.3.peg.30|HMPREF1547_00037	MF	GO:0043565	sequence-specific DNA binding
fig|1226324.3.peg.32|HMPREF1547_00039	BP	GO:0015074	DNA integration
fig|1226324.3.peg.32|HMPREF1547_00039	MF	GO:0003677	DNA binding
fig|1226324.3.peg.33|HMPREF1547_00040	MF	GO:0043565	sequence-specific DNA binding
fig|1226324.3.peg.35|HMPREF1547_00042	MF	GO:0016874	ligase activity
fig|1226324.3.peg.37|HMPREF1547_00045	MF	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
fig|1226324.3.peg.37|HMPREF1547_00045	BP	GO:0009253	peptidoglycan catabolic process
fig|1226324.3.peg.38|HMPREF1547_00046	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.39|HMPREF1547_00047	CC	GO:0016021	integral component of membrane
fig|1226324.3.peg.42|HMPREF1547_00051	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|1226324.3.peg.42|HMPREF1547_00051	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|1226324.3.peg.43|HMPREF1547_00052	MF	GO:0008483	transaminase activity
fig|1226324.3.peg.43|HMPREF1547_00052	BP	GO:0006508	proteolysis
fig|1226324.3.peg.44|HMPREF1547_00053	MF	GO:0004565	beta-galactosidase activity
fig|1226324.3.peg.44|HMPREF1547_00053	BP	GO:0005975	carbohydrate metabolic process
fig|1226324.3.peg.45|HMPREF1547_00054	MF	GO:0016787	hydrolase activity
