gene	ontology	GO_id	GO_name
fig|471870.8.peg.1|BACINT_00003	MF	GO:0004673	protein histidine kinase activity
fig|471870.8.peg.1|BACINT_00003	BP	GO:0023014	signal transduction by protein phosphorylation
fig|471870.8.peg.1|BACINT_00003	CC	GO:0016021	integral component of membrane
fig|471870.8.peg.3|BACINT_00005	CC	GO:0015934	large ribosomal subunit
fig|471870.8.peg.3|BACINT_00005	MF	GO:0003735	structural constituent of ribosome
fig|471870.8.peg.3|BACINT_00005	BP	GO:0006412	translation
fig|471870.8.peg.4|BACINT_00006	MF	GO:0033818	beta-ketoacyl-acyl-carrier-protein synthase III activity
fig|471870.8.peg.4|BACINT_00006	BP	GO:0006633	fatty acid biosynthetic process
fig|471870.8.peg.4|BACINT_00006	CC	GO:0005737	cytoplasm
fig|471870.8.peg.5|BACINT_00007	MF	GO:0070181	small ribosomal subunit rRNA binding
fig|471870.8.peg.5|BACINT_00007	BP	GO:0042274	ribosomal small subunit biogenesis
fig|471870.8.peg.5|BACINT_00007	CC	GO:0005886	plasma membrane
fig|471870.8.peg.6|BACINT_00008	BP	GO:0042254	ribosome biogenesis
fig|471870.8.peg.6|BACINT_00008	MF	GO:0005525	GTP binding
fig|471870.8.peg.7|BACINT_00009	MF	GO:0046983	protein dimerization activity
fig|471870.8.peg.7|BACINT_00009	BP	GO:0023014	signal transduction by protein phosphorylation
fig|471870.8.peg.7|BACINT_00009	CC	GO:0016021	integral component of membrane
fig|471870.8.peg.8|BACINT_00010	BP	GO:0000160	phosphorelay signal transduction system
fig|471870.8.peg.8|BACINT_00010	MF	GO:0003677	DNA binding
fig|471870.8.peg.9|BACINT_00011	MF	GO:0016887	ATPase activity
fig|471870.8.peg.10|BACINT_00012	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|471870.8.peg.11|BACINT_00013	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|471870.8.peg.11|BACINT_00013	MF	GO:0016887	ATPase activity
fig|471870.8.peg.11|BACINT_00013	BP	GO:0055085	transmembrane transport
fig|471870.8.peg.12|BACINT_00014	MF	GO:0003676	nucleic acid binding
fig|471870.8.peg.13|BACINT_00015	BP	GO:0006457	protein folding
fig|471870.8.peg.13|BACINT_00015	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|471870.8.peg.14|BACINT_00016	MF	GO:0004252	serine-type endopeptidase activity
fig|471870.8.peg.14|BACINT_00016	BP	GO:0006508	proteolysis
fig|471870.8.peg.14|BACINT_00016	CC	GO:0005737	cytoplasm
fig|471870.8.peg.15|BACINT_00017	MF	GO:0051082	unfolded protein binding
fig|471870.8.peg.15|BACINT_00017	BP	GO:0006457	protein folding
fig|471870.8.peg.16|BACINT_00018	MF	GO:0043140	ATP-dependent 3-5 DNA helicase activity
fig|471870.8.peg.16|BACINT_00018	BP	GO:0009432	SOS response
fig|471870.8.peg.17|BACINT_00019	MF	GO:0003938	IMP dehydrogenase activity
fig|471870.8.peg.17|BACINT_00019	BP	GO:0006177	GMP biosynthetic process
fig|471870.8.peg.19|BACINT_00021	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|471870.8.peg.19|BACINT_00021	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|471870.8.peg.19|BACINT_00021	CC	GO:0016021	integral component of membrane
fig|471870.8.peg.20|BACINT_00022	MF	GO:0016853	isomerase activity
fig|471870.8.peg.21|BACINT_00023	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|471870.8.peg.21|BACINT_00023	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|471870.8.peg.24|BACINT_00025	CC	GO:0016021	integral component of membrane
fig|471870.8.peg.25|BACINT_00026	CC	GO:0032300	mismatch repair complex
fig|471870.8.peg.25|BACINT_00026	MF	GO:0030983	mismatched DNA binding
fig|471870.8.peg.25|BACINT_00026	BP	GO:0006298	mismatch repair
fig|471870.8.peg.26|BACINT_00027	CC	GO:0009279	cell outer membrane
fig|471870.8.peg.27|BACINT_00028	MF	GO:0004830	tryptophan-tRNA ligase activity
fig|471870.8.peg.27|BACINT_00028	BP	GO:0006436	tryptophanyl-tRNA aminoacylation
fig|471870.8.peg.28|BACINT_00029	MF	GO:0003677	DNA binding
fig|471870.8.peg.30|BACINT_00031	MF	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
fig|471870.8.peg.30|BACINT_00031	BP	GO:0006807	nitrogen compound metabolic process
fig|471870.8.peg.31|BACINT_00032	MF	GO:0016787	hydrolase activity
fig|471870.8.peg.31|BACINT_00032	BP	GO:0008152	metabolic process
fig|471870.8.peg.32|BACINT_00035	MF	GO:0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
fig|471870.8.peg.32|BACINT_00035	BP	GO:0044208	de novo AMP biosynthetic process
fig|471870.8.peg.33|BACINT_00037	MF	GO:0009982	pseudouridine synthase activity
fig|471870.8.peg.33|BACINT_00037	BP	GO:0001522	pseudouridine synthesis
fig|471870.8.peg.34|BACINT_00038	MF	GO:0004816	asparagine-tRNA ligase activity
fig|471870.8.peg.34|BACINT_00038	BP	GO:0006421	asparaginyl-tRNA aminoacylation
fig|471870.8.peg.34|BACINT_00038	CC	GO:0005737	cytoplasm
fig|471870.8.peg.36|BACINT_00040	MF	GO:0003735	structural constituent of ribosome
fig|471870.8.peg.36|BACINT_00040	BP	GO:0006412	translation
fig|471870.8.peg.36|BACINT_00040	CC	GO:0005840	ribosome
fig|471870.8.peg.37|BACINT_00041	MF	GO:0003735	structural constituent of ribosome
fig|471870.8.peg.37|BACINT_00041	BP	GO:0006412	translation
fig|471870.8.peg.37|BACINT_00041	CC	GO:0005840	ribosome
fig|471870.8.peg.38|BACINT_00042	CC	GO:0015935	small ribosomal subunit
fig|471870.8.peg.38|BACINT_00042	MF	GO:0003735	structural constituent of ribosome
fig|471870.8.peg.38|BACINT_00042	BP	GO:0006412	translation
fig|471870.8.peg.39|BACINT_00043	MF	GO:0003746	translation elongation factor activity
