gene	ontology	GO_id	GO_name
fig|665949.3.peg.2|HMPREF1033_00002	MF	GO:0008199	ferric iron binding
fig|665949.3.peg.2|HMPREF1033_00002	BP	GO:0006879	cellular iron ion homeostasis
fig|665949.3.peg.2|HMPREF1033_00002	CC	GO:0005623	cell
fig|665949.3.peg.3|HMPREF1033_00003	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.4|HMPREF1033_00004	BP	GO:0019646	aerobic electron transport chain
fig|665949.3.peg.4|HMPREF1033_00004	CC	GO:0070069	cytochrome complex
fig|665949.3.peg.4|HMPREF1033_00004	MF	GO:0009055	electron transfer activity
fig|665949.3.peg.5|HMPREF1033_00005	BP	GO:0055114	oxidation-reduction process
fig|665949.3.peg.5|HMPREF1033_00005	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.5|HMPREF1033_00005	MF	GO:0016491	oxidoreductase activity
fig|665949.3.peg.6|HMPREF1033_00006	BP	GO:0022900	electron transport chain
fig|665949.3.peg.6|HMPREF1033_00006	CC	GO:0005886	plasma membrane
fig|665949.3.peg.7|HMPREF1033_00007	BP	GO:0022900	electron transport chain
fig|665949.3.peg.7|HMPREF1033_00007	CC	GO:0005886	plasma membrane
fig|665949.3.peg.8|HMPREF1033_00008	MF	GO:0010181	FMN binding
fig|665949.3.peg.8|HMPREF1033_00008	BP	GO:0022900	electron transport chain
fig|665949.3.peg.8|HMPREF1033_00008	CC	GO:0005886	plasma membrane
fig|665949.3.peg.9|HMPREF1033_00009	BP	GO:0022900	electron transport chain
fig|665949.3.peg.9|HMPREF1033_00009	CC	GO:0005886	plasma membrane
fig|665949.3.peg.9|HMPREF1033_00009	MF	GO:0016491	oxidoreductase activity
fig|665949.3.peg.10|HMPREF1033_00010	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|665949.3.peg.10|HMPREF1033_00010	BP	GO:0022900	electron transport chain
fig|665949.3.peg.10|HMPREF1033_00010	CC	GO:0005886	plasma membrane
fig|665949.3.peg.11|HMPREF1033_00011	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|665949.3.peg.11|HMPREF1033_00011	BP	GO:0022900	electron transport chain
fig|665949.3.peg.11|HMPREF1033_00011	CC	GO:0005886	plasma membrane
fig|665949.3.peg.12|HMPREF1033_00012	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.13|HMPREF1033_00013	MF	GO:0050662	coenzyme binding
fig|665949.3.peg.14|HMPREF1033_00014	MF	GO:0008879	glucose-1-phosphate thymidylyltransferase activity
fig|665949.3.peg.14|HMPREF1033_00014	BP	GO:0045226	extracellular polysaccharide biosynthetic process
fig|665949.3.peg.15|HMPREF1033_00015	MF	GO:0016853	isomerase activity
fig|665949.3.peg.16|HMPREF1033_00016	MF	GO:0016853	isomerase activity
fig|665949.3.peg.17|HMPREF1033_00019	BP	GO:0055085	transmembrane transport
fig|665949.3.peg.17|HMPREF1033_00019	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.18|HMPREF1033_00020	MF	GO:0020037	heme binding
fig|665949.3.peg.18|HMPREF1033_00020	BP	GO:0022900	electron transport chain
fig|665949.3.peg.20|HMPREF1033_00022	MF	GO:0020037	heme binding
fig|665949.3.peg.20|HMPREF1033_00022	BP	GO:0022900	electron transport chain
fig|665949.3.peg.22|HMPREF1033_00024	MF	GO:0008483	transaminase activity
fig|665949.3.peg.23|HMPREF1033_00025	MF	GO:0046872	metal ion binding
fig|665949.3.peg.23|HMPREF1033_00025	CC	GO:0005737	cytoplasm
fig|665949.3.peg.24|HMPREF1033_00026	BP	GO:0006355	regulation of transcription, DNA-templated
fig|665949.3.peg.24|HMPREF1033_00026	MF	GO:0003677	DNA binding
fig|665949.3.peg.25|HMPREF1033_00027	MF	GO:0004124	cysteine synthase activity
fig|665949.3.peg.25|HMPREF1033_00027	BP	GO:0006535	cysteine biosynthetic process from serine
fig|665949.3.peg.27|HMPREF1033_00029	BP	GO:0006355	regulation of transcription, DNA-templated
fig|665949.3.peg.27|HMPREF1033_00029	MF	GO:0003677	DNA binding
fig|665949.3.peg.27|HMPREF1033_00029	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.28|HMPREF1033_00030	MF	GO:0030170	pyridoxal phosphate binding
fig|665949.3.peg.28|HMPREF1033_00030	BP	GO:0009058	biosynthetic process
fig|665949.3.peg.29|HMPREF1033_00031	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|665949.3.peg.29|HMPREF1033_00031	CC	GO:0005840	ribosome
fig|665949.3.peg.29|HMPREF1033_00031	BP	GO:0016310	phosphorylation
fig|665949.3.peg.32|HMPREF1033_00033	BP	GO:0006813	potassium ion transport
fig|665949.3.peg.32|HMPREF1033_00033	MF	GO:0005215	transporter activity
fig|665949.3.peg.32|HMPREF1033_00033	CC	GO:0005886	plasma membrane
fig|665949.3.peg.33|HMPREF1033_00034	MF	GO:0047688	aspartate 4-decarboxylase activity
fig|665949.3.peg.33|HMPREF1033_00034	BP	GO:0009058	biosynthetic process
fig|665949.3.peg.34|HMPREF1033_00035	CC	GO:0016021	integral component of membrane
fig|665949.3.peg.34|HMPREF1033_00035	MF	GO:0016829	lyase activity
fig|665949.3.peg.35|HMPREF1033_00036	CC	GO:0016021	integral component of membrane
