gene	ontology	GO_id	GO_name
fig|470146.3.peg.2|COPCOM_00061	CC	GO:0016021	integral component of membrane
fig|470146.3.peg.3|COPCOM_00062	MF	GO:0030145	manganese ion binding
fig|470146.3.peg.3|COPCOM_00062	BP	GO:0006508	proteolysis
fig|470146.3.peg.4|COPCOM_00063	MF	GO:0004181	metallocarboxypeptidase activity
fig|470146.3.peg.4|COPCOM_00063	BP	GO:0006508	proteolysis
fig|470146.3.peg.5|COPCOM_00064	BP	GO:0006355	regulation of transcription, DNA-templated
fig|470146.3.peg.5|COPCOM_00064	MF	GO:0003723	RNA binding
fig|470146.3.peg.6|COPCOM_00065	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|470146.3.peg.6|COPCOM_00065	BP	GO:0016310	phosphorylation
fig|470146.3.peg.7|COPCOM_00186	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|470146.3.peg.7|COPCOM_00186	BP	GO:0016310	phosphorylation
fig|470146.3.peg.8|COPCOM_00187	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|470146.3.peg.8|COPCOM_00187	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|470146.3.peg.9|COPCOM_00188	MF	GO:0016740	transferase activity
fig|470146.3.peg.9|COPCOM_00188	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|470146.3.peg.9|COPCOM_00188	CC	GO:0005737	cytoplasm
fig|470146.3.peg.10|COPCOM_00189	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|470146.3.peg.10|COPCOM_00189	MF	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
fig|470146.3.peg.11|COPCOM_00190	MF	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
fig|470146.3.peg.11|COPCOM_00190	BP	GO:0034219	carbohydrate transmembrane transport
fig|470146.3.peg.11|COPCOM_00190	CC	GO:0005886	plasma membrane
fig|470146.3.peg.12|COPCOM_00191	MF	GO:0005328	neurotransmitter:sodium symporter activity
fig|470146.3.peg.12|COPCOM_00191	BP	GO:0006836	neurotransmitter transport
fig|470146.3.peg.12|COPCOM_00191	CC	GO:0016021	integral component of membrane
fig|470146.3.peg.14|COPCOM_00192	MF	GO:0015424	amino acid-transporting ATPase activity
fig|470146.3.peg.14|COPCOM_00192	BP	GO:0003333	amino acid transmembrane transport
fig|470146.3.peg.15|COPCOM_00193	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|470146.3.peg.15|COPCOM_00193	BP	GO:0071705	nitrogen compound transport
fig|470146.3.peg.15|COPCOM_00193	MF	GO:0022857	transmembrane transporter activity
fig|470146.3.peg.16|COPCOM_00194	MF	GO:0004970	ionotropic glutamate receptor activity
fig|470146.3.peg.16|COPCOM_00194	BP	GO:0035235	ionotropic glutamate receptor signaling pathway
fig|470146.3.peg.16|COPCOM_00194	CC	GO:0016020	membrane
fig|470146.3.peg.17|COPCOM_00195	MF	GO:0005525	GTP binding
fig|470146.3.peg.18|COPCOM_00197	BP	GO:0033362	lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway
fig|470146.3.peg.18|COPCOM_00197	MF	GO:0010285	L,L-diaminopimelate aminotransferase activity
fig|470146.3.peg.19|COPCOM_00198	MF	GO:0008837	diaminopimelate epimerase activity
fig|470146.3.peg.19|COPCOM_00198	BP	GO:0046451	diaminopimelate metabolic process
fig|470146.3.peg.19|COPCOM_00198	CC	GO:0005737	cytoplasm
fig|470146.3.peg.20|COPCOM_00199	MF	GO:0003723	RNA binding
fig|470146.3.peg.21|COPCOM_00200	BP	GO:0006542	glutamine biosynthetic process
fig|470146.3.peg.21|COPCOM_00200	MF	GO:0004356	glutamate-ammonia ligase activity
fig|470146.3.peg.22|COPCOM_00202	MF	GO:0016407	acetyltransferase activity
fig|470146.3.peg.23|COPCOM_00203	MF	GO:0003677	DNA binding
fig|470146.3.peg.24|COPCOM_00204	MF	GO:0000155	phosphorelay sensor kinase activity
fig|470146.3.peg.24|COPCOM_00204	BP	GO:0023014	signal transduction by protein phosphorylation
fig|470146.3.peg.24|COPCOM_00204	CC	GO:0016021	integral component of membrane
fig|470146.3.peg.25|COPCOM_00205	BP	GO:0000160	phosphorelay signal transduction system
fig|470146.3.peg.25|COPCOM_00205	MF	GO:0003677	DNA binding
fig|470146.3.peg.26|COPCOM_00206	BP	GO:0072502	cellular trivalent inorganic anion homeostasis
fig|470146.3.peg.26|COPCOM_00206	CC	GO:0005737	cytoplasm
fig|470146.3.peg.27|COPCOM_00207	MF	GO:0005524	ATP binding
fig|470146.3.peg.28|COPCOM_00208	BP	GO:0035435	phosphate ion transmembrane transport
fig|470146.3.peg.28|COPCOM_00208	MF	GO:0016887	ATPase activity
fig|470146.3.peg.28|COPCOM_00208	CC	GO:0016020	membrane
fig|470146.3.peg.29|COPCOM_00209	MF	GO:0016887	ATPase activity
fig|470146.3.peg.30|COPCOM_00210	BP	GO:0035435	phosphate ion transmembrane transport
