gene	ontology	GO_id	GO_name
fig|742817.3.peg.1|HMPREF9449_00002	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.2|HMPREF9449_00003	MF	GO:0016829	lyase activity
fig|742817.3.peg.4|HMPREF9449_00005	MF	GO:0016746	transferase activity, transferring acyl groups
fig|742817.3.peg.5|HMPREF9449_00006	MF	GO:0008483	transaminase activity
fig|742817.3.peg.6|HMPREF9449_00007	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.7|HMPREF9449_00008	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.8|HMPREF9449_00009	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.9|HMPREF9449_00011	MF	GO:0016740	transferase activity
fig|742817.3.peg.10|HMPREF9449_00012	MF	GO:0016740	transferase activity
fig|742817.3.peg.11|HMPREF9449_00013	MF	GO:0016740	transferase activity
fig|742817.3.peg.12|HMPREF9449_00014	MF	GO:0003978	UDP-glucose 4-epimerase activity
fig|742817.3.peg.12|HMPREF9449_00014	BP	GO:0009103	lipopolysaccharide biosynthetic process
fig|742817.3.peg.13|HMPREF9449_00015	MF	GO:0008761	UDP-N-acetylglucosamine 2-epimerase activity
fig|742817.3.peg.14|HMPREF9449_00016	MF	GO:0008831	dTDP-4-dehydrorhamnose reductase activity
fig|742817.3.peg.14|HMPREF9449_00016	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|742817.3.peg.15|HMPREF9449_00017	MF	GO:0016740	transferase activity
fig|742817.3.peg.15|HMPREF9449_00017	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.16|HMPREF9449_00018	MF	GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
fig|742817.3.peg.18|HMPREF9449_00019	BP	GO:0015074	DNA integration
fig|742817.3.peg.18|HMPREF9449_00019	MF	GO:0003677	DNA binding
fig|742817.3.peg.23|HMPREF9449_00023	MF	GO:0010181	FMN binding
fig|742817.3.peg.23|HMPREF9449_00023	BP	GO:0022900	electron transport chain
fig|742817.3.peg.24|HMPREF9449_00024	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.25|HMPREF9449_00025	MF	GO:0051536	iron-sulfur cluster binding
fig|742817.3.peg.25|HMPREF9449_00025	BP	GO:0055114	oxidation-reduction process
fig|742817.3.peg.26|HMPREF9449_00026	CC	GO:0009279	cell outer membrane
fig|742817.3.peg.26|HMPREF9449_00026	MF	GO:0003824	catalytic activity
fig|742817.3.peg.28|HMPREF9449_00028	MF	GO:0016491	oxidoreductase activity
fig|742817.3.peg.28|HMPREF9449_00028	BP	GO:0055114	oxidation-reduction process
fig|742817.3.peg.28|HMPREF9449_00028	CC	GO:0005829	cytosol
fig|742817.3.peg.30|HMPREF9449_00029	MF	GO:0016787	hydrolase activity
fig|742817.3.peg.31|HMPREF9449_00030	MF	GO:0043565	sequence-specific DNA binding
fig|742817.3.peg.31|HMPREF9449_00030	BP	GO:0006355	regulation of transcription, DNA-templated
fig|742817.3.peg.32|HMPREF9449_00031	MF	GO:0043565	sequence-specific DNA binding
fig|742817.3.peg.32|HMPREF9449_00031	BP	GO:0006355	regulation of transcription, DNA-templated
fig|742817.3.peg.33|HMPREF9449_00032	MF	GO:0043565	sequence-specific DNA binding
fig|742817.3.peg.33|HMPREF9449_00032	BP	GO:0006355	regulation of transcription, DNA-templated
fig|742817.3.peg.34|HMPREF9449_00033	MF	GO:0051920	peroxiredoxin activity
fig|742817.3.peg.34|HMPREF9449_00033	BP	GO:0098869	cellular oxidant detoxification
fig|742817.3.peg.35|HMPREF9449_00034	MF	GO:0010181	FMN binding
fig|742817.3.peg.37|HMPREF9449_00036	BP	GO:0055085	transmembrane transport
fig|742817.3.peg.37|HMPREF9449_00036	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.38|HMPREF9449_00037	BP	GO:0030261	chromosome condensation
fig|742817.3.peg.38|HMPREF9449_00037	MF	GO:0003677	DNA binding
fig|742817.3.peg.41|HMPREF9449_00040	MF	GO:0016787	hydrolase activity
fig|742817.3.peg.44|HMPREF9449_00044	MF	GO:0003677	DNA binding
fig|742817.3.peg.45|HMPREF9449_00045	BP	GO:0015074	DNA integration
fig|742817.3.peg.45|HMPREF9449_00045	MF	GO:0003677	DNA binding
fig|742817.3.peg.45|HMPREF9449_00045	CC	GO:0016021	integral component of membrane
fig|742817.3.peg.49|HMPREF9449_00050	CC	GO:0005960	glycine cleavage complex
fig|742817.3.peg.49|HMPREF9449_00050	BP	GO:0019464	glycine decarboxylation via glycine cleavage system
fig|742817.3.peg.50|HMPREF9449_00051	MF	GO:0008966	phosphoglucosamine mutase activity
fig|742817.3.peg.50|HMPREF9449_00051	BP	GO:0005975	carbohydrate metabolic process
fig|742817.3.peg.51|HMPREF9449_00052	BP	GO:0006364	rRNA processing
fig|742817.3.peg.51|HMPREF9449_00052	MF	GO:0008168	methyltransferase activity
fig|742817.3.peg.51|HMPREF9449_00052	CC	GO:0005737	cytoplasm
fig|742817.3.peg.53|HMPREF9449_00053	MF	GO:0003677	DNA binding
fig|742817.3.peg.54|HMPREF9449_00054	MF	GO:0004386	helicase activity
fig|742817.3.peg.55|HMPREF9449_00055	BP	GO:0009072	aromatic amino acid family metabolic process
