gene	ontology	GO_id	GO_name
fig|411463.4.peg.1|EUBVEN_00004	BP	GO:0030001	metal ion transport
fig|411463.4.peg.1|EUBVEN_00004	MF	GO:0046872	metal ion binding
fig|411463.4.peg.2|EUBVEN_00016	MF	GO:0003964	RNA-directed DNA polymerase activity
fig|411463.4.peg.2|EUBVEN_00016	BP	GO:0006278	RNA-dependent DNA biosynthetic process
fig|411463.4.peg.4|EUBVEN_00008	CC	GO:0016021	integral component of membrane
fig|411463.4.peg.5|EUBVEN_00009	BP	GO:0015074	DNA integration
fig|411463.4.peg.5|EUBVEN_00009	MF	GO:0003676	nucleic acid binding
fig|411463.4.peg.6|EUBVEN_00588	BP	GO:0009432	SOS response
fig|411463.4.peg.6|EUBVEN_00588	MF	GO:0004252	serine-type endopeptidase activity
fig|411463.4.peg.7|EUBVEN_00589	MF	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
fig|411463.4.peg.7|EUBVEN_00589	CC	GO:0016021	integral component of membrane
fig|411463.4.peg.9|EUBVEN_00591	BP	GO:0005975	carbohydrate metabolic process
fig|411463.4.peg.9|EUBVEN_00591	MF	GO:0047798	cyclomaltodextrinase activity
fig|411463.4.peg.10|EUBVEN_00592	BP	GO:0090071	negative regulation of ribosome biogenesis
fig|411463.4.peg.10|EUBVEN_00592	CC	GO:0005737	cytoplasm
fig|411463.4.peg.11|EUBVEN_00593	MF	GO:0004515	nicotinate-nucleotide adenylyltransferase activity
fig|411463.4.peg.11|EUBVEN_00593	BP	GO:0009435	NAD biosynthetic process
fig|411463.4.peg.12|EUBVEN_00594	MF	GO:0003723	RNA binding
fig|411463.4.peg.13|EUBVEN_00595	MF	GO:0003924	GTPase activity
fig|411463.4.peg.13|EUBVEN_00595	BP	GO:0042254	ribosome biogenesis
fig|411463.4.peg.13|EUBVEN_00595	CC	GO:0005737	cytoplasm
fig|411463.4.peg.14|EUBVEN_00596	MF	GO:0003735	structural constituent of ribosome
fig|411463.4.peg.14|EUBVEN_00596	BP	GO:0006412	translation
fig|411463.4.peg.14|EUBVEN_00596	CC	GO:0005840	ribosome
fig|411463.4.peg.15|EUBVEN_00598	MF	GO:0019843	rRNA binding
fig|411463.4.peg.15|EUBVEN_00598	BP	GO:0006412	translation
fig|411463.4.peg.15|EUBVEN_00598	CC	GO:0005840	ribosome
fig|411463.4.peg.17|EUBVEN_00600	CC	GO:0016021	integral component of membrane
fig|411463.4.peg.18|EUBVEN_00601	MF	GO:0003723	RNA binding
fig|411463.4.peg.18|EUBVEN_00601	BP	GO:0090501	RNA phosphodiester bond hydrolysis
fig|411463.4.peg.20|EUBVEN_00603	MF	GO:0051536	iron-sulfur cluster binding
fig|411463.4.peg.21|EUBVEN_00604	MF	GO:0016787	hydrolase activity
fig|411463.4.peg.21|EUBVEN_00604	BP	GO:0016311	dephosphorylation
fig|411463.4.peg.22|EUBVEN_00605	MF	GO:0004636	phosphoribosyl-ATP diphosphatase activity
fig|411463.4.peg.22|EUBVEN_00605	BP	GO:0000105	histidine biosynthetic process
fig|411463.4.peg.22|EUBVEN_00605	CC	GO:0005737	cytoplasm
fig|411463.4.peg.23|EUBVEN_00606	MF	GO:0004424	imidazoleglycerol-phosphate dehydratase activity
fig|411463.4.peg.23|EUBVEN_00606	BP	GO:0000105	histidine biosynthetic process
fig|411463.4.peg.23|EUBVEN_00606	CC	GO:0005737	cytoplasm
fig|411463.4.peg.24|EUBVEN_00607	MF	GO:0004399	histidinol dehydrogenase activity
fig|411463.4.peg.24|EUBVEN_00607	BP	GO:0000105	histidine biosynthetic process
fig|411463.4.peg.25|EUBVEN_00608	MF	GO:0003879	ATP phosphoribosyltransferase activity
fig|411463.4.peg.25|EUBVEN_00608	BP	GO:0000105	histidine biosynthetic process
fig|411463.4.peg.25|EUBVEN_00608	CC	GO:0005737	cytoplasm
fig|411463.4.peg.26|EUBVEN_00609	BP	GO:0000105	histidine biosynthetic process
fig|411463.4.peg.26|EUBVEN_00609	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|411463.4.peg.26|EUBVEN_00609	CC	GO:0005737	cytoplasm
fig|411463.4.peg.27|EUBVEN_00610	MF	GO:0008821	crossover junction endodeoxyribonuclease activity
fig|411463.4.peg.27|EUBVEN_00610	BP	GO:0007059	chromosome segregation
fig|411463.4.peg.27|EUBVEN_00610	CC	GO:0005737	cytoplasm
fig|411463.4.peg.29|EUBVEN_00612	MF	GO:0009982	pseudouridine synthase activity
