gene	ontology	GO_id	GO_name
fig|709991.3.peg.1|Odosp_0001	MF	GO:0003688	DNA replication origin binding
fig|709991.3.peg.1|Odosp_0001	BP	GO:0006275	regulation of DNA replication
fig|709991.3.peg.1|Odosp_0001	CC	GO:0005737	cytoplasm
fig|709991.3.peg.3|Odosp_0003	BP	GO:0015074	DNA integration
fig|709991.3.peg.3|Odosp_0003	MF	GO:0003677	DNA binding
fig|709991.3.peg.5|Odosp_0005	MF	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
fig|709991.3.peg.5|Odosp_0005	BP	GO:0032775	DNA methylation on adenine
fig|709991.3.peg.6|Odosp_0006	MF	GO:0005524	ATP binding
fig|709991.3.peg.9	MF	GO:0004803	transposase activity
fig|709991.3.peg.9	BP	GO:0006313	transposition, DNA-mediated
fig|709991.3.peg.13|Odosp_0015	MF	GO:0003677	DNA binding
fig|709991.3.peg.16|Odosp_0018	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.18|Odosp_0020	MF	GO:0016407	acetyltransferase activity
fig|709991.3.peg.19|Odosp_0021	MF	GO:0002161	aminoacyl-tRNA editing activity
fig|709991.3.peg.19|Odosp_0021	BP	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
fig|709991.3.peg.20|Odosp_0022	MF	GO:0016987	sigma factor activity
fig|709991.3.peg.20|Odosp_0022	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|709991.3.peg.21|Odosp_0023	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.22|Odosp_0024	CC	GO:0019867	outer membrane
fig|709991.3.peg.26|Odosp_0028	BP	GO:0045454	cell redox homeostasis
fig|709991.3.peg.26|Odosp_0028	MF	GO:0015035	protein disulfide oxidoreductase activity
fig|709991.3.peg.26|Odosp_0028	CC	GO:0005623	cell
fig|709991.3.peg.28|Odosp_0029	MF	GO:0052692	raffinose alpha-galactosidase activity
fig|709991.3.peg.28|Odosp_0029	BP	GO:0005975	carbohydrate metabolic process
fig|709991.3.peg.28|Odosp_0029	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.30|Odosp_0031	MF	GO:0004335	galactokinase activity
fig|709991.3.peg.30|Odosp_0031	BP	GO:0006012	galactose metabolic process
fig|709991.3.peg.30|Odosp_0031	CC	GO:0005737	cytoplasm
fig|709991.3.peg.31|Odosp_0032	MF	GO:0004034	aldose 1-epimerase activity
fig|709991.3.peg.31|Odosp_0032	BP	GO:0019318	hexose metabolic process
fig|709991.3.peg.31|Odosp_0032	CC	GO:0005737	cytoplasm
fig|709991.3.peg.32|Odosp_0033	MF	GO:0022857	transmembrane transporter activity
fig|709991.3.peg.32|Odosp_0033	BP	GO:0055085	transmembrane transport
fig|709991.3.peg.32|Odosp_0033	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.33|Odosp_0034	MF	GO:0008742	L-ribulose-phosphate 4-epimerase activity
fig|709991.3.peg.33|Odosp_0034	BP	GO:0019572	L-arabinose catabolic process
fig|709991.3.peg.34|Odosp_0035	MF	GO:0008733	L-arabinose isomerase activity
fig|709991.3.peg.34|Odosp_0035	BP	GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
fig|709991.3.peg.34|Odosp_0035	CC	GO:0005737	cytoplasm
fig|709991.3.peg.35|Odosp_0036	MF	GO:0008741	ribulokinase activity
fig|709991.3.peg.35|Odosp_0036	BP	GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
fig|709991.3.peg.36|Odosp_0037	CC	GO:0009279	cell outer membrane
fig|709991.3.peg.39|Odosp_0040	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.42|Odosp_0042	MF	GO:0051536	iron-sulfur cluster binding
fig|709991.3.peg.43|Odosp_0043	MF	GO:0016787	hydrolase activity
fig|709991.3.peg.43|Odosp_0043	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.44|Odosp_0044	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.45|Odosp_0045	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.46|Odosp_0046	BP	GO:0006006	glucose metabolic process
fig|709991.3.peg.46|Odosp_0046	MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
fig|709991.3.peg.47|Odosp_0048	BP	GO:0006006	glucose metabolic process
fig|709991.3.peg.47|Odosp_0048	MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
fig|709991.3.peg.49|Odosp_0049	BP	GO:0006400	tRNA modification
fig|709991.3.peg.49|Odosp_0049	MF	GO:0016879	ligase activity, forming carbon-nitrogen bonds
fig|709991.3.peg.49|Odosp_0049	CC	GO:0005737	cytoplasm
fig|709991.3.peg.50|Odosp_0050	MF	GO:0004832	valine-tRNA ligase activity
fig|709991.3.peg.50|Odosp_0050	BP	GO:0006438	valyl-tRNA aminoacylation
fig|709991.3.peg.50|Odosp_0050	CC	GO:0005737	cytoplasm
fig|709991.3.peg.52|Odosp_0052	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.53|Odosp_0053	MF	GO:0016787	hydrolase activity
fig|709991.3.peg.54|Odosp_0054	MF	GO:0003677	DNA binding
fig|709991.3.peg.55|Odosp_0055	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.56|Odosp_0056	MF	GO:0008933	lytic transglycosylase activity
fig|709991.3.peg.56|Odosp_0056	BP	GO:0000270	peptidoglycan metabolic process
fig|709991.3.peg.56|Odosp_0056	CC	GO:0016020	membrane
fig|709991.3.peg.64|Odosp_R0002	BP	GO:0015074	DNA integration
fig|709991.3.peg.64|Odosp_R0002	MF	GO:0003677	DNA binding
fig|709991.3.peg.65|Odosp_0076	MF	GO:0016491	oxidoreductase activity
fig|709991.3.peg.65|Odosp_0076	BP	GO:0055114	oxidation-reduction process
fig|709991.3.peg.65|Odosp_0076	CC	GO:0005886	plasma membrane
fig|709991.3.peg.66|Odosp_0077	MF	GO:0016740	transferase activity
fig|709991.3.peg.66|Odosp_0077	BP	GO:0016310	phosphorylation
fig|709991.3.peg.69|Odosp_0079	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.75|Odosp_0084	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.79|Odosp_0087	MF	GO:0005524	ATP binding
fig|709991.3.peg.80|Odosp_0088	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.81|Odosp_0089	CC	GO:0019867	outer membrane
fig|709991.3.peg.83|Odosp_0091	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.85|Odosp_0093	BP	GO:0045454	cell redox homeostasis
fig|709991.3.peg.85|Odosp_0093	MF	GO:0016491	oxidoreductase activity
fig|709991.3.peg.85|Odosp_0093	CC	GO:0005623	cell
fig|709991.3.peg.86|Odosp_0094	BP	GO:0045900	negative regulation of translational elongation
fig|709991.3.peg.86|Odosp_0094	MF	GO:0016887	ATPase activity
fig|709991.3.peg.87|Odosp_0095	MF	GO:0016987	sigma factor activity
fig|709991.3.peg.87|Odosp_0095	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|709991.3.peg.88|Odosp_0096	CC	GO:0016021	integral component of membrane
fig|709991.3.peg.90|Odosp_0097	CC	GO:0019867	outer membrane
fig|709991.3.peg.93|Odosp_0100	BP	GO:0045454	cell redox homeostasis
fig|709991.3.peg.93|Odosp_0100	MF	GO:0016209	antioxidant activity
