gene	ontology	GO_id	GO_name
fig|665953.3.peg.3|HMPREF1016_00002	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.4|HMPREF1016_00003	BP	GO:0006542	glutamine biosynthetic process
fig|665953.3.peg.4|HMPREF1016_00003	MF	GO:0004356	glutamate-ammonia ligase activity
fig|665953.3.peg.4|HMPREF1016_00003	CC	GO:0016020	membrane
fig|665953.3.peg.5|HMPREF1016_00004	BP	GO:0006457	protein folding
fig|665953.3.peg.5|HMPREF1016_00004	CC	GO:0005737	cytoplasm
fig|665953.3.peg.5|HMPREF1016_00004	MF	GO:0051087	chaperone binding
fig|665953.3.peg.6|HMPREF1016_00005	BP	GO:0042026	protein refolding
fig|665953.3.peg.6|HMPREF1016_00005	MF	GO:0051082	unfolded protein binding
fig|665953.3.peg.6|HMPREF1016_00005	CC	GO:0005737	cytoplasm
fig|665953.3.peg.7|HMPREF1016_00006	MF	GO:0051082	unfolded protein binding
fig|665953.3.peg.7|HMPREF1016_00006	BP	GO:0006457	protein folding
fig|665953.3.peg.7|HMPREF1016_00006	CC	GO:0005829	cytosol
fig|665953.3.peg.9|HMPREF1016_00008	MF	GO:0003995	acyl-CoA dehydrogenase activity
fig|665953.3.peg.9|HMPREF1016_00008	BP	GO:0055114	oxidation-reduction process
fig|665953.3.peg.10|HMPREF1016_00009	MF	GO:0050660	flavin adenine dinucleotide binding
fig|665953.3.peg.10|HMPREF1016_00009	BP	GO:0022900	electron transport chain
fig|665953.3.peg.11|HMPREF1016_00010	MF	GO:0009055	electron transfer activity
fig|665953.3.peg.11|HMPREF1016_00010	BP	GO:0022900	electron transport chain
fig|665953.3.peg.13|HMPREF1016_00012	MF	GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity
fig|665953.3.peg.13|HMPREF1016_00012	BP	GO:0052865	1-deoxy-D-xylulose 5-phosphate biosynthetic process
fig|665953.3.peg.13|HMPREF1016_00012	CC	GO:0005829	cytosol
fig|665953.3.peg.14|HMPREF1016_00013	MF	GO:0004197	cysteine-type endopeptidase activity
fig|665953.3.peg.14|HMPREF1016_00013	BP	GO:0006508	proteolysis
fig|665953.3.peg.14|HMPREF1016_00013	CC	GO:0005764	lysosome
fig|665953.3.peg.15|HMPREF1016_00014	BP	GO:0016042	lipid catabolic process
fig|665953.3.peg.15|HMPREF1016_00014	MF	GO:0016787	hydrolase activity
fig|665953.3.peg.16|HMPREF1016_00015	MF	GO:0030976	thiamine pyrophosphate binding
fig|665953.3.peg.16|HMPREF1016_00015	BP	GO:0022900	electron transport chain
fig|665953.3.peg.17|HMPREF1016_00016	MF	GO:0005524	ATP binding
fig|665953.3.peg.19|HMPREF1016_00018	MF	GO:0003824	catalytic activity
fig|665953.3.peg.21|HMPREF1016_00019	BP	GO:0009267	cellular response to starvation
fig|665953.3.peg.21|HMPREF1016_00019	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.22|HMPREF1016_00020	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.23|HMPREF1016_00021	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.24|HMPREF1016_00022	CC	GO:0009380	excinuclease repair complex
fig|665953.3.peg.24|HMPREF1016_00022	BP	GO:0006289	nucleotide-excision repair
fig|665953.3.peg.24|HMPREF1016_00022	MF	GO:0004518	nuclease activity
fig|665953.3.peg.25|HMPREF1016_00023	MF	GO:0003824	catalytic activity
fig|665953.3.peg.26|HMPREF1016_00024	MF	GO:0015109	chromate transmembrane transporter activity
fig|665953.3.peg.26|HMPREF1016_00024	BP	GO:0015703	chromate transport
fig|665953.3.peg.26|HMPREF1016_00024	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.27|HMPREF1016_00025	MF	GO:0015109	chromate transmembrane transporter activity
fig|665953.3.peg.27|HMPREF1016_00025	BP	GO:0015703	chromate transport
fig|665953.3.peg.27|HMPREF1016_00025	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.28|HMPREF1016_00026	MF	GO:0000155	phosphorelay sensor kinase activity
fig|665953.3.peg.28|HMPREF1016_00026	BP	GO:0023014	signal transduction by protein phosphorylation
fig|665953.3.peg.28|HMPREF1016_00026	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.29	CC	GO:0016021	integral component of membrane
fig|665953.3.peg.30|HMPREF1016_00027	MF	GO:0004642	phosphoribosylformylglycinamidine synthase activity
fig|665953.3.peg.30|HMPREF1016_00027	BP	GO:0006189	de novo IMP biosynthetic process
fig|665953.3.peg.30|HMPREF1016_00027	CC	GO:0005737	cytoplasm
fig|665953.3.peg.33|HMPREF1016_00029	BP	GO:0006865	amino acid transport
fig|665953.3.peg.33|HMPREF1016_00029	CC	GO:0005886	plasma membrane
fig|665953.3.peg.35|HMPREF1016_00031	MF	GO:0008831	dTDP-4-dehydrorhamnose reductase activity
fig|665953.3.peg.35|HMPREF1016_00031	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|665953.3.peg.36|HMPREF1016_00032	BP	GO:0006449	regulation of translational termination
fig|665953.3.peg.36|HMPREF1016_00032	MF	GO:0016149	translation release factor activity, codon specific
fig|665953.3.peg.36|HMPREF1016_00032	CC	GO:0005737	cytoplasm
