gene	ontology	GO_id	GO_name
fig|1226322.3.peg.1|HMPREF1545_00001	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.2|HMPREF1545_00002	MF	GO:0016887	ATPase activity
fig|1226322.3.peg.2|HMPREF1545_00002	BP	GO:0051301	cell division
fig|1226322.3.peg.3|HMPREF1545_00003	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1226322.3.peg.3|HMPREF1545_00003	MF	GO:0015643	toxic substance binding
fig|1226322.3.peg.6|HMPREF1545_00012	BP	GO:0009254	peptidoglycan turnover
fig|1226322.3.peg.6|HMPREF1545_00012	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1226322.3.peg.6|HMPREF1545_00012	CC	GO:0019867	outer membrane
fig|1226322.3.peg.8|HMPREF1545_00014	MF	GO:0004519	endonuclease activity
fig|1226322.3.peg.8|HMPREF1545_00014	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1226322.3.peg.9|HMPREF1545_00015	BP	GO:0006259	DNA metabolic process
fig|1226322.3.peg.9|HMPREF1545_00015	MF	GO:0003677	DNA binding
fig|1226322.3.peg.11|HMPREF1545_00017	MF	GO:0003678	DNA helicase activity
fig|1226322.3.peg.11|HMPREF1545_00017	BP	GO:0032508	DNA duplex unwinding
fig|1226322.3.peg.13|HMPREF1545_00019	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.13|HMPREF1545_00019	MF	GO:0000287	magnesium ion binding
fig|1226322.3.peg.30|HMPREF1545_00039	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.31|HMPREF1545_00041	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|1226322.3.peg.31|HMPREF1545_00041	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1226322.3.peg.31|HMPREF1545_00041	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.32|HMPREF1545_00042	MF	GO:0003677	DNA binding
fig|1226322.3.peg.33|HMPREF1545_00043	BP	GO:0006323	DNA packaging
fig|1226322.3.peg.35|HMPREF1545_00045	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.36|HMPREF1545_00046	MF	GO:0005198	structural molecule activity
fig|1226322.3.peg.40|HMPREF1545_00050	MF	GO:0030246	carbohydrate binding
fig|1226322.3.peg.46|HMPREF1545_00058	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.47|HMPREF1545_00059	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.54|HMPREF1545_00067	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.56|HMPREF1545_00069	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.57|HMPREF1545_00070	MF	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
fig|1226322.3.peg.57|HMPREF1545_00070	BP	GO:0009253	peptidoglycan catabolic process
fig|1226322.3.peg.63|HMPREF1545_00076	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.67|HMPREF1545_00081	BP	GO:0015074	DNA integration
fig|1226322.3.peg.67|HMPREF1545_00081	MF	GO:0003677	DNA binding
fig|1226322.3.peg.69|HMPREF1545_00084	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.72|HMPREF1545_00087	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|1226322.3.peg.72|HMPREF1545_00087	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.74|HMPREF1545_00090	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.76|HMPREF1545_00092	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.79|HMPREF1545_00095	MF	GO:0003678	DNA helicase activity
fig|1226322.3.peg.79|HMPREF1545_00095	BP	GO:0032508	DNA duplex unwinding
fig|1226322.3.peg.93|HMPREF1545_00111	MF	GO:0004519	endonuclease activity
fig|1226322.3.peg.93|HMPREF1545_00111	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1226322.3.peg.97|HMPREF1545_00115	MF	GO:0008233	peptidase activity
fig|1226322.3.peg.97|HMPREF1545_00115	BP	GO:0006508	proteolysis
fig|1226322.3.peg.102|HMPREF1545_00120	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1226322.3.peg.102|HMPREF1545_00120	MF	GO:0003677	DNA binding
fig|1226322.3.peg.111|HMPREF1545_00130	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.113|HMPREF1545_00133	MF	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
fig|1226322.3.peg.113|HMPREF1545_00133	BP	GO:0009253	peptidoglycan catabolic process
fig|1226322.3.peg.114|HMPREF1545_00139	BP	GO:0006541	glutamine metabolic process
fig|1226322.3.peg.114|HMPREF1545_00139	MF	GO:0016787	hydrolase activity
fig|1226322.3.peg.114|HMPREF1545_00139	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.117|HMPREF1545_00144	BP	GO:0015074	DNA integration
fig|1226322.3.peg.117|HMPREF1545_00144	MF	GO:0003677	DNA binding
fig|1226322.3.peg.125|HMPREF1545_00156	BP	GO:0015074	DNA integration
fig|1226322.3.peg.125|HMPREF1545_00156	MF	GO:0003677	DNA binding
fig|1226322.3.peg.126|HMPREF1545_00158	MF	GO:0031176	endo-1,4-beta-xylanase activity
fig|1226322.3.peg.126|HMPREF1545_00158	BP	GO:0045493	xylan catabolic process
fig|1226322.3.peg.126|HMPREF1545_00158	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.129|HMPREF1545_00166	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.130|HMPREF1545_00169	MF	GO:0022857	transmembrane transporter activity
fig|1226322.3.peg.130|HMPREF1545_00169	BP	GO:0055085	transmembrane transport
fig|1226322.3.peg.130|HMPREF1545_00169	CC	GO:0005886	plasma membrane
fig|1226322.3.peg.131|HMPREF1545_00170	MF	GO:0022857	transmembrane transporter activity
fig|1226322.3.peg.131|HMPREF1545_00170	BP	GO:0055085	transmembrane transport
fig|1226322.3.peg.131|HMPREF1545_00170	CC	GO:0005886	plasma membrane
fig|1226322.3.peg.132|HMPREF1545_00171	MF	GO:0016887	ATPase activity
fig|1226322.3.peg.132|HMPREF1545_00171	BP	GO:0008643	carbohydrate transport
fig|1226322.3.peg.134|HMPREF1545_00173	BP	GO:0015757	galactose transmembrane transport
fig|1226322.3.peg.134|HMPREF1545_00173	MF	GO:0005534	galactose binding
fig|1226322.3.peg.134|HMPREF1545_00173	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.136|HMPREF1545_00174	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|1226322.3.peg.136|HMPREF1545_00174	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1226322.3.peg.136|HMPREF1545_00174	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.137|HMPREF1545_00175	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.137|HMPREF1545_00175	BP	GO:0000160	phosphorelay signal transduction system
fig|1226322.3.peg.139|HMPREF1545_00179	MF	GO:0050194	phosphonoacetaldehyde hydrolase activity
fig|1226322.3.peg.139|HMPREF1545_00179	BP	GO:0019700	organic phosphonate catabolic process
fig|1226322.3.peg.140|HMPREF1545_00180	MF	GO:0047304	2-aminoethylphosphonate-pyruvate transaminase activity
fig|1226322.3.peg.140|HMPREF1545_00180	BP	GO:0019700	organic phosphonate catabolic process
fig|1226322.3.peg.141|HMPREF1545_00181	BP	GO:0055085	transmembrane transport
fig|1226322.3.peg.142|HMPREF1545_00182	BP	GO:0055085	transmembrane transport
fig|1226322.3.peg.142|HMPREF1545_00182	CC	GO:0005886	plasma membrane
fig|1226322.3.peg.142|HMPREF1545_00182	MF	GO:0003677	DNA binding
fig|1226322.3.peg.143|HMPREF1545_00183	MF	GO:0016887	ATPase activity
fig|1226322.3.peg.143|HMPREF1545_00183	BP	GO:1902047	polyamine transmembrane transport
fig|1226322.3.peg.143|HMPREF1545_00183	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.144|HMPREF1545_00184	MF	GO:0003700	DNA-binding transcription factor activity
fig|1226322.3.peg.144|HMPREF1545_00184	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1226322.3.peg.145|HMPREF1545_00187	MF	GO:0031176	endo-1,4-beta-xylanase activity
fig|1226322.3.peg.145|HMPREF1545_00187	BP	GO:0045493	xylan catabolic process
fig|1226322.3.peg.146|HMPREF1545_00189	MF	GO:0016787	hydrolase activity
fig|1226322.3.peg.146|HMPREF1545_00189	BP	GO:0006807	nitrogen compound metabolic process
fig|1226322.3.peg.147|HMPREF1545_00190	MF	GO:0004177	aminopeptidase activity
fig|1226322.3.peg.147|HMPREF1545_00190	BP	GO:0006508	proteolysis
fig|1226322.3.peg.150|HMPREF1545_00193	MF	GO:0036361	racemase activity, acting on amino acids and derivatives
fig|1226322.3.peg.150|HMPREF1545_00193	BP	GO:0006807	nitrogen compound metabolic process
fig|1226322.3.peg.151|HMPREF1545_00194	MF	GO:0015209	cytosine transmembrane transporter activity
fig|1226322.3.peg.151|HMPREF1545_00194	BP	GO:0015856	cytosine transport
fig|1226322.3.peg.151|HMPREF1545_00194	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.152|HMPREF1545_00196	MF	GO:0003700	DNA-binding transcription factor activity
fig|1226322.3.peg.152|HMPREF1545_00196	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1226322.3.peg.157|HMPREF1545_00205	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.157|HMPREF1545_00205	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.158|HMPREF1545_00206	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.158|HMPREF1545_00206	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.159|HMPREF1545_00207	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.159|HMPREF1545_00207	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.160|HMPREF1545_00208	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.160|HMPREF1545_00208	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.161|HMPREF1545_00209	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.161|HMPREF1545_00209	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.162|HMPREF1545_00210	MF	GO:0000150	recombinase activity
fig|1226322.3.peg.162|HMPREF1545_00210	BP	GO:0006310	DNA recombination
fig|1226322.3.peg.168|HMPREF1545_00218	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.171|HMPREF1545_00221	MF	GO:0016874	ligase activity
fig|1226322.3.peg.172|HMPREF1545_00222	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|1226322.3.peg.172|HMPREF1545_00222	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1226322.3.peg.174|HMPREF1545_00224	MF	GO:0010181	FMN binding
fig|1226322.3.peg.174|HMPREF1545_00224	BP	GO:0022900	electron transport chain
fig|1226322.3.peg.175|HMPREF1545_00225	MF	GO:0003746	translation elongation factor activity
fig|1226322.3.peg.175|HMPREF1545_00225	BP	GO:0006414	translational elongation
fig|1226322.3.peg.176|HMPREF1545_00226	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.177|HMPREF1545_00227	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.178|HMPREF1545_00228	MF	GO:0016787	hydrolase activity
fig|1226322.3.peg.180|HMPREF1545_00230	MF	GO:0003684	damaged DNA binding
fig|1226322.3.peg.180|HMPREF1545_00230	BP	GO:0006281	DNA repair
fig|1226322.3.peg.181|HMPREF1545_00231	MF	GO:0043565	sequence-specific DNA binding
fig|1226322.3.peg.181|HMPREF1545_00231	CC	GO:0016021	integral component of membrane
fig|1226322.3.peg.182|HMPREF1545_00232	MF	GO:0004812	aminoacyl-tRNA ligase activity
fig|1226322.3.peg.186|HMPREF1545_00236	MF	GO:0004519	endonuclease activity
fig|1226322.3.peg.186|HMPREF1545_00236	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
