gene	ontology	GO_id	GO_name
fig|537012.5.peg.1|BACCELL_00001	BP	GO:0006355	regulation of transcription, DNA-templated
fig|537012.5.peg.1|BACCELL_00001	MF	GO:0003677	DNA binding
fig|537012.5.peg.2|BACCELL_00002	MF	GO:0004148	dihydrolipoyl dehydrogenase activity
fig|537012.5.peg.2|BACCELL_00002	BP	GO:0045454	cell redox homeostasis
fig|537012.5.peg.2|BACCELL_00002	CC	GO:0005623	cell
fig|537012.5.peg.3|BACCELL_00003	BP	GO:0009249	protein lipoylation
fig|537012.5.peg.3|BACCELL_00003	MF	GO:0016874	ligase activity
fig|537012.5.peg.4|BACCELL_00004	MF	GO:0016746	transferase activity, transferring acyl groups
fig|537012.5.peg.131|BACCELL_00007	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.132|BACCELL_00008	BP	GO:0015031	protein transport
fig|537012.5.peg.132|BACCELL_00008	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.133|BACCELL_00009	BP	GO:0015031	protein transport
fig|537012.5.peg.133|BACCELL_00009	MF	GO:0022857	transmembrane transporter activity
fig|537012.5.peg.133|BACCELL_00009	CC	GO:0005886	plasma membrane
fig|537012.5.peg.134|BACCELL_00010	BP	GO:0015031	protein transport
fig|537012.5.peg.134|BACCELL_00010	MF	GO:0022857	transmembrane transporter activity
fig|537012.5.peg.134|BACCELL_00010	CC	GO:0005886	plasma membrane
fig|537012.5.peg.135|BACCELL_00011	MF	GO:0031992	energy transducer activity
fig|537012.5.peg.135|BACCELL_00011	BP	GO:0044718	siderophore transmembrane transport
fig|537012.5.peg.135|BACCELL_00011	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|537012.5.peg.137|BACCELL_00013	BP	GO:0006396	RNA processing
fig|537012.5.peg.138|BACCELL_00014	MF	GO:0016887	ATPase activity
fig|537012.5.peg.138|BACCELL_00014	BP	GO:0015709	thiosulfate transport
fig|537012.5.peg.139|BACCELL_00015	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.140|BACCELL_00016	MF	GO:0003700	DNA-binding transcription factor activity
fig|537012.5.peg.140|BACCELL_00016	BP	GO:0006355	regulation of transcription, DNA-templated
fig|537012.5.peg.141|BACCELL_00017	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.143|BACCELL_00020	BP	GO:0006355	regulation of transcription, DNA-templated
fig|537012.5.peg.143|BACCELL_00020	MF	GO:0003677	DNA binding
fig|537012.5.peg.151|BACCELL_00033	MF	GO:0008233	peptidase activity
fig|537012.5.peg.151|BACCELL_00033	BP	GO:0006508	proteolysis
fig|537012.5.peg.157|BACCELL_00040	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|537012.5.peg.157|BACCELL_00040	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.158|BACCELL_00041	MF	GO:0043565	sequence-specific DNA binding
fig|537012.5.peg.158|BACCELL_00041	BP	GO:0006355	regulation of transcription, DNA-templated
fig|537012.5.peg.162|BACCELL_00044	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.165|BACCELL_00049	MF	GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
fig|537012.5.peg.165|BACCELL_00049	BP	GO:0055114	oxidation-reduction process
fig|537012.5.peg.166|BACCELL_00050	MF	GO:0010181	FMN binding
fig|537012.5.peg.166|BACCELL_00050	BP	GO:0055114	oxidation-reduction process
fig|537012.5.peg.167|BACCELL_00051	MF	GO:0071949	FAD binding
fig|537012.5.peg.169|BACCELL_00053	BP	GO:0000725	recombinational repair
fig|537012.5.peg.169|BACCELL_00053	MF	GO:0003684	damaged DNA binding
fig|537012.5.peg.169|BACCELL_00053	CC	GO:0005829	cytosol
fig|537012.5.peg.170|BACCELL_00054	MF	GO:0001681	sialate O-acetylesterase activity
fig|537012.5.peg.172|BACCELL_00056	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|537012.5.peg.172|BACCELL_00056	BP	GO:0005975	carbohydrate metabolic process
fig|537012.5.peg.173|BACCELL_00057	MF	GO:0003824	catalytic activity
fig|537012.5.peg.174|BACCELL_00058	MF	GO:0000155	phosphorelay sensor kinase activity
fig|537012.5.peg.174|BACCELL_00058	BP	GO:0023014	signal transduction by protein phosphorylation
fig|537012.5.peg.174|BACCELL_00058	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.175|BACCELL_00059	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.178|BACCELL_00063	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|537012.5.peg.178|BACCELL_00063	BP	GO:0005975	carbohydrate metabolic process
fig|537012.5.peg.178|BACCELL_00063	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.179|BACCELL_00064	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|537012.5.peg.179|BACCELL_00064	BP	GO:0005975	carbohydrate metabolic process
fig|537012.5.peg.179|BACCELL_00064	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.180|BACCELL_00065	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|537012.5.peg.180|BACCELL_00065	BP	GO:0005975	carbohydrate metabolic process
fig|537012.5.peg.182|BACCELL_00067	MF	GO:0016829	lyase activity
fig|537012.5.peg.182|BACCELL_00067	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.183|BACCELL_00068	MF	GO:0046556	alpha-L-arabinofuranosidase activity
fig|537012.5.peg.183|BACCELL_00068	BP	GO:0008152	metabolic process
fig|537012.5.peg.184|BACCELL_00069	MF	GO:0004067	asparaginase activity
fig|537012.5.peg.184|BACCELL_00069	BP	GO:0006520	cellular amino acid metabolic process
fig|537012.5.peg.185|BACCELL_00070	MF	GO:0004412	homoserine dehydrogenase activity
fig|537012.5.peg.185|BACCELL_00070	BP	GO:0009067	aspartate family amino acid biosynthetic process
fig|537012.5.peg.186|BACCELL_00071	MF	GO:0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity
fig|537012.5.peg.186|BACCELL_00071	BP	GO:0016310	phosphorylation
fig|537012.5.peg.187|BACCELL_00072	MF	GO:0004795	threonine synthase activity
fig|537012.5.peg.187|BACCELL_00072	BP	GO:0006520	cellular amino acid metabolic process
fig|537012.5.peg.191|BACCELL_00077	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.192|BACCELL_00078	MF	GO:0004788	thiamine diphosphokinase activity
fig|537012.5.peg.192|BACCELL_00078	BP	GO:0009229	thiamine diphosphate biosynthetic process
fig|537012.5.peg.193|BACCELL_00079	MF	GO:0034257	nicotinamide riboside transmembrane transporter activity
fig|537012.5.peg.193|BACCELL_00079	BP	GO:0034258	nicotinamide riboside transport
fig|537012.5.peg.193|BACCELL_00079	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.194|BACCELL_00080	CC	GO:0009279	cell outer membrane
fig|537012.5.peg.195|BACCELL_00081	BP	GO:0055085	transmembrane transport
fig|537012.5.peg.195|BACCELL_00081	CC	GO:0016021	integral component of membrane
fig|537012.5.peg.198|BACCELL_00084	CC	GO:0019867	outer membrane
fig|537012.5.peg.198|BACCELL_00084	MF	GO:0004180	carboxypeptidase activity
fig|537012.5.peg.198|BACCELL_00084	BP	GO:0006508	proteolysis
fig|537012.5.peg.199|BACCELL_00085	CC	GO:0016021	integral component of membrane
