gene	ontology	GO_id	GO_name
fig|471875.6.peg.7|RUMLAC_00885	MF	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
fig|471875.6.peg.7|RUMLAC_00885	BP	GO:0008654	phospholipid biosynthetic process
fig|471875.6.peg.7|RUMLAC_00885	CC	GO:0016020	membrane
fig|471875.6.peg.8|RUMLAC_00886	MF	GO:0016836	hydro-lyase activity
fig|471875.6.peg.9|RUMLAC_00887	MF	GO:0016829	lyase activity
fig|471875.6.peg.10|RUMLAC_00888	MF	GO:0004132	dCMP deaminase activity
fig|471875.6.peg.10|RUMLAC_00888	BP	GO:0006220	pyrimidine nucleotide metabolic process
fig|471875.6.peg.11|RUMLAC_00889	BP	GO:0006223	uracil salvage
fig|471875.6.peg.11|RUMLAC_00889	MF	GO:0004845	uracil phosphoribosyltransferase activity
fig|471875.6.peg.12|RUMLAC_00890	MF	GO:0003725	double-stranded RNA binding
fig|471875.6.peg.12|RUMLAC_00890	BP	GO:0008033	tRNA processing
fig|471875.6.peg.12|RUMLAC_00890	CC	GO:0005737	cytoplasm
fig|471875.6.peg.13|RUMLAC_00891	MF	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
fig|471875.6.peg.13|RUMLAC_00891	BP	GO:0009253	peptidoglycan catabolic process
fig|471875.6.peg.13|RUMLAC_00891	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.14|RUMLAC_00892	MF	GO:0008061	chitin binding
fig|471875.6.peg.14|RUMLAC_00892	BP	GO:0005975	carbohydrate metabolic process
fig|471875.6.peg.14|RUMLAC_00892	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.19|RUMLAC_00897	MF	GO:0016787	hydrolase activity
fig|471875.6.peg.20|RUMLAC_00898	MF	GO:0003700	DNA-binding transcription factor activity
fig|471875.6.peg.20|RUMLAC_00898	BP	GO:0006355	regulation of transcription, DNA-templated
fig|471875.6.peg.21|RUMLAC_00899	MF	GO:0005506	iron ion binding
fig|471875.6.peg.21|RUMLAC_00899	BP	GO:0098869	cellular oxidant detoxification
fig|471875.6.peg.22|RUMLAC_00900	MF	GO:0004519	endonuclease activity
fig|471875.6.peg.22|RUMLAC_00900	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|471875.6.peg.23|RUMLAC_00901	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.23|RUMLAC_00901	MF	GO:0016787	hydrolase activity
fig|471875.6.peg.24|RUMLAC_00902	BP	GO:0030435	sporulation resulting in formation of a cellular spore
fig|471875.6.peg.24|RUMLAC_00902	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.25|RUMLAC_00903	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.26|RUMLAC_00904	MF	GO:0008184	glycogen phosphorylase activity
fig|471875.6.peg.26|RUMLAC_00904	BP	GO:0005975	carbohydrate metabolic process
fig|471875.6.peg.27|RUMLAC_00905	MF	GO:0004822	isoleucine-tRNA ligase activity
fig|471875.6.peg.27|RUMLAC_00905	BP	GO:0006428	isoleucyl-tRNA aminoacylation
fig|471875.6.peg.27|RUMLAC_00905	CC	GO:0005737	cytoplasm
fig|471875.6.peg.29|RUMLAC_00907	MF	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
fig|471875.6.peg.29|RUMLAC_00907	BP	GO:0006508	proteolysis
fig|471875.6.peg.29|RUMLAC_00907	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.30|RUMLAC_00908	MF	GO:0004527	exonuclease activity
fig|471875.6.peg.30|RUMLAC_00908	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|471875.6.peg.32|RUMLAC_00910	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.36|RUMLAC_00916	MF	GO:0016740	transferase activity
fig|471875.6.peg.36|RUMLAC_00916	CC	GO:0005840	ribosome
fig|471875.6.peg.37|RUMLAC_00917	MF	GO:0003677	DNA binding
fig|471875.6.peg.38|RUMLAC_00918	MF	GO:0016787	hydrolase activity
fig|471875.6.peg.38|RUMLAC_00918	BP	GO:0006807	nitrogen compound metabolic process
fig|471875.6.peg.39|RUMLAC_00921	MF	GO:0016887	ATPase activity
fig|471875.6.peg.39|RUMLAC_00921	BP	GO:0051301	cell division
fig|471875.6.peg.40|RUMLAC_00922	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.41|RUMLAC_00925	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.44|RUMLAC_00928	MF	GO:0003677	DNA binding
fig|471875.6.peg.45|RUMLAC_00929	MF	GO:0043565	sequence-specific DNA binding
fig|471875.6.peg.46|RUMLAC_00930	BP	GO:0015074	DNA integration
fig|471875.6.peg.46|RUMLAC_00930	MF	GO:0003677	DNA binding
fig|471875.6.peg.47|RUMLAC_00931	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.48|RUMLAC_00932	BP	GO:0015074	DNA integration
fig|471875.6.peg.48|RUMLAC_00932	MF	GO:0003677	DNA binding
fig|471875.6.peg.48|RUMLAC_00932	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.49|RUMLAC_00933	BP	GO:0051301	cell division
fig|471875.6.peg.50|RUMLAC_00934	MF	GO:0004803	transposase activity
fig|471875.6.peg.50|RUMLAC_00934	BP	GO:0006313	transposition, DNA-mediated
fig|471875.6.peg.50|RUMLAC_00934	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.51|RUMLAC_00936	MF	GO:0043565	sequence-specific DNA binding
fig|471875.6.peg.52|RUMLAC_00939	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.52|RUMLAC_00939	MF	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
fig|471875.6.peg.52|RUMLAC_00939	BP	GO:0008654	phospholipid biosynthetic process
fig|471875.6.peg.53|RUMLAC_00940	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|471875.6.peg.53|RUMLAC_00940	MF	GO:0000155	phosphorelay sensor kinase activity
fig|471875.6.peg.53|RUMLAC_00940	CC	GO:0016021	integral component of membrane
fig|471875.6.peg.54|RUMLAC_00941	BP	GO:0000160	phosphorelay signal transduction system
fig|471875.6.peg.54|RUMLAC_00941	MF	GO:0003677	DNA binding
fig|471875.6.peg.55|RUMLAC_00942	MF	GO:0016740	transferase activity
fig|471875.6.peg.56|RUMLAC_00943	MF	GO:0008808	cardiolipin synthase activity
fig|471875.6.peg.56|RUMLAC_00943	BP	GO:0032049	cardiolipin biosynthetic process
