gene	ontology	GO_id	GO_name
fig|1121115.4.peg.1	MF	GO:0016301	kinase activity
fig|1121115.4.peg.1	BP	GO:0016310	phosphorylation
fig|1121115.4.peg.3	MF	GO:0004765	shikimate kinase activity
fig|1121115.4.peg.3	BP	GO:0009423	chorismate biosynthetic process
fig|1121115.4.peg.3	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.4	MF	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
fig|1121115.4.peg.4	BP	GO:0006508	proteolysis
fig|1121115.4.peg.4	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.6	BP	GO:0051304	chromosome separation
fig|1121115.4.peg.6	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.7	BP	GO:0007059	chromosome segregation
fig|1121115.4.peg.7	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.8	MF	GO:0016787	hydrolase activity
fig|1121115.4.peg.8	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.9	MF	GO:0061599	molybdopterin molybdotransferase activity
fig|1121115.4.peg.9	BP	GO:0032324	molybdopterin cofactor biosynthetic process
fig|1121115.4.peg.10	MF	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
fig|1121115.4.peg.10	BP	GO:0006508	proteolysis
fig|1121115.4.peg.10	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.11	MF	GO:0008808	cardiolipin synthase activity
fig|1121115.4.peg.11	BP	GO:0032049	cardiolipin biosynthetic process
fig|1121115.4.peg.11	CC	GO:0005886	plasma membrane
fig|1121115.4.peg.12	MF	GO:0003735	structural constituent of ribosome
fig|1121115.4.peg.12	BP	GO:0006412	translation
fig|1121115.4.peg.12	CC	GO:0005840	ribosome
fig|1121115.4.peg.13	MF	GO:0004813	alanine-tRNA ligase activity
fig|1121115.4.peg.13	BP	GO:0006419	alanyl-tRNA aminoacylation
fig|1121115.4.peg.13	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.14	MF	GO:0004831	tyrosine-tRNA ligase activity
fig|1121115.4.peg.14	BP	GO:0006437	tyrosyl-tRNA aminoacylation
fig|1121115.4.peg.14	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.15	MF	GO:0016787	hydrolase activity
fig|1121115.4.peg.20	MF	GO:0019159	nicotinamide-nucleotide amidase activity
fig|1121115.4.peg.21	MF	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
fig|1121115.4.peg.21	BP	GO:0008654	phospholipid biosynthetic process
fig|1121115.4.peg.21	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.22	MF	GO:0103039	protein methylthiotransferase activity
fig|1121115.4.peg.22	BP	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
fig|1121115.4.peg.22	CC	GO:0005840	ribosome
fig|1121115.4.peg.23	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|1121115.4.peg.23	BP	GO:0006351	transcription, DNA-templated
fig|1121115.4.peg.24	MF	GO:0004385	guanylate kinase activity
fig|1121115.4.peg.24	BP	GO:0046710	GDP metabolic process
fig|1121115.4.peg.24	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.27	MF	GO:0003676	nucleic acid binding
fig|1121115.4.peg.28	MF	GO:0016887	ATPase activity
fig|1121115.4.peg.29	BP	GO:0006855	drug transmembrane transport
fig|1121115.4.peg.29	MF	GO:0015238	drug transmembrane transporter activity
fig|1121115.4.peg.29	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.30	MF	GO:0004823	leucine-tRNA ligase activity
fig|1121115.4.peg.30	BP	GO:0006429	leucyl-tRNA aminoacylation
fig|1121115.4.peg.30	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.31	MF	GO:0003746	translation elongation factor activity
fig|1121115.4.peg.31	BP	GO:0006414	translational elongation
fig|1121115.4.peg.32	MF	GO:0004665	prephenate dehydrogenase (NADP+) activity
fig|1121115.4.peg.32	BP	GO:0006571	tyrosine biosynthetic process
fig|1121115.4.peg.33	MF	GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
fig|1121115.4.peg.33	BP	GO:0009423	chorismate biosynthetic process
fig|1121115.4.peg.33	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.35	MF	GO:0051287	NAD binding
fig|1121115.4.peg.35	BP	GO:0055114	oxidation-reduction process
fig|1121115.4.peg.37	MF	GO:0016491	oxidoreductase activity
fig|1121115.4.peg.37	BP	GO:0055114	oxidation-reduction process
fig|1121115.4.peg.38	CC	GO:0016021	integral component of membrane
fig|1121115.4.peg.39	BP	GO:0008616	queuosine biosynthetic process
fig|1121115.4.peg.39	MF	GO:0016853	isomerase activity
fig|1121115.4.peg.39	CC	GO:0005737	cytoplasm
fig|1121115.4.peg.40	MF	GO:0052906	tRNA (guanine(37)-N(1))-methyltransferase activity
